"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - West and North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Shropshire and Staffordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
