"Status","Year","Ethnicity","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","SCS","Male","40","30","[c]","[c]"
"In post","2021","Other ethnicity","SEO/HEO","Female","380","370","37640","36650"
"In post","2021","Other ethnicity","SEO/HEO","Male","330","320","38480","37450"
"In post","2021","Other ethnicity","Unknown","Female","50","50","29980","28200"
"In post","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Female","2380","1980","21720","21010"
"In post","2021","Undeclared","AA/AO","Male","2640","2510","23340","21430"
"In post","2021","Undeclared","EO","Female","2730","2410","28050","27570"
"In post","2021","Undeclared","EO","Male","3140","2970","28480","27570"
"In post","2021","Undeclared","G6/G7","Female","930","880","58390","56790"
"In post","2021","Undeclared","G6/G7","Male","1910","1860","58770","57240"
"In post","2021","Undeclared","SCS","Female","70","60","88830","82100"
"In post","2021","Undeclared","SCS","Male","120","120","90720","84580"
"In post","2021","Undeclared","SEO/HEO","Female","2190","2060","36680","36170"
"In post","2021","Undeclared","SEO/HEO","Male","3910","3790","37750","37320"
"In post","2021","Undeclared","Unknown","Female","250","230","31710","31980"
"In post","2021","Undeclared","Unknown","Male","300","290","38320","37170"
"In post","2021","Unknown","AA/AO","Female","12390","10990","21590","21010"
"In post","2021","Unknown","AA/AO","Male","11280","10880","22830","21010"
"In post","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Female","7370","6880","27420","27570"
"In post","2021","Unknown","EO","Male","7370","7190","27780","27500"
"In post","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Female","3810","3630","58160","55490"
"In post","2021","Unknown","G6/G7","Male","4130","4060","59230","56970"
"In post","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Female","550","530","88220","78810"
"In post","2021","Unknown","SCS","Male","610","600","93080","80920"
"In post","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Female","7990","7680","35240","33930"
"In post","2021","Unknown","SEO/HEO","Male","8450","8290","36120","35050"
"In post","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","1010","910","28840","28200"
"In post","2021","Unknown","Unknown","Male","2100","2070","36560","33570"
"In post","2021","White","AA/AO","Female","55930","47540","21660","21010"
"In post","2021","White","AA/AO","Male","41190","39300","23530","21430"
"In post","2021","White","EO","Female","52050","46340","27300","27570"
"In post","2021","White","EO","Male","37750","36240","27970","27570"
"In post","2021","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","G6/G7","Female","21990","20740","58350","56350"
"In post","2021","White","G6/G7","Male","23380","22890","59360","57530"
"In post","2021","White","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","SCS","Female","2470","2340","88000","80590"
"In post","2021","White","SCS","Male","2850","2800","92610","83860"
"In post","2021","White","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","SEO/HEO","Female","47540","44630","36350","35310"
"In post","2021","White","SEO/HEO","Male","44220","43140","37500","36740"
"In post","2021","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Female","7700","7060","30440","30210"
"In post","2021","White","Unknown","Male","3310","3220","35960","34320"
"In post","2022","Asian","AA/AO","Female","4870","4060","22520","21410"
"In post","2022","Asian","AA/AO","Male","3640","3460","22850","21260"
"In post","2022","Asian","EO","Female","6110","5530","28450","27570"
"In post","2022","Asian","EO","Male","4710","4610","28210","27570"
"In post","2022","Asian","G6/G7","Female","2060","1990","58330","56140"
"In post","2022","Asian","G6/G7","Male","1770","1740","59430","57460"
"In post","2022","Asian","SCS","Female","180","170","91070","83230"
"In post","2022","Asian","SCS","Male","150","150","92080","86480"
"In post","2022","Asian","SEO/HEO","Female","4920","4750","37100","36520"
"In post","2022","Asian","SEO/HEO","Male","4400","4330","37540","36650"
"In post","2022","Asian","Unknown","Female","570","530","29190","27980"
"In post","2022","Asian","Unknown","Male","270","260","31540","28200"
"In post","2022","Black","AA/AO","Female","2500","2260","23800","23720"
"In post","2022","Black","AA/AO","Male","1650","1590","25720","24310"
"In post","2022","Black","EO","Female","3820","3610","29280","29290"
"In post","2022","Black","EO","Male","1850","1810","29250","29080"
"In post","2022","Black","G6/G7","Female","930","910","57610","55210"
"In post","2022","Black","G6/G7","Male","550","550","58740","56800"
"In post","2022","Black","SCS","Female","60","60","88810","79140"
"In post","2022","Black","SCS","Male","40","40","[c]","[c]"
"In post","2022","Black","SEO/HEO","Female","2780","2730","37500","36980"
"In post","2022","Black","SEO/HEO","Male","1720","1700","38050","37510"
"In post","2022","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Female","840","800","31520","28690"
"In post","2022","Black","Unknown","Male","360","350","31810","28690"
"In post","2022","Mixed","AA/AO","Female","1160","1030","22880","21430"
"In post","2022","Mixed","AA/AO","Male","860","830","24420","22570"
"In post","2022","Mixed","EO","Female","1440","1340","28170","27570"
"In post","2022","Mixed","EO","Male","880","860","28450","27570"
"In post","2022","Mixed","G6/G7","Female","810","770","58200","56370"
"In post","2022","Mixed","G6/G7","Male","670","660","58860","57010"
"In post","2022","Mixed","SCS","Female","80","70","82740","78530"
"In post","2022","Mixed","SCS","Male","70","70","87110","79620"
"In post","2022","Mixed","SEO/HEO","Female","1490","1440","36760","35880"
"In post","2022","Mixed","SEO/HEO","Male","1170","1150","37660","37000"
"In post","2022","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Female","420","390","30650","28690"
"In post","2022","Mixed","Unknown","Male","140","140","31430","28200"
"In post","2022","Other ethnicity","AA/AO","Female","290","250","23100","22080"
"In post","2022","Other ethnicity","AA/AO","Male","270","270","24970","23350"
"In post","2022","Other ethnicity","EO","Female","430","400","28780","28310"
"In post","2022","Other ethnicity","EO","Male","290","290","28490","27570"
"In post","2022","Other ethnicity","G6/G7","Female","210","200","59220","57460"
"In post","2022","Other ethnicity","G6/G7","Male","230","220","59870","57310"
"In post","2022","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SEO/HEO","Female","410","390","37720","37100"
"In post","2022","Other ethnicity","SEO/HEO","Male","360","360","38550","37560"
"In post","2022","Other ethnicity","Unknown","Female","70","70","30930","28690"
"In post","2022","Other ethnicity","Unknown","Male","40","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Female","2210","1840","22190","21300"
"In post","2022","Undeclared","AA/AO","Male","2430","2300","23750","21680"
"In post","2022","Undeclared","EO","Female","2570","2280","28320","27570"
"In post","2022","Undeclared","EO","Male","3040","2880","28780","27570"
"In post","2022","Undeclared","G6/G7","Female","920","880","59030","57150"
"In post","2022","Undeclared","G6/G7","Male","1970","1930","59490","57610"
"In post","2022","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Female","70","70","86020","80000"
"In post","2022","Undeclared","SCS","Male","130","130","88340","80870"
"In post","2022","Undeclared","SEO/HEO","Female","2220","2080","37320","36750"
"In post","2022","Undeclared","SEO/HEO","Male","4030","3900","38210","37610"
"In post","2022","Undeclared","Unknown","Female","290","260","31630","31420"
"In post","2022","Undeclared","Unknown","Male","310","300","36860","35930"
"In post","2022","Unknown","AA/AO","Female","12080","10790","22320","21300"
"In post","2022","Unknown","AA/AO","Male","10720","10360","23390","21640"
"In post","2022","Unknown","EO","Female","8030","7520","27770","27270"
"In post","2022","Unknown","EO","Male","7910","7690","28260","27230"
"In post","2022","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Female","4410","4230","59020","56860"
"In post","2022","Unknown","G6/G7","Male","4690","4630","60070","57510"
"In post","2022","Unknown","SCS","Female","440","430","92250","83230"
"In post","2022","Unknown","SCS","Male","490","480","99380","93000"
"In post","2022","Unknown","SEO/HEO","Female","8850","8540","35850","34340"
"In post","2022","Unknown","SEO/HEO","Male","9280","9120","36540","35290"
"In post","2022","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Female","2810","2540","28340","26310"
"In post","2022","Unknown","Unknown","Male","2770","2670","34570","32550"
"In post","2022","White","AA/AO","Female","54440","46530","22140","21260"
"In post","2022","White","AA/AO","Male","40050","38230","23880","21680"
"In post","2022","White","EO","Female","52480","46920","27540","27570"
"In post","2022","White","EO","Male","37710","36260","28180","27570"
"In post","2022","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","G6/G7","Female","24590","23240","58570","56130"
"In post","2022","White","G6/G7","Male","25630","25100","59570","57480"
"In post","2022","White","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","SCS","Female","2560","2440","87550","80000"
"In post","2022","White","SCS","Male","2890","2840","92310","83800"
"In post","2022","White","SEO/HEO","Female","52200","49180","36770","35950"
"In post","2022","White","SEO/HEO","Male","47700","46600","37810","37100"
"In post","2022","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Female","10440","9640","30500","28200"
"In post","2022","White","Unknown","Male","4130","3990","34770","31950"
"Leaver CS","2021","Asian","AA/AO","Female","320","270","21690","21010"
"Leaver CS","2021","Asian","AA/AO","Male","210","200","21700","21010"
"Leaver CS","2021","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","EO","Female","170","140","27770","27570"
"Leaver CS","2021","Asian","EO","Male","150","140","27800","27570"
"Leaver CS","2021","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Female","50","40","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Male","40","40","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","Female","110","100","36740","36340"
"Leaver CS","2021","Asian","SEO/HEO","Male","100","90","37140","37210"
"Leaver CS","2021","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","AA/AO","Female","150","140","22630","22680"
"Leaver CS","2021","Black","AA/AO","Male","110","110","22680","22220"
"Leaver CS","2021","Black","EO","Female","80","70","28270","28050"
"Leaver CS","2021","Black","EO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SEO/HEO","Female","70","60","37150","35750"
"Leaver CS","2021","Black","SEO/HEO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","AA/AO","Female","100","90","21310","21010"
"Leaver CS","2021","Mixed","AA/AO","Male","70","70","[c]","[c]"
"Leaver CS","2021","Mixed","EO","Female","50","50","[c]","[c]"
"Leaver CS","2021","Mixed","EO","Male","40","40","[c]","[c]"
"Leaver CS","2021","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","Female","40","30","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","Male","40","30","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Female","270","210","20620","20180"
"Leaver CS","2021","Undeclared","AA/AO","Male","220","200","21740","20180"
"Leaver CS","2021","Undeclared","EO","Female","150","120","27590","27150"
"Leaver CS","2021","Undeclared","EO","Male","170","150","28730","27570"
"Leaver CS","2021","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Female","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Male","90","80","59610","57680"
"Leaver CS","2021","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","Female","130","110","36650","35610"
"Leaver CS","2021","Undeclared","SEO/HEO","Male","230","210","37450","36100"
"Leaver CS","2021","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Female","1490","1310","20960","21010"
"Leaver CS","2021","Unknown","AA/AO","Male","1370","1300","21430","21010"
"Leaver CS","2021","Unknown","EO","Female","720","630","27020","27570"
"Leaver CS","2021","Unknown","EO","Male","660","600","27340","27570"
"Leaver CS","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","240","200","61360","58740"
"Leaver CS","2021","Unknown","G6/G7","Male","300","260","59990","57780"
"Leaver CS","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Female","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Male","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Female","470","410","35460","34550"
"Leaver CS","2021","Unknown","SEO/HEO","Male","560","510","36890","35900"
"Leaver CS","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","340","310","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","310","300","35460","32400"
"Leaver CS","2021","White","AA/AO","Female","4260","3420","20820","21010"
"Leaver CS","2021","White","AA/AO","Male","3260","2970","21680","21010"
"Leaver CS","2021","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","EO","Female","2160","1750","27020","27570"
"Leaver CS","2021","White","EO","Male","1730","1550","27690","27570"
"Leaver CS","2021","White","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","G6/G7","Female","730","640","60010","57380"
"Leaver CS","2021","White","G6/G7","Male","910","810","61500","59260"
"Leaver CS","2021","White","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","SCS","Female","130","110","92860","87630"
"Leaver CS","2021","White","SCS","Male","180","160","101270","96920"
"Leaver CS","2021","White","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","SEO/HEO","Female","1770","1560","36680","36030"
"Leaver CS","2021","White","SEO/HEO","Male","1880","1710","37980","37100"
"Leaver CS","2021","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Female","360","310","[c]","[c]"
"Leaver CS","2021","White","Unknown","Male","160","140","38570","35530"
"Leaver CS","2022","Asian","AA/AO","Female","460","390","21960","21300"
"Leaver CS","2022","Asian","AA/AO","Male","380","350","22060","21260"
"Leaver CS","2022","Asian","EO","Female","410","360","28200","27570"
"Leaver CS","2022","Asian","EO","Male","310","290","28220","27570"
"Leaver CS","2022","Asian","G6/G7","Female","100","90","58470","55380"
"Leaver CS","2022","Asian","G6/G7","Male","120","110","59910","58460"
"Leaver CS","2022","Asian","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","SEO/HEO","Female","270","250","37070","36770"
"Leaver CS","2022","Asian","SEO/HEO","Male","250","230","37160","36710"
"Leaver CS","2022","Asian","Unknown","Female","40","30","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","AA/AO","Female","260","230","22610","22530"
"Leaver CS","2022","Black","AA/AO","Male","170","160","22500","22570"
"Leaver CS","2022","Black","EO","Female","340","320","29220","29520"
"Leaver CS","2022","Black","EO","Male","170","160","28880","28670"
"Leaver CS","2022","Black","G6/G7","Female","60","50","[c]","[c]"
"Leaver CS","2022","Black","G6/G7","Male","60","50","57690","54700"
"Leaver CS","2022","Black","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","SEO/HEO","Female","190","180","37610","36500"
"Leaver CS","2022","Black","SEO/HEO","Male","120","110","37880","36440"
"Leaver CS","2022","Black","Unknown","Female","80","70","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","AA/AO","Female","170","160","21520","21260"
"Leaver CS","2022","Mixed","AA/AO","Male","130","120","21630","21260"
"Leaver CS","2022","Mixed","EO","Female","160","160","27790","27570"
"Leaver CS","2022","Mixed","EO","Male","110","100","28300","27570"
"Leaver CS","2022","Mixed","G6/G7","Female","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","G6/G7","Male","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","SEO/HEO","Female","100","90","36690","35480"
"Leaver CS","2022","Mixed","SEO/HEO","Male","70","70","37840","37340"
"Leaver CS","2022","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Female","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","AA/AO","Female","50","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","AA/AO","Male","30","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","EO","Female","40","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","EO","Male","40","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","SEO/HEO","Female","40","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","SEO/HEO","Male","40","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Female","260","210","21140","21010"
"Leaver CS","2022","Undeclared","AA/AO","Male","310","280","22780","21260"
"Leaver CS","2022","Undeclared","EO","Female","210","170","27800","27570"
"Leaver CS","2022","Undeclared","EO","Male","250","210","28640","27570"
"Leaver CS","2022","Undeclared","G6/G7","Female","70","60","58040","56950"
"Leaver CS","2022","Undeclared","G6/G7","Male","140","130","59000","58550"
"Leaver CS","2022","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Female","170","150","36750","36530"
"Leaver CS","2022","Undeclared","SEO/HEO","Male","310","280","38420","37460"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Female","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Female","2100","1890","21350","21260"
