"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","No function","190","180","41290","36960"
"In post","2021","Commercial","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Commercial","80","80","47060","41610"
"In post","2021","Commercial","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","70","70","41540","39860"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Commercial","30","30","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Commercial","680","660","49260","48020"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","70","70","39630","38630"
"In post","2021","Commercial","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Unknown","90","90","41360","42100"
"In post","2021","Commercial","Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Commercial","90","90","40930","40080"
"In post","2021","Commercial","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Commercial","190","180","42990","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Commercial","860","820","36300","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Commercial","110","100","35430","34090"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Commercial","80","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Commercial","150","140","40040","38240"
"In post","2021","Commercial","The National Archives","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","30","30","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","50","50","41310","39750"
"In post","2021","Communications","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","110","100","49300","45270"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","240","230","37820","33510"
"In post","2021","Communications","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","260","250","41570","37790"
"In post","2021","Communications","Department for International Trade","Communications","90","90","42740","38540"
"In post","2021","Communications","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","No function","50","50","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","110","110","47530","43360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","190","180","43490","38360"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","70","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","90","80","31290","30730"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","90","90","43280","40300"
"In post","2021","Communications","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","130","130","48860","45840"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Communications","30","30","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Communications","30","30","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","Communications","230","220","44420","39200"
"In post","2021","Communications","HM Treasury (excl. agencies)","Communications","30","30","[c]","[c]"
"In post","2021","Communications","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office (incl. agencies)","Unknown","180","170","48630","43880"
"In post","2021","Communications","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Communications","50","50","40790","34270"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Met Office","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Communications","540","520","34600","33300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","100","100","40960","36340"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Communications","90","80","46260","44820"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Communications","30","30","[c]","[c]"
"In post","2021","Communications","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Communications","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","Communications","80","70","47540","42630"
"In post","2021","Communications","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Communications","90","80","37320","36030"
"In post","2021","Communications","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government (excl. agencies)","Unknown","160","150","39140","37410"
"In post","2021","Communications","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","Finance","50","50","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Met Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Public Health England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Counter Fraud","60","60","38850","37630"
"In post","2021","Counter Fraud","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Government Internal Audit Agency","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Home Office (incl. agencies)","Unknown","180","160","26930","25310"
"In post","2021","Counter Fraud","Insolvency Service","Counter Fraud","260","250","39230","39170"
"In post","2021","Counter Fraud","Met Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","Counter Fraud","250","240","45590","40000"
"In post","2021","Counter Fraud","Serious Fraud Office","No function","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","60","60","45550","43750"
"In post","2021","Digital, Data and Technology","Animal and Plant Health Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Companies House","Digital, Data & Technology","260","250","38840","38000"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","Digital, Data & Technology","70","60","56530","54550"
"In post","2021","Digital, Data and Technology","Criminal Injuries Compensation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Commercial Service","Digital, Data & Technology","120","110","41230","35760"
"In post","2021","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Prosecution Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Prosecution Service","Digital, Data & Technology","100","100","40070","38180"
"In post","2021","Digital, Data and Technology","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Debt Management Office","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Electronics and Components Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Project Delivery","320","310","41550","41570"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Property","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Project Delivery","110","110","45640","46080"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","90","90","46440","40220"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Analysis","150","140","44150","42420"
"In post","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Digital, Data & Technology","410","400","39140","36500"
"In post","2021","Digital, Data and Technology","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","670","650","43890","47550"
"In post","2021","Digital, Data and Technology","Department for International Trade","Digital, Data & Technology","120","120","47030","44020"
"In post","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","Digital, Data & Technology","90","90","42010","40080"
"In post","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","170","170","43630","36820"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","Digital, Data & Technology","710","690","40260","39040"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Standards Agency","Digital, Data & Technology","190","190","36190","32180"
"In post","2021","Digital, Data and Technology","Education and Skills Funding Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Education and Skills Funding Agency","Digital, Data & Technology","220","220","39740","36780"
"In post","2021","Digital, Data and Technology","Education and Skills Funding Agency","No function","80","70","32770","29910"
"In post","2021","Digital, Data and Technology","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","FCDO Services","Digital, Data & Technology","120","120","44710","40670"
"In post","2021","Digital, Data and Technology","Food Standards Agency","Digital, Data & Technology","60","60","44630","40350"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","200","190","40910","39190"
"In post","2021","Digital, Data and Technology","Government Internal Audit Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Internal Audit Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Legal Department","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Property Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Health and Safety Executive","Digital, Data & Technology","60","60","39240","33460"
