"Status","Year","Region_ITL2","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Met Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Finance","70","70","43720","37640"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Project Delivery","120","120","42060","39740"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Security","80","80","25050","22650"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Unknown","340","330","34820","32200"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","No function","110","100","38680","37860"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Public Health England","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","Security","100","90","30270","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","Legal","130","120","43640","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Defence Equipment and Support","Project Delivery","130","120","35770","34270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","90","80","41520","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","No function","70","70","43490","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions (excl. agencies)","Unknown","1150","1050","28280","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","No function","90","80","27680","26780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Commercial","70","70","43520","40850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Digital, Data & Technology","110","100","44010","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Finance","50","50","37380","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Human Resources","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Legal","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Project Delivery","60","60","37890","32480"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Property","180","180","35870","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Security","200","190","35640","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","No function","230","220","29870","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","Legal","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","No function","280","250","22030","21180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","No function","2210","2110","30420","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","Security","50","50","40700","40450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Counter Fraud","90","80","32030","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","No function","330","310","30360","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Home Office (incl. agencies)","Unknown","80","70","28450","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Insolvency Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Insolvency Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Insolvency Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Met Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Commercial","90","90","35110","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Communications","60","60","30620","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Finance","180","170","36890","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Human Resources","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Project Delivery","280","270","40460","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Property","130","120","28990","26930"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Security","730","720","33490","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","Unknown","1120","1080","29590","23580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","No function","110","100","39540","39570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","No function","350","310","44580","40030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","Grants Management","160","150","28760","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","UK Space Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Valuation Office Agency","Property","30","30","[c]","[c]"
"In post","2021","Cheshire","Animal and Plant Health Agency","No function","30","30","[c]","[c]"
"In post","2021","Cheshire","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Crown Prosecution Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","80","80","45110","48370"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Work and Pensions (excl. agencies)","Unknown","940","850","25480","27570"
"In post","2021","Cheshire","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Health and Safety Executive","No function","30","30","[c]","[c]"
"In post","2021","Cheshire","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Courts and Tribunals Service","No function","100","90","21710","20100"
"In post","2021","Cheshire","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Prison and Probation Service","No function","1080","1020","28990","26850"
"In post","2021","Cheshire","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","60","50","37700","34100"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Human Resources","40","40","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","No function","1060","1040","35780","34440"
"In post","2021","Cheshire","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Rural Payments Agency","Grants Management","100","90","24740","24920"
"In post","2021","Cheshire","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
