"Status","Year","Ethnicity","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Shropshire and Staffordshire","250","240","32790","27570"
"In post","2021","Asian","Heterosexual / straight","South Yorkshire","360","340","28100","25000"
"In post","2021","Asian","Heterosexual / straight","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Surrey, East and West Sussex","270","250","29720","27880"
"In post","2021","Asian","Heterosexual / straight","Tees Valley and Durham","90","80","27220","24880"
"In post","2021","Asian","Heterosexual / straight","Unknown","130","120","30270","27570"
"In post","2021","Asian","Heterosexual / straight","West Central Scotland","190","180","29090","25560"
"In post","2021","Asian","Heterosexual / straight","West Midlands","2830","2660","27570","25710"
"In post","2021","Asian","Heterosexual / straight","West Wales and The Valleys","80","80","28430","21590"
"In post","2021","Asian","Heterosexual / straight","West Yorkshire","1390","1290","28210","27570"
"In post","2021","Asian","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Inner London - East","50","50","35610","31550"
"In post","2021","Asian","LGBO","Inner London - West","170","160","42650","36650"
"In post","2021","Asian","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Outer London - West and North West","50","40","[c]","[c]"
"In post","2021","Asian","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","West Midlands","60","50","27790","25560"
"In post","2021","Asian","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Bedfordshire and Hertfordshire","40","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Greater Manchester","70","60","25060","25340"
"In post","2021","Asian","Undeclared","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Inner London - East","140","130","36760","31880"
"In post","2021","Asian","Undeclared","Inner London - West","280","270","39230","35060"
"In post","2021","Asian","Undeclared","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Lancashire","50","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Leicestershire, Rutland and Northamptonshire","60","50","24620","21440"
"In post","2021","Asian","Undeclared","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Outer London - East and North East","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Outer London - South","150","130","31420","29250"
"In post","2021","Asian","Undeclared","Outer London - West and North West","220","190","29390","29070"
"In post","2021","Asian","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","West Midlands","170","160","25530","25400"
"In post","2021","Asian","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","West Yorkshire","90","80","26010","25310"
"In post","2021","Asian","Unknown","Bedfordshire and Hertfordshire","60","50","32350","28920"
"In post","2021","Asian","Unknown","Berkshire, Buckinghamshire and Oxfordshire","60","50","29930","27570"
"In post","2021","Asian","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Derbyshire and Nottinghamshire","90","80","28470","27130"
"In post","2021","Asian","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","East Wales","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","Greater Manchester","140","120","27910","25560"
"In post","2021","Asian","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Inner London - East","420","380","36980","31880"
"In post","2021","Asian","Unknown","Inner London - West","400","380","41340","36180"
"In post","2021","Asian","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Lancashire","160","140","23930","21010"
"In post","2021","Asian","Unknown","Leicestershire, Rutland and Northamptonshire","170","140","24830","21950"
"In post","2021","Asian","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Northumberland and Tyne and Wear","40","30","[c]","[c]"
"In post","2021","Asian","Unknown","Outer London - East and North East","130","110","28950","30330"
"In post","2021","Asian","Unknown","Outer London - South","90","80","32770","31060"
"In post","2021","Asian","Unknown","Outer London - West and North West","240","210","34430","31060"
"In post","2021","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","West Midlands","520","460","28070","26880"
"In post","2021","Asian","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","West Yorkshire","290","250","26710","25560"
"In post","2021","Black","Heterosexual / straight","Bedfordshire and Hertfordshire","190","180","31120","29290"
"In post","2021","Black","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","240","240","30570","29120"
"In post","2021","Black","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Derbyshire and Nottinghamshire","250","240","26840","25560"
"In post","2021","Black","Heterosexual / straight","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","East Anglia","100","90","31760","27570"
"In post","2021","Black","Heterosexual / straight","East Wales","130","130","29500","27160"
"In post","2021","Black","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Eastern Scotland","70","70","32090","27990"
"In post","2021","Black","Heterosexual / straight","Essex","210","200","29390","29290"
"In post","2021","Black","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","450","440","32790","31370"
"In post","2021","Black","Heterosexual / straight","Greater Manchester","430","420","28770","27570"
"In post","2021","Black","Heterosexual / straight","Hampshire and Isle of Wight","150","140","28710","26670"
"In post","2021","Black","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","50","50","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Inner London - East","1880","1820","33410","31060"
"In post","2021","Black","Heterosexual / straight","Inner London - West","3660","3580","37130","33570"
"In post","2021","Black","Heterosexual / straight","Kent","160","160","31300","29290"
"In post","2021","Black","Heterosexual / straight","Lancashire","40","40","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","150","140","26540","24720"
"In post","2021","Black","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Merseyside","90","90","28510","25040"
"In post","2021","Black","Heterosexual / straight","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Northumberland and Tyne and Wear","100","90","26970","24910"
"In post","2021","Black","Heterosexual / straight","Outer London - East and North East","520","510","30800","31060"
"In post","2021","Black","Heterosexual / straight","Outer London - South","1400","1340","33160","30440"
"In post","2021","Black","Heterosexual / straight","Outer London - West and North West","740","710","31000","31060"
"In post","2021","Black","Heterosexual / straight","Overseas","60","60","42250","37500"
"In post","2021","Black","Heterosexual / straight","Shropshire and Staffordshire","90","90","28800","27570"
"In post","2021","Black","Heterosexual / straight","South Yorkshire","130","120","27350","25000"
"In post","2021","Black","Heterosexual / straight","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Surrey, East and West Sussex","190","180","30830","28960"
"In post","2021","Black","Heterosexual / straight","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Unknown","50","40","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","West Central Scotland","90","80","28430","27570"
"In post","2021","Black","Heterosexual / straight","West Midlands","820","780","28650","27370"
"In post","2021","Black","Heterosexual / straight","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","West Yorkshire","280","260","28810","27570"
"In post","2021","Black","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Inner London - East","50","50","38270","31060"
"In post","2021","Black","LGBO","Inner London - West","110","110","38930","34550"
"In post","2021","Black","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Inner London - East","170","160","34570","31060"
"In post","2021","Black","Undeclared","Inner London - West","220","210","35100","31120"
"In post","2021","Black","Undeclared","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Outer London - South","80","80","30970","29630"
"In post","2021","Black","Undeclared","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Black","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","West Midlands","60","50","25330","25280"
"In post","2021","Black","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Greater Manchester","50","40","[c]","[c]"
"In post","2021","Black","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Inner London - East","440","410","32800","31060"
"In post","2021","Black","Unknown","Inner London - West","350","330","35860","31880"
"In post","2021","Black","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Outer London - East and North East","90","80","30780","31060"
"In post","2021","Black","Unknown","Outer London - South","80","70","32230","31060"
"In post","2021","Black","Unknown","Outer London - West and North West","80","80","33410","31060"
"In post","2021","Black","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","West Midlands","140","120","28050","26000"
"In post","2021","Black","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
