"Status","Year","Parent_department","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Government Actuary's Department","130","120","75230","71620"
"In post","2021","Chancellor's other departments","White","National Savings and Investments","140","130","52080","45620"
"In post","2021","Charity Commission","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Charity Commission","90","80","36320","29380"
"In post","2021","Charity Commission","White","Charity Commission","330","310","34330","29160"
"In post","2021","Competition and Markets Authority","Asian","Competition and Markets Authority","110","100","46180","37680"
"In post","2021","Competition and Markets Authority","Black","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Competition and Markets Authority","60","50","78040","78240"
"In post","2021","Competition and Markets Authority","White","Competition and Markets Authority","570","550","63720","59520"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","450","440","43970","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Insolvency Service","140","130","28880","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Advisory, Conciliation and Arbitration Service","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","270","270","40950","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Insolvency Service","60","60","29990","25120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","190","47240","45150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Met Office","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","50","49250","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Companies House","80","70","30230","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","250","240","52470","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Met Office","120","110","40110","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","UK Intellectual Property Office","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","UK Space Agency","80","80","46470","49100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Advisory, Conciliation and Arbitration Service","290","280","29090","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Companies House","90","90","29430","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","600","580","45270","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Insolvency Service","630","600","29350","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Met Office","260","250","39400","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","UK Intellectual Property Office","430","420","34170","27050"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Advisory, Conciliation and Arbitration Service","660","600","34680","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Companies House","870","800","31140","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Department for Business, Energy and Industrial Strategy (excl. agencies)","3470","3380","50660","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Insolvency Service","920","870","35420","33890"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Met Office","1640","1570","40330","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","UK Intellectual Property Office","980","920","39140","39040"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","UK Space Agency","140","140","48290","49080"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Department for Digital, Culture, Media and Sport","130","120","46630","42110"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Department for Digital, Culture, Media and Sport","90","90","40910","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Department for Digital, Culture, Media and Sport","90","80","45610","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Department for Digital, Culture, Media and Sport","190","190","47600","45080"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Department for Digital, Culture, Media and Sport","1220","1200","50460","51730"
"In post","2021","Department for Education","Asian","Department for Education (excl. agencies)","460","450","40190","36500"
"In post","2021","Department for Education","Asian","Education and Skills Funding Agency","200","200","39390","36960"
"In post","2021","Department for Education","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Department for Education (excl. agencies)","230","220","40140","36780"
"In post","2021","Department for Education","Black","Education and Skills Funding Agency","50","50","[c]","[c]"
"In post","2021","Department for Education","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Department for Education (excl. agencies)","150","150","42210","40230"
"In post","2021","Department for Education","Mixed","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Department for Education (excl. agencies)","200","190","44490","40940"
"In post","2021","Department for Education","Undeclared","Education and Skills Funding Agency","60","60","39600","36780"
"In post","2021","Department for Education","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Department for Education (excl. agencies)","690","660","43110","39020"
"In post","2021","Department for Education","Unknown","Education and Skills Funding Agency","170","170","41550","36870"
"In post","2021","Department for Education","Unknown","Institute for Apprenticeships and Technical Education","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","White","Department for Education (excl. agencies)","3900","3750","45400","41990"
"In post","2021","Department for Education","White","Education and Skills Funding Agency","1280","1240","42580","37100"
"In post","2021","Department for Education","White","Institute for Apprenticeships and Technical Education","120","120","51370","50590"
"In post","2021","Department for Education","White","Standards and Testing Agency","90","80","45080","42220"
"In post","2021","Department for Education","White","Teaching Regulation Agency","50","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Animal and Plant Health Agency","60","50","27980","26530"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","250","240","39120","35260"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Rural Payments Agency","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","180","180","36240","33010"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","41200","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Animal and Plant Health Agency","160","150","32570","29890"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","180","170","42010","39420"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Rural Payments Agency","100","90","28430","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Animal and Plant Health Agency","240","210","29620","25520"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","860","820","43330","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Rural Payments Agency","750","720","24910","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Animal and Plant Health Agency","2160","2040","30650","27860"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Centre for Environment, Fisheries and Aquaculture Science","560","530","34030","29750"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Department for Environment, Food and Rural Affairs (excl. agencies)","3770","3630","42850","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Rural Payments Agency","1270","1130","27500","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Veterinary Medicines Directorate","120","120","43120","39510"
"In post","2021","Department for International Trade","Asian","Department for International Trade","210","210","42710","38540"
"In post","2021","Department for International Trade","Black","Department for International Trade","130","130","38750","35560"
"In post","2021","Department for International Trade","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Department for International Trade","100","100","46460","43600"
"In post","2021","Department for International Trade","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Department for International Trade","70","70","44750","39670"
"In post","2021","Department for International Trade","Unknown","Department for International Trade","780","780","44520","38540"
"In post","2021","Department for International Trade","White","Department for International Trade","1350","1330","47780","48220"
"In post","2021","Department for Transport","Asian","Department for Transport (excl. agencies)","290","290","44820","42470"
"In post","2021","Department for Transport","Asian","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"In post","2021","Department for Transport","Asian","Driver and Vehicle Standards Agency","110","110","29400","30470"
"In post","2021","Department for Transport","Asian","Maritime and Coastguard Agency","60","60","48570","50930"
"In post","2021","Department for Transport","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Department for Transport (excl. agencies)","170","170","39460","36160"
"In post","2021","Department for Transport","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Driver and Vehicle Standards Agency","50","50","31590","30780"
"In post","2021","Department for Transport","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Department for Transport (excl. agencies)","110","100","41410","35700"
"In post","2021","Department for Transport","Mixed","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Department for Transport (excl. agencies)","160","150","49280","44480"
"In post","2021","Department for Transport","Undeclared","Driver and Vehicle Licensing Agency","230","220","28710","25390"
"In post","2021","Department for Transport","Undeclared","Driver and Vehicle Standards Agency","550","530","29500","27680"
"In post","2021","Department for Transport","Undeclared","Maritime and Coastguard Agency","110","100","37410","34940"
"In post","2021","Department for Transport","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Department for Transport (excl. agencies)","700","680","43230","39040"
"In post","2021","Department for Transport","Unknown","Driver and Vehicle Licensing Agency","690","620","25470","21590"
"In post","2021","Department for Transport","Unknown","Driver and Vehicle Standards Agency","790","770","28230","26700"
"In post","2021","Department for Transport","Unknown","Maritime and Coastguard Agency","120","120","30340","26590"
"In post","2021","Department for Transport","Unknown","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","White","Department for Transport (excl. agencies)","2040","1980","50740","48770"
"In post","2021","Department for Transport","White","Driver and Vehicle Licensing Agency","5190","4550","26040","21590"
"In post","2021","Department for Transport","White","Driver and Vehicle Standards Agency","3220","3000","30010","26780"
"In post","2021","Department for Transport","White","Maritime and Coastguard Agency","910","870","37190","33350"
"In post","2021","Department for Transport","White","Vehicle Certification Agency","170","160","35940","34290"
"In post","2021","Department for Work and Pensions","Asian","Department for Work and Pensions (excl. agencies)","7340","6620","27750","27570"
"In post","2021","Department for Work and Pensions","Asian","Health and Safety Executive","60","50","49050","43770"
"In post","2021","Department for Work and Pensions","Black","Department for Work and Pensions (excl. agencies)","3860","3650","29100","30010"
