"Status","Year","Responsibility_level","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SCS","Human Resources","Female","150","150","88780","81870"
"In post","2021","SCS","Human Resources","Male","70","70","90030","83350"
"In post","2021","SCS","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Female","250","230","87610","82500"
"In post","2021","SCS","Legal","Male","220","210","90250","83830"
"In post","2021","SCS","No function","Female","1450","1350","88830","79790"
"In post","2021","SCS","No function","Male","1510","1470","92070","83110"
"In post","2021","SCS","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Project Delivery","Female","310","290","87850","79720"
"In post","2021","SCS","Project Delivery","Male","390","380","94440","85610"
"In post","2021","SCS","Property","Female","30","30","[c]","[c]"
"In post","2021","SCS","Property","Male","60","60","98700","93050"
"In post","2021","SCS","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Security","Male","30","30","[c]","[c]"
"In post","2021","SCS","Unknown","Female","630","600","88140","82460"
"In post","2021","SCS","Unknown","Male","710","700","91790","83230"
"In post","2021","SEO/HEO","Analysis","Female","1700","1610","35740","36030"
"In post","2021","SEO/HEO","Analysis","Male","1970","1940","35970","36030"
"In post","2021","SEO/HEO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Commercial","Female","1570","1510","37360","36910"
"In post","2021","SEO/HEO","Commercial","Male","1460","1440","39140","38630"
"In post","2021","SEO/HEO","Communications","Female","1780","1710","36010","34770"
"In post","2021","SEO/HEO","Communications","Male","1520","1510","35470","33300"
"In post","2021","SEO/HEO","Counter Fraud","Female","1870","1740","34780","32520"
"In post","2021","SEO/HEO","Counter Fraud","Male","2340","2270","35540","35000"
"In post","2021","SEO/HEO","Debt","Female","140","130","33980","31810"
"In post","2021","SEO/HEO","Debt","Male","110","100","35320","35000"
"In post","2021","SEO/HEO","Digital, Data & Technology","Female","2490","2360","36400","36160"
"In post","2021","SEO/HEO","Digital, Data & Technology","Male","4340","4270","37720","37910"
"In post","2021","SEO/HEO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Finance","Female","2090","1990","36950","36520"
"In post","2021","SEO/HEO","Finance","Male","1730","1710","37790","37600"
"In post","2021","SEO/HEO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Grants Management","Female","180","160","32440","30780"
"In post","2021","SEO/HEO","Grants Management","Male","150","150","33080","31640"
"In post","2021","SEO/HEO","Human Resources","Female","2660","2510","36160","35290"
"In post","2021","SEO/HEO","Human Resources","Male","1200","1170","36900","36320"
"In post","2021","SEO/HEO","Internal Audit","Female","250","230","39940","39980"
"In post","2021","SEO/HEO","Internal Audit","Male","210","210","41260","40660"
"In post","2021","SEO/HEO","Legal","Female","2200","2020","38570","38000"
"In post","2021","SEO/HEO","Legal","Male","1120","1090","38440","37940"
"In post","2021","SEO/HEO","No function","Female","23530","22310","35970","34690"
"In post","2021","SEO/HEO","No function","Male","21720","21100","37390","36360"
"In post","2021","SEO/HEO","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Project Delivery","Female","6080","5760","35640","35100"
"In post","2021","SEO/HEO","Project Delivery","Male","7670","7520","36910","37370"
"In post","2021","SEO/HEO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Property","Female","1440","1360","36460","35300"
"In post","2021","SEO/HEO","Property","Male","2180","2120","37830","37000"
"In post","2021","SEO/HEO","Security","Female","600","590","37600","35900"
"In post","2021","SEO/HEO","Security","Male","980","960","40520","37320"
"In post","2021","SEO/HEO","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Female","17370","16330","36680","35310"
"In post","2021","SEO/HEO","Unknown","Male","14340","14030","37390","36460"
"In post","2021","Unknown","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Female","110","110","37840","34500"
"In post","2021","Unknown","Commercial","Male","130","130","44000","40590"
"In post","2021","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Male","80","80","37430","37200"
"In post","2021","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Female","170","160","35190","32580"
"In post","2021","Unknown","Human Resources","Male","70","70","43930","34850"
"In post","2021","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","Female","9290","8480","29630","28200"
"In post","2021","Unknown","No function","Male","2720","2610","30740","30210"
"In post","2021","Unknown","Project Delivery","Female","300","290","39210","37210"
"In post","2021","Unknown","Project Delivery","Male","1060","1040","43190","41270"
"In post","2021","Unknown","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Male","30","30","[c]","[c]"
"In post","2021","Unknown","Security","Female","40","40","[c]","[c]"
"In post","2021","Unknown","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","350","340","35660","35380"
"In post","2021","Unknown","Unknown","Male","2120","2120","38010","34460"
"In post","2022","AA/AO","Analysis","Female","140","130","21850","21510"
"In post","2022","AA/AO","Analysis","Male","130","120","21730","21260"
"In post","2022","AA/AO","Commercial","Female","150","130","22640","21840"
"In post","2022","AA/AO","Commercial","Male","150","140","22520","21660"
"In post","2022","AA/AO","Communications","Female","270","240","21810","21250"
"In post","2022","AA/AO","Communications","Male","220","210","21830","21250"
"In post","2022","AA/AO","Counter Fraud","Female","1750","1430","22380","21260"
"In post","2022","AA/AO","Counter Fraud","Male","1010","970","22240","21260"
"In post","2022","AA/AO","Debt","Female","3200","2670","21680","21260"
"In post","2022","AA/AO","Debt","Male","1980","1890","21580","21250"
"In post","2022","AA/AO","Digital, Data & Technology","Female","450","430","21810","21380"
"In post","2022","AA/AO","Digital, Data & Technology","Male","490","490","21950","21380"
"In post","2022","AA/AO","Finance","Female","1130","910","21830","21260"
"In post","2022","AA/AO","Finance","Male","590","550","21680","21250"
"In post","2022","AA/AO","Grants Management","Female","750","650","21280","21300"
"In post","2022","AA/AO","Grants Management","Male","530","510","21270","21300"
"In post","2022","AA/AO","Human Resources","Female","1180","1040","21760","21330"
"In post","2022","AA/AO","Human Resources","Male","460","440","21600","21250"
"In post","2022","AA/AO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Legal","Female","1160","1040","22750","22200"
"In post","2022","AA/AO","Legal","Male","470","460","22830","22200"
"In post","2022","AA/AO","No function","Female","54090","46180","22290","21260"
"In post","2022","AA/AO","No function","Male","39690","37730","24050","21840"
"In post","2022","AA/AO","Project Delivery","Female","450","370","22050","21300"
"In post","2022","AA/AO","Project Delivery","Male","190","180","21970","21260"
"In post","2022","AA/AO","Property","Female","900","800","21530","22010"
"In post","2022","AA/AO","Property","Male","940","920","21450","21750"
"In post","2022","AA/AO","Security","Female","940","890","24840","21280"
"In post","2022","AA/AO","Security","Male","4720","4620","27340","23540"
"In post","2022","AA/AO","Unknown","Female","10990","9850","22220","21680"
"In post","2022","AA/AO","Unknown","Male","8050","7790","22160","21680"
"In post","2022","EO","Analysis","Female","450","420","26750","26350"
"In post","2022","EO","Analysis","Male","420","410","26930","26590"
"In post","2022","EO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Commercial","Female","470","440","26540","26350"
"In post","2022","EO","Commercial","Male","300","290","26850","26660"
"In post","2022","EO","Communications","Female","1580","1500","26970","26820"
"In post","2022","EO","Communications","Male","1660","1640","26910","26820"
"In post","2022","EO","Counter Fraud","Female","4030","3590","28130","27570"
"In post","2022","EO","Counter Fraud","Male","3160","3010","28170","27570"
"In post","2022","EO","Debt","Female","720","630","27830","27570"
"In post","2022","EO","Debt","Male","500","470","27790","27570"
"In post","2022","EO","Digital, Data & Technology","Female","1410","1310","27390","26900"
"In post","2022","EO","Digital, Data & Technology","Male","2390","2330","27760","27570"
"In post","2022","EO","Finance","Female","1310","1210","26950","26780"
"In post","2022","EO","Finance","Male","790","780","26760","26820"
"In post","2022","EO","Grants Management","Female","370","330","25430","25190"
"In post","2022","EO","Grants Management","Male","230","230","25450","25190"
"In post","2022","EO","Human Resources","Female","1760","1620","27150","26930"
"In post","2022","EO","Human Resources","Male","830","810","27580","27570"
"In post","2022","EO","Internal Audit","Female","40","30","[c]","[c]"
"In post","2022","EO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","EO","Legal","Female","1520","1390","27980","27710"
"In post","2022","EO","Legal","Male","610","600","28080","27570"
"In post","2022","EO","No function","Female","46370","41480","28060","27570"
"In post","2022","EO","No function","Male","30440","29320","28870","27570"
"In post","2022","EO","Project Delivery","Female","1680","1540","25500","26160"
"In post","2022","EO","Project Delivery","Male","1760","1710","24250","25270"
"In post","2022","EO","Property","Female","940","860","26940","26880"
"In post","2022","EO","Property","Male","970","950","26610","26670"
"In post","2022","EO","Security","Female","560","530","28430","26670"
"In post","2022","EO","Security","Male","950","930","33720","29430"
"In post","2022","EO","Unknown","Female","11690","10720","27360","27230"
"In post","2022","EO","Unknown","Male","11380","10920","27620","27230"
"In post","2022","G6/G7","Analysis","Female","1230","1130","58480","55840"
"In post","2022","G6/G7","Analysis","Male","1580","1550","59370","57030"
"In post","2022","G6/G7","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Commercial","Female","1070","1040","60400","57710"
"In post","2022","G6/G7","Commercial","Male","1180","1170","62580","61710"
"In post","2022","G6/G7","Communications","Female","740","710","58560","56370"
"In post","2022","G6/G7","Communications","Male","460","460","58760","56360"
"In post","2022","G6/G7","Counter Fraud","Female","480","460","58590","55210"
"In post","2022","G6/G7","Counter Fraud","Male","830","810","60080","57990"
"In post","2022","G6/G7","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Digital, Data & Technology","Female","2140","2060","56480","54700"
"In post","2022","G6/G7","Digital, Data & Technology","Male","3870","3820","58450","56190"
"In post","2022","G6/G7","Finance","Female","1340","1290","57730","55980"
"In post","2022","G6/G7","Finance","Male","1430","1410","58920","57450"
"In post","2022","G6/G7","Grants Management","Female","40","30","[c]","[c]"
"In post","2022","G6/G7","Grants Management","Male","30","30","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Female","1600","1530","57360","55210"
"In post","2022","G6/G7","Human Resources","Male","750","740","58400","56760"
"In post","2022","G6/G7","Internal Audit","Female","100","90","58430","55230"
"In post","2022","G6/G7","Internal Audit","Male","110","110","58810","58950"
"In post","2022","G6/G7","Legal","Female","3750","3380","58870","56650"
"In post","2022","G6/G7","Legal","Male","2250","2170","60330","58970"
"In post","2022","G6/G7","No function","Female","12190","11660","57980","55210"
"In post","2022","G6/G7","No function","Male","12480","12220","58980","56380"
"In post","2022","G6/G7","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Female","3160","3030","57510","55210"
"In post","2022","G6/G7","Project Delivery","Male","4090","4010","58510","55860"
"In post","2022","G6/G7","Property","Female","620","600","57070","55210"
"In post","2022","G6/G7","Property","Male","1110","1090","59170","58090"
"In post","2022","G6/G7","Security","Female","210","210","58360","56730"
"In post","2022","G6/G7","Security","Male","390","390","59820","58550"
"In post","2022","G6/G7","Unknown","Female","5260","4970","61820","61440"
"In post","2022","G6/G7","Unknown","Male","4930","4840","62490","61440"
"In post","2022","SCS","Analysis","Female","80","80","85190","79590"
"In post","2022","SCS","Analysis","Male","110","110","92290","81460"
"In post","2022","SCS","Commercial","Female","130","120","102950","96340"
"In post","2022","SCS","Commercial","Male","210","210","115430","113870"
"In post","2022","SCS","Communications","Female","70","70","88820","83110"
"In post","2022","SCS","Communications","Male","70","70","95760","87750"
"In post","2022","SCS","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Female","110","110","88340","79860"
"In post","2022","SCS","Digital, Data & Technology","Male","220","220","94460","90000"
"In post","2022","SCS","Finance","Female","120","110","85720","79810"
"In post","2022","SCS","Finance","Male","190","190","88420","80290"
"In post","2022","SCS","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Female","170","170","86920","79750"
"In post","2022","SCS","Human Resources","Male","90","90","86510","78150"
"In post","2022","SCS","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Female","250","240","86800","82500"
"In post","2022","SCS","Legal","Male","210","210","89170","83350"
"In post","2022","SCS","No function","Female","1650","1560","88220","79890"
"In post","2022","SCS","No function","Male","1680","1640","91430","83040"
"In post","2022","SCS","Project Delivery","Female","280","270","87700","79720"
"In post","2022","SCS","Project Delivery","Male","320","320","96560","87290"
"In post","2022","SCS","Property","Female","40","40","[c]","[c]"
"In post","2022","SCS","Property","Male","80","80","95920","92790"
"In post","2022","SCS","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Male","50","50","[c]","[c]"
"In post","2022","SCS","Unknown","Female","460","440","87360","81570"
"In post","2022","SCS","Unknown","Male","560","540","91350","83230"
"In post","2022","SEO/HEO","Analysis","Female","2070","1980","36180","36580"
"In post","2022","SEO/HEO","Analysis","Male","2240","2210","36350","36640"
"In post","2022","SEO/HEO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Female","1530","1460","36910","36820"
"In post","2022","SEO/HEO","Commercial","Male","1290","1280","37800","38320"
"In post","2022","SEO/HEO","Communications","Female","1900","1820","36710","34710"
"In post","2022","SEO/HEO","Communications","Male","1560","1550","36390","33370"
"In post","2022","SEO/HEO","Counter Fraud","Female","2710","2540","36020","33680"
"In post","2022","SEO/HEO","Counter Fraud","Male","3000","2910","36610","35310"
"In post","2022","SEO/HEO","Debt","Female","230","200","34750","33370"
"In post","2022","SEO/HEO","Debt","Male","140","130","36110","33370"
"In post","2022","SEO/HEO","Digital, Data & Technology","Female","4120","3930","36620","36050"
"In post","2022","SEO/HEO","Digital, Data & Technology","Male","6790","6680","37910","37420"
"In post","2022","SEO/HEO","Finance","Female","2950","2800","36850","36500"
"In post","2022","SEO/HEO","Finance","Male","2480","2430","37670","36840"
"In post","2022","SEO/HEO","Grants Management","Female","190","170","32360","30640"
"In post","2022","SEO/HEO","Grants Management","Male","170","160","32850","31360"
"In post","2022","SEO/HEO","Human Resources","Female","3340","3160","36020","35260"
"In post","2022","SEO/HEO","Human Resources","Male","1510","1480","36800","36320"
"In post","2022","SEO/HEO","Internal Audit","Female","250","240","40370","40180"
"In post","2022","SEO/HEO","Internal Audit","Male","200","190","41010","40660"
"In post","2022","SEO/HEO","Legal","Female","1390","1310","39610","38180"
"In post","2022","SEO/HEO","Legal","Male","800","790","39270","38000"
"In post","2022","SEO/HEO","No function","Female","30880","29300","36370","34770"
"In post","2022","SEO/HEO","No function","Male","25860","25190","37560","36480"
"In post","2022","SEO/HEO","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Project Delivery","Female","5840","5490","36140","36000"
"In post","2022","SEO/HEO","Project Delivery","Male","7210","7040","37190","37830"
"In post","2022","SEO/HEO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Property","Female","1630","1550","36840","35340"
"In post","2022","SEO/HEO","Property","Male","2270","2210","38120","37210"
"In post","2022","SEO/HEO","Security","Female","980","950","37450","36140"
"In post","2022","SEO/HEO","Security","Male","1690","1660","39690","37660"
"In post","2022","SEO/HEO","Unknown","Female","12850","12210","37930","37450"
"In post","2022","SEO/HEO","Unknown","Male","11450","11260","38320","37460"
"In post","2022","Unknown","Commercial","Female","80","70","37500","37280"
"In post","2022","Unknown","Commercial","Male","90","90","42140","39860"
"In post","2022","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Male","50","50","[c]","[c]"
"In post","2022","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","Female","14490","13330","29760","28200"
"In post","2022","Unknown","No function","Male","4710","4440","31140","28200"
"In post","2022","Unknown","Project Delivery","Female","450","420","37180","34000"
"In post","2022","Unknown","Project Delivery","Male","1170","1150","42550","40760"
"In post","2022","Unknown","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Male","40","40","[c]","[c]"
"In post","2022","Unknown","Security","Female","50","50","[c]","[c]"
"In post","2022","Unknown","Security","Male","140","140","31800","28280"
"In post","2022","Unknown","Unknown","Female","280","280","32910","32400"
"In post","2022","Unknown","Unknown","Male","1780","1780","37960","34460"
"Leaver CS","2021","AA/AO","Analysis","Female","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Analysis","Male","60","60","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data & Technology","Male","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Female","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","Female","90","80","22300","22820"
"Leaver CS","2021","AA/AO","Legal","Male","60","60","21770","21000"
"Leaver CS","2021","AA/AO","No function","Female","2540","2230","20340","20100"
"Leaver CS","2021","AA/AO","No function","Male","2580","2380","20650","20170"
"Leaver CS","2021","AA/AO","No function","Unknown","[c]","[c]","[c]","[c]"
