"Status","Year","Parent_department","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Legal","70","60","38660","28430"
"In post","2021","Attorney General's Departments","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Legal","180","170","41280","35020"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","200","180","43610","48450"
"In post","2021","Attorney General's Departments","Greater Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Legal","360","330","41310","38000"
"In post","2021","Attorney General's Departments","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Legal","250","230","42960","40000"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Communications","70","70","44370","39750"
"In post","2021","Attorney General's Departments","Inner London - West","Counter Fraud","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Inner London - West","Digital, Data & Technology","90","90","41730","35290"
"In post","2021","Attorney General's Departments","Inner London - West","Finance","80","70","43360","33930"
"In post","2021","Attorney General's Departments","Inner London - West","Human Resources","110","110","41340","35010"
"In post","2021","Attorney General's Departments","Inner London - West","Legal","3730","3490","51820","51830"
"In post","2021","Attorney General's Departments","Inner London - West","No function","90","80","41110","38450"
"In post","2021","Attorney General's Departments","Inner London - West","Project Delivery","40","40","[c]","[c]"
