"Status","Year","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barking & Dagenham and Havering","Male","Unknown","60","50","31730","31060"
"In post","2021","Barnet","Female","Heterosexual / straight","720","670","36600","32330"
"In post","2021","Barnet","Female","LGBO","40","30","[c]","[c]"
"In post","2021","Barnet","Female","Undeclared","80","70","36630","32330"
"In post","2021","Barnet","Female","Unknown","230","200","44810","36650"
"In post","2021","Barnet","Male","Heterosexual / straight","410","400","39790","33350"
"In post","2021","Barnet","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Barnet","Male","Undeclared","70","60","47670","41960"
"In post","2021","Barnet","Male","Unknown","110","110","48860","44950"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Heterosexual / straight","1280","1090","26380","26300"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","LGBO","80","70","29310","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Undeclared","130","110","26320","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Unknown","360","300","24570","22920"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Heterosexual / straight","760","730","28980","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","LGBO","50","50","27160","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Undeclared","110","100","30910","30140"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Unknown","240","220","27630","27150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Heterosexual / straight","4160","3860","34650","32660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","LGBO","190","180","31110","28210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Undeclared","580","530","36560","33740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","440","410","34310","31620"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Heterosexual / straight","6140","6040","40040","38260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","LGBO","240","230","34400","31950"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Undeclared","950","920","42360","40590"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Unknown","670","660","35860","32440"
"In post","2021","Bedford","Female","Heterosexual / straight","320","300","28840","27570"
"In post","2021","Bedford","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Bedford","Female","Unknown","80","70","28010","27570"
"In post","2021","Bedford","Male","Heterosexual / straight","250","240","32910","30400"
"In post","2021","Bedford","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Bedford","Male","Unknown","70","70","28730","27850"
"In post","2021","Belfast","Female","Heterosexual / straight","960","860","29870","26730"
"In post","2021","Belfast","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Belfast","Female","Undeclared","60","60","28560","25560"
"In post","2021","Belfast","Female","Unknown","380","330","26150","21440"
"In post","2021","Belfast","Male","Heterosexual / straight","840","810","30340","25830"
"In post","2021","Belfast","Male","LGBO","50","40","[c]","[c]"
"In post","2021","Belfast","Male","Undeclared","90","90","29450","26500"
"In post","2021","Belfast","Male","Unknown","400","390","26470","24880"
"In post","2021","Berkshire","Female","Heterosexual / straight","910","850","32780","29290"
"In post","2021","Berkshire","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Berkshire","Female","Undeclared","120","110","33620","29290"
"In post","2021","Berkshire","Female","Unknown","290","260","32660","29460"
"In post","2021","Berkshire","Male","Heterosexual / straight","1050","1030","36000","33300"
"In post","2021","Berkshire","Male","LGBO","60","60","36040","29290"
"In post","2021","Berkshire","Male","Undeclared","150","150","36470","38360"
"In post","2021","Berkshire","Male","Unknown","340","330","34920","30990"
"In post","2021","Bexley and Greenwich","Female","Heterosexual / straight","610","570","30650","31060"
"In post","2021","Bexley and Greenwich","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Undeclared","70","70","30320","30780"
"In post","2021","Bexley and Greenwich","Female","Unknown","200","180","29590","30150"
"In post","2021","Bexley and Greenwich","Male","Heterosexual / straight","530","520","33580","33180"
"In post","2021","Bexley and Greenwich","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Undeclared","80","70","34990","34750"
"In post","2021","Bexley and Greenwich","Male","Unknown","210","200","31910","32600"
"In post","2021","Birmingham","Female","Heterosexual / straight","4240","3840","30850","27570"
"In post","2021","Birmingham","Female","LGBO","180","170","31180","27570"
"In post","2021","Birmingham","Female","Undeclared","530","470","30330","26900"
"In post","2021","Birmingham","Female","Unknown","1640","1460","28540","25560"
"In post","2021","Birmingham","Male","Heterosexual / straight","3110","3030","32830","27570"
"In post","2021","Birmingham","Male","LGBO","180","180","31840","27570"
"In post","2021","Birmingham","Male","Undeclared","390","380","32790","27570"
"In post","2021","Birmingham","Male","Unknown","1310","1270","31340","27570"
"In post","2021","Blackburn with Darwen","Female","Heterosexual / straight","220","190","26990","27570"
"In post","2021","Blackburn with Darwen","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Unknown","60","50","24100","21010"
"In post","2021","Blackburn with Darwen","Male","Heterosexual / straight","130","120","27250","27570"
"In post","2021","Blackburn with Darwen","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Unknown","50","50","27230","27570"
"In post","2021","Blackpool","Female","Heterosexual / straight","2100","1860","28560","27570"
"In post","2021","Blackpool","Female","LGBO","90","90","26970","27570"
"In post","2021","Blackpool","Female","Undeclared","220","200","29300","27570"
"In post","2021","Blackpool","Female","Unknown","800","690","27780","27570"
"In post","2021","Blackpool","Male","Heterosexual / straight","1180","1150","30250","27570"
"In post","2021","Blackpool","Male","LGBO","90","90","26580","27570"
"In post","2021","Blackpool","Male","Undeclared","150","140","29410","27570"
"In post","2021","Blackpool","Male","Unknown","500","480","30980","27570"
"In post","2021","Bournemouth and Poole","Female","Heterosexual / straight","300","260","26900","27570"
"In post","2021","Bournemouth and Poole","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Undeclared","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Unknown","70","50","27340","27570"
"In post","2021","Bournemouth and Poole","Male","Heterosexual / straight","210","200","26360","26780"
"In post","2021","Bournemouth and Poole","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Unknown","40","30","[c]","[c]"
"In post","2021","Bradford","Female","Heterosexual / straight","1110","950","27920","25560"
"In post","2021","Bradford","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Bradford","Female","Undeclared","150","120","25400","21440"
"In post","2021","Bradford","Female","Unknown","560","460","25180","21440"
"In post","2021","Bradford","Male","Heterosexual / straight","700","660","28900","27460"
"In post","2021","Bradford","Male","LGBO","40","40","[c]","[c]"
"In post","2021","Bradford","Male","Undeclared","100","90","28230","27430"
"In post","2021","Bradford","Male","Unknown","410","390","25600","21440"
"In post","2021","Breckland and South Norfolk","Female","Heterosexual / straight","160","140","27420","26740"
"In post","2021","Breckland and South Norfolk","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Unknown","40","30","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Heterosexual / straight","230","220","29700","27260"
"In post","2021","Breckland and South Norfolk","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Unknown","60","50","26560","26580"
"In post","2021","Brent","Female","Heterosexual / straight","240","220","30730","31060"
"In post","2021","Brent","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Female","Undeclared","60","60","29840","30330"
"In post","2021","Brent","Female","Unknown","100","80","30340","29450"
"In post","2021","Brent","Male","Heterosexual / straight","130","130","32470","31060"
"In post","2021","Brent","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","Unknown","50","50","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Heterosexual / straight","380","330","26730","27570"
"In post","2021","Bridgend and Neath Port Talbot","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Unknown","90","70","25610","27570"
"In post","2021","Bridgend and Neath Port Talbot","Male","Heterosexual / straight","150","140","29380","27570"
"In post","2021","Bridgend and Neath Port Talbot","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Heterosexual / straight","270","240","31150","27570"
"In post","2021","Brighton and Hove","Female","LGBO","50","40","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Unknown","70","60","31510","27570"
"In post","2021","Brighton and Hove","Male","Heterosexual / straight","130","120","31750","27570"
"In post","2021","Brighton and Hove","Male","LGBO","50","40","[c]","[c]"
"In post","2021","Brighton and Hove","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Brighton and Hove","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Bristol, City of","Female","Heterosexual / straight","2410","2170","35090","30850"
"In post","2021","Bristol, City of","Female","LGBO","150","140","32990","29180"
"In post","2021","Bristol, City of","Female","Undeclared","280","250","34460","31680"
"In post","2021","Bristol, City of","Female","Unknown","690","610","32200","27570"
"In post","2021","Bristol, City of","Male","Heterosexual / straight","2000","1930","38430","32780"
"In post","2021","Bristol, City of","Male","LGBO","150","150","36680","31810"
"In post","2021","Bristol, City of","Male","Undeclared","290","270","37580","31840"
"In post","2021","Bristol, City of","Male","Unknown","640","620","35020","31000"
"In post","2021","Bromley","Female","Heterosexual / straight","230","210","29240","31060"
"In post","2021","Bromley","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Bromley","Female","Unknown","60","50","29440","31060"
"In post","2021","Bromley","Male","Heterosexual / straight","80","80","29350","31060"
"In post","2021","Bromley","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Female","Heterosexual / straight","730","690","31150","28670"
"In post","2021","Buckinghamshire CC","Female","LGBO","50","40","[c]","[c]"
"In post","2021","Buckinghamshire CC","Female","Undeclared","90","90","29440","28670"
"In post","2021","Buckinghamshire CC","Female","Unknown","110","100","32680","28670"
"In post","2021","Buckinghamshire CC","Male","Heterosexual / straight","510","500","33760","31420"
"In post","2021","Buckinghamshire CC","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Male","Undeclared","70","70","34410","33960"
"In post","2021","Buckinghamshire CC","Male","Unknown","100","100","33140","32040"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","Heterosexual / straight","70","60","27430","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","Unknown","50","50","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Female","Heterosexual / straight","470","400","27090","27570"
"In post","2021","Calderdale and Kirklees","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Female","Undeclared","60","50","26390","27570"
"In post","2021","Calderdale and Kirklees","Female","Unknown","150","120","26000","27570"
"In post","2021","Calderdale and Kirklees","Male","Heterosexual / straight","220","210","27800","27570"
"In post","2021","Calderdale and Kirklees","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Male","Undeclared","40","30","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Male","Unknown","90","90","26220","27570"
"In post","2021","Cambridgeshire CC","Female","Heterosexual / straight","1170","1090","33190","29610"
"In post","2021","Cambridgeshire CC","Female","LGBO","50","50","[c]","[c]"
"In post","2021","Cambridgeshire CC","Female","Undeclared","170","160","33540","29780"
"In post","2021","Cambridgeshire CC","Female","Unknown","220","200","32440","27570"
"In post","2021","Cambridgeshire CC","Male","Heterosexual / straight","1210","1180","35550","31900"
"In post","2021","Cambridgeshire CC","Male","LGBO","60","60","29650","27570"
"In post","2021","Cambridgeshire CC","Male","Undeclared","190","180","36150","33300"
"In post","2021","Cambridgeshire CC","Male","Unknown","300","280","32530","31220"
"In post","2021","Camden and City of London","Female","Heterosexual / straight","1120","1050","35580","30850"
"In post","2021","Camden and City of London","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Camden and City of London","Female","Undeclared","180","170","35890","31780"
"In post","2021","Camden and City of London","Female","Unknown","440","400","36130","31060"
"In post","2021","Camden and City of London","Male","Heterosexual / straight","1050","1020","40630","36160"
"In post","2021","Camden and City of London","Male","LGBO","80","80","39630","36200"
"In post","2021","Camden and City of London","Male","Undeclared","230","220","40020","36160"
"In post","2021","Camden and City of London","Male","Unknown","500","490","41090","36160"
"In post","2021","Cardiff and Vale of Glamorgan","Female","Heterosexual / straight","4540","4130","33570","28850"
"In post","2021","Cardiff and Vale of Glamorgan","Female","LGBO","250","240","30410","25560"
"In post","2021","Cardiff and Vale of Glamorgan","Female","Undeclared","510","450","34480","28850"
"In post","2021","Cardiff and Vale of Glamorgan","Female","Unknown","1210","1060","27030","25560"
"In post","2021","Cardiff and Vale of Glamorgan","Male","Heterosexual / straight","3560","3460","35090","30000"
"In post","2021","Cardiff and Vale of Glamorgan","Male","LGBO","310","300","33020","28260"
"In post","2021","Cardiff and Vale of Glamorgan","Male","Undeclared","520","490","36150","31810"
"In post","2021","Cardiff and Vale of Glamorgan","Male","Unknown","1170","1130","28600","25560"
"In post","2021","Causeway Coast and Glens","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Male","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Female","Heterosexual / straight","150","140","28610","26670"
"In post","2021","Central Bedfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Male","Heterosexual / straight","190","190","31350","29670"
"In post","2021","Central Bedfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Central Bedfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Female","Heterosexual / straight","1430","1350","33130","32770"
"In post","2021","Central Hampshire","Female","LGBO","70","70","30880","29200"
"In post","2021","Central Hampshire","Female","Undeclared","180","170","33600","33300"
"In post","2021","Central Hampshire","Female","Unknown","190","180","37050","33300"
"In post","2021","Central Hampshire","Male","Heterosexual / straight","1650","1620","37940","36460"
"In post","2021","Central Hampshire","Male","LGBO","70","70","34950","31300"
"In post","2021","Central Hampshire","Male","Undeclared","250","240","38170","37320"
"In post","2021","Central Hampshire","Male","Unknown","350","350","40940","37320"
"In post","2021","Central Valleys","Female","Heterosexual / straight","850","780","33440","28850"
"In post","2021","Central Valleys","Female","LGBO","30","30","[c]","[c]"
"In post","2021","Central Valleys","Female","Undeclared","100","90","33580","28850"
"In post","2021","Central Valleys","Female","Unknown","150","130","28830","27570"
"In post","2021","Central Valleys","Male","Heterosexual / straight","410","400","38580","33260"
"In post","2021","Central Valleys","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","Male","Undeclared","60","60","39650","37410"
"In post","2021","Central Valleys","Male","Unknown","80","80","33670","27570"
"In post","2021","Cheshire East","Female","Heterosexual / straight","270","250","31050","27570"
"In post","2021","Cheshire East","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Cheshire East","Female","Undeclared","60","50","30420","29470"
"In post","2021","Cheshire East","Female","Unknown","110","100","26000","25190"
"In post","2021","Cheshire East","Male","Heterosexual / straight","170","160","31570","27570"
"In post","2021","Cheshire East","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire East","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire East","Male","Unknown","80","80","28640","26700"
"In post","2021","Cheshire West and Chester","Female","Heterosexual / straight","220","200","26210","27570"
"In post","2021","Cheshire West and Chester","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Cheshire West and Chester","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Male","Heterosexual / straight","120","110","24730","21010"
"In post","2021","Cheshire West and Chester","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Female","Heterosexual / straight","430","390","29350","27570"
"In post","2021","Chorley and West Lancashire","Female","LGBO","40","30","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Female","Unknown","140","130","27110","26300"
"In post","2021","Chorley and West Lancashire","Male","Heterosexual / straight","440","410","30620","28220"
"In post","2021","Chorley and West Lancashire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Male","Undeclared","50","50","32850","31650"
"In post","2021","Chorley and West Lancashire","Male","Unknown","200","190","29970","31650"
"In post","2021","City of Edinburgh","Female","Heterosexual / straight","3870","3630","39410","33830"
"In post","2021","City of Edinburgh","Female","LGBO","250","250","35720","31810"
"In post","2021","City of Edinburgh","Female","Undeclared","790","730","32380","29350"
"In post","2021","City of Edinburgh","Female","Unknown","1840","1700","34470","30080"
"In post","2021","City of Edinburgh","Male","Heterosexual / straight","3170","3100","39770","34550"
"In post","2021","City of Edinburgh","Male","LGBO","320","310","37600","31810"
"In post","2021","City of Edinburgh","Male","Undeclared","630","610","34410","29350"
"In post","2021","City of Edinburgh","Male","Unknown","1940","1880","35440","31810"
"In post","2021","Clackmannanshire and Fife","Female","Heterosexual / straight","410","370","28450","27570"
"In post","2021","Clackmannanshire and Fife","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Undeclared","90","80","26270","22820"
"In post","2021","Clackmannanshire and Fife","Female","Unknown","160","150","27310","25870"
"In post","2021","Clackmannanshire and Fife","Male","Heterosexual / straight","400","380","32560","33300"
"In post","2021","Clackmannanshire and Fife","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Undeclared","70","70","32680","29540"
"In post","2021","Clackmannanshire and Fife","Male","Unknown","190","180","30730","33650"
"In post","2021","Conwy and Denbighshire","Female","Heterosexual / straight","370","340","34360","31250"
"In post","2021","Conwy and Denbighshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","Undeclared","50","40","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Heterosexual / straight","180","180","36260","32540"
"In post","2021","Conwy and Denbighshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Heterosexual / straight","630","550","26450","26670"
"In post","2021","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Undeclared","90","70","26350","26400"
"In post","2021","Cornwall and Isles of Scilly","Female","Unknown","180","150","25400","21010"
"In post","2021","Cornwall and Isles of Scilly","Male","Heterosexual / straight","500","480","27060","26670"
"In post","2021","Cornwall and Isles of Scilly","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Undeclared","70","70","28530","26850"
"In post","2021","Cornwall and Isles of Scilly","Male","Unknown","140","130","26680","26590"
"In post","2021","Coventry","Female","Heterosexual / straight","950","880","35700","30320"
"In post","2021","Coventry","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Coventry","Female","Undeclared","100","90","33990","30200"
"In post","2021","Coventry","Female","Unknown","370","340","36040","32300"
"In post","2021","Coventry","Male","Heterosexual / straight","610","600","38620","33970"
"In post","2021","Coventry","Male","LGBO","50","50","[c]","[c]"
"In post","2021","Coventry","Male","Undeclared","60","60","37180","36200"
"In post","2021","Coventry","Male","Unknown","250","240","40090","36960"
"In post","2021","Croydon","Female","Heterosexual / straight","3900","3600","37280","33290"
"In post","2021","Croydon","Female","LGBO","110","110","40130","35200"
"In post","2021","Croydon","Female","Undeclared","580","530","35530","30920"
"In post","2021","Croydon","Female","Unknown","760","710","34830","31060"
"In post","2021","Croydon","Male","Heterosexual / straight","2960","2900","40500","36160"
"In post","2021","Croydon","Male","LGBO","150","150","41090","36270"
"In post","2021","Croydon","Male","Undeclared","480","470","41530","37290"
"In post","2021","Croydon","Male","Unknown","690","670","38330","35050"
"In post","2021","Darlington","Female","Heterosexual / straight","480","450","34550","30230"
"In post","2021","Darlington","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Darlington","Female","Unknown","60","50","31870","27570"
"In post","2021","Darlington","Male","Heterosexual / straight","290","290","37450","36500"
"In post","2021","Darlington","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Unknown","50","50","[c]","[c]"
"In post","2021","Derby","Female","Heterosexual / straight","420","350","25610","22920"
"In post","2021","Derby","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Undeclared","60","50","23790","21010"
