"Status","Year","Profession_of_post","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","EO","150","140","23090","23000"
"In post","2021","Commercial","Defence Equipment and Support","G6/G7","190","190","58220","55470"
"In post","2021","Commercial","Defence Equipment and Support","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","SEO/HEO","560","540","35220","34410"
"In post","2021","Commercial","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","SEO/HEO","130","120","36270","36780"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","100","90","35630","36700"
"In post","2021","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","G6/G7","50","50","54960","53360"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","SCS","40","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","SEO/HEO","110","100","36660","38300"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","AA/AO","30","30","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","EO","40","30","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","SEO/HEO","70","60","35750","32180"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","G6/G7","50","50","55310","51220"
"In post","2021","Commercial","Education and Skills Funding Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","SEO/HEO","110","100","35190","36500"
"In post","2021","Commercial","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","AA/AO","60","50","23120","23240"
"In post","2021","Commercial","HM Prison and Probation Service","EO","60","60","28660","28220"
"In post","2021","Commercial","HM Prison and Probation Service","G6/G7","150","150","72600","70740"
"In post","2021","Commercial","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","SEO/HEO","360","360","45890","46870"
"In post","2021","Commercial","HM Prison and Probation Service","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","SEO/HEO","70","70","40770","42100"
"In post","2021","Commercial","Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","SEO/HEO","80","70","39100","40080"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","G6/G7","90","90","51640","48080"
"In post","2021","Commercial","Met Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","SEO/HEO","90","80","35920","37420"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","AA/AO","50","50","21550","20920"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","EO","160","150","27300","26670"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","G6/G7","50","50","59740","54890"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","SEO/HEO","550","530","38100","37960"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","SEO/HEO","80","70","36470","36760"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","AA/AO","50","50","23640","25870"
"In post","2021","Commercial","Scottish Prison Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Unknown","150","140","40040","38240"
"In post","2021","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","70","70","42190","40350"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","EO","80","70","27680","28500"
"In post","2021","Communications","Department for Education (excl. agencies)","G6/G7","50","40","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","SEO/HEO","100","100","37670","36660"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","80","80","53490","53200"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","160","150","35850","36970"
"In post","2021","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","G6/G7","50","50","54240","51980"
"In post","2021","Communications","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","SEO/HEO","60","60","35580","34450"
"In post","2021","Communications","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","SEO/HEO","60","60","39960","42470"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","EO","60","60","27420","27270"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","G6/G7","60","60","58310","55070"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
