"Status","Year","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","No function","330","310","31660","23130"
"Leaver CS","2021","LGBO","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","270","250","30710","27570"
"Leaver CS","2021","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","150","130","34600","26550"
"Leaver CS","2021","Undeclared","No function","800","680","32100","26410"
"Leaver CS","2021","Undeclared","Project Delivery","90","80","39430","37060"
"Leaver CS","2021","Undeclared","Property","50","50","35610","33630"
"Leaver CS","2021","Undeclared","Security","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","700","600","31080","27570"
"Leaver CS","2021","Unknown","Analysis","110","110","32240","27530"
"Leaver CS","2021","Unknown","Commercial","90","90","62440","57430"
"Leaver CS","2021","Unknown","Communications","80","80","38970","36030"
"Leaver CS","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","160","160","40480","37420"
"Leaver CS","2021","Unknown","Finance","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","90","80","24950","21050"
"Leaver CS","2021","Unknown","Human Resources","60","60","39810","33310"
"Leaver CS","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","160","130","48350","52990"
"Leaver CS","2021","Unknown","No function","3040","2770","30960","24370"
"Leaver CS","2021","Unknown","Project Delivery","170","160","34200","30160"
"Leaver CS","2021","Unknown","Property","210","190","27700","24960"
"Leaver CS","2021","Unknown","Security","130","120","27660","24970"
"Leaver CS","2021","Unknown","Unknown","8330","6860","30270","27570"
"Leaver CS","2022","Heterosexual / straight","Analysis","260","230","37210","33850"
"Leaver CS","2022","Heterosexual / straight","Commercial","250","220","42100","37680"
"Leaver CS","2022","Heterosexual / straight","Communications","220","190","39620","36780"
"Leaver CS","2022","Heterosexual / straight","Counter Fraud","200","160","29520","27570"
"Leaver CS","2022","Heterosexual / straight","Debt","150","130","22590","21260"
"Leaver CS","2022","Heterosexual / straight","Digital, Data & Technology","800","750","42650","39460"
"Leaver CS","2022","Heterosexual / straight","Finance","330","290","40150","35480"
"Leaver CS","2022","Heterosexual / straight","Grants Management","60","50","25260","24920"
"Leaver CS","2022","Heterosexual / straight","Human Resources","470","430","36690","32650"
"Leaver CS","2022","Heterosexual / straight","Internal Audit","50","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Legal","500","450","44790","48830"
"Leaver CS","2022","Heterosexual / straight","No function","15150","13680","31610","27570"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","890","840","39340","35810"
"Leaver CS","2022","Heterosexual / straight","Property","370","330","33240","29020"
"Leaver CS","2022","Heterosexual / straight","Security","540","510","32450","31090"
"Leaver CS","2022","Heterosexual / straight","Unknown","3880","3470","31950","26930"
"Leaver CS","2022","LGBO","Analysis","50","40","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data & Technology","70","70","39700","36710"
"Leaver CS","2022","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","40","30","[c]","[c]"
"Leaver CS","2022","LGBO","No function","1320","1260","30410","27570"
"Leaver CS","2022","LGBO","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","200","190","30250","26350"
"Leaver CS","2022","Undeclared","Analysis","90","50","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","80","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","50","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","50","40","28720","27570"
"Leaver CS","2022","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","200","150","40470","38290"
"Leaver CS","2022","Undeclared","Finance","90","50","[c]","[c]"
"Leaver CS","2022","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","60","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","50","50","53910","54390"
"Leaver CS","2022","Undeclared","No function","2010","1600","32280","27570"
"Leaver CS","2022","Undeclared","Project Delivery","130","120","39570","38250"
"Leaver CS","2022","Undeclared","Property","60","50","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","90","90","33850","37770"
"Leaver CS","2022","Undeclared","Unknown","620","500","32230","28650"
"Leaver CS","2022","Unknown","Analysis","150","140","36850","31990"
"Leaver CS","2022","Unknown","Commercial","180","170","67160","63320"
"Leaver CS","2022","Unknown","Communications","130","120","43430","39370"
"Leaver CS","2022","Unknown","Counter Fraud","90","70","29680","27570"
"Leaver CS","2022","Unknown","Debt","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","340","320","39690","36530"
"Leaver CS","2022","Unknown","Finance","70","70","36930","32320"
"Leaver CS","2022","Unknown","Grants Management","90","80","23490","21300"
"Leaver CS","2022","Unknown","Human Resources","100","90","31140","27570"
"Leaver CS","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","160","140","50160","53270"
"Leaver CS","2022","Unknown","No function","5970","5360","30850","26470"
"Leaver CS","2022","Unknown","Project Delivery","250","240","39400","37400"
"Leaver CS","2022","Unknown","Property","170","160","29010","23550"
"Leaver CS","2022","Unknown","Security","160","150","29760","26670"
"Leaver CS","2022","Unknown","Unknown","6750","5690","31210","27570"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","180","180","41920","37320"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","100","90","40000","38060"
"Leaver Dept.","2021","Heterosexual / straight","Communications","110","110","43890","40700"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data & Technology","130","130","44070","39140"
"Leaver Dept.","2021","Heterosexual / straight","Finance","130","120","46170","43310"
"Leaver Dept.","2021","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","320","320","37940","32910"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","130","130","40550","32540"
"Leaver Dept.","2021","Heterosexual / straight","No function","2110","2050","38440","32910"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","360","360","40800","34430"
"Leaver Dept.","2021","Heterosexual / straight","Property","70","70","38860","33300"
"Leaver Dept.","2021","Heterosexual / straight","Security","40","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","2280","2180","34700","29860"
"Leaver Dept.","2021","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","240","240","37920","32750"
"Leaver Dept.","2021","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","190","180","34140","29210"
"Leaver Dept.","2021","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","250","240","39340","33640"
"Leaver Dept.","2021","Undeclared","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","250","240","36380","31060"
"Leaver Dept.","2021","Unknown","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","70","70","40010","38440"
"Leaver Dept.","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","70","60","48470","48370"
"Leaver Dept.","2021","Unknown","Finance","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","90","80","41270","37570"
"Leaver Dept.","2021","Unknown","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","1420","1390","36910","32000"
"Leaver Dept.","2021","Unknown","Project Delivery","100","100","43090","38380"
"Leaver Dept.","2021","Unknown","Property","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","2660","2180","33770","30850"
"Leaver Dept.","2022","Heterosexual / straight","Analysis","270","250","42650","38340"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","240","200","43070","40410"
"Leaver Dept.","2022","Heterosexual / straight","Communications","260","230","41620","37280"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","100","100","32080","27570"
"Leaver Dept.","2022","Heterosexual / straight","Debt","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data & Technology","440","420","42300","38000"
"Leaver Dept.","2022","Heterosexual / straight","Finance","360","320","40840","36830"
"Leaver Dept.","2022","Heterosexual / straight","Grants Management","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","560","530","38020","32330"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","140","140","42960","31180"
"Leaver Dept.","2022","Heterosexual / straight","No function","9440","8840","37780","31990"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","500","500","39620","36530"
"Leaver Dept.","2022","Heterosexual / straight","Property","110","100","40480","34770"
"Leaver Dept.","2022","Heterosexual / straight","Security","110","100","38210","33300"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","1420","1360","35330","28850"
"Leaver Dept.","2022","LGBO","Analysis","50","40","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","30","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","50","40","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","No function","880","820","37160","32330"
"Leaver Dept.","2022","LGBO","Project Delivery","40","30","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","110","100","36170","31990"
"Leaver Dept.","2022","Undeclared","Analysis","150","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","160","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","110","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","160","80","43900","38000"
"Leaver Dept.","2022","Undeclared","Finance","160","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","70","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","1570","1130","40230","34370"
"Leaver Dept.","2022","Undeclared","Project Delivery","60","60","40020","39410"
"Leaver Dept.","2022","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","220","150","36730","31260"
"Leaver Dept.","2022","Unknown","Analysis","80","80","38190","34680"
"Leaver Dept.","2022","Unknown","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","80","80","43440","39180"
"Leaver Dept.","2022","Unknown","Counter Fraud","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","130","130","41530","37910"
"Leaver Dept.","2022","Unknown","Finance","60","60","43730","39960"
"Leaver Dept.","2022","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","70","70","38080","32000"
"Leaver Dept.","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","60","60","48460","52560"
"Leaver Dept.","2022","Unknown","No function","2900","2780","40750","32780"
"Leaver Dept.","2022","Unknown","Project Delivery","90","90","43760","39920"
"Leaver Dept.","2022","Unknown","Property","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","1990","1640","36520","31770"
"New entrant CS","2021","Heterosexual / straight","Analysis","700","690","33870","32540"
"New entrant CS","2021","Heterosexual / straight","Commercial","350","340","36230","33300"
"New entrant CS","2021","Heterosexual / straight","Communications","520","510","31410","26130"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","90","90","31950","28290"
"New entrant CS","2021","Heterosexual / straight","Debt","250","240","20610","20140"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","920","910","40570","37070"
"New entrant CS","2021","Heterosexual / straight","Finance","470","460","36010","32790"
"New entrant CS","2021","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","570","540","32850","28380"
"New entrant CS","2021","Heterosexual / straight","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Legal","900","880","37070","37230"
"New entrant CS","2021","Heterosexual / straight","No function","11050","10630","29050","25380"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","1260","1240","37020","33570"
"New entrant CS","2021","Heterosexual / straight","Property","440","440","32210","30000"
