"Status","Year","Disability","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Bedfordshire and Hertfordshire","70","70","26170","27570"
"In post","2021","Declared disabled","20-29","Berkshire, Buckinghamshire and Oxfordshire","110","110","26770","26610"
"In post","2021","Declared disabled","20-29","Cheshire","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Derbyshire and Nottinghamshire","130","130","24770","24440"
"In post","2021","Declared disabled","20-29","Devon","70","60","25120","24660"
"In post","2021","Declared disabled","20-29","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","East Anglia","110","110","25910","25850"
"In post","2021","Declared disabled","20-29","East Wales","180","180","26750","25560"
"In post","2021","Declared disabled","20-29","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Eastern Scotland","210","210","28340","27150"
"In post","2021","Declared disabled","20-29","Essex","50","50","26120","24180"
"In post","2021","Declared disabled","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","420","420","27620","27290"
"In post","2021","Declared disabled","20-29","Greater Manchester","190","190","27450","27570"
"In post","2021","Declared disabled","20-29","Hampshire and Isle of Wight","160","150","27030","27570"
"In post","2021","Declared disabled","20-29","Herefordshire, Worcestershire and Warwickshire","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Inner London - East","170","170","32730","31060"
"In post","2021","Declared disabled","20-29","Inner London - West","1070","1050","36560","33570"
"In post","2021","Declared disabled","20-29","Kent","80","80","26940","28650"
"In post","2021","Declared disabled","20-29","Lancashire","110","110","23730","21010"
"In post","2021","Declared disabled","20-29","Leicestershire, Rutland and Northamptonshire","60","50","23760","22920"
"In post","2021","Declared disabled","20-29","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Merseyside","140","140","25350","24890"
"In post","2021","Declared disabled","20-29","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Northumberland and Tyne and Wear","160","150","24410","21010"
"In post","2021","Declared disabled","20-29","Outer London - East and North East","50","50","29780","31060"
"In post","2021","Declared disabled","20-29","Outer London - South","80","80","32640","31060"
"In post","2021","Declared disabled","20-29","Outer London - West and North West","80","80","28870","29250"
"In post","2021","Declared disabled","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Shropshire and Staffordshire","80","80","24800","24620"
"In post","2021","Declared disabled","20-29","South Yorkshire","90","80","26650","25000"
"In post","2021","Declared disabled","20-29","Southern Scotland","40","30","[c]","[c]"
"In post","2021","Declared disabled","20-29","Surrey, East and West Sussex","90","90","26840","27570"
"In post","2021","Declared disabled","20-29","Tees Valley and Durham","60","60","25310","24890"
"In post","2021","Declared disabled","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","West Central Scotland","130","130","26550","24880"
"In post","2021","Declared disabled","20-29","West Midlands","160","160","25190","25560"
"In post","2021","Declared disabled","20-29","West Wales and The Valleys","90","90","22980","22040"
"In post","2021","Declared disabled","20-29","West Yorkshire","180","180","27320","25560"
"In post","2021","Declared disabled","30-39","Bedfordshire and Hertfordshire","70","70","32010","30110"
"In post","2021","Declared disabled","30-39","Berkshire, Buckinghamshire and Oxfordshire","170","160","31300","29290"
"In post","2021","Declared disabled","30-39","Cheshire","50","50","28080","27570"
"In post","2021","Declared disabled","30-39","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Cumbria","30","30","[c]","[c]"
"In post","2021","Declared disabled","30-39","Derbyshire and Nottinghamshire","240","220","28950","27570"
"In post","2021","Declared disabled","30-39","Devon","150","140","28780","27570"
"In post","2021","Declared disabled","30-39","Dorset and Somerset","80","80","28340","27570"
"In post","2021","Declared disabled","30-39","East Anglia","190","180","29840","27570"
"In post","2021","Declared disabled","30-39","East Wales","330","310","30850","27570"
"In post","2021","Declared disabled","30-39","East Yorkshire and Northern Lincolnshire","60","50","26670","26840"
"In post","2021","Declared disabled","30-39","Eastern Scotland","360","340","32370","29190"
"In post","2021","Declared disabled","30-39","Essex","70","70","28320","27110"
"In post","2021","Declared disabled","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","540","520","33460","32240"
"In post","2021","Declared disabled","30-39","Greater Manchester","350","340","30470","27570"
"In post","2021","Declared disabled","30-39","Hampshire and Isle of Wight","250","230","31260","29200"
"In post","2021","Declared disabled","30-39","Herefordshire, Worcestershire and Warwickshire","50","50","27970","27470"
"In post","2021","Declared disabled","30-39","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Inner London - East","270","260","38270","33930"
"In post","2021","Declared disabled","30-39","Inner London - West","1150","1120","47770","50330"
"In post","2021","Declared disabled","30-39","Kent","140","130","29630","29290"
"In post","2021","Declared disabled","30-39","Lancashire","230","210","26250","27130"
"In post","2021","Declared disabled","30-39","Leicestershire, Rutland and Northamptonshire","120","110","25210","24440"
"In post","2021","Declared disabled","30-39","Lincolnshire","60","50","27990","26670"
"In post","2021","Declared disabled","30-39","Merseyside","350","320","27520","25040"
"In post","2021","Declared disabled","30-39","North Eastern Scotland","40","30","[c]","[c]"
"In post","2021","Declared disabled","30-39","North Yorkshire","60","50","31560","29200"
"In post","2021","Declared disabled","30-39","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Declared disabled","30-39","Northumberland and Tyne and Wear","330","310","26590","25560"
"In post","2021","Declared disabled","30-39","Outer London - East and North East","60","60","30350","31060"
"In post","2021","Declared disabled","30-39","Outer London - South","140","130","37370","31060"
"In post","2021","Declared disabled","30-39","Outer London - West and North West","130","120","32690","31060"
"In post","2021","Declared disabled","30-39","Overseas","70","70","49000","52550"
"In post","2021","Declared disabled","30-39","Shropshire and Staffordshire","140","130","27560","27570"
"In post","2021","Declared disabled","30-39","South Yorkshire","220","210","29760","27570"
"In post","2021","Declared disabled","30-39","Southern Scotland","80","80","29570","26120"
"In post","2021","Declared disabled","30-39","Surrey, East and West Sussex","120","110","28270","27570"
"In post","2021","Declared disabled","30-39","Tees Valley and Durham","160","140","26100","24710"
"In post","2021","Declared disabled","30-39","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","30-39","West Central Scotland","300","280","29630","27570"
"In post","2021","Declared disabled","30-39","West Midlands","350","330","28840","27570"
"In post","2021","Declared disabled","30-39","West Wales and The Valleys","260","240","24870","21590"
"In post","2021","Declared disabled","30-39","West Yorkshire","260","240","30140","27570"
"In post","2021","Declared disabled","40-49","Bedfordshire and Hertfordshire","120","110","31230","29290"
"In post","2021","Declared disabled","40-49","Berkshire, Buckinghamshire and Oxfordshire","230","220","32960","30230"
"In post","2021","Declared disabled","40-49","Cheshire","100","90","31050","27570"
"In post","2021","Declared disabled","40-49","Cornwall and Isles of Scilly","40","40","[c]","[c]"
"In post","2021","Declared disabled","40-49","Cumbria","60","50","27640","25490"
"In post","2021","Declared disabled","40-49","Derbyshire and Nottinghamshire","390","360","29870","27570"
"In post","2021","Declared disabled","40-49","Devon","210","190","29080","27570"
"In post","2021","Declared disabled","40-49","Dorset and Somerset","110","100","30680","27570"
"In post","2021","Declared disabled","40-49","East Anglia","330","310","29210","27570"
"In post","2021","Declared disabled","40-49","East Wales","420","390","32470","28100"
"In post","2021","Declared disabled","40-49","East Yorkshire and Northern Lincolnshire","110","100","27010","27570"
"In post","2021","Declared disabled","40-49","Eastern Scotland","450","420","34530","29190"
"In post","2021","Declared disabled","40-49","Essex","170","160","30370","29290"
"In post","2021","Declared disabled","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","680","650","36950","33300"
"In post","2021","Declared disabled","40-49","Greater Manchester","520","480","30470","27570"
"In post","2021","Declared disabled","40-49","Hampshire and Isle of Wight","340","310","32620","27660"
"In post","2021","Declared disabled","40-49","Herefordshire, Worcestershire and Warwickshire","110","100","30110","27570"
"In post","2021","Declared disabled","40-49","Highlands and Islands","40","40","[c]","[c]"
"In post","2021","Declared disabled","40-49","Inner London - East","370","350","40230","34570"
"In post","2021","Declared disabled","40-49","Inner London - West","1140","1090","49020","44110"
"In post","2021","Declared disabled","40-49","Kent","230","210","30440","29290"
"In post","2021","Declared disabled","40-49","Lancashire","560","500","27600","27570"
"In post","2021","Declared disabled","40-49","Leicestershire, Rutland and Northamptonshire","170","150","27570","27150"
"In post","2021","Declared disabled","40-49","Lincolnshire","80","70","29720","27570"
"In post","2021","Declared disabled","40-49","Merseyside","560","500","28550","26370"
"In post","2021","Declared disabled","40-49","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","North Yorkshire","110","110","33610","30350"
"In post","2021","Declared disabled","40-49","Northern Ireland","90","80","26670","24890"
"In post","2021","Declared disabled","40-49","Northumberland and Tyne and Wear","580","530","28130","26470"
"In post","2021","Declared disabled","40-49","Outer London - East and North East","90","90","30770","31060"
"In post","2021","Declared disabled","40-49","Outer London - South","230","220","37290","35050"
"In post","2021","Declared disabled","40-49","Outer London - West and North West","200","190","31930","31060"
"In post","2021","Declared disabled","40-49","Overseas","60","60","46300","39880"
"In post","2021","Declared disabled","40-49","Shropshire and Staffordshire","240","230","31100","27570"
"In post","2021","Declared disabled","40-49","South Yorkshire","320","290","31810","27570"
"In post","2021","Declared disabled","40-49","Southern Scotland","110","110","29210","27570"
"In post","2021","Declared disabled","40-49","Surrey, East and West Sussex","200","180","29960","27570"
"In post","2021","Declared disabled","40-49","Tees Valley and Durham","240","220","27460","27570"
"In post","2021","Declared disabled","40-49","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","40-49","West Central Scotland","370","340","30650","27570"
"In post","2021","Declared disabled","40-49","West Midlands","510","460","30530","27570"
"In post","2021","Declared disabled","40-49","West Wales and The Valleys","440","400","26470","25150"
"In post","2021","Declared disabled","40-49","West Yorkshire","430","400","30160","27570"
"In post","2021","Declared disabled","50-59","Bedfordshire and Hertfordshire","190","170","32870","29530"
"In post","2021","Declared disabled","50-59","Berkshire, Buckinghamshire and Oxfordshire","350","330","32460","29910"
"In post","2021","Declared disabled","50-59","Cheshire","150","140","29440","27570"
"In post","2021","Declared disabled","50-59","Cornwall and Isles of Scilly","100","90","26870","26780"
"In post","2021","Declared disabled","50-59","Cumbria","100","90","28000","25810"
"In post","2021","Declared disabled","50-59","Derbyshire and Nottinghamshire","580","540","31280","27570"
"In post","2021","Declared disabled","50-59","Devon","380","350","29420","27570"
"In post","2021","Declared disabled","50-59","Dorset and Somerset","240","220","29440","27570"
"In post","2021","Declared disabled","50-59","East Anglia","520","490","30240","27570"
"In post","2021","Declared disabled","50-59","East Wales","620","570","32180","27570"
"In post","2021","Declared disabled","50-59","East Yorkshire and Northern Lincolnshire","220","200","27800","27380"
"In post","2021","Declared disabled","50-59","Eastern Scotland","670","630","33940","29190"
"In post","2021","Declared disabled","50-59","Essex","290","260","31440","29290"
"In post","2021","Declared disabled","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","950","900","36710","33300"
"In post","2021","Declared disabled","50-59","Greater Manchester","800","750","29920","27570"
"In post","2021","Declared disabled","50-59","Hampshire and Isle of Wight","640","580","30520","27570"
"In post","2021","Declared disabled","50-59","Herefordshire, Worcestershire and Warwickshire","180","160","28710","27570"
"In post","2021","Declared disabled","50-59","Highlands and Islands","70","70","30030","27570"
"In post","2021","Declared disabled","50-59","Inner London - East","550","520","38110","31880"
"In post","2021","Declared disabled","50-59","Inner London - West","1390","1340","46250","40220"
"In post","2021","Declared disabled","50-59","Kent","370","350","30370","29290"
"In post","2021","Declared disabled","50-59","Lancashire","780","710","27540","27570"
"In post","2021","Declared disabled","50-59","Leicestershire, Rutland and Northamptonshire","280","260","27140","26820"
"In post","2021","Declared disabled","50-59","Lincolnshire","170","150","28670","27570"
"In post","2021","Declared disabled","50-59","Merseyside","870","780","28780","26780"
"In post","2021","Declared disabled","50-59","North Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Declared disabled","50-59","North Yorkshire","190","170","34420","28200"
"In post","2021","Declared disabled","50-59","Northern Ireland","140","130","28920","27370"
"In post","2021","Declared disabled","50-59","Northumberland and Tyne and Wear","880","760","27380","25560"
"In post","2021","Declared disabled","50-59","Outer London - East and North East","220","200","30400","31060"
"In post","2021","Declared disabled","50-59","Outer London - South","450","420","36770","32520"
"In post","2021","Declared disabled","50-59","Outer London - West and North West","310","290","32480","31060"
"In post","2021","Declared disabled","50-59","Overseas","60","60","50910","50400"
"In post","2021","Declared disabled","50-59","Shropshire and Staffordshire","430","400","30000","27570"
"In post","2021","Declared disabled","50-59","South Yorkshire","450","410","30570","27570"
"In post","2021","Declared disabled","50-59","Southern Scotland","190","170","29910","27570"
"In post","2021","Declared disabled","50-59","Surrey, East and West Sussex","370","330","30040","27570"
"In post","2021","Declared disabled","50-59","Tees Valley and Durham","460","410","28060","27570"
"In post","2021","Declared disabled","50-59","Unknown","70","70","31740","27570"
"In post","2021","Declared disabled","50-59","West Central Scotland","660","590","27680","26120"
"In post","2021","Declared disabled","50-59","West Midlands","790","720","29250","27570"
"In post","2021","Declared disabled","50-59","West Wales and The Valleys","640","570","26890","26300"
"In post","2021","Declared disabled","50-59","West Yorkshire","670","620","31770","27570"
"In post","2021","Declared disabled","60-64","Bedfordshire and Hertfordshire","50","40","[c]","[c]"
"In post","2021","Declared disabled","60-64","Berkshire, Buckinghamshire and Oxfordshire","110","90","33320","30210"
"In post","2021","Declared disabled","60-64","Cheshire","50","40","[c]","[c]"
"In post","2021","Declared disabled","60-64","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Derbyshire and Nottinghamshire","160","130","28230","27460"
"In post","2021","Declared disabled","60-64","Devon","130","100","28190","25900"
"In post","2021","Declared disabled","60-64","Dorset and Somerset","90","80","27690","27570"
"In post","2021","Declared disabled","60-64","East Anglia","150","130","28860","27570"
"In post","2021","Declared disabled","60-64","East Wales","170","130","30620","25750"
"In post","2021","Declared disabled","60-64","East Yorkshire and Northern Lincolnshire","80","60","26580","26930"
"In post","2021","Declared disabled","60-64","Eastern Scotland","190","150","29420","27570"
"In post","2021","Declared disabled","60-64","Essex","100","80","30680","28270"
"In post","2021","Declared disabled","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","290","250","34770","32390"
"In post","2021","Declared disabled","60-64","Greater Manchester","210","160","27830","27370"
"In post","2021","Declared disabled","60-64","Hampshire and Isle of Wight","210","170","28770","27570"
"In post","2021","Declared disabled","60-64","Herefordshire, Worcestershire and Warwickshire","50","40","[c]","[c]"
"In post","2021","Declared disabled","60-64","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Inner London - East","160","140","36420","31880"
"In post","2021","Declared disabled","60-64","Inner London - West","330","300","41750","35860"
"In post","2021","Declared disabled","60-64","Kent","130","110","27450","26670"
"In post","2021","Declared disabled","60-64","Lancashire","200","160","27030","25560"
"In post","2021","Declared disabled","60-64","Leicestershire, Rutland and Northamptonshire","90","70","24950","23240"
"In post","2021","Declared disabled","60-64","Lincolnshire","60","50","25630","22080"
"In post","2021","Declared disabled","60-64","Merseyside","270","200","26470","25040"
"In post","2021","Declared disabled","60-64","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","North Yorkshire","50","40","28980","26670"
"In post","2021","Declared disabled","60-64","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Declared disabled","60-64","Northumberland and Tyne and Wear","310","230","24900","21440"
"In post","2021","Declared disabled","60-64","Outer London - East and North East","50","40","[c]","[c]"
"In post","2021","Declared disabled","60-64","Outer London - South","130","110","33920","29370"
"In post","2021","Declared disabled","60-64","Outer London - West and North West","120","100","31860","30410"
"In post","2021","Declared disabled","60-64","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Shropshire and Staffordshire","140","110","28910","27570"
"In post","2021","Declared disabled","60-64","South Yorkshire","110","90","27350","27370"
"In post","2021","Declared disabled","60-64","Southern Scotland","70","50","25860","22220"
"In post","2021","Declared disabled","60-64","Surrey, East and West Sussex","130","110","26900","26780"
"In post","2021","Declared disabled","60-64","Tees Valley and Durham","130","100","27280","25580"
"In post","2021","Declared disabled","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","West Central Scotland","220","160","26740","25870"
"In post","2021","Declared disabled","60-64","West Midlands","240","190","27820","27570"
"In post","2021","Declared disabled","60-64","West Wales and The Valleys","240","180","26110","21590"
"In post","2021","Declared disabled","60-64","West Yorkshire","190","150","29120","27570"
"In post","2021","Declared disabled","65+","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Berkshire, Buckinghamshire and Oxfordshire","40","30","[c]","[c]"
"In post","2021","Declared disabled","65+","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Derbyshire and Nottinghamshire","50","40","[c]","[c]"
"In post","2021","Declared disabled","65+","Devon","30","20","[c]","[c]"
"In post","2021","Declared disabled","65+","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","East Anglia","50","40","[c]","[c]"
"In post","2021","Declared disabled","65+","East Wales","70","50","29720","27570"
"In post","2021","Declared disabled","65+","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Eastern Scotland","50","40","[c]","[c]"
"In post","2021","Declared disabled","65+","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Gloucestershire, Wiltshire and Bath/Bristol area","100","80","32690","27570"
"In post","2021","Declared disabled","65+","Greater Manchester","60","40","26440","25490"
"In post","2021","Declared disabled","65+","Hampshire and Isle of Wight","90","60","28510","27160"
"In post","2021","Declared disabled","65+","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Inner London - East","50","40","[c]","[c]"
"In post","2021","Declared disabled","65+","Inner London - West","100","90","38070","32520"
"In post","2021","Declared disabled","65+","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Lancashire","60","40","26430","25560"
"In post","2021","Declared disabled","65+","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Merseyside","100","80","24500","21430"
"In post","2021","Declared disabled","65+","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Northumberland and Tyne and Wear","80","50","24450","21400"
"In post","2021","Declared disabled","65+","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Outer London - South","60","40","31810","29370"
"In post","2021","Declared disabled","65+","Outer London - West and North West","40","30","[c]","[c]"
"In post","2021","Declared disabled","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Shropshire and Staffordshire","40","30","[c]","[c]"
"In post","2021","Declared disabled","65+","South Yorkshire","30","20","[c]","[c]"
"In post","2021","Declared disabled","65+","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Surrey, East and West Sussex","30","20","[c]","[c]"
"In post","2021","Declared disabled","65+","Tees Valley and Durham","40","30","[c]","[c]"
"In post","2021","Declared disabled","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","West Central Scotland","50","40","26340","21440"
"In post","2021","Declared disabled","65+","West Midlands","50","40","26070","26120"
"In post","2021","Declared disabled","65+","West Wales and The Valleys","70","50","25450","21590"
"In post","2021","Declared disabled","65+","West Yorkshire","60","40","27140","27570"
"In post","2021","Declared disabled","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","East Wales","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","90","90","19210","19040"
"In post","2021","Declared non-disabled","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
