"Status","Year","Sexual_orientation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Merseyside","160","150","37260","34800"
"In post","2021","Heterosexual / straight","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","North Yorkshire","50","50","41080","38180"
"In post","2021","Heterosexual / straight","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Outer London - South","110","110","45320","44250"
"In post","2021","Heterosexual / straight","Commercial","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Shropshire and Staffordshire","70","70","38920","34800"
"In post","2021","Heterosexual / straight","Commercial","South Yorkshire","80","80","39080","37100"
"In post","2021","Heterosexual / straight","Commercial","Southern Scotland","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Tees Valley and Durham","70","70","43400","38980"
"In post","2021","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","West Central Scotland","80","80","36160","34610"
"In post","2021","Heterosexual / straight","Commercial","West Midlands","100","100","40040","38070"
"In post","2021","Heterosexual / straight","Commercial","West Wales and The Valleys","120","120","34740","31380"
"In post","2021","Heterosexual / straight","Commercial","West Yorkshire","110","110","42680","36970"
"In post","2021","Heterosexual / straight","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Berkshire, Buckinghamshire and Oxfordshire","60","60","32620","31290"
"In post","2021","Heterosexual / straight","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Derbyshire and Nottinghamshire","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","East Anglia","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","East Wales","190","180","38310","37410"
"In post","2021","Heterosexual / straight","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","36300","34670"
"In post","2021","Heterosexual / straight","Communications","Greater Manchester","60","60","34820","32010"
"In post","2021","Heterosexual / straight","Communications","Hampshire and Isle of Wight","130","130","33090","32030"
"In post","2021","Heterosexual / straight","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Inner London - East","140","130","47720","42290"
"In post","2021","Heterosexual / straight","Communications","Inner London - West","1110","1080","46930","42890"
"In post","2021","Heterosexual / straight","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Merseyside","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northumberland and Tyne and Wear","60","60","35040","31810"
"In post","2021","Heterosexual / straight","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","South Yorkshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","West Midlands","60","60","42530","38180"
"In post","2021","Heterosexual / straight","Communications","West Wales and The Valleys","70","70","32080","28850"
"In post","2021","Heterosexual / straight","Communications","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Inner London - West","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Greater Manchester","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Inner London - West","230","230","43750","40000"
"In post","2021","Heterosexual / straight","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","West Central Scotland","60","50","25920","25040"
"In post","2021","Heterosexual / straight","Counter Fraud","West Midlands","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Bedfordshire and Hertfordshire","50","50","36390","36250"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","180","180","42160","39370"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Cheshire","100","100","42330","45480"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Derbyshire and Nottinghamshire","100","90","40010","36520"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Devon","310","290","39630","38450"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Dorset and Somerset","160","160","37630","33540"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","East Anglia","110","110","35790","33100"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","East Wales","660","650","41270","38000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Eastern Scotland","100","100","40950","36780"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Essex","140","130","38410","35000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","730","710","41450","40000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Greater Manchester","300","290","40190","37450"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Hampshire and Isle of Wight","260","260","37380","33350"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","60","60","37840","32250"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Inner London - East","380","370","49380","44110"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Inner London - West","1110","1090","50650","47590"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Lancashire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","60","50","34680","32280"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Merseyside","270","260","39030","35480"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","North Yorkshire","110","110","39120","37440"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Northumberland and Tyne and Wear","360","340","40410","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Outer London - South","410","410","51100","45420"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Outer London - West and North West","180","180","43060","41950"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Shropshire and Staffordshire","210","200","41650","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","South Yorkshire","250","250","43780","41990"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Southern Scotland","110","110","40680","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Surrey, East and West Sussex","110","100","37180","33510"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Tees Valley and Durham","100","100","37430","36960"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","West Central Scotland","100","100","37400","33300"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","West Midlands","290","280","40360","36780"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","West Wales and The Valleys","600","580","39430","36170"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","West Yorkshire","240","220","37740","32030"
"In post","2021","Heterosexual / straight","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","East Wales","100","100","42350","37020"
"In post","2021","Heterosexual / straight","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Inner London - East","140","130","55120","55860"
"In post","2021","Heterosexual / straight","Economics","Inner London - West","990","970","47340","42980"
"In post","2021","Heterosexual / straight","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Bedfordshire and Hertfordshire","90","80","43210","37640"
"In post","2021","Heterosexual / straight","Finance","Berkshire, Buckinghamshire and Oxfordshire","250","240","37980","34990"
"In post","2021","Heterosexual / straight","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Derbyshire and Nottinghamshire","120","120","37300","33310"
"In post","2021","Heterosexual / straight","Finance","Devon","60","50","39070","37080"
"In post","2021","Heterosexual / straight","Finance","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","East Anglia","110","110","36840","33300"
"In post","2021","Heterosexual / straight","Finance","East Wales","290","270","39300","36240"
"In post","2021","Heterosexual / straight","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Eastern Scotland","70","60","35620","31870"
"In post","2021","Heterosexual / straight","Finance","Essex","80","80","36000","33300"
"In post","2021","Heterosexual / straight","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","910","880","39740","35130"
"In post","2021","Heterosexual / straight","Finance","Greater Manchester","220","210","41330","38630"
"In post","2021","Heterosexual / straight","Finance","Hampshire and Isle of Wight","290","280","37270","33300"
"In post","2021","Heterosexual / straight","Finance","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Inner London - East","280","280","48280","43680"
"In post","2021","Heterosexual / straight","Finance","Inner London - West","1310","1280","50860","47150"
"In post","2021","Heterosexual / straight","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Lancashire","60","60","39600","34600"
"In post","2021","Heterosexual / straight","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Merseyside","180","180","36240","31810"
"In post","2021","Heterosexual / straight","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","North Yorkshire","110","110","38420","36970"
"In post","2021","Heterosexual / straight","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Northumberland and Tyne and Wear","180","170","39030","38630"
"In post","2021","Heterosexual / straight","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Outer London - South","170","160","46770","42320"
"In post","2021","Heterosexual / straight","Finance","Outer London - West and North West","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Shropshire and Staffordshire","110","100","39430","38630"
"In post","2021","Heterosexual / straight","Finance","South Yorkshire","120","110","38040","36500"
"In post","2021","Heterosexual / straight","Finance","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Surrey, East and West Sussex","140","130","35220","31810"
"In post","2021","Heterosexual / straight","Finance","Tees Valley and Durham","100","100","38570","36500"
"In post","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","West Central Scotland","310","240","24970","21440"
"In post","2021","Heterosexual / straight","Finance","West Midlands","220","210","40960","36970"
"In post","2021","Heterosexual / straight","Finance","West Wales and The Valleys","260","240","36610","33100"
"In post","2021","Heterosexual / straight","Finance","West Yorkshire","250","230","34620","30120"
"In post","2021","Heterosexual / straight","Human Resources","Bedfordshire and Hertfordshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","110","100","38370","33300"
"In post","2021","Heterosexual / straight","Human Resources","Cheshire","50","50","42290","39940"
"In post","2021","Heterosexual / straight","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Derbyshire and Nottinghamshire","230","210","40690","38550"
"In post","2021","Heterosexual / straight","Human Resources","Devon","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Dorset and Somerset","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","East Anglia","90","90","35810","32680"
"In post","2021","Heterosexual / straight","Human Resources","East Wales","460","420","35750","31020"
"In post","2021","Heterosexual / straight","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Eastern Scotland","130","130","36630","33650"
"In post","2021","Heterosexual / straight","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","590","540","36250","32890"
"In post","2021","Heterosexual / straight","Human Resources","Greater Manchester","340","330","33630","31810"
"In post","2021","Heterosexual / straight","Human Resources","Hampshire and Isle of Wight","210","200","34360","30890"
"In post","2021","Heterosexual / straight","Human Resources","Herefordshire, Worcestershire and Warwickshire","90","80","37570","31180"
"In post","2021","Heterosexual / straight","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Inner London - East","290","280","48660","44470"
"In post","2021","Heterosexual / straight","Human Resources","Inner London - West","1210","1180","47830","42860"
"In post","2021","Heterosexual / straight","Human Resources","Kent","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Lancashire","170","160","28000","26670"
"In post","2021","Heterosexual / straight","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Merseyside","200","190","37900","32970"
"In post","2021","Heterosexual / straight","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","North Yorkshire","70","70","39240","35900"
"In post","2021","Heterosexual / straight","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Northumberland and Tyne and Wear","50","50","37800","33810"
"In post","2021","Heterosexual / straight","Human Resources","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Outer London - South","270","250","46850","42440"
"In post","2021","Heterosexual / straight","Human Resources","Outer London - West and North West","60","50","39400","35050"
"In post","2021","Heterosexual / straight","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Shropshire and Staffordshire","50","50","39470","39870"
"In post","2021","Heterosexual / straight","Human Resources","South Yorkshire","70","70","39850","35350"
"In post","2021","Heterosexual / straight","Human Resources","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Tees Valley and Durham","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","West Central Scotland","390","370","25270","21580"
"In post","2021","Heterosexual / straight","Human Resources","West Midlands","110","110","40460","38980"
"In post","2021","Heterosexual / straight","Human Resources","West Wales and The Valleys","190","180","33380","31380"
"In post","2021","Heterosexual / straight","Human Resources","West Yorkshire","150","150","41010","38630"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Derbyshire and Nottinghamshire","60","60","65280","64500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","East Anglia","80","80","65450","75500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","East Wales","60","50","74440","74730"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","66930","75500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Greater Manchester","90","90","65540","73000"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Inner London - West","180","180","65320","64500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","North Yorkshire","110","110","66330","70500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","West Midlands","90","90","65700","64500"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Cheshire","[c]","[c]","[c]","[c]"
