"Status","Year","Profession_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Policy","AA/AO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Education","40","40","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","EO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for Business, Energy and Industrial Strategy","110","110","56350","53600"
"Leaver CS","2022","Policy","G6/G7","Department for Digital, Culture, Media and Sport","40","30","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for Education","50","50","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Department of Health and Social Care","60","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","HM Treasury","50","50","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Home Office","40","40","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department for Business, Energy and Industrial Strategy","90","90","36830","36590"
"Leaver CS","2022","Policy","SEO/HEO","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department for Education","60","60","35370","36500"
"Leaver CS","2022","Policy","SEO/HEO","Department for Environment, Food and Rural Affairs","160","160","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Department of Health and Social Care","80","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","HM Treasury","40","40","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Home Office","60","50","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","SEO/HEO","Welsh Government","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Ministry of Defence","50","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Ministry of Defence","70","60","56910","54540"
"Leaver CS","2022","Project Delivery","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Home Office","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Ministry of Defence","230","220","36590","37730"
"Leaver CS","2022","Project Delivery","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Ministry of Defence","70","70","18810","18890"
"Leaver CS","2022","Property","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","EO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","EO","HM Revenue and Customs","50","40","26210","26030"
"Leaver CS","2022","Property","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","HM Revenue and Customs","50","40","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Ministry of Defence","90","80","37650","36460"
"Leaver CS","2022","Property","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","EO","Ministry of Justice","40","40","[c]","[c]"
"Leaver CS","2022","Psychology","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","SEO/HEO","Ministry of Justice","40","40","[c]","[c]"
"Leaver CS","2022","Psychology","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","AA/AO","Department of Health and Social Care","50","50","[c]","[c]"
"Leaver CS","2022","Science and Engineering","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","AA/AO","Ministry of Defence","110","110","20150","20770"
"Leaver CS","2022","Science and Engineering","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","EO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","EO","Department of Health and Social Care","50","50","25190","24110"
"Leaver CS","2022","Science and Engineering","EO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","EO","Ministry of Defence","130","120","23900","25190"
"Leaver CS","2022","Science and Engineering","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Department of Health and Social Care","140","130","59040","53530"
"Leaver CS","2022","Science and Engineering","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Ministry of Defence","90","80","55420","53490"
"Leaver CS","2022","Science and Engineering","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Department of Health and Social Care","310","280","36960","38050"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Ministry of Defence","310","300","36490","36300"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Unknown","Ministry of Defence","60","60","35890","33450"
"Leaver CS","2022","Security","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
