"Status","Year","Function_of_post","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Counter Fraud","East Lothian and Midlothian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Merseyside","Counter Fraud","60","60","29570","27570"
"In post","2022","Counter Fraud","East Riding of Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Riding of Yorkshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Surrey","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Sussex CC","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Counter Fraud","East Sussex CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Enfield","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Enfield","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Essex Haven Gateway","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Essex Haven Gateway","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Essex Thames Gateway","Counter Fraud","70","60","31370","30910"
"In post","2022","Counter Fraud","Essex Thames Gateway","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Falkirk","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Falkirk","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Flintshire and Wrexham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Flintshire and Wrexham","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Glasgow City","Counter Fraud","230","200","26840","27570"
"In post","2022","Counter Fraud","Glasgow City","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Glasgow City","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Glasgow City","Operational Delivery","360","320","26830","26590"
"In post","2022","Counter Fraud","Glasgow City","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Glasgow City","Tax","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Glasgow City","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Gloucestershire CC","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Gloucestershire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester North East","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester North East","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester North West","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester North West","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester South East","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester South East","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester South West","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester South West","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester South West","Legal","360","350","33720","33080"
"In post","2022","Counter Fraud","Greater Manchester South West","Operational Delivery","200","190","33170","33080"
"In post","2022","Counter Fraud","Greater Manchester South West","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Greater Manchester South West","Tax","170","160","43510","40180"
"In post","2022","Counter Fraud","Greater Manchester South West","Unknown","50","50","[c]","[c]"
"In post","2022","Counter Fraud","Gwent Valleys","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Gwent Valleys","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Gwynedd","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Gwynedd","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Hackney and Newham","Counter Fraud","100","90","33790","31880"
"In post","2022","Counter Fraud","Hackney and Newham","Intelligence Analysis","70","70","43300","37930"
"In post","2022","Counter Fraud","Hackney and Newham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Hackney and Newham","Legal","610","590","38590","37930"
"In post","2022","Counter Fraud","Hackney and Newham","Operational Delivery","300","280","35260","33440"
"In post","2022","Counter Fraud","Hackney and Newham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Hackney and Newham","Other","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Hackney and Newham","Tax","210","200","45580","40910"
"In post","2022","Counter Fraud","Hackney and Newham","Unknown","130","130","35510","31060"
"In post","2022","Counter Fraud","Haringey and Islington","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Harrow and Hillingdon","Counter Fraud","50","50","33180","31880"
"In post","2022","Counter Fraud","Hartlepool and Stockton-on-Tees","Counter Fraud","100","80","23090","21260"
"In post","2022","Counter Fraud","Hartlepool and Stockton-on-Tees","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Heart of Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Herefordshire, County of","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Hertfordshire CC","Counter Fraud","80","70","32070","30480"
"In post","2022","Counter Fraud","Hertfordshire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Hounslow and Richmond upon Thames","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Inverclyde, East Renfrewshire, and Renfrewshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Inverclyde, East Renfrewshire, and Renfrewshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Inverness and Nairn, Moray, and Badenoch and Strathspey","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Isle of Anglesey","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Isle of Wight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Isle of Wight","Operational Delivery","120","100","22450","21260"
"In post","2022","Counter Fraud","Kensington & Chelsea and Hammersmith & Fulham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Kent Thames Gateway","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Kingston upon Hull, City of","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Kingston upon Hull, City of","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lambeth","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Lambeth","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lancaster and Wyre","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lancaster and Wyre","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leeds","Counter Fraud","140","130","31330","27570"
"In post","2022","Counter Fraud","Leeds","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leeds","Legal","210","200","32880","31000"
"In post","2022","Counter Fraud","Leeds","Operational Delivery","360","330","30280","26820"
"In post","2022","Counter Fraud","Leeds","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leeds","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leeds","Tax","180","170","39650","33370"
"In post","2022","Counter Fraud","Leeds","Unknown","60","60","30750","28240"
"In post","2022","Counter Fraud","Leicester","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Leicester","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leicester","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leicester","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Leicestershire CC and Rutland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lewisham and Southwark","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lincolnshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lincolnshire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lisburn and Castlereagh","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Liverpool","Counter Fraud","100","90","28960","27570"
"In post","2022","Counter Fraud","Liverpool","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Liverpool","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Liverpool","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Liverpool","Operational Delivery","110","110","29440","26820"
"In post","2022","Counter Fraud","Liverpool","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Liverpool","Tax","80","70","45910","40520"
"In post","2022","Counter Fraud","Liverpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Luton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Manchester","Counter Fraud","110","100","34350","34050"
"In post","2022","Counter Fraud","Manchester","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Manchester","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Manchester","Legal","70","60","28930","26970"
"In post","2022","Counter Fraud","Manchester","Operational Delivery","200","180","32360","33080"
"In post","2022","Counter Fraud","Manchester","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Manchester","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Manchester","Unknown","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Medway","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Merton, Kingston upon Thames and Sutton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Kent","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Kent","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Lancashire","Counter Fraud","60","60","27810","27570"
"In post","2022","Counter Fraud","Mid Lancashire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Lancashire","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Lancashire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Lancashire","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mid Lancashire","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Milton Keynes","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Milton Keynes","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North and North East Lincolnshire","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","North and North East Lincolnshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North and West Norfolk","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Hampshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Lanarkshire","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","North Lanarkshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Lanarkshire","Legal","180","170","31380","28920"
"In post","2022","Counter Fraud","North Lanarkshire","Operational Delivery","50","50","30820","26820"
"In post","2022","Counter Fraud","North Lanarkshire","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Lanarkshire","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Lanarkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Northamptonshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Nottinghamshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North Yorkshire CC","Counter Fraud","60","50","30240","30810"
"In post","2022","Counter Fraud","North Yorkshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Northumberland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Norwich and East Norfolk","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Norwich and East Norfolk","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Nottingham","Counter Fraud","100","80","27710","27570"
"In post","2022","Counter Fraud","Nottingham","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Nottingham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Nottingham","Legal","190","180","33270","33370"
"In post","2022","Counter Fraud","Nottingham","Operational Delivery","200","180","33530","33080"
"In post","2022","Counter Fraud","Nottingham","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Nottingham","Tax","130","130","42360","40180"
"In post","2022","Counter Fraud","Nottingham","Unknown","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Oxfordshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Oxfordshire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Perth and Kinross, and Stirling","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Perth and Kinross, and Stirling","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Peterborough","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Plymouth","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Plymouth","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Portsmouth","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Portsmouth","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Portsmouth","Legal","60","60","33730","33220"
"In post","2022","Counter Fraud","Portsmouth","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Portsmouth","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Portsmouth","Tax","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Portsmouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Powys","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Powys","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Redbridge and Waltham Forest","Counter Fraud","430","390","27570","25110"
"In post","2022","Counter Fraud","Redbridge and Waltham Forest","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sandwell","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Scottish Borders","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sefton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sefton","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sefton","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sefton","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sefton","Operational Delivery","330","300","31110","26820"
"In post","2022","Counter Fraud","Sefton","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sefton","Tax","60","50","38160","33370"
"In post","2022","Counter Fraud","Sefton","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sheffield","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Sheffield","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Shropshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Solihull","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Solihull","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Somerset CC","Counter Fraud","70","60","27950","27570"
"In post","2022","Counter Fraud","South and West Derbyshire","Counter Fraud","80","70","28650","27570"
"In post","2022","Counter Fraud","South and West Derbyshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Ayrshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Ayrshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Hampshire","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Counter Fraud","South Lanarkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Lanarkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Lanarkshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Lanarkshire","Tax","60","50","34140","28920"
"In post","2022","Counter Fraud","South Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South Teesside","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Counter Fraud","South Teesside","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South West Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southampton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southampton","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southend-on-Sea","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southend-on-Sea","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southend-on-Sea","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southend-on-Sea","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Southend-on-Sea","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Staffordshire CC","Counter Fraud","50","40","28290","27570"
"In post","2022","Counter Fraud","Staffordshire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Stoke-on-Trent","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Stoke-on-Trent","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Suffolk CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Suffolk CC","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Suffolk CC","Legal","290","270","28690","26820"
"In post","2022","Counter Fraud","Suffolk CC","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Suffolk CC","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Suffolk CC","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Suffolk CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sunderland","Counter Fraud","90","80","26450","27570"
"In post","2022","Counter Fraud","Sunderland","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sunderland","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sunderland","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Sunderland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Swansea","Counter Fraud","60","60","26910","27570"
"In post","2022","Counter Fraud","Swansea","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Swindon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Swindon","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Telford and Wrekin","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Telford and Wrekin","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Telford and Wrekin","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Telford and Wrekin","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Telford and Wrekin","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Thurrock","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Torbay","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Torbay","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tower Hamlets","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tower Hamlets","Operational Delivery","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Tower Hamlets","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tower Hamlets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tyneside","Counter Fraud","240","230","29100","27570"
"In post","2022","Counter Fraud","Tyneside","Intelligence Analysis","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Tyneside","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tyneside","Legal","170","170","31030","28570"
"In post","2022","Counter Fraud","Tyneside","Operational Delivery","220","200","31360","33080"
"In post","2022","Counter Fraud","Tyneside","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tyneside","Tax","110","110","41640","40180"
"In post","2022","Counter Fraud","Tyneside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wakefield","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Walsall","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wandsworth","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wandsworth","Operational Delivery","50","40","25430","25110"
"In post","2022","Counter Fraud","Warrington","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Warwickshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Warwickshire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Cumbria","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Cumbria","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Kent","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Kent","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Lothian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Surrey","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","West Surrey","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Sussex (North East)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Sussex (South West)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Sussex (South West)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Sussex (South West)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Counter Fraud","320","310","45250","40000"
"In post","2022","Counter Fraud","Westminster","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Westminster","Unknown","100","100","49170","53360"
"In post","2022","Counter Fraud","Wiltshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wiltshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wirral","Counter Fraud","50","50","27600","27570"
"In post","2022","Counter Fraud","Wolverhampton","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Wolverhampton","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Worcestershire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Worcestershire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","York","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","York","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","York","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Angus and Dundee City","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Barnsley, Doncaster and Rotherham","Other","260","220","22600","21260"
"In post","2022","Debt","Belfast","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Berkshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Birmingham","Operational Delivery","310","270","23050","21250"
"In post","2022","Debt","Birmingham","Other","80","60","21990","20430"
"In post","2022","Debt","Birmingham","Tax","80","70","21890","21250"
"In post","2022","Debt","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Blackpool","Other","40","40","[c]","[c]"
"In post","2022","Debt","Bradford","Operational Delivery","180","160","23980","21250"
"In post","2022","Debt","Bradford","Other","290","240","22510","21260"
"In post","2022","Debt","Bradford","Tax","50","50","21250","21250"
"In post","2022","Debt","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Bristol, City of","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Camden and City of London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Cardiff and Vale of Glamorgan","Operational Delivery","350","320","24220","21250"
"In post","2022","Debt","Cardiff and Vale of Glamorgan","Tax","30","30","[c]","[c]"
"In post","2022","Debt","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Central Valleys","Other","70","60","22100","21260"
"In post","2022","Debt","City of Edinburgh","Operational Delivery","270","250","23520","22080"
"In post","2022","Debt","City of Edinburgh","Tax","230","230","21580","21250"
"In post","2022","Debt","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Coventry","Other","[c]","[c]","[c]","[c]"
