"Status","Year","Age","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Wales","Finance","40","30","[c]","[c]"
"In post","2022","60-64","Wales","Human Resources","40","30","[c]","[c]"
"In post","2022","60-64","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wales","Legal","30","20","[c]","[c]"
"In post","2022","60-64","Wales","No function","1860","1420","26390","22740"
"In post","2022","60-64","Wales","Project Delivery","50","40","47630","40520"
"In post","2022","60-64","Wales","Property","60","50","31710","27810"
"In post","2022","60-64","Wales","Security","40","40","[c]","[c]"
"In post","2022","60-64","Wales","Unknown","560","490","40000","38160"
"In post","2022","60-64","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Counter Fraud","160","110","31360","27570"
"In post","2022","60-64","West Midlands (England)","Debt","100","70","23200","21260"
"In post","2022","60-64","West Midlands (England)","Digital, Data & Technology","90","80","38010","33640"
"In post","2022","60-64","West Midlands (England)","Finance","50","40","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Human Resources","50","40","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Legal","50","40","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","No function","1860","1510","29020","27380"
"In post","2022","60-64","West Midlands (England)","Project Delivery","60","50","36930","33430"
"In post","2022","60-64","West Midlands (England)","Property","70","60","33730","28040"
"In post","2022","60-64","West Midlands (England)","Security","40","40","[c]","[c]"
"In post","2022","60-64","West Midlands (England)","Unknown","250","230","29360","27370"
"In post","2022","60-64","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Yorkshire and The Humber","Counter Fraud","110","70","29190","27570"
"In post","2022","60-64","Yorkshire and The Humber","Debt","80","60","23890","21260"
"In post","2022","60-64","Yorkshire and The Humber","Digital, Data & Technology","80","70","37780","34390"
"In post","2022","60-64","Yorkshire and The Humber","Finance","150","110","31580","27570"
"In post","2022","60-64","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Yorkshire and The Humber","Human Resources","70","60","36100","33120"
"In post","2022","60-64","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Yorkshire and The Humber","Legal","60","50","41280","34480"
"In post","2022","60-64","Yorkshire and The Humber","No function","1630","1270","29210","27570"
"In post","2022","60-64","Yorkshire and The Humber","Project Delivery","70","50","38650","34290"
"In post","2022","60-64","Yorkshire and The Humber","Property","70","60","37270","35310"
"In post","2022","60-64","Yorkshire and The Humber","Security","80","70","29150","25940"
"In post","2022","60-64","Yorkshire and The Humber","Unknown","470","410","26440","25040"
"In post","2022","65+","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","No function","350","260","28590","26750"
"In post","2022","65+","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","East Midlands (England)","Unknown","60","60","26810","21380"
"In post","2022","65+","East of England","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Counter Fraud","40","30","[c]","[c]"
"In post","2022","65+","East of England","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Digital, Data & Technology","30","20","[c]","[c]"
"In post","2022","65+","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","No function","440","330","29300","27130"
"In post","2022","65+","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","East of England","Unknown","120","90","26830","21830"
"In post","2022","65+","London","Analysis","30","30","[c]","[c]"
"In post","2022","65+","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","London","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","London","Counter Fraud","120","90","34850","31880"
"In post","2022","65+","London","Debt","50","40","28960","26400"
"In post","2022","65+","London","Digital, Data & Technology","60","50","43600","39250"
"In post","2022","65+","London","Finance","70","70","38220","35570"
"In post","2022","65+","London","Human Resources","30","20","[c]","[c]"
"In post","2022","65+","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","London","Legal","110","90","52440","60900"
"In post","2022","65+","London","No function","1200","1000","36650","31060"
"In post","2022","65+","London","Project Delivery","90","70","48120","40910"
"In post","2022","65+","London","Property","90","80","36920","30620"
"In post","2022","65+","London","Security","50","50","38310","39090"
"In post","2022","65+","London","Unknown","460","370","33020","29080"
"In post","2022","65+","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","65+","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","No function","510","370","24900","22080"
"In post","2022","65+","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","North East (England)","Unknown","50","30","[c]","[c]"
"In post","2022","65+","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Counter Fraud","70","50","31320","27570"
"In post","2022","65+","North West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","65+","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","No function","930","670","26980","25700"
"In post","2022","65+","North West (England)","Project Delivery","50","40","[c]","[c]"
"In post","2022","65+","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","North West (England)","Unknown","170","130","24810","21680"
"In post","2022","65+","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland","No function","40","30","[c]","[c]"
"In post","2022","65+","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland","Unknown","30","30","[c]","[c]"
"In post","2022","65+","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Overseas","No function","[c]","[c]","[c]","[c]"
"In post","2022","65+","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Counter Fraud","70","50","27930","27570"
"In post","2022","65+","Scotland","Debt","40","30","[c]","[c]"
"In post","2022","65+","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","No function","570","400","28490","26640"
"In post","2022","65+","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Property","30","30","[c]","[c]"
"In post","2022","65+","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scotland","Unknown","320","270","34900","30040"
"In post","2022","65+","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Counter Fraud","60","40","27660","27570"
"In post","2022","65+","South East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2022","65+","South East (England)","Finance","30","30","[c]","[c]"
"In post","2022","65+","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","South East (England)","Legal","30","20","[c]","[c]"
"In post","2022","65+","South East (England)","No function","940","700","28590","25060"
"In post","2022","65+","South East (England)","Project Delivery","60","50","36860","33300"
"In post","2022","65+","South East (England)","Property","40","40","[c]","[c]"
"In post","2022","65+","South East (England)","Security","60","50","29220","26350"
"In post","2022","65+","South East (England)","Unknown","370","320","30440","27370"
"In post","2022","65+","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Counter Fraud","30","20","[c]","[c]"
"In post","2022","65+","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Digital, Data & Technology","70","50","38540","36160"
"In post","2022","65+","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","South West (England)","No function","560","400","29590","27530"
"In post","2022","65+","South West (England)","Project Delivery","230","200","41000","40580"
"In post","2022","65+","South West (England)","Property","50","40","28490","26950"
"In post","2022","65+","South West (England)","Security","60","50","25030","25000"
"In post","2022","65+","South West (England)","Unknown","200","180","27340","25190"
"In post","2022","65+","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","65+","Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Counter Fraud","40","20","[c]","[c]"
"In post","2022","65+","Wales","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","No function","550","380","25830","21840"
"In post","2022","65+","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Wales","Unknown","230","180","39510","34610"
"In post","2022","65+","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Counter Fraud","40","20","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","No function","500","360","28140","26780"
"In post","2022","65+","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","West Midlands (England)","Unknown","100","90","30960","26670"
"In post","2022","65+","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Counter Fraud","40","20","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Debt","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","No function","420","290","28170","27130"
"In post","2022","65+","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Property","40","30","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Yorkshire and The Humber","Unknown","120","100","26290","21680"
"In post","2022","Unknown","East of England","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","East Midlands (England)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","East of England","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","East of England","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North East (England)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North West (England)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","South East (England)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","South East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","South West (England)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Wales","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","West Midlands (England)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Yorkshire and The Humber","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East Midlands (England)","No function","180","180","20030","18880"
"Leaver CS","2021","20-29","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East Midlands (England)","Unknown","60","60","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","No function","180","180","21630","20800"
"Leaver CS","2021","20-29","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East of England","Unknown","60","60","25960","24180"
"Leaver CS","2021","20-29","London","Analysis","110","110","28570","26340"
"Leaver CS","2021","20-29","London","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Communications","50","50","30880","32220"
"Leaver CS","2021","20-29","London","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Digital, Data & Technology","50","50","34150","30850"
"Leaver CS","2021","20-29","London","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Legal","60","60","30310","26970"
"Leaver CS","2021","20-29","London","No function","560","550","27320","25730"
"Leaver CS","2021","20-29","London","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","Unknown","570","500","30400","28680"
"Leaver CS","2021","20-29","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North East (England)","No function","70","70","[c]","[c]"
"Leaver CS","2021","20-29","North East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North East (England)","Unknown","150","140","22290","21010"
"Leaver CS","2021","20-29","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","No function","190","190","21590","20530"
"Leaver CS","2021","20-29","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","North West (England)","Unknown","260","240","23750","21010"
"Leaver CS","2021","20-29","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","No function","70","70","22840","21810"
"Leaver CS","2021","20-29","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Unknown","170","160","25060","22790"
"Leaver CS","2021","20-29","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","No function","320","310","22320","21300"
"Leaver CS","2021","20-29","South East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South East (England)","Unknown","90","90","23820","21920"
"Leaver CS","2021","20-29","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","No function","250","240","22420","20160"
"Leaver CS","2021","20-29","South West (England)","Project Delivery","100","90","26000","25560"
"Leaver CS","2021","20-29","South West (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","South West (England)","Unknown","100","100","24290","21010"
"Leaver CS","2021","20-29","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","No function","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","150","150","[c]","[c]"
"Leaver CS","2021","20-29","Wales","Analysis","40","30","[c]","[c]"
"Leaver CS","2021","20-29","Wales","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Wales","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
