"Status","Year","Region_ITL2","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Unknown","180","170","49180","45570"
"In post","2021","Bedfordshire and Hertfordshire","Security","Security","80","80","25590","22650"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","1230","1130","29480","29290"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Commercial","170","170","39170","36800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Communications","80","80","32450","31200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Digital, Data & Technology","240","230","41600","38600"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Finance","300","290","38400","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Human Resources","130","120","39030","34820"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","No function","60","60","43390","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","No function","60","50","37910","36520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Legal","170","140","52000","53630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Unknown","110","100","45660","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Grants Management","150","140","28090","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Legal","60","60","28220","26970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","No function","3060","2900","29570","28970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Unknown","100","100","28080","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Project Delivery","70","70","33520","30680"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Unknown","840","820","26190","21620"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Unknown","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Project Delivery","360","350","40090","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Property","360","350","34100","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","No function","90","80","36490","30450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","No function","210","200","45000","40560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Unknown","60","60","35300","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Security","970","960","34320","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","No function","150","140","38010","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","No function","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Security","100","90","30270","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","1180","1080","28450","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","Digital, Data & Technology","140","130","41990","41700"
"In post","2021","Cheshire","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Human Resources","70","60","42030","40080"
"In post","2021","Cheshire","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Legal","30","30","[c]","[c]"
"In post","2021","Cheshire","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Grants Management","100","90","24740","24920"
"In post","2021","Cheshire","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","No function","2340","2240","32030","31650"
"In post","2021","Cheshire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Project Delivery","50","50","38040","36600"
"In post","2021","Cheshire","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","940","850","25480","27570"
"In post","2021","Cheshire","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","No function","230","200","27080","26520"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other","Unknown","210","200","23300","21130"
"In post","2021","Cornwall and Isles of Scilly","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","Property","50","50","29590","26580"
"In post","2021","Cornwall and Isles of Scilly","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Science and Engineering","Unknown","80","80","22660","22500"
"In post","2021","Cornwall and Isles of Scilly","Security","Security","50","50","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","830","740","25490","27570"
"In post","2021","Cornwall and Isles of Scilly","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Operational Delivery","Communications","60","60","27240","25580"
"In post","2021","Cumbria","Operational Delivery","Grants Management","650","570","24000","21050"
"In post","2021","Cumbria","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Operational Delivery","No function","540","500","26660","24440"
"In post","2021","Cumbria","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other","Project Delivery","80","80","22910","21090"
"In post","2021","Cumbria","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","Project Delivery","100","100","40420","37270"
"In post","2021","Cumbria","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Science and Engineering","Project Delivery","80","80","42190","41400"
"In post","2021","Cumbria","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","Security","90","90","27500","23540"
"In post","2021","Cumbria","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Unknown","270","230","26610","27570"
"In post","2021","Cumbria","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","Commercial","70","70","42930","41650"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Communications","Communications","80","80","37020","36780"
"In post","2021","Derbyshire and Nottinghamshire","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data and Technology","Digital, Data & Technology","170","170","38890","35900"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Finance","130","120","38560","34090"
"In post","2021","Derbyshire and Nottinghamshire","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Human Resources","Human Resources","310","290","39240","33840"
"In post","2021","Derbyshire and Nottinghamshire","Inspector of Education and Training","No function","70","70","64380","64500"
"In post","2021","Derbyshire and Nottinghamshire","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Legal","Counter Fraud","180","170","31020","31810"
"In post","2021","Derbyshire and Nottinghamshire","Legal","Legal","190","170","49050","48830"
"In post","2021","Derbyshire and Nottinghamshire","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Communications","110","110","28890","25560"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Counter Fraud","170","160","30540","28130"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Debt","160","140","22050","20140"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Grants Management","60","60","25370","25100"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Human Resources","60","60","31090","31810"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Legal","200","180","25640","25480"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","No function","4670","4320","27780","25790"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Property","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other","No function","70","70","39410","26620"
"In post","2021","Derbyshire and Nottinghamshire","Other","Project Delivery","[c]","[c]","[c]","[c]"
