"Status","Year","Region_ITL3","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Antrim and Newtownabbey","Male","40-49","40","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","50-59","60","60","24450","20310"
"In post","2021","Antrim and Newtownabbey","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","40-49","50","50","[c]","[c]"
"In post","2021","Ards and North Down","Male","50-59","80","80","23140","20310"
"In post","2021","Ards and North Down","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","20-29","50","50","29390","31060"
"In post","2021","Barking & Dagenham and Havering","Female","30-39","60","50","29910","31060"
"In post","2021","Barking & Dagenham and Havering","Female","40-49","90","70","29680","31060"
"In post","2021","Barking & Dagenham and Havering","Female","50-59","150","130","30800","31060"
"In post","2021","Barking & Dagenham and Havering","Female","60-64","30","20","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","20-29","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","30-39","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","40-49","50","50","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","50-59","60","60","31210","31060"
"In post","2021","Barking & Dagenham and Havering","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","20-29","230","220","30550","31060"
"In post","2021","Barnet","Female","30-39","230","220","38060","33350"
"In post","2021","Barnet","Female","40-49","240","220","43000","38930"
"In post","2021","Barnet","Female","50-59","250","230","40270","32090"
"In post","2021","Barnet","Female","60-64","80","70","42320","31880"
"In post","2021","Barnet","Female","65+","30","30","[c]","[c]"
"In post","2021","Barnet","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","20-29","110","100","30320","31060"
"In post","2021","Barnet","Male","30-39","110","110","40350","36650"
"In post","2021","Barnet","Male","40-49","130","130","47960","45790"
"In post","2021","Barnet","Male","50-59","190","190","43460","41060"
"In post","2021","Barnet","Male","60-64","50","50","52330","46000"
"In post","2021","Barnet","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","20-29","240","230","24440","22920"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","30-39","320","280","26300","26300"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","40-49","450","370","27600","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","50-59","620","540","26090","26580"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","60-64","160","120","24830","23240"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","65+","40","20","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","20-29","170","170","25100","25790"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","30-39","230","230","27760","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","40-49","240","230","28820","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","50-59","370","350","31740","31200"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","60-64","120","90","28030","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","20-29","1180","1150","27270","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","30-39","1440","1300","34880","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","40-49","1230","1130","38990","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","50-59","1190","1120","37980","33640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","60-64","240","200","34990","33000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","65+","60","50","30570","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","16-19","80","80","17940","17780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","20-29","1640","1630","28070","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","30-39","1710","1700","37730","37370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","40-49","1650","1640","44010","41060"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","50-59","2180","2150","46550","42720"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","60-64","590","520","44410","41430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","65+","150","130","40030","40440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","20-29","90","90","26590","27570"
"In post","2021","Bedford","Female","30-39","90","80","27790","27570"
"In post","2021","Bedford","Female","40-49","100","90","30060","27570"
"In post","2021","Bedford","Female","50-59","140","130","30990","27670"
"In post","2021","Bedford","Female","60-64","40","30","[c]","[c]"
"In post","2021","Bedford","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","20-29","70","70","28030","29050"
"In post","2021","Bedford","Male","30-39","80","70","30390","29920"
"In post","2021","Bedford","Male","40-49","80","80","32110","30780"
"In post","2021","Bedford","Male","50-59","110","100","35610","31780"
"In post","2021","Bedford","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","20-29","190","180","23490","20140"
"In post","2021","Belfast","Female","30-39","350","320","28870","25560"
"In post","2021","Belfast","Female","40-49","380","340","29010","25560"
"In post","2021","Belfast","Female","50-59","400","360","31470","28130"
"In post","2021","Belfast","Female","60-64","80","60","26950","25560"
"In post","2021","Belfast","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","20-29","200","190","23130","20140"
"In post","2021","Belfast","Male","30-39","380","380","28000","25560"
"In post","2021","Belfast","Male","40-49","340","330","29400","25560"
"In post","2021","Belfast","Male","50-59","350","340","33030","31020"
"In post","2021","Belfast","Male","60-64","70","60","29110","27370"
"In post","2021","Belfast","Male","65+","40","30","[c]","[c]"
"In post","2021","Belfast","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","20-29","180","180","28010","26610"
"In post","2021","Berkshire","Female","30-39","250","240","33760","30890"
"In post","2021","Berkshire","Female","40-49","330","300","34230","29290"
"In post","2021","Berkshire","Female","50-59","420","400","33370","30070"
"In post","2021","Berkshire","Female","60-64","130","110","32700","29290"
"In post","2021","Berkshire","Female","65+","50","40","29530","25630"
"In post","2021","Berkshire","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","20-29","240","240","29370","27680"
"In post","2021","Berkshire","Male","30-39","350","350","35630","33300"
"In post","2021","Berkshire","Male","40-49","340","340","37730","37490"
"In post","2021","Berkshire","Male","50-59","480","470","38200","38890"
"In post","2021","Berkshire","Male","60-64","120","110","34720","33300"
"In post","2021","Berkshire","Male","65+","50","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","20-29","200","190","29220","31060"
"In post","2021","Bexley and Greenwich","Female","30-39","190","180","31500","31060"
"In post","2021","Bexley and Greenwich","Female","40-49","200","190","31260","31060"
"In post","2021","Bexley and Greenwich","Female","50-59","260","240","30960","30330"
"In post","2021","Bexley and Greenwich","Female","60-64","70","50","28480","26610"
"In post","2021","Bexley and Greenwich","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","20-29","130","130","30260","31060"
"In post","2021","Bexley and Greenwich","Male","30-39","200","200","32900","33180"
"In post","2021","Bexley and Greenwich","Male","40-49","160","150","33490","33180"
"In post","2021","Bexley and Greenwich","Male","50-59","260","260","34640","34750"
"In post","2021","Bexley and Greenwich","Male","60-64","70","60","34470","33950"
"In post","2021","Bexley and Greenwich","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Female","20-29","1000","970","25030","23140"
"In post","2021","Birmingham","Female","30-39","1460","1330","29480","27470"
"In post","2021","Birmingham","Female","40-49","1610","1430","33350","27570"
"In post","2021","Birmingham","Female","50-59","1890","1710","31510","27570"
"In post","2021","Birmingham","Female","60-64","520","400","29090","27090"
"In post","2021","Birmingham","Female","65+","110","80","27460","26000"
"In post","2021","Birmingham","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Male","20-29","800","790","25950","24880"
"In post","2021","Birmingham","Male","30-39","1290","1270","30480","27570"
"In post","2021","Birmingham","Male","40-49","1100","1080","34390","30820"
"In post","2021","Birmingham","Male","50-59","1360","1320","36060","31810"
"In post","2021","Birmingham","Male","60-64","350","310","34020","27570"
"In post","2021","Birmingham","Male","65+","100","80","32540","27770"
"In post","2021","Birmingham","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","20-29","30","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","30-39","50","40","25450","27570"
"In post","2021","Blackburn with Darwen","Female","40-49","100","80","27410","27570"
"In post","2021","Blackburn with Darwen","Female","50-59","80","70","27110","27570"
"In post","2021","Blackburn with Darwen","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","30-39","60","50","25640","27570"
"In post","2021","Blackburn with Darwen","Male","40-49","60","60","27460","27570"
"In post","2021","Blackburn with Darwen","Male","50-59","50","50","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","20-29","290","290","24470","21010"
"In post","2021","Blackpool","Female","30-39","390","350","27290","27570"
"In post","2021","Blackpool","Female","40-49","870","770","29420","27570"
"In post","2021","Blackpool","Female","50-59","1280","1140","29670","27570"
"In post","2021","Blackpool","Female","60-64","280","210","26440","26120"
"In post","2021","Blackpool","Female","65+","90","70","24320","21010"
"In post","2021","Blackpool","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Male","20-29","290","290","24430","21010"
"In post","2021","Blackpool","Male","30-39","310","300","27800","27570"
"In post","2021","Blackpool","Male","40-49","490","480","30830","27570"
"In post","2021","Blackpool","Male","50-59","640","620","33480","27570"
"In post","2021","Blackpool","Male","60-64","160","130","30990","27570"
"In post","2021","Blackpool","Male","65+","40","30","[c]","[c]"
"In post","2021","Blackpool","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","20-29","40","30","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","30-39","60","50","26360","27570"
"In post","2021","Bournemouth and Poole","Female","40-49","100","90","27230","27570"
"In post","2021","Bournemouth and Poole","Female","50-59","150","130","28380","27570"
"In post","2021","Bournemouth and Poole","Female","60-64","50","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","30-39","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","40-49","60","60","28480","27570"
"In post","2021","Bournemouth and Poole","Male","50-59","120","120","26910","27370"
"In post","2021","Bournemouth and Poole","Male","60-64","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Female","20-29","230","220","23610","21010"
"In post","2021","Bradford","Female","30-39","330","280","26320","25560"
"In post","2021","Bradford","Female","40-49","410","330","27380","25560"
"In post","2021","Bradford","Female","50-59","650","560","28530","25650"
"In post","2021","Bradford","Female","60-64","210","150","25780","21440"
"In post","2021","Bradford","Female","65+","30","20","[c]","[c]"
"In post","2021","Bradford","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Male","20-29","250","240","23640","20750"
"In post","2021","Bradford","Male","30-39","280","270","27330","25560"
"In post","2021","Bradford","Male","40-49","280","260","28420","25560"
"In post","2021","Bradford","Male","50-59","330","310","30230","27570"
"In post","2021","Bradford","Male","60-64","80","60","27850","26580"
"In post","2021","Bradford","Male","65+","30","20","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","20-29","40","40","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","30-39","60","50","28390","26810"
"In post","2021","Breckland and South Norfolk","Female","40-49","40","40","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","50-59","60","50","27120","25790"
"In post","2021","Breckland and South Norfolk","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","20-29","60","60","24050","23970"
"In post","2021","Breckland and South Norfolk","Male","30-39","70","70","28710","26810"
"In post","2021","Breckland and South Norfolk","Male","40-49","60","60","29890","28220"
"In post","2021","Breckland and South Norfolk","Male","50-59","80","80","33190","31650"
"In post","2021","Breckland and South Norfolk","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Female","20-29","70","70","29250","31060"
"In post","2021","Brent","Female","30-39","60","50","29720","31060"
"In post","2021","Brent","Female","40-49","80","70","30990","31060"
"In post","2021","Brent","Female","50-59","140","130","32140","30130"
"In post","2021","Brent","Female","60-64","30","30","[c]","[c]"
"In post","2021","Brent","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","20-29","40","40","[c]","[c]"
"In post","2021","Brent","Male","30-39","30","30","[c]","[c]"
"In post","2021","Brent","Male","40-49","40","40","[c]","[c]"
"In post","2021","Brent","Male","50-59","70","60","36800","31880"
"In post","2021","Brent","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","20-29","60","50","25080","27570"
"In post","2021","Bridgend and Neath Port Talbot","Female","30-39","100","90","25890","27570"
"In post","2021","Bridgend and Neath Port Talbot","Female","40-49","130","110","28360","27570"
"In post","2021","Bridgend and Neath Port Talbot","Female","50-59","150","130","26700","27570"
"In post","2021","Bridgend and Neath Port Talbot","Female","60-64","60","40","24100","21010"
"In post","2021","Bridgend and Neath Port Talbot","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","30-39","40","40","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","40-49","40","40","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","50-59","70","70","30960","27570"
"In post","2021","Bridgend and Neath Port Talbot","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","20-29","60","50","25310","26970"
"In post","2021","Brighton and Hove","Female","30-39","70","60","29020","27570"
"In post","2021","Brighton and Hove","Female","40-49","110","90","33910","27570"
"In post","2021","Brighton and Hove","Female","50-59","140","120","33460","27570"
"In post","2021","Brighton and Hove","Female","60-64","40","30","[c]","[c]"
"In post","2021","Brighton and Hove","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","40-49","50","50","[c]","[c]"
"In post","2021","Brighton and Hove","Male","50-59","80","80","33320","28200"
"In post","2021","Brighton and Hove","Male","60-64","40","30","[c]","[c]"
"In post","2021","Brighton and Hove","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Female","20-29","650","630","27440","25560"
"In post","2021","Bristol, City of","Female","30-39","860","770","34280","31810"
"In post","2021","Bristol, City of","Female","40-49","870","760","37380","32670"
"In post","2021","Bristol, City of","Female","50-59","880","800","36940","31810"
"In post","2021","Bristol, City of","Female","60-64","200","160","33950","27570"
"In post","2021","Bristol, City of","Female","65+","60","40","33610","26580"
"In post","2021","Bristol, City of","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Male","20-29","460","450","28590","26050"
"In post","2021","Bristol, City of","Male","30-39","710","700","36280","31940"
"In post","2021","Bristol, City of","Male","40-49","750","730","40230","36410"
"In post","2021","Bristol, City of","Male","50-59","840","820","39700","34290"
"In post","2021","Bristol, City of","Male","60-64","200","170","39920","34320"
"In post","2021","Bristol, City of","Male","65+","120","90","43850","35000"
"In post","2021","Bromley","Female","20-29","40","40","[c]","[c]"
"In post","2021","Bromley","Female","30-39","50","40","[c]","[c]"
"In post","2021","Bromley","Female","40-49","60","50","30010","30920"
"In post","2021","Bromley","Female","50-59","130","120","29980","31060"
"In post","2021","Bromley","Female","60-64","40","30","[c]","[c]"
"In post","2021","Bromley","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","50-59","60","60","29990","30650"
"In post","2021","Bromley","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Female","20-29","170","170","27790","27850"
"In post","2021","Buckinghamshire CC","Female","30-39","190","180","32060","28670"
"In post","2021","Buckinghamshire CC","Female","40-49","210","190","33490","29530"
"In post","2021","Buckinghamshire CC","Female","50-59","300","280","31490","28670"
"In post","2021","Buckinghamshire CC","Female","60-64","80","70","29500","27570"
"In post","2021","Buckinghamshire CC","Female","65+","30","30","[c]","[c]"
"In post","2021","Buckinghamshire CC","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Male","20-29","90","90","28080","28000"
"In post","2021","Buckinghamshire CC","Male","30-39","140","140","31600","31180"
"In post","2021","Buckinghamshire CC","Male","40-49","150","150","35030","33520"
"In post","2021","Buckinghamshire CC","Male","50-59","220","220","37320","34250"
"In post","2021","Buckinghamshire CC","Male","60-64","70","60","32940","33300"
"In post","2021","Buckinghamshire CC","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","50-59","40","40","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","50-59","40","40","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Female","20-29","60","60","25550","27570"
"In post","2021","Calderdale and Kirklees","Female","30-39","140","110","26460","27570"
"In post","2021","Calderdale and Kirklees","Female","40-49","170","140","26720","27570"
"In post","2021","Calderdale and Kirklees","Female","50-59","250","220","27690","27570"
"In post","2021","Calderdale and Kirklees","Female","60-64","60","50","25740","27470"
"In post","2021","Calderdale and Kirklees","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Male","20-29","50","50","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Male","30-39","70","70","27630","27570"
