"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","16-19","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Cabinet Office (excl. agencies)","130","130","36030","34550"
"In post","2021","Asian","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Crown Prosecution Service","90","90","28330","25480"
"In post","2021","Asian","20-29","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Defence Equipment and Support","70","70","26940","27000"
"In post","2021","Asian","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","160","160","38180","33640"
"In post","2021","Asian","20-29","Department for Digital, Culture, Media and Sport","50","50","40160","38000"
"In post","2021","Asian","20-29","Department for Education (excl. agencies)","130","130","33820","31350"
"In post","2021","Asian","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","34520","32560"
"In post","2021","Asian","20-29","Department for International Trade","70","70","34590","32120"
"In post","2021","Asian","20-29","Department for Transport (excl. agencies)","90","90","37150","34710"
"In post","2021","Asian","20-29","Department for Work and Pensions (excl. agencies)","1420","1400","27580","27570"
"In post","2021","Asian","20-29","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Asian","20-29","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Asian","20-29","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","34170","32500"
"In post","2021","Asian","20-29","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Government Legal Department","40","40","[c]","[c]"
"In post","2021","Asian","20-29","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","HM Courts and Tribunals Service","210","210","22390","21300"
"In post","2021","Asian","20-29","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Asian","20-29","HM Prison and Probation Service","270","260","26070","24620"
"In post","2021","Asian","20-29","HM Revenue and Customs (excl. agencies)","890","870","27450","25560"
"In post","2021","Asian","20-29","HM Treasury (excl. agencies)","100","100","35950","32320"
"In post","2021","Asian","20-29","Home Office (incl. agencies)","610","590","28510","25630"
"In post","2021","Asian","20-29","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Medicines and Healthcare Products Regulatory Agency","70","70","31490","27400"
"In post","2021","Asian","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Ministry of Defence (excl. agencies)","140","140","32460","32720"
"In post","2021","Asian","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","70","70","34030","33210"
"In post","2021","Asian","20-29","Ministry of Justice (excl. agencies)","90","90","30550","30850"
"In post","2021","Asian","20-29","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Asian","20-29","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Asian","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Office of the Public Guardian","110","100","20480","19930"
"In post","2021","Asian","20-29","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Public Health England","180","170","28350","26880"
"In post","2021","Asian","20-29","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","United Kingdom Statistics Authority","50","50","[c]","[c]"
"In post","2021","Asian","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Cabinet Office (excl. agencies)","170","170","47460","54700"
"In post","2021","Asian","30-39","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Competition and Markets Authority","50","40","[c]","[c]"
"In post","2021","Asian","30-39","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Crown Prosecution Service","130","120","37850","38760"
"In post","2021","Asian","30-39","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Defence Equipment and Support","100","100","35270","33190"
"In post","2021","Asian","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","120","45960","42300"
"In post","2021","Asian","30-39","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Asian","30-39","Department for Education (excl. agencies)","130","130","41040","37100"
"In post","2021","Asian","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","60","50","40890","37590"
"In post","2021","Asian","30-39","Department for International Trade","60","60","46000","43120"
"In post","2021","Asian","30-39","Department for Transport (excl. agencies)","80","80","47480","44480"
"In post","2021","Asian","30-39","Department for Work and Pensions (excl. agencies)","1700","1570","27710","27570"
"In post","2021","Asian","30-39","Department of Health and Social Care (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Asian","30-39","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Education and Skills Funding Agency","60","60","36770","33740"
"In post","2021","Asian","30-39","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","130","120","44590","39240"
"In post","2021","Asian","30-39","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Government Legal Department","100","100","48690","51250"
"In post","2021","Asian","30-39","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","HM Courts and Tribunals Service","390","350","24460","22680"
"In post","2021","Asian","30-39","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Asian","30-39","HM Prison and Probation Service","440","410","30310","30110"
"In post","2021","Asian","30-39","HM Revenue and Customs (excl. agencies)","1160","1100","31050","29570"
"In post","2021","Asian","30-39","HM Treasury (excl. agencies)","50","50","54540","56840"
"In post","2021","Asian","30-39","Home Office (incl. agencies)","1320","1240","31370","28810"
"In post","2021","Asian","30-39","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Asian","30-39","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Medicines and Healthcare Products Regulatory Agency","80","80","39410","33090"
"In post","2021","Asian","30-39","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Ministry of Defence (excl. agencies)","210","200","35970","33300"
"In post","2021","Asian","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","46220","53130"
"In post","2021","Asian","30-39","Ministry of Justice (excl. agencies)","160","150","37560","33450"
"In post","2021","Asian","30-39","National Crime Agency","70","70","35990","36200"
"In post","2021","Asian","30-39","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Asian","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Office of the Public Guardian","200","180","21420","19930"
"In post","2021","Asian","30-39","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Public Health England","210","200","37850","33330"
"In post","2021","Asian","30-39","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Valuation Office Agency","40","30","[c]","[c]"
"In post","2021","Asian","30-39","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Cabinet Office (excl. agencies)","110","100","53640","54700"
"In post","2021","Asian","40-49","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Crown Prosecution Service","200","180","43590","48830"
"In post","2021","Asian","40-49","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Defence Equipment and Support","70","70","39160","36550"
"In post","2021","Asian","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","52000","53600"
"In post","2021","Asian","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Department for Education (excl. agencies)","130","130","44160","40780"
"In post","2021","Asian","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","42980","37420"
"In post","2021","Asian","40-49","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Asian","40-49","Department for Transport (excl. agencies)","60","60","47730","42890"
"In post","2021","Asian","40-49","Department for Work and Pensions (excl. agencies)","2020","1750","27690","27570"
"In post","2021","Asian","40-49","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Asian","40-49","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Asian","40-49","Education and Skills Funding Agency","70","70","42340","38710"
"In post","2021","Asian","40-49","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","120","120","47490","39220"
"In post","2021","Asian","40-49","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Government Legal Department","80","80","53320","52700"
"In post","2021","Asian","40-49","Government Property Agency","[c]","[c]","[c]","[c]"
