"Status","Year","Age","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","London","70","70","23710","24210"
"In post","2021","16-19","No function","North East (England)","30","30","[c]","[c]"
"In post","2021","16-19","No function","North West (England)","70","70","20560","20140"
"In post","2021","16-19","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scotland","30","30","[c]","[c]"
"In post","2021","16-19","No function","South East (England)","40","40","[c]","[c]"
"In post","2021","16-19","No function","South West (England)","40","40","[c]","[c]"
"In post","2021","16-19","No function","Wales","80","70","19870","20140"
"In post","2021","16-19","No function","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","16-19","No function","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","90","90","17810","17780"
"In post","2021","16-19","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","50","40","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","80","80","21270","21150"
"In post","2021","16-19","Unknown","South East (England)","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","20-29","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","East of England","50","50","26380","24920"
"In post","2021","20-29","Analysis","London","1480","1470","38730","35640"
"In post","2021","20-29","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North West (England)","130","130","33880","31810"
"In post","2021","20-29","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","South East (England)","250","250","31840","29540"
"In post","2021","20-29","Analysis","South West (England)","90","90","31350","28870"
"In post","2021","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Wales","350","350","31420","29540"
"In post","2021","20-29","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","90","90","34730","32870"
"In post","2021","20-29","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","40","40","[c]","[c]"
"In post","2021","20-29","Commercial","London","270","270","41050","38540"
"In post","2021","20-29","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","100","100","31650","29360"
"In post","2021","20-29","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","60","60","27930","26670"
"In post","2021","20-29","Commercial","South East (England)","90","90","27890","26670"
"In post","2021","20-29","Commercial","South West (England)","220","210","30140","29550"
"In post","2021","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","60","60","32170","29360"
"In post","2021","20-29","Communications","East Midlands (England)","160","160","26790","25560"
"In post","2021","20-29","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","680","680","35980","34670"
"In post","2021","20-29","Communications","North East (England)","380","370","26760","25560"
"In post","2021","20-29","Communications","North West (England)","190","190","27700","25560"
"In post","2021","20-29","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Communications","South West (England)","40","40","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Wales","250","240","27180","25560"
"In post","2021","20-29","Communications","West Midlands (England)","80","80","27460","25560"
"In post","2021","20-29","Communications","Yorkshire and The Humber","230","220","26840","25560"
"In post","2021","20-29","Counter Fraud","East Midlands (England)","70","70","29140","25560"
"In post","2021","20-29","Counter Fraud","East of England","50","40","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","310","300","33490","29570"
"In post","2021","20-29","Counter Fraud","North East (England)","60","60","28950","25560"
"In post","2021","20-29","Counter Fraud","North West (England)","190","190","27430","25560"
"In post","2021","20-29","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","80","80","26910","25560"
"In post","2021","20-29","Counter Fraud","South East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Counter Fraud","South West (England)","60","60","32020","25560"
"In post","2021","20-29","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Wales","50","40","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Midlands (England)","60","60","27980","25560"
"In post","2021","20-29","Counter Fraud","Yorkshire and The Humber","120","110","30220","25560"
"In post","2021","20-29","Debt","East Midlands (England)","70","60","20690","20140"
"In post","2021","20-29","Debt","London","50","50","26580","24120"
"In post","2021","20-29","Debt","North East (England)","170","170","20430","20140"
"In post","2021","20-29","Debt","North West (England)","60","60","20700","20140"
"In post","2021","20-29","Debt","Scotland","350","340","20850","20140"
"In post","2021","20-29","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Wales","110","110","22850","20140"
"In post","2021","20-29","Debt","West Midlands (England)","140","130","20810","20140"
"In post","2021","20-29","Debt","Yorkshire and The Humber","100","100","20510","20140"
"In post","2021","20-29","Digital, Data & Technology","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","East of England","50","50","28030","26670"
"In post","2021","20-29","Digital, Data & Technology","London","610","610","39090","36160"
"In post","2021","20-29","Digital, Data & Technology","North East (England)","120","120","31520","31810"
"In post","2021","20-29","Digital, Data & Technology","North West (England)","130","120","33060","31810"
"In post","2021","20-29","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Scotland","100","100","32290","31810"
"In post","2021","20-29","Digital, Data & Technology","South East (England)","130","130","30180","29540"
"In post","2021","20-29","Digital, Data & Technology","South West (England)","320","320","30180","29760"
"In post","2021","20-29","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Wales","290","280","30150","27600"
"In post","2021","20-29","Digital, Data & Technology","West Midlands (England)","150","150","32480","31810"
"In post","2021","20-29","Digital, Data & Technology","Yorkshire and The Humber","120","120","31860","29360"
"In post","2021","20-29","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","East of England","60","50","30450","30200"
"In post","2021","20-29","Finance","London","470","460","38850","35030"
"In post","2021","20-29","Finance","North East (England)","30","30","[c]","[c]"
"In post","2021","20-29","Finance","North West (England)","60","50","31700","29730"
"In post","2021","20-29","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Scotland","140","130","24160","20140"
"In post","2021","20-29","Finance","South East (England)","90","90","29340","28130"
"In post","2021","20-29","Finance","South West (England)","200","200","27470","25860"
"In post","2021","20-29","Finance","Wales","30","30","[c]","[c]"
"In post","2021","20-29","Finance","West Midlands (England)","70","70","29900","26890"
"In post","2021","20-29","Finance","Yorkshire and The Humber","140","140","29240","25920"
"In post","2021","20-29","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","North East (England)","50","50","[c]","[c]"
"In post","2021","20-29","Grants Management","North West (England)","100","100","21650","21050"
"In post","2021","20-29","Grants Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Grants Management","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","20-29","Human Resources","East Midlands (England)","70","70","30140","29700"
"In post","2021","20-29","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","London","580","570","35530","32290"
"In post","2021","20-29","Human Resources","North East (England)","100","100","25040","23850"
"In post","2021","20-29","Human Resources","North West (England)","180","180","27020","25560"
"In post","2021","20-29","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Scotland","100","100","24780","21490"
"In post","2021","20-29","Human Resources","South East (England)","50","50","28190","26670"
"In post","2021","20-29","Human Resources","South West (England)","150","140","25580","21570"
"In post","2021","20-29","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Wales","80","80","28260","26290"
"In post","2021","20-29","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Yorkshire and The Humber","50","50","31300","28970"
"In post","2021","20-29","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","East Midlands (England)","70","70","26570","24000"
"In post","2021","20-29","Legal","East of England","70","70","28210","26550"
"In post","2021","20-29","Legal","London","750","740","33890","29570"
"In post","2021","20-29","Legal","North East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Legal","North West (England)","150","150","28600","25480"
"In post","2021","20-29","Legal","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Scotland","290","290","28170","26550"
"In post","2021","20-29","Legal","South East (England)","130","120","26740","24590"
"In post","2021","20-29","Legal","South West (England)","80","80","28530","25480"
"In post","2021","20-29","Legal","Wales","50","40","[c]","[c]"
"In post","2021","20-29","Legal","West Midlands (England)","80","80","25300","23470"
"In post","2021","20-29","Legal","Yorkshire and The Humber","150","140","27210","25360"
"In post","2021","20-29","No function","East Midlands (England)","1810","1780","24890","24000"
"In post","2021","20-29","No function","East of England","1430","1410","26160","25850"
"In post","2021","20-29","No function","London","12060","11990","35730","33210"
"In post","2021","20-29","No function","North East (England)","1500","1460","23860","22350"
"In post","2021","20-29","No function","North West (England)","3430","3350","24730","22920"
"In post","2021","20-29","No function","Northern Ireland","290","280","23020","20140"
"In post","2021","20-29","No function","Overseas","190","190","36800","34220"
"In post","2021","20-29","No function","Scotland","1980","1930","24870","23450"
"In post","2021","20-29","No function","South East (England)","2800","2750","27320","27850"
"In post","2021","20-29","No function","South West (England)","2440","2410","26170","24920"
"In post","2021","20-29","No function","Unknown","340","340","31470","29250"
"In post","2021","20-29","No function","Wales","2600","2530","23720","21590"
"In post","2021","20-29","No function","West Midlands (England)","2460","2420","24540","22920"
"In post","2021","20-29","No function","Yorkshire and The Humber","2680","2630","25340","24440"
"In post","2021","20-29","Project Delivery","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Project Delivery","East of England","70","60","32260","30750"
"In post","2021","20-29","Project Delivery","London","890","890","38850","37000"
"In post","2021","20-29","Project Delivery","North East (England)","90","80","31050","31810"
"In post","2021","20-29","Project Delivery","North West (England)","200","200","31540","31810"
"In post","2021","20-29","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","40","40","[c]","[c]"
"In post","2021","20-29","Project Delivery","Scotland","180","180","28730","26120"
"In post","2021","20-29","Project Delivery","South East (England)","210","210","29900","28670"
"In post","2021","20-29","Project Delivery","South West (England)","2250","2230","28020","27540"
"In post","2021","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Wales","60","60","28700","26470"
"In post","2021","20-29","Project Delivery","West Midlands (England)","100","90","29740","26670"
"In post","2021","20-29","Project Delivery","Yorkshire and The Humber","90","80","30440","28900"
"In post","2021","20-29","Property","East Midlands (England)","60","60","22850","18760"
"In post","2021","20-29","Property","East of England","40","40","[c]","[c]"
"In post","2021","20-29","Property","London","140","130","33560","30850"
"In post","2021","20-29","Property","North East (England)","110","110","24520","21100"
"In post","2021","20-29","Property","North West (England)","60","60","27970","25860"
"In post","2021","20-29","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Scotland","120","120","26440","26530"
"In post","2021","20-29","Property","South East (England)","100","90","27280","26560"
"In post","2021","20-29","Property","South West (England)","160","150","26900","24960"
"In post","2021","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Wales","50","50","[c]","[c]"
"In post","2021","20-29","Property","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","20-29","Property","Yorkshire and The Humber","70","60","26710","24500"
"In post","2021","20-29","Security","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","East of England","60","60","25010","24610"
"In post","2021","20-29","Security","London","230","230","34490","32880"
"In post","2021","20-29","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","North West (England)","40","40","[c]","[c]"
"In post","2021","20-29","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Scotland","230","230","25160","24610"
"In post","2021","20-29","Security","South East (England)","280","270","26970","26610"
"In post","2021","20-29","Security","South West (England)","120","120","23630","23540"
"In post","2021","20-29","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","20-29","Security","Yorkshire and The Humber","150","150","25150","24620"
"In post","2021","20-29","Unknown","East Midlands (England)","540","530","25090","27570"
"In post","2021","20-29","Unknown","East of England","920","900","26350","27400"
"In post","2021","20-29","Unknown","London","4490","4460","34210","31060"
"In post","2021","20-29","Unknown","North East (England)","1260","1220","24660","21430"
"In post","2021","20-29","Unknown","North West (England)","3330","3240","24880","24890"
"In post","2021","20-29","Unknown","Northern Ireland","80","70","23410","21430"
"In post","2021","20-29","Unknown","Overseas","50","50","[c]","[c]"
"In post","2021","20-29","Unknown","Scotland","2850","2800","27380","26160"
"In post","2021","20-29","Unknown","South East (England)","1520","1500","25640","25630"
"In post","2021","20-29","Unknown","South West (England)","900","870","26040","26670"
"In post","2021","20-29","Unknown","Unknown","510","500","28720","28680"
"In post","2021","20-29","Unknown","Wales","1290","1260","25690","25030"
"In post","2021","20-29","Unknown","West Midlands (England)","960","940","25650","27570"
"In post","2021","20-29","Unknown","Yorkshire and The Humber","1740","1700","25880","25040"
"In post","2021","30-39","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","East of England","120","120","33240","30220"
"In post","2021","30-39","Analysis","London","910","880","54010","54650"
"In post","2021","30-39","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","North West (England)","100","90","41290","38630"
"In post","2021","30-39","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","South East (England)","250","240","40160","37340"
"In post","2021","30-39","Analysis","South West (England)","160","150","37310","36300"
"In post","2021","30-39","Analysis","Wales","350","330","36700","36250"
"In post","2021","30-39","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Yorkshire and The Humber","90","90","44380","47130"
"In post","2021","30-39","Commercial","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","30-39","Commercial","East of England","90","80","37950","34800"
"In post","2021","30-39","Commercial","London","420","410","55320","54700"
"In post","2021","30-39","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","North West (England)","180","170","38490","35310"
"In post","2021","30-39","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Scotland","70","70","37420","36780"
"In post","2021","30-39","Commercial","South East (England)","110","110","36000","33300"
"In post","2021","30-39","Commercial","South West (England)","320","310","39880","39100"
"In post","2021","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Wales","100","90","33950","31730"
"In post","2021","30-39","Commercial","West Midlands (England)","70","70","36520","36710"
"In post","2021","30-39","Commercial","Yorkshire and The Humber","110","110","42250","39140"
"In post","2021","30-39","Communications","East Midlands (England)","150","150","28860","25560"
"In post","2021","30-39","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","London","760","740","47780","45240"
"In post","2021","30-39","Communications","North East (England)","490","470","28540","25560"
"In post","2021","30-39","Communications","North West (England)","210","210","30570","29170"
"In post","2021","30-39","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Scotland","60","50","31090","31810"
"In post","2021","30-39","Communications","South East (England)","60","60","34260","34150"
"In post","2021","30-39","Communications","South West (England)","90","80","34840","33300"
"In post","2021","30-39","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Wales","330","320","29300","25560"
"In post","2021","30-39","Communications","West Midlands (England)","110","100","31760","31810"
"In post","2021","30-39","Communications","Yorkshire and The Humber","180","170","30050","25560"
"In post","2021","30-39","Counter Fraud","East Midlands (England)","90","90","32160","31810"
"In post","2021","30-39","Counter Fraud","East of England","70","70","26220","25560"
"In post","2021","30-39","Counter Fraud","London","450","440","38570","36160"
"In post","2021","30-39","Counter Fraud","North East (England)","160","150","31790","31810"
"In post","2021","30-39","Counter Fraud","North West (England)","410","400","32030","31810"
"In post","2021","30-39","Counter Fraud","Northern Ireland","90","90","31060","25560"
"In post","2021","30-39","Counter Fraud","Scotland","200","190","29510","25560"
"In post","2021","30-39","Counter Fraud","South East (England)","70","60","29240","25560"
"In post","2021","30-39","Counter Fraud","South West (England)","70","70","32500","26000"
"In post","2021","30-39","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Wales","80","80","30160","25560"
"In post","2021","30-39","Counter Fraud","West Midlands (England)","170","170","31170","31810"
"In post","2021","30-39","Counter Fraud","Yorkshire and The Humber","200","190","31680","31810"
"In post","2021","30-39","Debt","East Midlands (England)","60","50","21060","20140"
"In post","2021","30-39","Debt","East of England","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","London","30","30","[c]","[c]"
"In post","2021","30-39","Debt","North East (England)","130","120","21080","20140"
"In post","2021","30-39","Debt","North West (England)","50","50","21940","20140"
"In post","2021","30-39","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Scotland","320","300","21870","20140"
"In post","2021","30-39","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Wales","80","80","23150","20140"
"In post","2021","30-39","Debt","West Midlands (England)","70","60","21510","20140"
"In post","2021","30-39","Debt","Yorkshire and The Humber","90","80","22170","20140"
"In post","2021","30-39","Digital, Data & Technology","East Midlands (England)","80","70","38170","31860"
"In post","2021","30-39","Digital, Data & Technology","East of England","70","70","32840","31810"
"In post","2021","30-39","Digital, Data & Technology","London","980","970","50720","53680"
"In post","2021","30-39","Digital, Data & Technology","North East (England)","170","160","37300","38630"
"In post","2021","30-39","Digital, Data & Technology","North West (England)","230","230","38680","36500"
"In post","2021","30-39","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Scotland","180","180","35610","33930"
"In post","2021","30-39","Digital, Data & Technology","South East (England)","180","170","36310","33300"
