"Status","Year","Organisation","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for International Trade","Asian","Department for International Trade","210","210","42710","38540"
"In post","2021","Department for International Trade","Black","Department for International Trade","130","130","38750","35560"
"In post","2021","Department for International Trade","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Department for International Trade","100","100","46460","43600"
"In post","2021","Department for International Trade","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Department for International Trade","70","70","44750","39670"
"In post","2021","Department for International Trade","Unknown","Department for International Trade","780","780","44520","38540"
"In post","2021","Department for International Trade","White","Department for International Trade","1350","1330","47780","48220"
"In post","2021","Department for Transport (excl. agencies)","Asian","Department for Transport","290","290","44820","42470"
"In post","2021","Department for Transport (excl. agencies)","Black","Department for Transport","170","170","39460","36160"
"In post","2021","Department for Transport (excl. agencies)","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Mixed","Department for Transport","110","100","41410","35700"
"In post","2021","Department for Transport (excl. agencies)","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Undeclared","Department for Transport","160","150","49280","44480"
"In post","2021","Department for Transport (excl. agencies)","Unknown","Department for Transport","700","680","43230","39040"
"In post","2021","Department for Transport (excl. agencies)","White","Department for Transport","2040","1980","50740","48770"
"In post","2021","Department for Work and Pensions (excl. agencies)","Asian","Department for Work and Pensions","7340","6620","27750","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Black","Department for Work and Pensions","3860","3650","29100","30010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Chinese","Department for Work and Pensions","150","130","27220","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Mixed","Department for Work and Pensions","1610","1500","27980","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Other ethnicity","Department for Work and Pensions","460","420","29040","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Undeclared","Department for Work and Pensions","4340","3830","27530","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","Department for Work and Pensions","5980","5500","27900","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","White","Department for Work and Pensions","67210","59760","27520","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Asian","Department of Health and Social Care","170","160","42090","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Black","Department of Health and Social Care","100","90","36890","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Mixed","Department of Health and Social Care","60","60","46400","47760"
"In post","2021","Department of Health and Social Care (excl. agencies)","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","Department of Health and Social Care","1830","1800","45500","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","White","Department of Health and Social Care","1330","1290","49700","49530"
"In post","2021","Disclosure Scotland","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Unknown","Scottish Government","90","80","25670","22230"
"In post","2021","Disclosure Scotland","White","Scottish Government","210","200","29390","24910"
"In post","2021","Driver and Vehicle Licensing Agency","Asian","Department for Transport","50","40","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Mixed","Department for Transport","40","40","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Undeclared","Department for Transport","230","220","28710","25390"
"In post","2021","Driver and Vehicle Licensing Agency","Unknown","Department for Transport","690","620","25470","21590"
"In post","2021","Driver and Vehicle Licensing Agency","White","Department for Transport","5190","4550","26040","21590"
"In post","2021","Driver and Vehicle Standards Agency","Asian","Department for Transport","110","110","29400","30470"
"In post","2021","Driver and Vehicle Standards Agency","Black","Department for Transport","50","50","31590","30780"
"In post","2021","Driver and Vehicle Standards Agency","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Mixed","Department for Transport","50","40","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Undeclared","Department for Transport","550","530","29500","27680"
"In post","2021","Driver and Vehicle Standards Agency","Unknown","Department for Transport","790","770","28230","26700"
"In post","2021","Driver and Vehicle Standards Agency","White","Department for Transport","3220","3000","30010","26780"
"In post","2021","Education and Skills Funding Agency","Asian","Department for Education","200","200","39390","36960"
"In post","2021","Education and Skills Funding Agency","Black","Department for Education","50","50","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Undeclared","Department for Education","60","60","39600","36780"
"In post","2021","Education and Skills Funding Agency","Unknown","Department for Education","170","170","41550","36870"
"In post","2021","Education and Skills Funding Agency","White","Department for Education","1280","1240","42580","37100"
"In post","2021","Education Scotland","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Unknown","Scottish Government","100","100","51310","52480"
"In post","2021","Education Scotland","White","Scottish Government","210","200","58580","66290"
"In post","2021","ESTYN","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","White","ESTYN","110","100","57700","74730"
"In post","2021","FCDO Services","Asian","Foreign, Commonwealth and Development Office","60","60","34010","29260"
"In post","2021","FCDO Services","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Undeclared","Foreign, Commonwealth and Development Office","50","50","43080","41820"
"In post","2021","FCDO Services","Unknown","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","FCDO Services","White","Foreign, Commonwealth and Development Office","870","840","40790","37870"
"In post","2021","Food Standards Agency","Asian","Food Standards Agency","50","50","38640","32830"
"In post","2021","Food Standards Agency","Black","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Food Standards Agency","70","60","39540","35630"
"In post","2021","Food Standards Agency","White","Food Standards Agency","1070","1040","37080","32350"
"In post","2021","Food Standards Scotland","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Unknown","Scottish Government","90","90","33640","30650"
"In post","2021","Food Standards Scotland","White","Scottish Government","140","140","35940","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Asian","Foreign, Commonwealth and Development Office","420","410","43910","38230"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Black","Foreign, Commonwealth and Development Office","230","230","38520","34770"
