"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","130","130","17830","17780"
"In post","2021","16-19","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","200","200","22680","21010"
"In post","2021","16-19","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","80","70","22340","21430"
"In post","2021","16-19","Unknown","Ministry of Defence","50","50","19580","17060"
"In post","2021","16-19","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","60","60","21360","21150"
"In post","2021","16-19","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Chancellor's other departments","50","50","36650","35310"
"In post","2021","20-29","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","190","190","37900","34090"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","80","80","46680","42020"
"In post","2021","20-29","Analysis","Department for Education","140","140","40030","37280"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","70","70","25680","24920"
"In post","2021","20-29","Analysis","Department for International Trade","140","140","36180","31800"
"In post","2021","20-29","Analysis","Department for Transport","190","190","38480","35060"
"In post","2021","20-29","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department of Health and Social Care","90","90","45700","53360"
"In post","2021","20-29","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs","260","250","36480","36160"
"In post","2021","20-29","Analysis","HM Treasury","80","80","41260","36720"
"In post","2021","20-29","Analysis","Ministry of Defence","200","200","33090","29850"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government","90","90","37390","34000"
"In post","2021","20-29","Analysis","Ministry of Justice","140","140","36490","33930"
"In post","2021","20-29","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","United Kingdom Statistics Authority","630","630","32050","30130"
"In post","2021","20-29","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Cabinet Office","120","120","47920","54700"
"In post","2021","20-29","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Education","40","40","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department of Health and Social Care","60","60","38830","40650"
"In post","2021","20-29","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","20-29","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Ministry of Defence","350","350","29360","26670"
"In post","2021","20-29","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Ministry of Justice","70","70","31360","30850"
"In post","2021","20-29","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other Cabinet Office Agencies","70","70","28230","27770"
"In post","2021","20-29","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","UK Export Finance","40","30","[c]","[c]"
"In post","2021","20-29","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Cabinet Office","120","120","36120","34550"
"In post","2021","20-29","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","20-29","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Department for Education","90","90","32870","29360"
"In post","2021","20-29","Communications","Department for Environment, Food and Rural Affairs","60","60","33180","32560"
"In post","2021","20-29","Communications","Department for International Trade","40","40","[c]","[c]"
"In post","2021","20-29","Communications","Department for Transport","60","60","32630","31040"
"In post","2021","20-29","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Department of Health and Social Care","80","80","33550","32790"
"In post","2021","20-29","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","20-29","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","HM Revenue and Customs","1190","1180","27160","25560"
"In post","2021","20-29","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Ministry of Defence","100","100","31340","27200"
"In post","2021","20-29","Communications","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","20-29","Communications","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","20-29","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","HM Revenue and Customs","1010","1000","29350","25560"
"In post","2021","20-29","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","HM Revenue and Customs","1060","1030","21150","20140"
"In post","2021","20-29","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Cabinet Office","210","210","41350","38500"
"In post","2021","20-29","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","200","190","30450","30660"
"In post","2021","20-29","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Department for Education","140","130","34230","32870"
"In post","2021","20-29","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Department for International Trade","40","40","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Department for Transport","170","160","30990","30270"
"In post","2021","20-29","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Department of Health and Social Care","60","60","34860","32790"
"In post","2021","20-29","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Foreign, Commonwealth and Development Office","60","60","32500","33930"
"In post","2021","20-29","Digital, Data & Technology","HM Land Registry","120","120","30810","29760"
"In post","2021","20-29","Digital, Data & Technology","HM Revenue and Customs","440","440","31970","31810"
"In post","2021","20-29","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Ministry of Defence","120","120","30260","28840"
"In post","2021","20-29","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Ministry of Justice","120","120","37810","36800"
"In post","2021","20-29","Digital, Data & Technology","National Crime Agency","50","50","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Scottish Government","30","30","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","United Kingdom Statistics Authority","120","120","30930","29540"
"In post","2021","20-29","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Cabinet Office","30","30","[c]","[c]"
"In post","2021","20-29","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","20-29","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Department for Education","100","100","34740","32940"
"In post","2021","20-29","Finance","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","20-29","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Department for Transport","60","60","36030","32230"
"In post","2021","20-29","Finance","Department of Health and Social Care","180","170","33640","32790"
"In post","2021","20-29","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Foreign, Commonwealth and Development Office","50","50","34490","33550"
"In post","2021","20-29","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","HM Revenue and Customs","250","230","26580","21680"
"In post","2021","20-29","Finance","HM Treasury","30","30","[c]","[c]"
"In post","2021","20-29","Finance","Ministry of Defence","320","320","29740","26670"
"In post","2021","20-29","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Ministry of Justice","50","50","36030","33930"
"In post","2021","20-29","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Scottish Government","40","40","[c]","[c]"
"In post","2021","20-29","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Department for Environment, Food and Rural Affairs","240","240","22390","21050"
"In post","2021","20-29","Human Resources","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","20-29","Human Resources","Cabinet Office","230","230","30260","28000"
"In post","2021","20-29","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","60","60","33430","27690"
"In post","2021","20-29","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Department for Education","40","40","[c]","[c]"
"In post","2021","20-29","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Department for International Trade","50","50","38830","32120"
"In post","2021","20-29","Human Resources","Department for Transport","50","50","31890","30730"
"In post","2021","20-29","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Department of Health and Social Care","100","100","32620","28970"
"In post","2021","20-29","Human Resources","Foreign, Commonwealth and Development Office","50","50","31740","29250"
"In post","2021","20-29","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","HM Revenue and Customs","160","160","32200","31810"
"In post","2021","20-29","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Ministry of Defence","250","240","26630","22780"
"In post","2021","20-29","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Ministry of Justice","90","90","30930","30100"
"In post","2021","20-29","Human Resources","National Crime Agency","30","30","[c]","[c]"
"In post","2021","20-29","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Scottish Government","50","50","25020","22920"
"In post","2021","20-29","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","20-29","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Attorney General's Departments","1130","1110","29960","26950"
"In post","2021","20-29","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","HM Revenue and Customs","180","180","34870","31810"
"In post","2021","20-29","Legal","Ministry of Justice","160","160","27700","26410"
