"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","LGBO","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","AA/AO","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","HM Land Registry","60","60","22350","22350"
"In post","2021","AA/AO","LGBO","HM Revenue and Customs","620","570","20620","20140"
"In post","2021","AA/AO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Home Office","250","230","21550","21430"
"In post","2021","AA/AO","LGBO","Ministry of Defence","370","360","22990","20920"
"In post","2021","AA/AO","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Ministry of Justice","1770","1720","24870","23970"
"In post","2021","AA/AO","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Scottish Government","180","180","22660","22230"
"In post","2021","AA/AO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Attorney General's Departments","50","50","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Cabinet Office","40","30","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Department for Business, Energy and Industrial Strategy","60","60","22150","22490"
"In post","2021","AA/AO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Department for Environment, Food and Rural Affairs","110","100","21520","21050"
"In post","2021","AA/AO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Department for Transport","1280","1030","20920","21590"
"In post","2021","AA/AO","Undeclared","Department for Work and Pensions","2610","2230","21180","21010"
"In post","2021","AA/AO","Undeclared","Department of Health and Social Care","90","70","20780","19630"
"In post","2021","AA/AO","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","HM Land Registry","60","60","22860","22350"
"In post","2021","AA/AO","Undeclared","HM Revenue and Customs","1300","1110","21150","21400"
"In post","2021","AA/AO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Home Office","800","690","22380","21430"
"In post","2021","AA/AO","Undeclared","Ministry of Defence","1720","1650","23800","21130"
"In post","2021","AA/AO","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Ministry of Justice","3260","2960","24100","21710"
"In post","2021","AA/AO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Scottish Government","1010","890","21890","22820"
"In post","2021","AA/AO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","United Kingdom Statistics Authority","60","40","19450","19130"
"In post","2021","AA/AO","Undeclared","Welsh Government","100","90","23620","23830"
"In post","2021","AA/AO","Unknown","Attorney General's Departments","340","310","22160","21950"
"In post","2021","AA/AO","Unknown","Cabinet Office","170","170","21450","20920"
"In post","2021","AA/AO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Business, Energy and Industrial Strategy","700","650","21560","20880"
"In post","2021","AA/AO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Environment, Food and Rural Affairs","780","710","21280","21050"
"In post","2021","AA/AO","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Transport","1010","910","22730","21590"
"In post","2021","AA/AO","Unknown","Department for Work and Pensions","8010","6570","21100","21010"
"In post","2021","AA/AO","Unknown","Department of Health and Social Care","140","120","22070","22130"
"In post","2021","AA/AO","Unknown","Foreign, Commonwealth and Development Office","100","100","25390","23520"
"In post","2021","AA/AO","Unknown","HM Land Registry","880","840","22460","22350"
"In post","2021","AA/AO","Unknown","HM Revenue and Customs","10120","8790","20690","20140"
"In post","2021","AA/AO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Home Office","520","500","21830","21430"
"In post","2021","AA/AO","Unknown","Ministry of Defence","1840","1770","24000","20920"
"In post","2021","AA/AO","Unknown","Ministry of Housing, Communities and Local Government","80","70","22010","22560"
"In post","2021","AA/AO","Unknown","Ministry of Justice","8920","8260","25310","23970"
"In post","2021","AA/AO","Unknown","National Crime Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scottish Government","2600","2460","23510","22920"
"In post","2021","AA/AO","Unknown","The National Archives","50","50","21550","21100"
"In post","2021","AA/AO","Unknown","United Kingdom Statistics Authority","460","350","19730","19520"
"In post","2021","AA/AO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Welsh Government","60","50","22180","22160"
"In post","2021","EO","Heterosexual / straight","Attorney General's Departments","1210","1140","27930","27760"
"In post","2021","EO","Heterosexual / straight","Cabinet Office","570","550","27130","27500"
"In post","2021","EO","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Charity Commission","60","50","24590","24440"
"In post","2021","EO","Heterosexual / straight","Competition and Markets Authority","60","60","28520","28160"
"In post","2021","EO","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","970","920","26850","26860"
"In post","2021","EO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","130","130","27360","26180"
"In post","2021","EO","Heterosexual / straight","Department for Education","670","640","26600","26000"
"In post","2021","EO","Heterosexual / straight","Department for Environment, Food and Rural Affairs","1250","1170","26380","25560"
"In post","2021","EO","Heterosexual / straight","Department for International Trade","140","140","27320","26510"
"In post","2021","EO","Heterosexual / straight","Department for Transport","2520","2380","28080","26780"
"In post","2021","EO","Heterosexual / straight","Department for Work and Pensions","32360","29490","28120","27570"
"In post","2021","EO","Heterosexual / straight","Department of Health and Social Care","950","890","26230","26880"
"In post","2021","EO","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Food Standards Agency","210","210","27130","26750"
"In post","2021","EO","Heterosexual / straight","Foreign, Commonwealth and Development Office","740","710","29580","29300"
"In post","2021","EO","Heterosexual / straight","HM Land Registry","1220","1070","27490","27130"
"In post","2021","EO","Heterosexual / straight","HM Revenue and Customs","8580","7880","26460","25560"
"In post","2021","EO","Heterosexual / straight","HM Treasury","160","160","26770","26750"
"In post","2021","EO","Heterosexual / straight","Home Office","11420","10470","26910","25900"
"In post","2021","EO","Heterosexual / straight","Ministry of Defence","8080","7810","26750","26670"
"In post","2021","EO","Heterosexual / straight","Ministry of Housing, Communities and Local Government","270","260","28030","27850"
"In post","2021","EO","Heterosexual / straight","Ministry of Justice","7410","7070","27990","27380"
"In post","2021","EO","Heterosexual / straight","National Crime Agency","1840","1800","33320","32770"
"In post","2021","EO","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Office for Standards in Education","150","140","26320","25880"
"In post","2021","EO","Heterosexual / straight","Office of Gas and Electricity Markets","110","110","25430","25600"
"In post","2021","EO","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Other Cabinet Office Agencies","90","90","24140","23050"
"In post","2021","EO","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Scottish Government","2590","2480","29700","29190"
"In post","2021","EO","Heterosexual / straight","The National Archives","30","30","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","UK Export Finance","40","40","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","United Kingdom Statistics Authority","480","450","24020","23050"
"In post","2021","EO","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Welsh Government","840","780","28730","28850"
"In post","2021","EO","LGBO","Attorney General's Departments","100","90","28370","27500"
"In post","2021","EO","LGBO","Cabinet Office","60","60","26950","27500"
"In post","2021","EO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Department for Business, Energy and Industrial Strategy","100","90","26550","26860"
"In post","2021","EO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Department for Education","50","50","26300","26000"
"In post","2021","EO","LGBO","Department for Environment, Food and Rural Affairs","110","110","26100","25190"
"In post","2021","EO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Department for Transport","130","130","28040","26780"
"In post","2021","EO","LGBO","Department for Work and Pensions","2080","2000","28160","27570"
"In post","2021","EO","LGBO","Department of Health and Social Care","70","70","25970","26880"
"In post","2021","EO","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","EO","LGBO","HM Land Registry","30","30","[c]","[c]"
"In post","2021","EO","LGBO","HM Revenue and Customs","530","510","26270","25560"
"In post","2021","EO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Home Office","450","430","26410","25310"
"In post","2021","EO","LGBO","Ministry of Defence","290","290","26530","26670"
"In post","2021","EO","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Ministry of Justice","460","450","28410","27380"
"In post","2021","EO","LGBO","National Crime Agency","110","100","32360","32770"
"In post","2021","EO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Scottish Government","160","160","29110","28410"
"In post","2021","EO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","EO","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Welsh Government","40","40","[c]","[c]"
"In post","2021","EO","Undeclared","Attorney General's Departments","60","60","28230","27710"
"In post","2021","EO","Undeclared","Cabinet Office","60","60","27560","27500"
"In post","2021","EO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Business, Energy and Industrial Strategy","110","100","27620","27460"
"In post","2021","EO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Education","60","50","27450","26000"
"In post","2021","EO","Undeclared","Department for Environment, Food and Rural Affairs","160","150","26420","25670"
"In post","2021","EO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Transport","840","750","28000","26780"
"In post","2021","EO","Undeclared","Department for Work and Pensions","3790","3390","28060","27570"
"In post","2021","EO","Undeclared","Department of Health and Social Care","130","120","26280","26880"
"In post","2021","EO","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","EO","Undeclared","Foreign, Commonwealth and Development Office","70","70","30720","30300"
"In post","2021","EO","Undeclared","HM Land Registry","320","270","27430","27130"
"In post","2021","EO","Undeclared","HM Revenue and Customs","1120","1000","27050","26000"
"In post","2021","EO","Undeclared","HM Treasury","40","30","[c]","[c]"
"In post","2021","EO","Undeclared","Home Office","1820","1640","27480","27370"
"In post","2021","EO","Undeclared","Ministry of Defence","1280","1220","28090","26930"
"In post","2021","EO","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Ministry of Justice","1050","1000","28480","27380"
"In post","2021","EO","Undeclared","National Crime Agency","170","170","32390","32770"
"In post","2021","EO","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Scottish Government","590","550","28900","29350"
"In post","2021","EO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Welsh Government","100","100","28780","28850"
"In post","2021","EO","Unknown","Attorney General's Departments","390","350","28350","28430"
"In post","2021","EO","Unknown","Cabinet Office","190","180","27410","27500"
"In post","2021","EO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Charity Commission","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Department for Business, Energy and Industrial Strategy","780","740","25830","25270"
"In post","2021","EO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Department for Education","190","180","26820","26000"
"In post","2021","EO","Unknown","Department for Environment, Food and Rural Affairs","550","510","25860","25190"
"In post","2021","EO","Unknown","Department for International Trade","90","90","27370","26510"
"In post","2021","EO","Unknown","Department for Transport","680","670","27810","26700"
"In post","2021","EO","Unknown","Department for Work and Pensions","10790","9490","28100","27570"
"In post","2021","EO","Unknown","Department of Health and Social Care","420","400","27150","27270"
"In post","2021","EO","Unknown","Food Standards Agency","180","170","27310","26750"
"In post","2021","EO","Unknown","Foreign, Commonwealth and Development Office","130","130","28400","27860"
"In post","2021","EO","Unknown","HM Land Registry","590","510","27580","27130"
"In post","2021","EO","Unknown","HM Revenue and Customs","5410","5050","26300","25560"
"In post","2021","EO","Unknown","HM Treasury","30","30","[c]","[c]"
"In post","2021","EO","Unknown","Home Office","670","650","26670","24890"
"In post","2021","EO","Unknown","Ministry of Defence","950","920","26360","26670"
"In post","2021","EO","Unknown","Ministry of Housing, Communities and Local Government","60","60","27870","27620"
"In post","2021","EO","Unknown","Ministry of Justice","1500","1420","29700","29180"
"In post","2021","EO","Unknown","National Crime Agency","360","340","35080","35930"
"In post","2021","EO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Office of Gas and Electricity Markets","130","120","26290","25750"
"In post","2021","EO","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","EO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Scottish Government","2150","2030","31320","33650"
"In post","2021","EO","Unknown","The National Archives","40","40","[c]","[c]"
"In post","2021","EO","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","United Kingdom Statistics Authority","230","220","23900","23050"
"In post","2021","EO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Welsh Government","40","40","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Attorney General's Departments","3180","2960","57650","55610"
"In post","2021","G6/G7","Heterosexual / straight","Cabinet Office","1640","1610","58780","56340"
"In post","2021","G6/G7","Heterosexual / straight","Chancellor's other departments","140","130","78020","71810"
"In post","2021","G6/G7","Heterosexual / straight","Charity Commission","30","30","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Competition and Markets Authority","350","330","65870","62890"
"In post","2021","G6/G7","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","2140","2070","58870","57620"
"In post","2021","G6/G7","Heterosexual / straight","Department for Digital, Culture, Media and Sport","560","550","58670","56040"
"In post","2021","G6/G7","Heterosexual / straight","Department for Education","2000","1920","56470","54120"
"In post","2021","G6/G7","Heterosexual / straight","Department for Environment, Food and Rural Affairs","1590","1540","54470","53200"
"In post","2021","G6/G7","Heterosexual / straight","Department for International Trade","640","630","55520","52660"
"In post","2021","G6/G7","Heterosexual / straight","Department for Transport","1310","1280","60390","56280"
"In post","2021","G6/G7","Heterosexual / straight","Department for Work and Pensions","2230","2140","57140","54070"
"In post","2021","G6/G7","Heterosexual / straight","Department of Health and Social Care","1950","1850","57770","54230"
"In post","2021","G6/G7","Heterosexual / straight","ESTYN","60","50","73750","74730"
"In post","2021","G6/G7","Heterosexual / straight","Food Standards Agency","150","150","56480","56130"
"In post","2021","G6/G7","Heterosexual / straight","Foreign, Commonwealth and Development Office","2140","2080","60180","58470"
"In post","2021","G6/G7","Heterosexual / straight","HM Land Registry","190","180","62350","60520"
"In post","2021","G6/G7","Heterosexual / straight","HM Revenue and Customs","5150","4960","56990","52770"
"In post","2021","G6/G7","Heterosexual / straight","HM Treasury","820","790","58340","56090"
"In post","2021","G6/G7","Heterosexual / straight","Home Office","2600","2540","60900","57680"
"In post","2021","G6/G7","Heterosexual / straight","Ministry of Defence","4720","4550","57650","55710"
"In post","2021","G6/G7","Heterosexual / straight","Ministry of Housing, Communities and Local Government","1100","1050","57180","54250"
"In post","2021","G6/G7","Heterosexual / straight","Ministry of Justice","2180","2120","61980","59900"
"In post","2021","G6/G7","Heterosexual / straight","National Crime Agency","280","270","65170","64410"
"In post","2021","G6/G7","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Office for Standards in Education","490","480","73210","75500"
"In post","2021","G6/G7","Heterosexual / straight","Office of Gas and Electricity Markets","160","160","59280","57980"
"In post","2021","G6/G7","Heterosexual / straight","Office of Qualifications and Examinations Regulation","50","50","53060","49420"
"In post","2021","G6/G7","Heterosexual / straight","Office of Rail and Road","80","80","60530","59100"
"In post","2021","G6/G7","Heterosexual / straight","Other Cabinet Office Agencies","220","220","54390","54700"
"In post","2021","G6/G7","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Scottish Government","2190","2100","62710","61010"
"In post","2021","G6/G7","Heterosexual / straight","The National Archives","40","40","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","UK Export Finance","100","90","66770","65330"
"In post","2021","G6/G7","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","United Kingdom Statistics Authority","640","610","52630","50090"
"In post","2021","G6/G7","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
