"Status","Year","Organisation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Unknown","120","110","26470","25190"
"In post","2021","Animal and Plant Health Agency","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Declared disabled","110","110","30120","28270"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Declared non-disabled","480","450","32260","28550"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Undeclared","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Declared non-disabled","280","270","44410","40950"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared disabled","700","680","44020","38420"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared non-disabled","4420","4320","49080","42210"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Undeclared","280","270","44480","38830"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","3940","3900","44630","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Declared non-disabled","300","290","32190","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Unknown","150","140","37560","35900"
"In post","2021","Charity Commission","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","80","80","34920","29160"
"In post","2021","Charity Commission","Unknown","Unknown","130","120","31960","29160"
"In post","2021","Companies House","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Declared non-disabled","180","170","39260","38000"
"In post","2021","Companies House","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Unknown","50","50","36370","36530"
"In post","2021","Companies House","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Companies House","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Declared non-disabled","60","60","32450","25460"
"In post","2021","Companies House","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Declared disabled","40","40","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Declared non-disabled","310","280","25430","22490"
"In post","2021","Companies House","Operational Delivery","Undeclared","40","40","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Unknown","190","160","23400","22490"
"In post","2021","Companies House","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Declared non-disabled","60","60","57480","55860"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","Declared non-disabled","80","80","61150","58490"
"In post","2021","Competition and Markets Authority","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Declared non-disabled","110","110","70610","72430"
"In post","2021","Competition and Markets Authority","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Declared non-disabled","310","300","59070","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
