"Status","Year","Function_of_post","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","EO","80","80","26560","26000"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","G6/G7","110","110","55430","53420"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","SEO/HEO","210","210","34950","36500"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","60","60","26370","25330"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","320","310","52470","49350"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","250","240","34880","35900"
"In post","2021","Digital, Data & Technology","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for International Trade","G6/G7","50","50","56620","55080"
"In post","2021","Digital, Data & Technology","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for International Trade","SEO/HEO","50","50","38780","38160"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","SEO/HEO","70","70","38130","37660"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","G6/G7","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","SEO/HEO","100","100","34920","32790"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","AA/AO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","EO","180","170","26940","26470"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","G6/G7","130","130","63090","61290"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","SEO/HEO","370","360","40000","41090"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","EO","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","SEO/HEO","130","130","37950","36320"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","G6/G7","60","60","52990","50630"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","SEO/HEO","150","140","34850","36500"
"In post","2021","Digital, Data & Technology","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","FCDO Services","EO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","FCDO Services","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","FCDO Services","SEO/HEO","60","60","43740","42570"
"In post","2021","Digital, Data & Technology","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Food Standards Agency","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","EO","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","50","50","53650","51960"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","140","130","36750","33930"
"In post","2021","Digital, Data & Technology","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Forestry and Land Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Forestry and Land Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Forestry and Land Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Property Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Property Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","G6/G7","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","SEO/HEO","110","110","32140","30990"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Land Registry","AA/AO","60","50","21740","22350"
"In post","2021","Digital, Data & Technology","HM Land Registry","EO","180","170","29880","31740"
"In post","2021","Digital, Data & Technology","HM Land Registry","G6/G7","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Land Registry","SEO/HEO","380","370","40950","38450"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","AA/AO","60","60","20820","20140"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","EO","410","390","26380","25560"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","G6/G7","590","580","56010","52580"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","SCS","60","60","92840","88540"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","SEO/HEO","1570","1510","35080","33770"
"In post","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Insolvency Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","EO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","SEO/HEO","60","60","35460","35730"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Met Office","EO","100","100","26370","26640"
"In post","2021","Digital, Data & Technology","Met Office","G6/G7","240","230","52570","49650"
"In post","2021","Digital, Data & Technology","Met Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Met Office","SEO/HEO","510","490","37430","39650"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","AA/AO","120","110","21390","20920"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","EO","270","260","27780","26670"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","SEO/HEO","280","280","37010","35300"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","EO","100","90","25620","26410"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","G6/G7","400","390","61410","60500"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","SEO/HEO","340","330","38140","36800"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","National Crime Agency","EO","80","80","31160","30480"
"In post","2021","Digital, Data & Technology","National Crime Agency","G6/G7","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","National Crime Agency","SEO/HEO","120","120","43670","43450"
"In post","2021","Digital, Data & Technology","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","G6/G7","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","G6/G7","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SEO/HEO","70","70","38150","38900"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","EO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","Unknown","60","50","37870","36500"
"In post","2021","Digital, Data & Technology","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","SEO/HEO","70","70","40560","38230"
"In post","2021","Digital, Data & Technology","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SEO/HEO","140","140","38210","35340"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","G6/G7","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SEO/HEO","130","130","40900","39540"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","EO","90","80","23740","23050"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","G6/G7","220","210","52760","50090"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SEO/HEO","280","280","34540","36030"
"In post","2021","Digital, Data & Technology","Valuation Office Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Criminal Injuries Compensation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Finance","Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Equipment and Support","EO","140","140","21790","20000"
"In post","2021","Finance","Defence Equipment and Support","G6/G7","80","70","58780","56320"
"In post","2021","Finance","Defence Equipment and Support","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Equipment and Support","SEO/HEO","190","180","34910","34030"
"In post","2021","Finance","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
