"Status","Year","Ethnicity","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Food Standards Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","AA/AO","50","50","26980","28000"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","EO","100","100","30230","30500"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","G6/G7","130","130","59350","58470"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","170","170","37660","37560"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","AA/AO","80","70","22900","22350"
"In post","2021","Asian","HM Land Registry","EO","70","60","27940","27130"
"In post","2021","Asian","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","SEO/HEO","50","50","37960","37290"
"In post","2021","Asian","HM Revenue and Customs","AA/AO","1410","1230","21130","20140"
"In post","2021","Asian","HM Revenue and Customs","EO","1080","1020","27270","25560"
"In post","2021","Asian","HM Revenue and Customs","G6/G7","390","380","57440","59160"
"In post","2021","Asian","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","SEO/HEO","1480","1440","35240","36160"
"In post","2021","Asian","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","EO","30","30","[c]","[c]"
"In post","2021","Asian","HM Treasury","G6/G7","90","90","60180","57990"
"In post","2021","Asian","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","SEO/HEO","120","120","37230","34890"
"In post","2021","Asian","Home Office","AA/AO","1220","1070","23400","22210"
"In post","2021","Asian","Home Office","EO","1880","1740","28090","28760"
"In post","2021","Asian","Home Office","G6/G7","270","270","61120","57700"
"In post","2021","Asian","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","SEO/HEO","1090","1050","37700","35320"
"In post","2021","Asian","Home Office","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","AA/AO","340","320","22840","21130"
"In post","2021","Asian","Ministry of Defence","EO","270","260","26200","26670"
"In post","2021","Asian","Ministry of Defence","G6/G7","130","120","63030","59570"
"In post","2021","Asian","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","SEO/HEO","550","540","37880","37640"
"In post","2021","Asian","Ministry of Defence","Unknown","50","50","36620","33200"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","EO","40","40","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","G6/G7","70","70","55840","53130"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","SEO/HEO","100","100","35710","34760"
"In post","2021","Asian","Ministry of Justice","AA/AO","1870","1710","22480","20650"
"In post","2021","Asian","Ministry of Justice","EO","560","540","25800","26410"
"In post","2021","Asian","Ministry of Justice","G6/G7","160","160","59540","58130"
"In post","2021","Asian","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","SEO/HEO","810","760","36980","36480"
"In post","2021","Asian","Ministry of Justice","Unknown","520","480","29300","28200"
"In post","2021","Asian","National Crime Agency","AA/AO","40","40","[c]","[c]"
"In post","2021","Asian","National Crime Agency","EO","110","110","33520","32770"
"In post","2021","Asian","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","SEO/HEO","80","80","43640","41910"
"In post","2021","Asian","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","AA/AO","50","40","[c]","[c]"
"In post","2021","Asian","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","SEO/HEO","80","80","39420","38540"
"In post","2021","Asian","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","AA/AO","40","30","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","SEO/HEO","50","50","33260","32540"
"In post","2021","Asian","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","AA/AO","110","100","23240","23520"
"In post","2021","Black","Attorney General's Departments","EO","150","140","28250","27740"
"In post","2021","Black","Attorney General's Departments","G6/G7","200","190","58660","58970"
"In post","2021","Black","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","SEO/HEO","90","90","36420","35010"
"In post","2021","Black","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","EO","60","60","27890","27500"
"In post","2021","Black","Cabinet Office","G6/G7","70","70","59070","56340"
"In post","2021","Black","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","SEO/HEO","110","100","36970","35590"
"In post","2021","Black","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","AA/AO","40","40","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","EO","70","70","28260","27690"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","G6/G7","80","80","55990","53600"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","SEO/HEO","190","190","36920","35520"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Black","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education","EO","60","60","28160","28500"
"In post","2021","Black","Department for Education","G6/G7","70","70","55640","54160"
"In post","2021","Black","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education","SEO/HEO","150","140","37030","36750"
"In post","2021","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","AA/AO","40","30","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","EO","50","40","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","SEO/HEO","90","90","35280","34840"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","EO","30","30","[c]","[c]"
"In post","2021","Black","Department for International Trade","G6/G7","30","30","[c]","[c]"
"In post","2021","Black","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","SEO/HEO","60","60","35630","38160"
"In post","2021","Black","Department for Transport","AA/AO","30","30","[c]","[c]"
"In post","2021","Black","Department for Transport","EO","70","70","29330","30470"
"In post","2021","Black","Department for Transport","G6/G7","30","30","[c]","[c]"
"In post","2021","Black","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Transport","SEO/HEO","110","110","38850","37660"
"In post","2021","Black","Department for Work and Pensions","AA/AO","860","780","22760","22720"
"In post","2021","Black","Department for Work and Pensions","EO","2700","2570","29890","31060"
"In post","2021","Black","Department for Work and Pensions","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Work and Pensions","SEO/HEO","290","290","38050","36650"
"In post","2021","Black","Department of Health and Social Care","AA/AO","70","70","22110","22720"
"In post","2021","Black","Department of Health and Social Care","EO","150","140","27370","27400"
"In post","2021","Black","Department of Health and Social Care","G6/G7","120","120","56770","53860"
"In post","2021","Black","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department of Health and Social Care","SEO/HEO","310","290","36070","33880"
"In post","2021","Black","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office","AA/AO","50","50","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office","EO","70","70","30640","30630"
"In post","2021","Black","Foreign, Commonwealth and Development Office","G6/G7","50","50","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office","SEO/HEO","100","100","38310","38230"
"In post","2021","Black","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Revenue and Customs","AA/AO","380","350","22010","20140"
"In post","2021","Black","HM Revenue and Customs","EO","430","420","28330","29570"
"In post","2021","Black","HM Revenue and Customs","G6/G7","110","110","58270","59160"
"In post","2021","Black","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Revenue and Customs","SEO/HEO","540","530","36310","36160"
"In post","2021","Black","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Treasury","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Black","Home Office","AA/AO","440","380","24110","25630"
"In post","2021","Black","Home Office","EO","780","730","28650","28850"
"In post","2021","Black","Home Office","G6/G7","120","120","60430","57680"
"In post","2021","Black","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Home Office","SEO/HEO","550","540","38180","36370"
"In post","2021","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Defence","AA/AO","190","190","22490","21800"
"In post","2021","Black","Ministry of Defence","EO","140","140","26310","26670"
"In post","2021","Black","Ministry of Defence","G6/G7","50","40","[c]","[c]"
"In post","2021","Black","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Defence","SEO/HEO","360","360","36920","37000"
"In post","2021","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","EO","30","30","[c]","[c]"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","SEO/HEO","70","70","36600","35780"
"In post","2021","Black","Ministry of Justice","AA/AO","1730","1650","25700","23500"
"In post","2021","Black","Ministry of Justice","EO","450","440","28760","27380"
"In post","2021","Black","Ministry of Justice","G6/G7","90","90","59680","57780"
"In post","2021","Black","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Justice","SEO/HEO","530","520","37820","36800"
"In post","2021","Black","Ministry of Justice","Unknown","790","770","31090","28200"
"In post","2021","Black","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Crime Agency","EO","50","40","[c]","[c]"
"In post","2021","Black","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Crime Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
