"Status","Year","Profession_of_post","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Ministry of Defence","110","100","39570","37940"
"In post","2021","Commercial","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Education","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department of Health and Social Care","120","120","48390","40650"
"In post","2021","Commercial","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence","110","110","36580","33300"
"In post","2021","Commercial","Unknown","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other Cabinet Office Agencies","70","70","30040","27770"
"In post","2021","Commercial","Unknown","Scottish Government","50","50","27550","25870"
"In post","2021","Commercial","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Department for Business, Energy and Industrial Strategy","200","190","43250","40860"
"In post","2021","Commercial","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Department for Education","270","270","41460","37280"
"In post","2021","Commercial","White","Department for Environment, Food and Rural Affairs","110","110","38350","36970"
"In post","2021","Commercial","White","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Department for Transport","210","200","38660","33350"
"In post","2021","Commercial","White","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Department of Health and Social Care","100","100","46710","40650"
"In post","2021","Commercial","White","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Foreign, Commonwealth and Development Office","120","110","45030","41220"
"In post","2021","Commercial","White","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","HM Revenue and Customs","50","50","40610","38630"
"In post","2021","Commercial","White","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Home Office","60","50","40980","42100"
"In post","2021","Commercial","White","Ministry of Defence","1700","1640","38140","34800"
"In post","2021","Commercial","White","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Ministry of Justice","670","650","48530","46550"
"In post","2021","Commercial","White","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Other Cabinet Office Agencies","270","260","34860","34800"
"In post","2021","Commercial","White","Scottish Government","40","40","[c]","[c]"
"In post","2021","Commercial","White","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Department for Education","[c]","[c]","[c]","[c]"
