"Status","Year","Parent_department","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Northumberland and Tyne and Wear","70","60","21800","21950"
"In post","2021","Attorney General's Departments","AA/AO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","West Midlands","110","100","21760","21950"
"In post","2021","Attorney General's Departments","AA/AO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","West Yorkshire","90","80","21740","21950"
"In post","2021","Attorney General's Departments","EO","Bedfordshire and Hertfordshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Derbyshire and Nottinghamshire","60","50","26840","26220"
"In post","2021","Attorney General's Departments","EO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","East Wales","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Essex","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Greater Manchester","80","70","27920","28430"
"In post","2021","Attorney General's Departments","EO","Hampshire and Isle of Wight","50","50","28420","27490"
"In post","2021","Attorney General's Departments","EO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Inner London - West","710","680","28650","27760"
"In post","2021","Attorney General's Departments","EO","Kent","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Lancashire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Merseyside","80","80","27050","26900"
"In post","2021","Attorney General's Departments","EO","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","South Yorkshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Surrey, East and West Sussex","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","West Midlands","90","90","27140","28430"
"In post","2021","Attorney General's Departments","EO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","West Yorkshire","80","80","27180","27170"
"In post","2021","Attorney General's Departments","G6/G7","Bedfordshire and Hertfordshire","80","70","59050","61510"
"In post","2021","Attorney General's Departments","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","60","50","59990","62120"
"In post","2021","Attorney General's Departments","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Derbyshire and Nottinghamshire","100","90","54350","55610"
"In post","2021","Attorney General's Departments","G6/G7","Devon","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","East Anglia","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","East Wales","130","120","54890","55610"
"In post","2021","Attorney General's Departments","G6/G7","East Yorkshire and Northern Lincolnshire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Essex","70","60","59610","60710"
"In post","2021","Attorney General's Departments","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","100","90","55540","55250"
"In post","2021","Attorney General's Departments","G6/G7","Greater Manchester","170","150","56260","55610"
"In post","2021","Attorney General's Departments","G6/G7","Hampshire and Isle of Wight","120","110","59760","62140"
"In post","2021","Attorney General's Departments","G6/G7","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Inner London - West","2510","2330","60270","61000"
"In post","2021","Attorney General's Departments","G6/G7","Kent","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Lancashire","80","70","54890","55610"
"In post","2021","Attorney General's Departments","G6/G7","Leicestershire, Rutland and Northamptonshire","70","70","52830","51470"
"In post","2021","Attorney General's Departments","G6/G7","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Merseyside","130","130","54630","55610"
"In post","2021","Attorney General's Departments","G6/G7","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","North Yorkshire","200","170","58230","55610"
"In post","2021","Attorney General's Departments","G6/G7","Northumberland and Tyne and Wear","100","90","54930","55610"
"In post","2021","Attorney General's Departments","G6/G7","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Shropshire and Staffordshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Surrey, East and West Sussex","70","60","59860","62140"
"In post","2021","Attorney General's Departments","G6/G7","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","West Midlands","210","190","55630","55610"
"In post","2021","Attorney General's Departments","G6/G7","West Wales and The Valleys","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","West Yorkshire","190","180","55440","55610"
"In post","2021","Attorney General's Departments","SCS","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Inner London - West","260","240","87180","81420"
"In post","2021","Attorney General's Departments","SCS","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","East Wales","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Greater Manchester","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Inner London - West","680","670","37610","38910"
"In post","2021","Attorney General's Departments","SEO/HEO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Merseyside","60","60","34930","34480"
"In post","2021","Attorney General's Departments","SEO/HEO","North Yorkshire","50","50","35230","38180"
"In post","2021","Attorney General's Departments","SEO/HEO","Northumberland and Tyne and Wear","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","West Midlands","70","70","35040","34480"
"In post","2021","Attorney General's Departments","SEO/HEO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","West Yorkshire","80","70","35570","34480"
"In post","2021","Attorney General's Departments","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Inner London - West","130","130","24470","24490"
"In post","2021","Cabinet Office","AA/AO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","North Yorkshire","170","160","20910","20920"
"In post","2021","Cabinet Office","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Northumberland and Tyne and Wear","160","140","20800","20800"
"In post","2021","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Inner London - East","60","60","27870","27500"
"In post","2021","Cabinet Office","EO","Inner London - West","540","530","27970","27500"
"In post","2021","Cabinet Office","EO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","North Yorkshire","90","90","26700","26670"
"In post","2021","Cabinet Office","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Northumberland and Tyne and Wear","100","90","24800","23850"
"In post","2021","Cabinet Office","EO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","East Anglia","40","40","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","61360","54700"
"In post","2021","Cabinet Office","G6/G7","Greater Manchester","100","100","56470","52580"
"In post","2021","Cabinet Office","G6/G7","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Inner London - East","530","520","58870","56650"
"In post","2021","Cabinet Office","G6/G7","Inner London - West","1830","1790","60000","56340"
"In post","2021","Cabinet Office","G6/G7","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Merseyside","60","60","59920","54800"
"In post","2021","Cabinet Office","G6/G7","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","South Yorkshire","50","40","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Unknown","80","80","57410","54700"
"In post","2021","Cabinet Office","G6/G7","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","West Yorkshire","60","60","57050","53170"
"In post","2021","Cabinet Office","SCS","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Inner London - East","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Inner London - West","710","700","94180","80040"
"In post","2021","Cabinet Office","SCS","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","60","50","34060","33300"
"In post","2021","Cabinet Office","SEO/HEO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","East Anglia","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","East Wales","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","32990","33250"
"In post","2021","Cabinet Office","SEO/HEO","Greater Manchester","140","130","34070","33300"
"In post","2021","Cabinet Office","SEO/HEO","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Inner London - East","260","250","36180","34550"
"In post","2021","Cabinet Office","SEO/HEO","Inner London - West","2340","2320","33960","34550"
"In post","2021","Cabinet Office","SEO/HEO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Merseyside","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","North Yorkshire","160","160","35290","33300"
"In post","2021","Cabinet Office","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Northumberland and Tyne and Wear","120","120","33170","32000"
"In post","2021","Cabinet Office","SEO/HEO","Outer London - South","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Unknown","460","450","31530","32000"
"In post","2021","Cabinet Office","SEO/HEO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","West Yorkshire","90","80","32970","32000"
"In post","2021","Chancellor's other departments","AA/AO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Inner London - West","40","30","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Inner London - West","160","150","77590","72060"
"In post","2021","Chancellor's other departments","G6/G7","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Inner London - West","120","120","41610","42080"
"In post","2021","Chancellor's other departments","SEO/HEO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Merseyside","90","90","24640","24440"
"In post","2021","Charity Commission","G6/G7","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Merseyside","30","30","[c]","[c]"
"In post","2021","Charity Commission","SCS","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Merseyside","[c]","[c]","[c]","[c]"
