"Status","Year","Region_ITL1","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Commercial","G6/G7","240","230","63630","62550"
"In post","2021","London","Commercial","SCS","50","50","87030","79150"
"In post","2021","London","Commercial","SEO/HEO","430","420","41370","40650"
"In post","2021","London","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","AA/AO","70","70","24540","24490"
"In post","2021","London","Communications","EO","240","230","28560","27850"
"In post","2021","London","Communications","G6/G7","650","630","59240","57470"
"In post","2021","London","Communications","SCS","100","100","88190","82220"
"In post","2021","London","Communications","SEO/HEO","1040","1030","39550","39560"
"In post","2021","London","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","G6/G7","40","40","[c]","[c]"
"In post","2021","London","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","EO","70","60","28180","28750"
"In post","2021","London","Counter Fraud","G6/G7","90","90","63360","61900"
"In post","2021","London","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","SEO/HEO","230","230","38390","40000"
"In post","2021","London","Digital, Data and Technology","AA/AO","50","50","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","EO","290","290","29510","29500"
"In post","2021","London","Digital, Data and Technology","G6/G7","1280","1260","62330","60770"
"In post","2021","London","Digital, Data and Technology","SCS","120","120","94880","90710"
"In post","2021","London","Digital, Data and Technology","SEO/HEO","1550","1520","40140","40270"
"In post","2021","London","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Economics","AA/AO","60","60","24200","24120"
"In post","2021","London","Economics","EO","90","90","27720","27680"
"In post","2021","London","Economics","G6/G7","770","740","60320","58710"
"In post","2021","London","Economics","SCS","80","80","89940","82660"
"In post","2021","London","Economics","SEO/HEO","770","760","35200","34090"
"In post","2021","London","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","AA/AO","80","80","24380","24350"
"In post","2021","London","Finance","EO","300","290","28740","29000"
"In post","2021","London","Finance","G6/G7","920","900","61760","59730"
"In post","2021","London","Finance","SCS","160","160","91190","83860"
"In post","2021","London","Finance","SEO/HEO","1090","1070","39620","39830"
"In post","2021","London","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","AA/AO","90","80","24330","24090"
"In post","2021","London","Human Resources","EO","350","330","29060","28810"
"In post","2021","London","Human Resources","G6/G7","770","750","61040","59190"
"In post","2021","London","Human Resources","SCS","130","130","89020","82600"
"In post","2021","London","Human Resources","SEO/HEO","1070","1040","38890","37900"
"In post","2021","London","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Inspector of Education and Training","G6/G7","130","120","75690","75500"
"In post","2021","London","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Inspector of Education and Training","SEO/HEO","100","100","50850","51360"
"In post","2021","London","Intelligence Analysis","AA/AO","60","60","25170","25630"
"In post","2021","London","Intelligence Analysis","EO","450","420","29940","29250"
"In post","2021","London","Intelligence Analysis","G6/G7","290","280","60090","59160"
"In post","2021","London","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Intelligence Analysis","SEO/HEO","600","580","39750","38410"
"In post","2021","London","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","G6/G7","70","70","62690","59730"
"In post","2021","London","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","SEO/HEO","100","90","44810","45260"
"In post","2021","London","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","International Trade","EO","70","70","27760","26510"
"In post","2021","London","International Trade","G6/G7","460","450","55470","52850"
"In post","2021","London","International Trade","SCS","80","80","84460","75570"
"In post","2021","London","International Trade","SEO/HEO","460","460","35800","35560"
"In post","2021","London","Knowledge and Information Management","AA/AO","80","80","24640","24560"
"In post","2021","London","Knowledge and Information Management","EO","140","130","28920","29160"
"In post","2021","London","Knowledge and Information Management","G6/G7","190","180","59790","57460"
"In post","2021","London","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","SEO/HEO","320","310","38050","37640"
"In post","2021","London","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","AA/AO","50","40","[c]","[c]"
"In post","2021","London","Legal","EO","570","560","30300","29570"
"In post","2021","London","Legal","G6/G7","2960","2750","61270","61860"
"In post","2021","London","Legal","SCS","290","280","88850","82520"
"In post","2021","London","Legal","SEO/HEO","900","860","39650","39360"
"In post","2021","London","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","G6/G7","110","110","64570","66680"
"In post","2021","London","Medicine","SCS","210","180","103560","95140"
"In post","2021","London","Medicine","SEO/HEO","40","40","[c]","[c]"
"In post","2021","London","Operational Delivery","AA/AO","8360","7780","25930","25140"
"In post","2021","London","Operational Delivery","EO","7080","6620","29940","29080"
"In post","2021","London","Operational Delivery","G6/G7","2280","2220","60690","58220"
"In post","2021","London","Operational Delivery","SCS","330","320","95850","89520"
"In post","2021","London","Operational Delivery","SEO/HEO","6300","6090","38880","37460"
"In post","2021","London","Operational Delivery","Unknown","1540","1490","33360","32090"
"In post","2021","London","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","G6/G7","140","130","63160","59920"
"In post","2021","London","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","SEO/HEO","200","200","39800","38340"
"In post","2021","London","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","AA/AO","720","680","24880","24590"
"In post","2021","London","Other","EO","1170","1110","28050","28650"
"In post","2021","London","Other","G6/G7","900","860","63470","59730"
"In post","2021","London","Other","SCS","170","160","95930","88520"
"In post","2021","London","Other","SEO/HEO","1230","1200","37430","36590"
"In post","2021","London","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","G6/G7","40","30","[c]","[c]"
"In post","2021","London","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","SEO/HEO","40","40","[c]","[c]"
"In post","2021","London","Policy","AA/AO","370","350","25270","24490"
"In post","2021","London","Policy","EO","1750","1710","29120","28670"
"In post","2021","London","Policy","G6/G7","8360","8120","59200","57460"
"In post","2021","London","Policy","SCS","1390","1340","85440","77450"
"In post","2021","London","Policy","SEO/HEO","7810","7670","37630","37000"
"In post","2021","London","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","AA/AO","60","50","24360","24370"
"In post","2021","London","Project Delivery","EO","330","320","29060","29080"
"In post","2021","London","Project Delivery","G6/G7","1390","1360","61140","59160"
"In post","2021","London","Project Delivery","SCS","260","250","94660","93000"
"In post","2021","London","Project Delivery","SEO/HEO","1610","1580","38960","38600"
"In post","2021","London","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","AA/AO","100","90","23510","24960"
"In post","2021","London","Property","EO","260","250","29980","29630"
"In post","2021","London","Property","G6/G7","310","300","62760","62960"
"In post","2021","London","Property","SCS","30","30","[c]","[c]"
"In post","2021","London","Property","SEO/HEO","410","400","40490","38410"
"In post","2021","London","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","SEO/HEO","40","40","[c]","[c]"
"In post","2021","London","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","AA/AO","110","100","24190","23710"
"In post","2021","London","Science and Engineering","EO","110","110","28210","27510"
"In post","2021","London","Science and Engineering","G6/G7","460","440","60700","59020"
"In post","2021","London","Science and Engineering","SCS","60","50","102590","95310"
"In post","2021","London","Science and Engineering","SEO/HEO","650","620","39030","40070"
