"Status","Year","Sex","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Finance","G6/G7","990","950","57840","56860"
"In post","2021","Female","Finance","SCS","100","100","88170","82720"
"In post","2021","Female","Finance","SEO/HEO","2090","1990","36950","36520"
"In post","2021","Female","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","AA/AO","570","480","21000","21050"
"In post","2021","Female","Grants Management","EO","320","280","25510","25190"
"In post","2021","Female","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","SEO/HEO","180","160","32440","30780"
"In post","2021","Female","Human Resources","AA/AO","1150","1010","21420","21130"
"In post","2021","Female","Human Resources","EO","1240","1150","26540","26670"
"In post","2021","Female","Human Resources","G6/G7","1320","1270","57480","55550"
"In post","2021","Female","Human Resources","SCS","150","150","88780","81870"
"In post","2021","Female","Human Resources","SEO/HEO","2660","2510","36160","35290"
"In post","2021","Female","Human Resources","Unknown","170","160","35190","32580"
"In post","2021","Female","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","EO","30","30","[c]","[c]"
"In post","2021","Female","Internal Audit","G6/G7","90","80","59040","56400"
"In post","2021","Female","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","SEO/HEO","250","230","39940","39980"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","AA/AO","1820","1600","22140","21950"
"In post","2021","Female","Legal","EO","1720","1560","28080","28430"
"In post","2021","Female","Legal","G6/G7","3720","3350","58930","57340"
"In post","2021","Female","Legal","SCS","250","230","87610","82500"
"In post","2021","Female","Legal","SEO/HEO","2200","2020","38570","38000"
"In post","2021","Female","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","AA/AO","37970","32830","22040","21400"
"In post","2021","Female","No function","EO","17080","15680","27360","26860"
"In post","2021","Female","No function","G6/G7","10040","9570","57840","54700"
"In post","2021","Female","No function","SCS","1450","1350","88830","79790"
"In post","2021","Female","No function","SEO/HEO","23530","22310","35970","34690"
"In post","2021","Female","No function","Unknown","9290","8480","29630","28200"
"In post","2021","Female","Project Delivery","AA/AO","400","360","21800","21440"
"In post","2021","Female","Project Delivery","EO","2300","2130","25230","26120"
"In post","2021","Female","Project Delivery","G6/G7","3240","3120","56750","55060"
"In post","2021","Female","Project Delivery","SCS","310","290","87850","79720"
"In post","2021","Female","Project Delivery","SEO/HEO","6080","5760","35640","35100"
"In post","2021","Female","Project Delivery","Unknown","300","290","39210","37210"
"In post","2021","Female","Property","AA/AO","1050","930","21040","21100"
"In post","2021","Female","Property","EO","950","860","27110","26500"
"In post","2021","Female","Property","G6/G7","400","390","56130","54990"
"In post","2021","Female","Property","SCS","30","30","[c]","[c]"
"In post","2021","Female","Property","SEO/HEO","1440","1360","36460","35300"
"In post","2021","Female","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","AA/AO","910","860","24410","20920"
"In post","2021","Female","Security","EO","360","350","28870","26670"
"In post","2021","Female","Security","G6/G7","140","130","59600","55430"
"In post","2021","Female","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","SEO/HEO","600","590","37600","35900"
"In post","2021","Female","Security","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Unknown","AA/AO","31090","26140","21400","21010"
"In post","2021","Female","Unknown","EO","42870","37930","27900","27570"
"In post","2021","Female","Unknown","G6/G7","6050","5720","60240","58700"
"In post","2021","Female","Unknown","SCS","630","600","88140","82460"
"In post","2021","Female","Unknown","SEO/HEO","17370","16330","36680","35310"
"In post","2021","Female","Unknown","Unknown","350","340","35660","35380"
"In post","2021","Male","Analysis","AA/AO","100","100","21750","21260"
"In post","2021","Male","Analysis","EO","360","350","26720","26410"
"In post","2021","Male","Analysis","G6/G7","1400","1370","58800","56520"
"In post","2021","Male","Analysis","SCS","90","90","89390","79930"
"In post","2021","Male","Analysis","SEO/HEO","1970","1940","35970","36030"
"In post","2021","Male","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","AA/AO","220","210","22150","21160"
"In post","2021","Male","Commercial","EO","350","350","26980","26670"
"In post","2021","Male","Commercial","G6/G7","940","930","62230","59110"
"In post","2021","Male","Commercial","SCS","350","350","96120","77920"
"In post","2021","Male","Commercial","SEO/HEO","1460","1440","39140","38630"
"In post","2021","Male","Commercial","Unknown","130","130","44000","40590"
"In post","2021","Male","Communications","AA/AO","200","190","21490","21130"
"In post","2021","Male","Communications","EO","1700","1670","25560","25560"
"In post","2021","Male","Communications","G6/G7","430","430","58350","55630"
"In post","2021","Male","Communications","SCS","60","60","92600","84020"
"In post","2021","Male","Communications","SEO/HEO","1520","1510","35470","33300"
"In post","2021","Male","Counter Fraud","AA/AO","330","320","21400","20650"
"In post","2021","Male","Counter Fraud","EO","1690","1650","26990","25560"
"In post","2021","Male","Counter Fraud","G6/G7","710","680","58120","57890"
"In post","2021","Male","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","SEO/HEO","2340","2270","35540","35000"
"In post","2021","Male","Debt","AA/AO","1470","1410","20730","20140"
"In post","2021","Male","Debt","EO","420","410","26720","25560"
"In post","2021","Male","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Debt","SEO/HEO","110","100","35320","35000"
"In post","2021","Male","Digital, Data & Technology","AA/AO","240","240","22000","21580"
"In post","2021","Male","Digital, Data & Technology","EO","1400","1370","27610","26740"
"In post","2021","Male","Digital, Data & Technology","G6/G7","2370","2340","57870","55830"
"In post","2021","Male","Digital, Data & Technology","SCS","170","170","92780","89800"
"In post","2021","Male","Digital, Data & Technology","SEO/HEO","4340","4270","37720","37910"
"In post","2021","Male","Digital, Data & Technology","Unknown","80","80","37430","37200"
"In post","2021","Male","Finance","AA/AO","500","460","20980","20670"
"In post","2021","Male","Finance","EO","610","600","26230","26350"
"In post","2021","Male","Finance","G6/G7","1080","1070","59370","58130"
"In post","2021","Male","Finance","SCS","180","180","92900","85800"
"In post","2021","Male","Finance","SEO/HEO","1730","1710","37790","37600"
"In post","2021","Male","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","AA/AO","390","380","21020","21050"
"In post","2021","Male","Grants Management","EO","220","220","25530","25190"
"In post","2021","Male","Grants Management","G6/G7","30","30","[c]","[c]"
"In post","2021","Male","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","SEO/HEO","150","150","33080","31640"
"In post","2021","Male","Human Resources","AA/AO","460","450","21170","20920"
"In post","2021","Male","Human Resources","EO","530","520","27010","26670"
"In post","2021","Male","Human Resources","G6/G7","580","570","58520","57670"
"In post","2021","Male","Human Resources","SCS","70","70","90030","83350"
"In post","2021","Male","Human Resources","SEO/HEO","1200","1170","36900","36320"
"In post","2021","Male","Human Resources","Unknown","70","70","43930","34850"
"In post","2021","Male","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","G6/G7","120","110","58870","57490"
"In post","2021","Male","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","SEO/HEO","210","210","41260","40660"
"In post","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","AA/AO","770","730","21950","21950"
"In post","2021","Male","Legal","EO","730","710","27990","28430"
"In post","2021","Male","Legal","G6/G7","2310","2230","60340","59160"
"In post","2021","Male","Legal","SCS","220","210","90250","83830"
"In post","2021","Male","Legal","SEO/HEO","1120","1090","38440","37940"
"In post","2021","Male","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","No function","AA/AO","32540","30960","24330","22430"
"In post","2021","Male","No function","EO","16040","15400","29110","28080"
"In post","2021","Male","No function","G6/G7","11040","10820","58740","56350"
"In post","2021","Male","No function","SCS","1510","1470","92070","83110"
"In post","2021","Male","No function","SEO/HEO","21720","21100","37390","36360"
"In post","2021","Male","No function","Unknown","2720","2610","30740","30210"
"In post","2021","Male","Project Delivery","AA/AO","220","210","21380","21440"
"In post","2021","Male","Project Delivery","EO","2310","2260","24490","25560"
"In post","2021","Male","Project Delivery","G6/G7","4140","4070","57870","55990"
"In post","2021","Male","Project Delivery","SCS","390","380","94440","85610"
"In post","2021","Male","Project Delivery","SEO/HEO","7670","7520","36910","37370"
"In post","2021","Male","Project Delivery","Unknown","1060","1040","43190","41270"
"In post","2021","Male","Property","AA/AO","1300","1270","21880","21100"
"In post","2021","Male","Property","EO","1000","980","27760","26670"
"In post","2021","Male","Property","G6/G7","860","840","58220","56280"
"In post","2021","Male","Property","SCS","60","60","98700","93050"
"In post","2021","Male","Property","SEO/HEO","2180","2120","37830","37000"
"In post","2021","Male","Property","Unknown","30","30","[c]","[c]"
"In post","2021","Male","Security","AA/AO","4610","4530","27160","22650"
"In post","2021","Male","Security","EO","820","810","33870","30750"
"In post","2021","Male","Security","G6/G7","240","240","60670","58600"
"In post","2021","Male","Security","SCS","30","30","[c]","[c]"
"In post","2021","Male","Security","SEO/HEO","980","960","40520","37320"
"In post","2021","Male","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","AA/AO","17960","17180","21400","21010"
"In post","2021","Male","Unknown","EO","27220","26100","27890","27570"
"In post","2021","Male","Unknown","G6/G7","5990","5860","61410","60740"
"In post","2021","Male","Unknown","SCS","710","700","91790","83230"
"In post","2021","Male","Unknown","SEO/HEO","14340","14030","37390","36460"
"In post","2021","Male","Unknown","Unknown","2120","2120","38010","34460"
"In post","2021","Unknown","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Analysis","AA/AO","140","130","21850","21510"
"In post","2022","Female","Analysis","EO","450","420","26750","26350"
"In post","2022","Female","Analysis","G6/G7","1230","1130","58480","55840"
"In post","2022","Female","Analysis","SCS","80","80","85190","79590"
"In post","2022","Female","Analysis","SEO/HEO","2070","1980","36180","36580"
"In post","2022","Female","Commercial","AA/AO","150","130","22640","21840"
"In post","2022","Female","Commercial","EO","470","440","26540","26350"
"In post","2022","Female","Commercial","G6/G7","1070","1040","60400","57710"
"In post","2022","Female","Commercial","SCS","130","120","102950","96340"
"In post","2022","Female","Commercial","SEO/HEO","1530","1460","36910","36820"
"In post","2022","Female","Commercial","Unknown","80","70","37500","37280"
"In post","2022","Female","Communications","AA/AO","270","240","21810","21250"
"In post","2022","Female","Communications","EO","1580","1500","26970","26820"
"In post","2022","Female","Communications","G6/G7","740","710","58560","56370"
"In post","2022","Female","Communications","SCS","70","70","88820","83110"
"In post","2022","Female","Communications","SEO/HEO","1900","1820","36710","34710"
"In post","2022","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Counter Fraud","AA/AO","1750","1430","22380","21260"
"In post","2022","Female","Counter Fraud","EO","4030","3590","28130","27570"
"In post","2022","Female","Counter Fraud","G6/G7","480","460","58590","55210"
"In post","2022","Female","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Counter Fraud","SEO/HEO","2710","2540","36020","33680"
"In post","2022","Female","Debt","AA/AO","3200","2670","21680","21260"
"In post","2022","Female","Debt","EO","720","630","27830","27570"
"In post","2022","Female","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Female","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Debt","SEO/HEO","230","200","34750","33370"
"In post","2022","Female","Digital, Data & Technology","AA/AO","450","430","21810","21380"
"In post","2022","Female","Digital, Data & Technology","EO","1410","1310","27390","26900"
"In post","2022","Female","Digital, Data & Technology","G6/G7","2140","2060","56480","54700"
"In post","2022","Female","Digital, Data & Technology","SCS","110","110","88340","79860"
"In post","2022","Female","Digital, Data & Technology","SEO/HEO","4120","3930","36620","36050"
"In post","2022","Female","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Finance","AA/AO","1130","910","21830","21260"
"In post","2022","Female","Finance","EO","1310","1210","26950","26780"
"In post","2022","Female","Finance","G6/G7","1340","1290","57730","55980"
"In post","2022","Female","Finance","SCS","120","110","85720","79810"
"In post","2022","Female","Finance","SEO/HEO","2950","2800","36850","36500"
"In post","2022","Female","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","AA/AO","750","650","21280","21300"
"In post","2022","Female","Grants Management","EO","370","330","25430","25190"
"In post","2022","Female","Grants Management","G6/G7","40","30","[c]","[c]"
"In post","2022","Female","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","SEO/HEO","190","170","32360","30640"
"In post","2022","Female","Human Resources","AA/AO","1180","1040","21760","21330"
"In post","2022","Female","Human Resources","EO","1760","1620","27150","26930"
"In post","2022","Female","Human Resources","G6/G7","1600","1530","57360","55210"
"In post","2022","Female","Human Resources","SCS","170","170","86920","79750"
"In post","2022","Female","Human Resources","SEO/HEO","3340","3160","36020","35260"
"In post","2022","Female","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","EO","40","30","[c]","[c]"
"In post","2022","Female","Internal Audit","G6/G7","100","90","58430","55230"
"In post","2022","Female","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","SEO/HEO","250","240","40370","40180"
"In post","2022","Female","Legal","AA/AO","1160","1040","22750","22200"
"In post","2022","Female","Legal","EO","1520","1390","27980","27710"
"In post","2022","Female","Legal","G6/G7","3750","3380","58870","56650"
"In post","2022","Female","Legal","SCS","250","240","86800","82500"
"In post","2022","Female","Legal","SEO/HEO","1390","1310","39610","38180"
"In post","2022","Female","No function","AA/AO","54090","46180","22290","21260"
"In post","2022","Female","No function","EO","46370","41480","28060","27570"
"In post","2022","Female","No function","G6/G7","12190","11660","57980","55210"
"In post","2022","Female","No function","SCS","1650","1560","88220","79890"
"In post","2022","Female","No function","SEO/HEO","30880","29300","36370","34770"
"In post","2022","Female","No function","Unknown","14490","13330","29760","28200"
"In post","2022","Female","Project Delivery","AA/AO","450","370","22050","21300"
"In post","2022","Female","Project Delivery","EO","1680","1540","25500","26160"
"In post","2022","Female","Project Delivery","G6/G7","3160","3030","57510","55210"
"In post","2022","Female","Project Delivery","SCS","280","270","87700","79720"
"In post","2022","Female","Project Delivery","SEO/HEO","5840","5490","36140","36000"
"In post","2022","Female","Project Delivery","Unknown","450","420","37180","34000"
"In post","2022","Female","Property","AA/AO","900","800","21530","22010"
"In post","2022","Female","Property","EO","940","860","26940","26880"
"In post","2022","Female","Property","G6/G7","620","600","57070","55210"
"In post","2022","Female","Property","SCS","40","40","[c]","[c]"
"In post","2022","Female","Property","SEO/HEO","1630","1550","36840","35340"
"In post","2022","Female","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","AA/AO","940","890","24840","21280"
"In post","2022","Female","Security","EO","560","530","28430","26670"
"In post","2022","Female","Security","G6/G7","210","210","58360","56730"
"In post","2022","Female","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","SEO/HEO","980","950","37450","36140"
"In post","2022","Female","Security","Unknown","50","50","[c]","[c]"
"In post","2022","Female","Unknown","AA/AO","10990","9850","22220","21680"
"In post","2022","Female","Unknown","EO","11690","10720","27360","27230"
"In post","2022","Female","Unknown","G6/G7","5260","4970","61820","61440"
"In post","2022","Female","Unknown","SCS","460","440","87360","81570"
"In post","2022","Female","Unknown","SEO/HEO","12850","12210","37930","37450"
"In post","2022","Female","Unknown","Unknown","280","280","32910","32400"
"In post","2022","Male","Analysis","AA/AO","130","120","21730","21260"
"In post","2022","Male","Analysis","EO","420","410","26930","26590"
"In post","2022","Male","Analysis","G6/G7","1580","1550","59370","57030"
"In post","2022","Male","Analysis","SCS","110","110","92290","81460"
"In post","2022","Male","Analysis","SEO/HEO","2240","2210","36350","36640"
"In post","2022","Male","Commercial","AA/AO","150","140","22520","21660"
"In post","2022","Male","Commercial","EO","300","290","26850","26660"
"In post","2022","Male","Commercial","G6/G7","1180","1170","62580","61710"
"In post","2022","Male","Commercial","SCS","210","210","115430","113870"
"In post","2022","Male","Commercial","SEO/HEO","1290","1280","37800","38320"
"In post","2022","Male","Commercial","Unknown","90","90","42140","39860"
"In post","2022","Male","Communications","AA/AO","220","210","21830","21250"
"In post","2022","Male","Communications","EO","1660","1640","26910","26820"
"In post","2022","Male","Communications","G6/G7","460","460","58760","56360"
"In post","2022","Male","Communications","SCS","70","70","95760","87750"
"In post","2022","Male","Communications","SEO/HEO","1560","1550","36390","33370"
"In post","2022","Male","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","AA/AO","1010","970","22240","21260"
"In post","2022","Male","Counter Fraud","EO","3160","3010","28170","27570"
"In post","2022","Male","Counter Fraud","G6/G7","830","810","60080","57990"
"In post","2022","Male","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","SEO/HEO","3000","2910","36610","35310"
"In post","2022","Male","Debt","AA/AO","1980","1890","21580","21250"
"In post","2022","Male","Debt","EO","500","470","27790","27570"
"In post","2022","Male","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Male","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Debt","SEO/HEO","140","130","36110","33370"
"In post","2022","Male","Digital, Data & Technology","AA/AO","490","490","21950","21380"
"In post","2022","Male","Digital, Data & Technology","EO","2390","2330","27760","27570"
"In post","2022","Male","Digital, Data & Technology","G6/G7","3870","3820","58450","56190"
"In post","2022","Male","Digital, Data & Technology","SCS","220","220","94460","90000"
"In post","2022","Male","Digital, Data & Technology","SEO/HEO","6790","6680","37910","37420"
"In post","2022","Male","Digital, Data & Technology","Unknown","50","50","[c]","[c]"
"In post","2022","Male","Finance","AA/AO","590","550","21680","21250"
"In post","2022","Male","Finance","EO","790","780","26760","26820"
"In post","2022","Male","Finance","G6/G7","1430","1410","58920","57450"
"In post","2022","Male","Finance","SCS","190","190","88420","80290"
"In post","2022","Male","Finance","SEO/HEO","2480","2430","37670","36840"
"In post","2022","Male","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Grants Management","AA/AO","530","510","21270","21300"
"In post","2022","Male","Grants Management","EO","230","230","25450","25190"
"In post","2022","Male","Grants Management","G6/G7","30","30","[c]","[c]"
"In post","2022","Male","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Grants Management","SEO/HEO","170","160","32850","31360"
"In post","2022","Male","Human Resources","AA/AO","460","440","21600","21250"
"In post","2022","Male","Human Resources","EO","830","810","27580","27570"
"In post","2022","Male","Human Resources","G6/G7","750","740","58400","56760"
"In post","2022","Male","Human Resources","SCS","90","90","86510","78150"
"In post","2022","Male","Human Resources","SEO/HEO","1510","1480","36800","36320"
"In post","2022","Male","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","G6/G7","110","110","58810","58950"
"In post","2022","Male","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","SEO/HEO","200","190","41010","40660"
"In post","2022","Male","Legal","AA/AO","470","460","22830","22200"
"In post","2022","Male","Legal","EO","610","600","28080","27570"
"In post","2022","Male","Legal","G6/G7","2250","2170","60330","58970"
"In post","2022","Male","Legal","SCS","210","210","89170","83350"
"In post","2022","Male","Legal","SEO/HEO","800","790","39270","38000"
"In post","2022","Male","No function","AA/AO","39690","37730","24050","21840"
"In post","2022","Male","No function","EO","30440","29320","28870","27570"
"In post","2022","Male","No function","G6/G7","12480","12220","58980","56380"
"In post","2022","Male","No function","SCS","1680","1640","91430","83040"
"In post","2022","Male","No function","SEO/HEO","25860","25190","37560","36480"
"In post","2022","Male","No function","Unknown","4710","4440","31140","28200"
"In post","2022","Male","Project Delivery","AA/AO","190","180","21970","21260"
"In post","2022","Male","Project Delivery","EO","1760","1710","24250","25270"
"In post","2022","Male","Project Delivery","G6/G7","4090","4010","58510","55860"
"In post","2022","Male","Project Delivery","SCS","320","320","96560","87290"
"In post","2022","Male","Project Delivery","SEO/HEO","7210","7040","37190","37830"
"In post","2022","Male","Project Delivery","Unknown","1170","1150","42550","40760"
"In post","2022","Male","Property","AA/AO","940","920","21450","21750"
"In post","2022","Male","Property","EO","970","950","26610","26670"
"In post","2022","Male","Property","G6/G7","1110","1090","59170","58090"
"In post","2022","Male","Property","SCS","80","80","95920","92790"
"In post","2022","Male","Property","SEO/HEO","2270","2210","38120","37210"
"In post","2022","Male","Property","Unknown","40","40","[c]","[c]"
"In post","2022","Male","Security","AA/AO","4720","4620","27340","23540"
"In post","2022","Male","Security","EO","950","930","33720","29430"
"In post","2022","Male","Security","G6/G7","390","390","59820","58550"
"In post","2022","Male","Security","SCS","50","50","[c]","[c]"
"In post","2022","Male","Security","SEO/HEO","1690","1660","39690","37660"
"In post","2022","Male","Security","Unknown","140","140","31800","28280"
"In post","2022","Male","Unknown","AA/AO","8050","7790","22160","21680"
"In post","2022","Male","Unknown","EO","11380","10920","27620","27230"
"In post","2022","Male","Unknown","G6/G7","4930","4840","62490","61440"
"In post","2022","Male","Unknown","SCS","560","540","91350","83230"
"In post","2022","Male","Unknown","SEO/HEO","11450","11260","38320","37460"
"In post","2022","Male","Unknown","Unknown","1780","1780","37960","34460"
"In post","2022","Unknown","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Analysis","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Analysis","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Female","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Female","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","SEO/HEO","80","70","36170","35590"
"Leaver CS","2021","Female","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
