"Status","Year","Region_ITL3","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Unknown","350","320","28380","27570"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Unknown","70","70","61630","61010"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Operational Delivery","160","160","58490","41480"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Policy","60","50","57130","69670"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","290","280","38010","35440"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Operational Delivery","250","220","21000","21400"
"In post","2021","Angus and Dundee City","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Tax","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Unknown","770","710","21220","21010"
"In post","2021","Angus and Dundee City","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Operational Delivery","70","60","27070","28130"
"In post","2021","Angus and Dundee City","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Unknown","410","370","27510","27570"
"In post","2021","Angus and Dundee City","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Unknown","60","50","61470","61010"
"In post","2021","Angus and Dundee City","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Unknown","150","150","35850","34290"
"In post","2021","Antrim and Newtownabbey","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Other","60","50","20440","20310"
"In post","2021","Antrim and Newtownabbey","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Security","70","70","20810","20310"
"In post","2021","Antrim and Newtownabbey","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Other","40","40","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Security","90","90","20890","20310"
"In post","2021","Ards and North Down","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Operational Delivery","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Unknown","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Unknown","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Unknown","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Operational Delivery","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Operational Delivery","110","100","22940","22720"
"In post","2021","Barnet","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Science and Engineering","90","80","24260","23800"
"In post","2021","Barnet","AA/AO","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Operational Delivery","110","100","29420","30350"
"In post","2021","Barnet","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Science and Engineering","70","60","27800","27150"
"In post","2021","Barnet","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Unknown","230","210","31140","31060"
"In post","2021","Barnet","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Barnet","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Operational Delivery","80","80","57140","54230"
"In post","2021","Barnet","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Science and Engineering","140","140","60040","55960"
"In post","2021","Barnet","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Medicine","40","30","[c]","[c]"
"In post","2021","Barnet","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Digital, Data and Technology","100","100","41940","41980"
"In post","2021","Barnet","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Operational Delivery","150","140","37360","37190"
"In post","2021","Barnet","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Science and Engineering","240","230","38790","40070"
"In post","2021","Barnet","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Operational Delivery","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Operational Delivery","880","810","24610","24120"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Unknown","600","500","20790","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Operational Delivery","200","190","29420","27380"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Security","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Unknown","660","560","27480","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Operational Delivery","140","130","39310","37450"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Unknown","100","90","33270","32250"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Operational Delivery","210","180","29460","30210"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Human Resources","110","100","21110","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Operational Delivery","430","390","24250","23240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Other","50","50","20950","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Security","90","90","22990","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Unknown","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Commercial","150","140","23370","23000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Finance","190","180","23040","23350"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Human Resources","90","80","24430","25460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Operational Delivery","410","390","29290","28360"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Other","580","520","21910","20450"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Project Delivery","310","300","24180","25310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Science and Engineering","430","430","24010","26070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Unknown","330","300","27480","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Commercial","210","200","58520","55360"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Digital, Data and Technology","80","70","58890","57650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Finance","140","140","61790","58800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Human Resources","60","60","58700","55080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Legal","30","30","[c]","[c]"
