"Status","Year","Sexual_orientation","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","16-19","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Tyneside","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Westminster","70","70","25720","25170"
"In post","2021","Heterosexual / straight","16-19","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","York","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Aberdeen City and Aberdeenshire","110","110","27590","27150"
"In post","2021","Heterosexual / straight","20-29","Angus and Dundee City","110","110","23940","21150"
"In post","2021","Heterosexual / straight","20-29","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Barking & Dagenham and Havering","70","70","30060","31060"
"In post","2021","Heterosexual / straight","20-29","Barnet","260","250","30200","30860"
"In post","2021","Heterosexual / straight","20-29","Barnsley, Doncaster and Rotherham","280","270","24690","25300"
"In post","2021","Heterosexual / straight","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","2130","2110","27690","27540"
"In post","2021","Heterosexual / straight","20-29","Bedford","110","110","28170","29650"
"In post","2021","Heterosexual / straight","20-29","Belfast","180","170","24500","21430"
"In post","2021","Heterosexual / straight","20-29","Berkshire","260","260","29410","27680"
"In post","2021","Heterosexual / straight","20-29","Bexley and Greenwich","210","210","29670","31060"
"In post","2021","Heterosexual / straight","20-29","Birmingham","1040","1020","25960","24890"
"In post","2021","Heterosexual / straight","20-29","Blackburn with Darwen","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Blackpool","390","380","24260","21010"
"In post","2021","Heterosexual / straight","20-29","Bournemouth and Poole","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Bradford","250","240","24380","22920"
"In post","2021","Heterosexual / straight","20-29","Breckland and South Norfolk","80","80","24320","24440"
"In post","2021","Heterosexual / straight","20-29","Brent","80","80","29570","31060"
"In post","2021","Heterosexual / straight","20-29","Bridgend and Neath Port Talbot","60","60","24450","21010"
"In post","2021","Heterosexual / straight","20-29","Brighton and Hove","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Bristol, City of","680","670","27890","25920"
"In post","2021","Heterosexual / straight","20-29","Bromley","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Buckinghamshire CC","190","180","27980","27850"
"In post","2021","Heterosexual / straight","20-29","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Calderdale and Kirklees","70","70","25990","27570"
"In post","2021","Heterosexual / straight","20-29","Cambridgeshire CC","320","310","27120","26970"
"In post","2021","Heterosexual / straight","20-29","Camden and City of London","310","300","31780","29570"
"In post","2021","Heterosexual / straight","20-29","Cardiff and Vale of Glamorgan","1180","1160","26110","25560"
"In post","2021","Heterosexual / straight","20-29","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Central Bedfordshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Central Hampshire","450","450","29250","28650"
"In post","2021","Heterosexual / straight","20-29","Central Valleys","120","110","25800","23840"
"In post","2021","Heterosexual / straight","20-29","Cheshire East","60","60","25260","24920"
"In post","2021","Heterosexual / straight","20-29","Cheshire West and Chester","50","50","22880","21010"
"In post","2021","Heterosexual / straight","20-29","Chorley and West Lancashire","120","120","25290","25300"
"In post","2021","Heterosexual / straight","20-29","City of Edinburgh","1050","1040","28950","27150"
"In post","2021","Heterosexual / straight","20-29","Clackmannanshire and Fife","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Conwy and Denbighshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Cornwall and Isles of Scilly","90","90","23640","21010"
"In post","2021","Heterosexual / straight","20-29","Coventry","290","280","29460","27570"
"In post","2021","Heterosexual / straight","20-29","Croydon","760","760","33240","30120"
"In post","2021","Heterosexual / straight","20-29","Darlington","80","80","30150","29360"
"In post","2021","Heterosexual / straight","20-29","Derby","90","90","24820","25090"
"In post","2021","Heterosexual / straight","20-29","Devon CC","290","280","24290","22850"
"In post","2021","Heterosexual / straight","20-29","Dorset CC","160","160","24930","24920"
"In post","2021","Heterosexual / straight","20-29","Dudley","70","70","23480","21010"
"In post","2021","Heterosexual / straight","20-29","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Durham CC","550","520","23650","22350"
"In post","2021","Heterosexual / straight","20-29","Ealing","70","70","30750","31060"
"In post","2021","Heterosexual / straight","20-29","East Ayrshire and North Ayrshire mainland","60","50","24490","23750"
"In post","2021","Heterosexual / straight","20-29","East Cumbria","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","210","210","25320","24610"
"In post","2021","Heterosexual / straight","20-29","East Kent","370","370","24750","24880"
"In post","2021","Heterosexual / straight","20-29","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","East Merseyside","50","50","25910","27570"
"In post","2021","Heterosexual / straight","20-29","East Riding of Yorkshire","190","190","24490","24900"
"In post","2021","Heterosexual / straight","20-29","East Surrey","110","100","30660","31980"
"In post","2021","Heterosexual / straight","20-29","East Sussex CC","190","180","24720","25850"
"In post","2021","Heterosexual / straight","20-29","Enfield","60","60","30250","31060"
"In post","2021","Heterosexual / straight","20-29","Essex Haven Gateway","70","70","25290","24890"
"In post","2021","Heterosexual / straight","20-29","Essex Thames Gateway","80","80","25780","24180"
"In post","2021","Heterosexual / straight","20-29","Falkirk","150","140","23730","21010"
"In post","2021","Heterosexual / straight","20-29","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Flintshire and Wrexham","230","230","23980","23970"
"In post","2021","Heterosexual / straight","20-29","Glasgow City","970","940","26680","25220"
"In post","2021","Heterosexual / straight","20-29","Gloucestershire","70","70","26270","27130"
"In post","2021","Heterosexual / straight","20-29","Greater Manchester North East","130","120","26100","27570"
"In post","2021","Heterosexual / straight","20-29","Greater Manchester North West","150","150","23820","22850"
"In post","2021","Heterosexual / straight","20-29","Greater Manchester South East","120","120","23890","21920"
"In post","2021","Heterosexual / straight","20-29","Greater Manchester South West","560","560","26920","25560"
"In post","2021","Heterosexual / straight","20-29","Gwent Valleys","80","70","24450","23830"
"In post","2021","Heterosexual / straight","20-29","Gwynedd","70","70","22470","21030"
"In post","2021","Heterosexual / straight","20-29","Hackney and Newham","250","240","31960","31060"
"In post","2021","Heterosexual / straight","20-29","Haringey and Islington","160","150","29550","31060"
"In post","2021","Heterosexual / straight","20-29","Harrow and Hillingdon","230","230","28630","28670"
"In post","2021","Heterosexual / straight","20-29","Hartlepool and Stockton-on-Tees","120","120","24700","23970"
"In post","2021","Heterosexual / straight","20-29","Heart of Essex","140","140","28360","29290"
"In post","2021","Heterosexual / straight","20-29","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Hertfordshire","300","290","29950","29290"
"In post","2021","Heterosexual / straight","20-29","Hounslow and Richmond upon Thames","360","360","29680","29250"
"In post","2021","Heterosexual / straight","20-29","Inverclyde, East Renfrewshire and Renfrewshire","60","60","27300","26160"
"In post","2021","Heterosexual / straight","20-29","Inverness and Nairn and Moray, Badenoch and Strathspey","60","60","24470","22920"
"In post","2021","Heterosexual / straight","20-29","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Isle of Wight","80","80","24760","25300"
"In post","2021","Heterosexual / straight","20-29","Kensington & Chelsea and Hammersmith & Fulham","120","120","30680","31060"
"In post","2021","Heterosexual / straight","20-29","Kent Thames Gateway","170","170","29020","30350"
"In post","2021","Heterosexual / straight","20-29","Kingston upon Hull, City of","180","180","24240","24440"
"In post","2021","Heterosexual / straight","20-29","Lambeth","590","580","33370","32330"
"In post","2021","Heterosexual / straight","20-29","Lancaster and Wyre","110","110","23780","23970"
"In post","2021","Heterosexual / straight","20-29","Leeds","1290","1270","27710","25560"
"In post","2021","Heterosexual / straight","20-29","Leicester","230","230","24080","22350"
"In post","2021","Heterosexual / straight","20-29","Leicestershire CC and Rutland","190","190","24720","24890"
"In post","2021","Heterosexual / straight","20-29","Lewisham and Southwark","150","150","28310","28760"
"In post","2021","Heterosexual / straight","20-29","Lincolnshire","210","210","25370","26300"
"In post","2021","Heterosexual / straight","20-29","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Liverpool","1170","1130","24970","24890"
"In post","2021","Heterosexual / straight","20-29","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Luton","70","70","24590","24890"
"In post","2021","Heterosexual / straight","20-29","Manchester","940","930","28620","27570"
"In post","2021","Heterosexual / straight","20-29","Medway","170","160","29060","29810"
"In post","2021","Heterosexual / straight","20-29","Merton, Kingston upon Thames and Sutton","70","60","30270","31060"
"In post","2021","Heterosexual / straight","20-29","Mid Kent","80","70","26590","27150"
"In post","2021","Heterosexual / straight","20-29","Mid Lancashire","340","320","23590","21010"
"In post","2021","Heterosexual / straight","20-29","Milton Keynes","280","280","26900","26580"
"In post","2021","Heterosexual / straight","20-29","Monmouthshire and Newport","580","570","29280","29540"
"In post","2021","Heterosexual / straight","20-29","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","North and North East Lincolnshire","50","50","23270","21430"
"In post","2021","Heterosexual / straight","20-29","North and West Norfolk","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","North Hampshire","50","50","24670","22920"
"In post","2021","Heterosexual / straight","20-29","North Lanarkshire","170","160","23570","21010"
"In post","2021","Heterosexual / straight","20-29","North Northamptonshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","North Nottinghamshire","110","110","26040","26480"
"In post","2021","Heterosexual / straight","20-29","North Yorkshire CC","90","90","25200","24230"
"In post","2021","Heterosexual / straight","20-29","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Norwich and East Norfolk","140","140","25180","23910"
"In post","2021","Heterosexual / straight","20-29","Nottingham","740","730","26860","25560"
"In post","2021","Heterosexual / straight","20-29","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Overseas","180","180","36290","33860"
"In post","2021","Heterosexual / straight","20-29","Oxfordshire","240","240","27140","27570"
"In post","2021","Heterosexual / straight","20-29","Perth and Kinross and Stirling","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Peterborough","110","100","24160","21890"
"In post","2021","Heterosexual / straight","20-29","Plymouth","210","200","26670","25680"
"In post","2021","Heterosexual / straight","20-29","Portsmouth","250","240","26390","26350"
"In post","2021","Heterosexual / straight","20-29","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Redbridge and Waltham Forest","130","120","28860","31060"
"In post","2021","Heterosexual / straight","20-29","Sandwell","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Scottish Borders","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Sefton","490","470","24570","24880"
"In post","2021","Heterosexual / straight","20-29","Sheffield","690","680","27650","25000"
"In post","2021","Heterosexual / straight","20-29","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Shropshire CC","70","70","24730","25110"
"In post","2021","Heterosexual / straight","20-29","Solihull","120","120","25480","24890"
"In post","2021","Heterosexual / straight","20-29","Somerset","160","160","26550","26740"
"In post","2021","Heterosexual / straight","20-29","South and West Derbyshire","100","90","25200","25790"
"In post","2021","Heterosexual / straight","20-29","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","South Hampshire","350","340","27730","27570"
"In post","2021","Heterosexual / straight","20-29","South Lanarkshire","200","200","27790","25560"
"In post","2021","Heterosexual / straight","20-29","South Nottinghamshire","60","60","25800","26300"
"In post","2021","Heterosexual / straight","20-29","South Teesside","80","80","22550","21010"
"In post","2021","Heterosexual / straight","20-29","South West Wales","100","90","24050","23830"
"In post","2021","Heterosexual / straight","20-29","Southampton","110","110","27520","27570"
"In post","2021","Heterosexual / straight","20-29","Southend-on-Sea","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Staffordshire CC","420","410","25790","25790"
"In post","2021","Heterosexual / straight","20-29","Stoke-on-Trent","130","130","21900","18890"
"In post","2021","Heterosexual / straight","20-29","Suffolk","310","300","25800","25560"
"In post","2021","Heterosexual / straight","20-29","Sunderland","220","210","24570","25560"
"In post","2021","Heterosexual / straight","20-29","Swansea","740","710","23660","21590"
"In post","2021","Heterosexual / straight","20-29","Swindon","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Telford and Wrekin","120","120","27280","27130"
"In post","2021","Heterosexual / straight","20-29","Thurrock","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Tower Hamlets","840","830","35920","33610"
"In post","2021","Heterosexual / straight","20-29","Tyneside","1260","1240","25810","25560"
"In post","2021","Heterosexual / straight","20-29","Unknown","160","160","30220","27570"
"In post","2021","Heterosexual / straight","20-29","Wakefield","140","130","25170","25300"
"In post","2021","Heterosexual / straight","20-29","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Wandsworth","100","100","31850","32680"
"In post","2021","Heterosexual / straight","20-29","Warrington","320","320","28610","28840"
"In post","2021","Heterosexual / straight","20-29","Warwickshire","100","100","22940","21010"
"In post","2021","Heterosexual / straight","20-29","West Cumbria","70","70","25410","24920"
"In post","2021","Heterosexual / straight","20-29","West Essex","70","60","26040","25040"
"In post","2021","Heterosexual / straight","20-29","West Kent","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","West Northamptonshire","120","120","23400","22920"
"In post","2021","Heterosexual / straight","20-29","West Surrey","220","220","28230","28080"
"In post","2021","Heterosexual / straight","20-29","West Sussex (North East)","110","110","26160","25990"
"In post","2021","Heterosexual / straight","20-29","West Sussex (South West)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Westminster","8900","8870","38050","35010"
"In post","2021","Heterosexual / straight","20-29","Wiltshire","870","860","27880","28590"
"In post","2021","Heterosexual / straight","20-29","Wirral","100","100","24530","23070"
"In post","2021","Heterosexual / straight","20-29","Wolverhampton","50","50","23660","21010"
"In post","2021","Heterosexual / straight","20-29","Worcestershire","240","230","23800","23970"
