"Status","Year","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","HM Land Registry","AA/AO","1850","1750","22470","22350"
"In post","2021","HM Land Registry","EO","2150","1880","27500","27130"
"In post","2021","HM Land Registry","G6/G7","300","280","62580","60520"
"In post","2021","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","2030","1820","37410","33840"
"In post","2021","HM Revenue and Customs","AA/AO","21600","18730","20760","20140"
"In post","2021","HM Revenue and Customs","EO","15640","14430","26440","25560"
"In post","2021","HM Revenue and Customs","G6/G7","7700","7410","57290","53210"
"In post","2021","HM Revenue and Customs","SCS","510","500","85610","78860"
"In post","2021","HM Revenue and Customs","SEO/HEO","21030","20020","34950","32100"
"In post","2021","HM Treasury","AA/AO","70","70","22490","22500"
"In post","2021","HM Treasury","EO","240","230","27030","26750"
"In post","2021","HM Treasury","G6/G7","1120","1090","59020","56840"
"In post","2021","HM Treasury","SCS","190","180","86580","77660"
"In post","2021","HM Treasury","SEO/HEO","1060","1030","36240","34320"
"In post","2021","Home Office","AA/AO","8330","7380","21990","21430"
"In post","2021","Home Office","EO","14370","13180","26950","26070"
"In post","2021","Home Office","G6/G7","3370","3290","60820","57680"
"In post","2021","Home Office","SCS","290","280","91800","83790"
"In post","2021","Home Office","SEO/HEO","8780","8490","36640","35200"
"In post","2021","Home Office","Unknown","250","250","[c]","[c]"
"In post","2021","Ministry of Defence","AA/AO","15920","15300","22810","20920"
"In post","2021","Ministry of Defence","EO","10600","10230","26870","26670"
"In post","2021","Ministry of Defence","G6/G7","6340","6100","57640","55820"
"In post","2021","Ministry of Defence","SCS","420","410","93020","86450"
"In post","2021","Ministry of Defence","SEO/HEO","20320","19700","37000","36500"
"In post","2021","Ministry of Defence","Unknown","4100","4050","39600","36970"
"In post","2021","Ministry of Housing, Communities and Local Government","AA/AO","240","220","22630","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","EO","380","360","28040","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","G6/G7","1420","1350","57250","54400"
"In post","2021","Ministry of Housing, Communities and Local Government","SCS","140","140","86070","77510"
"In post","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","1220","1190","36330","35740"
"In post","2021","Ministry of Justice","AA/AO","40580","37640","24440","23240"
"In post","2021","Ministry of Justice","EO","10420","9940","28300","27380"
"In post","2021","Ministry of Justice","G6/G7","3020","2940","61930","59900"
"In post","2021","Ministry of Justice","SCS","330","320","90280","86110"
"In post","2021","Ministry of Justice","SEO/HEO","12400","11890","38200","36800"
"In post","2021","Ministry of Justice","Unknown","12150","11230","30000","28690"
"In post","2021","National Crime Agency","AA/AO","330","310","23750","24220"
"In post","2021","National Crime Agency","EO","2470","2410","33470","33120"
"In post","2021","National Crime Agency","G6/G7","370","360","64650","61860"
"In post","2021","National Crime Agency","SCS","30","30","[c]","[c]"
"In post","2021","National Crime Agency","SEO/HEO","2290","2240","44630","43710"
"In post","2021","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","G6/G7","50","50","[c]","[c]"
"In post","2021","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","SEO/HEO","70","70","34980","34990"
"In post","2021","Office for Standards in Education","AA/AO","230","210","21250","21160"
"In post","2021","Office for Standards in Education","EO","200","190","26300","25880"
"In post","2021","Office for Standards in Education","G6/G7","580","570","73050","75500"
"In post","2021","Office for Standards in Education","SCS","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education","SEO/HEO","730","710","43110","42850"
"In post","2021","Office of Gas and Electricity Markets","AA/AO","50","50","19670","19380"
"In post","2021","Office of Gas and Electricity Markets","EO","270","260","25830","25600"
"In post","2021","Office of Gas and Electricity Markets","G6/G7","440","430","60360","59140"
"In post","2021","Office of Gas and Electricity Markets","SCS","50","50","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","SEO/HEO","370","370","36480","35720"
"In post","2021","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","G6/G7","100","90","53040","48350"
"In post","2021","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","110","110","36160","36540"
"In post","2021","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","G6/G7","180","170","62280","61150"
"In post","2021","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","SEO/HEO","90","90","39730","39430"
"In post","2021","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","EO","130","130","23930","22640"
"In post","2021","Other Cabinet Office Agencies","G6/G7","290","290","54050","54140"
"In post","2021","Other Cabinet Office Agencies","SCS","40","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","SEO/HEO","510","490","33620","34800"
"In post","2021","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","G6/G7","50","50","[c]","[c]"
"In post","2021","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Scottish Government","AA/AO","6120","5690","23010","22430"
"In post","2021","Scottish Government","EO","5500","5220","30230","29350"
"In post","2021","Scottish Government","G6/G7","3260","3130","62580","61010"
"In post","2021","Scottish Government","SCS","260","250","89460","83230"
"In post","2021","Scottish Government","SEO/HEO","7090","6740","39360","38540"
"In post","2021","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","90","80","21250","20650"
"In post","2021","The National Archives","EO","80","70","25550","24630"
"In post","2021","The National Archives","G6/G7","90","90","53110","50710"
"In post","2021","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SEO/HEO","280","270","35920","34770"
"In post","2021","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","EO","50","40","[c]","[c]"
"In post","2021","UK Export Finance","G6/G7","120","120","67800","66690"
"In post","2021","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SEO/HEO","200","200","42550","42240"
"In post","2021","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","AA/AO","1460","1040","19630","19520"
"In post","2021","United Kingdom Statistics Authority","EO","780","730","23970","23050"
"In post","2021","United Kingdom Statistics Authority","G6/G7","930","900","52820","50090"
"In post","2021","United Kingdom Statistics Authority","SCS","90","80","84910","76380"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","2300","2220","33500","32540"
"In post","2021","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","EO","40","40","[c]","[c]"
"In post","2021","Water Services Regulation Authority","G6/G7","70","60","78840","76800"
"In post","2021","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","SEO/HEO","130","130","47680","46920"
"In post","2021","Welsh Government","AA/AO","970","890","23340","23830"
"In post","2021","Welsh Government","EO","1020","960","28690","28850"
"In post","2021","Welsh Government","G6/G7","1050","1020","61660","60830"
"In post","2021","Welsh Government","SCS","180","170","89800","81760"
"In post","2021","Welsh Government","SEO/HEO","2560","2420","40840","37410"
"In post","2022","Attorney General's Departments","AA/AO","1530","1400","22720","22200"
"In post","2022","Attorney General's Departments","EO","1880","1760","27830","27580"
"In post","2022","Attorney General's Departments","G6/G7","5030","4660","58180","55610"
"In post","2022","Attorney General's Departments","SCS","310","300","87210","82500"
"In post","2022","Attorney General's Departments","SEO/HEO","1460","1410","36280","36240"
"In post","2022","Cabinet Office","AA/AO","500","460","21810","21050"
"In post","2022","Cabinet Office","EO","1050","1020","26570","27500"
"In post","2022","Cabinet Office","G6/G7","4010","3940","59930","56720"
"In post","2022","Cabinet Office","SCS","770","760","100190","93000"
"In post","2022","Cabinet Office","SEO/HEO","4720","4660","34050","33300"
"In post","2022","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","40","40","[c]","[c]"
"In post","2022","Chancellor's other departments","G6/G7","210","190","75260","67730"
"In post","2022","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO/HEO","140","140","40940","40290"
"In post","2022","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","120","110","25080","24440"
"In post","2022","Charity Commission","G6/G7","70","70","54510","51070"
"In post","2022","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","250","240","32520","29370"
"In post","2022","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","70","70","28170","27920"
"In post","2022","Competition and Markets Authority","G6/G7","450","430","65830","62890"
"In post","2022","Competition and Markets Authority","SCS","130","120","107650","99920"
"In post","2022","Competition and Markets Authority","SEO/HEO","200","200","37530","35400"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","1500","1380","21580","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","1960","1870","26490","25880"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","4020","3880","57520","56380"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS","400","380","88070","81390"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","6200","5990","37790","38200"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","190","180","26790","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","910","900","56230","54300"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS","120","120","83590","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","780","770","35420","34020"
"In post","2022","Department for Education","AA/AO","130","120","21980","21250"
"In post","2022","Department for Education","EO","930","900","26310","25000"
"In post","2022","Department for Education","G6/G7","3250","3140","55890","53420"
"In post","2022","Department for Education","SCS","300","290","82800","74120"
"In post","2022","Department for Education","SEO/HEO","4090","3950","35480","36500"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","2400","2210","21720","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","2300","2170","26130","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","2700","2600","54300","53040"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS","220","210","83160","77240"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","5140","4940","34960","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","30","30","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","EO","270","270","27530","26510"
"In post","2022","Department for International Trade","G6/G7","1160","1150","56450","53600"
"In post","2022","Department for International Trade","SCS","180","170","86550","76790"
"In post","2022","Department for International Trade","SEO/HEO","1240","1230","36340","38160"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","220","200","22570","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","440","430","27640","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","1740","1660","56430","53820"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS","180","180","86020","77320"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","1580","1540","35960","35780"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","AA/AO","5720","4980","22010","21840"
"In post","2022","Department for Transport","EO","4270","4010","27850","26780"
"In post","2022","Department for Transport","G6/G7","2050","2000","59990","55320"
"In post","2022","Department for Transport","SCS","260","250","88160","79910"
"In post","2022","Department for Transport","SEO/HEO","4100","4000","37640","36180"
"In post","2022","Department for Work and Pensions","AA/AO","29330","25280","21410","21260"
"In post","2022","Department for Work and Pensions","EO","48390","43760","28110","27570"
"In post","2022","Department for Work and Pensions","G6/G7","4090","3950","57340","54070"
"In post","2022","Department for Work and Pensions","SCS","300","290","87970","80000"
"In post","2022","Department for Work and Pensions","SEO/HEO","12050","11370","36080","34340"
"In post","2022","Department of Health and Social Care","AA/AO","830","720","21640","21820"
"In post","2022","Department of Health and Social Care","EO","1560","1470","26510","26910"
"In post","2022","Department of Health and Social Care","G6/G7","3840","3690","58100","53860"
"In post","2022","Department of Health and Social Care","SCS","820","760","96460","92470"
"In post","2022","Department of Health and Social Care","SEO/HEO","4770","4550","36240","36330"
"In post","2022","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","G6/G7","70","70","73860","75480"
"In post","2022","Estyn","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","EO","430","410","27170","26750"
"In post","2022","Food Standards Agency","G6/G7","260","250","55890","55300"
"In post","2022","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","SEO/HEO","730","720","35720","37350"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","520","500","25810","25000"
"In post","2022","Foreign, Commonwealth and Development Office","EO","860","830","29560","29300"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","3230","3140","59630","58030"
"In post","2022","Foreign, Commonwealth and Development Office","SCS","540","540","86240","77860"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","3030","2970","38060","37560"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","70","70","21740","21600"
"In post","2022","HM Land Registry","AA/AO","1750","1640","22690","22600"
"In post","2022","HM Land Registry","EO","2360","2110","27470","27130"
"In post","2022","HM Land Registry","G6/G7","300","290","62080","60520"
"In post","2022","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","SEO/HEO","2200","1980","37330","33840"
"In post","2022","HM Revenue and Customs","AA/AO","20300","17720","21710","21250"
"In post","2022","HM Revenue and Customs","EO","16760","15640","27420","26820"
"In post","2022","HM Revenue and Customs","G6/G7","8740","8440","59940","55610"
"In post","2022","HM Revenue and Customs","SCS","510","500","85810","79420"
"In post","2022","HM Revenue and Customs","SEO/HEO","25050","24020","36550","33510"
"In post","2022","HM Treasury","AA/AO","60","60","22600","22750"
"In post","2022","HM Treasury","EO","250","240","26930","26750"
"In post","2022","HM Treasury","G6/G7","1190","1160","58730","56400"
"In post","2022","HM Treasury","SCS","190","190","87680","78000"
"In post","2022","HM Treasury","SEO/HEO","1080","1050","36070","34090"
"In post","2022","Home Office","AA/AO","7370","6560","22200","21680"
"In post","2022","Home Office","EO","14920","13810","26920","25690"
"In post","2022","Home Office","G6/G7","3890","3800","60490","57680"
"In post","2022","Home Office","SCS","310","300","89940","82550"
"In post","2022","Home Office","SEO/HEO","9840","9540","36440","35200"
"In post","2022","Home Office","Unknown","220","220","[c]","[c]"
"In post","2022","Ministry of Defence","AA/AO","15300","14680","23190","21170"
"In post","2022","Ministry of Defence","EO","10100","9750","27110","26670"
"In post","2022","Ministry of Defence","G6/G7","6770","6520","57950","56000"
"In post","2022","Ministry of Defence","SCS","480","460","93470","87210"
"In post","2022","Ministry of Defence","SEO/HEO","21300","20650","37110","37000"
"In post","2022","Ministry of Defence","Unknown","3880","3830","39070","35600"
"In post","2022","Ministry of Justice","AA/AO","39710","36840","24910","23720"
"In post","2022","Ministry of Justice","EO","10750","10260","29130","28310"
"In post","2022","Ministry of Justice","G6/G7","3370","3290","62230","60280"
"In post","2022","Ministry of Justice","SCS","330","320","88950","84490"
"In post","2022","Ministry of Justice","SEO/HEO","13500","12960","38940","37840"
"In post","2022","Ministry of Justice","Unknown","19240","17820","30120","28200"
"In post","2022","National Crime Agency","AA/AO","270","250","24040","24470"
"In post","2022","National Crime Agency","EO","2490","2430","34250","34140"
"In post","2022","National Crime Agency","G6/G7","380","380","65240","64410"
"In post","2022","National Crime Agency","SCS","30","30","[c]","[c]"
"In post","2022","National Crime Agency","SEO/HEO","2370","2320","44470","43710"
"In post","2022","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","G6/G7","50","50","56030","54850"
"In post","2022","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","SEO/HEO","90","90","37350","36720"
"In post","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","200","180","21210","21410"
"In post","2022","Office for Standards in Education, Children's Services and Skills","EO","200","190","26330","25880"
"In post","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","630","610","72830","75500"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SCS","30","30","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","770","740","43410","46360"
"In post","2022","Office of Gas and Electricity Markets","AA/AO","60","60","19980","19750"
"In post","2022","Office of Gas and Electricity Markets","EO","350","340","26070","25750"
"In post","2022","Office of Gas and Electricity Markets","G6/G7","470","460","59090","57980"
"In post","2022","Office of Gas and Electricity Markets","SCS","60","50","98060","91110"
"In post","2022","Office of Gas and Electricity Markets","SEO/HEO","420","410","36100","35000"
"In post","2022","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","G6/G7","110","110","53040","48680"
"In post","2022","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","130","130","35970","38000"
"In post","2022","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","G6/G7","190","190","61770","60200"
"In post","2022","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","SEO/HEO","100","90","39970","39800"
"In post","2022","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","G6/G7","50","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","AA/AO","6840","6400","23750","23230"
"In post","2022","Scottish Government","EO","6190","5900","30850","30040"
"In post","2022","Scottish Government","G6/G7","3690","3540","63570","62170"
"In post","2022","Scottish Government","SCS","290","280","88410","83230"
"In post","2022","Scottish Government","SEO/HEO","8330","7960","39950","39660"
"In post","2022","The National Archives","AA/AO","100","90","21560","20900"
"In post","2022","The National Archives","EO","80","70","25130","24630"
"In post","2022","The National Archives","G6/G7","100","90","52640","50840"
"In post","2022","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","SEO/HEO","300","290","35930","34770"
"In post","2022","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","EO","60","60","29410","29000"
"In post","2022","UK Export Finance","G6/G7","170","170","66020","64890"
"In post","2022","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","SEO/HEO","230","230","41670","41000"
"In post","2022","UK Statistics Authority","AA/AO","1520","1090","20340","20350"
"In post","2022","UK Statistics Authority","EO","730","690","24600","23880"
"In post","2022","UK Statistics Authority","G6/G7","1080","1050","53810","51210"
"In post","2022","UK Statistics Authority","SCS","80","80","84820","76380"
"In post","2022","UK Statistics Authority","SEO/HEO","2470","2370","34350","33710"
"In post","2022","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
