"Status","Year","Function_of_post","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared non-disabled","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Dorset and Somerset","70","60","32230","29270"
"In post","2021","Analysis","Declared non-disabled","East Anglia","230","220","32850","29750"
"In post","2021","Analysis","Declared non-disabled","East Wales","540","510","38890","36840"
"In post","2021","Analysis","Declared non-disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","240","230","39270","37320"
"In post","2021","Analysis","Declared non-disabled","Greater Manchester","150","150","39070","38630"
"In post","2021","Analysis","Declared non-disabled","Hampshire and Isle of Wight","460","430","40210","37320"
"In post","2021","Analysis","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Inner London - East","510","500","51610","51770"
"In post","2021","Analysis","Declared non-disabled","Inner London - West","1720","1670","49610","45540"
"In post","2021","Analysis","Declared non-disabled","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Merseyside","90","80","41090","38630"
"In post","2021","Analysis","Declared non-disabled","North Yorkshire","60","60","36900","31060"
"In post","2021","Analysis","Declared non-disabled","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","South Yorkshire","90","90","45600","45290"
"In post","2021","Analysis","Declared non-disabled","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","West Midlands","40","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","West Yorkshire","90","80","41630","41140"
"In post","2021","Analysis","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Hampshire and Isle of Wight","60","60","41060","43120"
"In post","2021","Analysis","Undeclared","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Inner London - East","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Inner London - West","190","180","44800","42470"
"In post","2021","Analysis","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Dorset and Somerset","50","40","[c]","[c]"
"In post","2021","Analysis","Unknown","East Anglia","90","90","39600","37280"
"In post","2021","Analysis","Unknown","East Wales","410","400","33140","29540"
"In post","2021","Analysis","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Greater Manchester","50","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Hampshire and Isle of Wight","210","200","34980","30130"
"In post","2021","Analysis","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Inner London - East","90","90","48370","41880"
"In post","2021","Analysis","Unknown","Inner London - West","640","620","46740","41760"
"In post","2021","Analysis","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East Anglia","30","30","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","110","100","41320","40580"
"In post","2021","Commercial","Declared disabled","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Inner London - West","80","80","44380","40650"
"In post","2021","Commercial","Declared disabled","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","150","150","39320","36800"
"In post","2021","Commercial","Declared non-disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Derbyshire and Nottinghamshire","70","60","40610","38950"
"In post","2021","Commercial","Declared non-disabled","Devon","200","190","43140","40140"
"In post","2021","Commercial","Declared non-disabled","Dorset and Somerset","50","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","East Anglia","190","180","39050","36260"
"In post","2021","Commercial","Declared non-disabled","East Wales","90","80","39160","35440"
"In post","2021","Commercial","Declared non-disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","690","670","39360","35990"
"In post","2021","Commercial","Declared non-disabled","Greater Manchester","200","190","40640","37920"
"In post","2021","Commercial","Declared non-disabled","Hampshire and Isle of Wight","230","220","34040","33300"
"In post","2021","Commercial","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Inner London - East","110","110","48860","45020"
"In post","2021","Commercial","Declared non-disabled","Inner London - West","720","700","58710","50420"
"In post","2021","Commercial","Declared non-disabled","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","30","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Merseyside","100","90","44390","35570"
"In post","2021","Commercial","Declared non-disabled","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Northumberland and Tyne and Wear","30","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Outer London - South","70","60","46550","42550"
"In post","2021","Commercial","Declared non-disabled","Outer London - West and North West","60","60","35910","29870"
"In post","2021","Commercial","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Shropshire and Staffordshire","120","120","35080","31810"
"In post","2021","Commercial","Declared non-disabled","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Southern Scotland","40","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Surrey, East and West Sussex","60","50","38080","34520"
"In post","2021","Commercial","Declared non-disabled","Tees Valley and Durham","30","30","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","West Central Scotland","110","100","34890","33300"
"In post","2021","Commercial","Declared non-disabled","West Midlands","80","80","44420","39930"
"In post","2021","Commercial","Declared non-disabled","West Wales and The Valleys","150","140","33560","31040"
"In post","2021","Commercial","Declared non-disabled","West Yorkshire","110","100","43640","37100"
"In post","2021","Commercial","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","42060","40000"
"In post","2021","Commercial","Undeclared","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Inner London - West","50","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East Anglia","110","110","45390","38500"
"In post","2021","Commercial","Unknown","East Wales","70","70","36750","34800"
"In post","2021","Commercial","Unknown","Eastern Scotland","60","60","30860","25870"
"In post","2021","Commercial","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","190","180","53720","49020"
"In post","2021","Commercial","Unknown","Greater Manchester","110","100","52660","51560"
"In post","2021","Commercial","Unknown","Hampshire and Isle of Wight","70","70","54350","53320"
"In post","2021","Commercial","Unknown","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Inner London - East","60","60","63810","57860"
"In post","2021","Commercial","Unknown","Inner London - West","620","610","68580","64000"
"In post","2021","Commercial","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Lancashire","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Merseyside","200","190","41060","35490"
"In post","2021","Commercial","Unknown","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","South Yorkshire","50","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Southern Scotland","50","50","[c]","[c]"
"In post","2021","Commercial","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Central Scotland","50","50","[c]","[c]"
"In post","2021","Commercial","Unknown","West Midlands","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Yorkshire","130","120","51080","49700"
"In post","2021","Communications","Declared disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Communications","Declared disabled","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","East Wales","60","50","30310","25560"
"In post","2021","Communications","Declared disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Inner London - West","90","90","43470","39730"
