"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","80","24600","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Insolvency Service","640","600","21200","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Met Office","100","100","23440","21430"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","UK Intellectual Property Office","200","180","20810","21140"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Advisory, Conciliation and Arbitration Service","350","330","25060","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Companies House","290","270","27850","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","410","400","28110","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Insolvency Service","220","210","26080","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Met Office","190","180","26190","25780"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","UK Intellectual Property Office","480","450","25570","23320"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Advisory, Conciliation and Arbitration Service","60","50","58750","57440"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Companies House","70","70","57500","57090"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","2330","2270","58690","56550"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Insolvency Service","150","150","59670","57130"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Met Office","560","530","52270","48540"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","UK Intellectual Property Office","340","320","60170","59720"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","UK Space Agency","110","110","56500","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","330","310","83150","75300"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Advisory, Conciliation and Arbitration Service","590","550","35900","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Companies House","300","290","38770","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","2180","2150","38040","37460"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Insolvency Service","800","770","38080","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Met Office","1240","1180","37690","38300"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","UK Intellectual Property Office","480","460","38670","39540"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","UK Space Agency","120","120","37300","37510"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
