"Status","Year","Ethnicity","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","SEO/HEO","90","70","40890","39800"
"In post","2021","Asian","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","AA/AO","560","550","24020","23340"
"In post","2021","Black","20-29","EO","840","830","28740","28950"
"In post","2021","Black","20-29","G6/G7","70","70","54230","53500"
"In post","2021","Black","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","SEO/HEO","580","580","35210","34710"
"In post","2021","Black","20-29","Unknown","120","120","26910","26810"
"In post","2021","Black","30-39","AA/AO","680","630","24140","22680"
"In post","2021","Black","30-39","EO","1060","1010","28720","28760"
"In post","2021","Black","30-39","G6/G7","310","310","56010","54070"
"In post","2021","Black","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","SEO/HEO","890","880","36150","35330"
"In post","2021","Black","30-39","Unknown","170","160","29620","27730"
"In post","2021","Black","40-49","AA/AO","820","750","24260","23500"
"In post","2021","Black","40-49","EO","1220","1160","28990","29080"
"In post","2021","Black","40-49","G6/G7","400","390","57540","56600"
"In post","2021","Black","40-49","SCS","30","30","[c]","[c]"
"In post","2021","Black","40-49","SEO/HEO","1000","980","37660","36650"
"In post","2021","Black","40-49","Unknown","140","140","31160","28690"
"In post","2021","Black","50-59","AA/AO","1450","1370","24290","23500"
"In post","2021","Black","50-59","EO","1830","1760","29630","29570"
"In post","2021","Black","50-59","G6/G7","430","430","59930","58970"
"In post","2021","Black","50-59","SCS","50","50","98540","86570"
"In post","2021","Black","50-59","SEO/HEO","1190","1170","38670","37640"
"In post","2021","Black","50-59","Unknown","290","280","33780","32090"
"In post","2021","Black","60-64","AA/AO","400","360","24010","23500"
"In post","2021","Black","60-64","EO","390","350","29680","29590"
"In post","2021","Black","60-64","G6/G7","50","50","62410","60580"
"In post","2021","Black","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","SEO/HEO","200","190","38540","37170"
"In post","2021","Black","60-64","Unknown","80","80","31630","29330"
"In post","2021","Black","65+","AA/AO","160","140","23560","23690"
"In post","2021","Black","65+","EO","90","70","30340","31060"
"In post","2021","Black","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Black","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","AA/AO","40","40","[c]","[c]"
"In post","2021","Chinese","20-29","EO","60","60","27410","27240"
"In post","2021","Chinese","20-29","G6/G7","40","40","[c]","[c]"
"In post","2021","Chinese","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","SEO/HEO","90","90","35290","35060"
"In post","2021","Chinese","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","AA/AO","50","50","22700","21010"
"In post","2021","Chinese","30-39","EO","70","70","27450","27570"
"In post","2021","Chinese","30-39","G6/G7","90","90","57320","54700"
"In post","2021","Chinese","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","SEO/HEO","120","120","37280","37300"
"In post","2021","Chinese","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","AA/AO","70","70","22340","21110"
"In post","2021","Chinese","40-49","EO","80","80","28110","27840"
"In post","2021","Chinese","40-49","G6/G7","70","70","59010","58590"
"In post","2021","Chinese","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","SEO/HEO","100","100","38360","37130"
"In post","2021","Chinese","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","AA/AO","70","60","21450","21430"
"In post","2021","Chinese","50-59","EO","60","60","28020","27800"
"In post","2021","Chinese","50-59","G6/G7","40","40","[c]","[c]"
"In post","2021","Chinese","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","SEO/HEO","60","60","38500","37910"
"In post","2021","Chinese","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","AA/AO","580","560","23240","21790"
"In post","2021","Mixed","20-29","EO","650","640","27840","27570"
"In post","2021","Mixed","20-29","G6/G7","160","160","54740","53540"
"In post","2021","Mixed","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","SEO/HEO","700","690","34750","34020"
"In post","2021","Mixed","20-29","Unknown","70","70","26000","26740"
"In post","2021","Mixed","30-39","AA/AO","450","420","23280","21430"
"In post","2021","Mixed","30-39","EO","560","530","28060","27570"
"In post","2021","Mixed","30-39","G6/G7","480","470","57040","54760"
"In post","2021","Mixed","30-39","SCS","40","40","[c]","[c]"
"In post","2021","Mixed","30-39","SEO/HEO","670","650","36690","36200"
"In post","2021","Mixed","30-39","Unknown","110","110","28340","28440"
"In post","2021","Mixed","40-49","AA/AO","330","300","22840","21050"
"In post","2021","Mixed","40-49","EO","420","390","27900","27570"
"In post","2021","Mixed","40-49","G6/G7","390","370","58890","57680"
"In post","2021","Mixed","40-49","SCS","60","60","83020","78010"
"In post","2021","Mixed","40-49","SEO/HEO","460","450","37940","37410"
"In post","2021","Mixed","40-49","Unknown","100","90","33210","34340"
"In post","2021","Mixed","50-59","AA/AO","390","360","23410","21440"
"In post","2021","Mixed","50-59","EO","430","400","28700","27570"
"In post","2021","Mixed","50-59","G6/G7","240","230","60770","59230"
"In post","2021","Mixed","50-59","SCS","40","30","[c]","[c]"
"In post","2021","Mixed","50-59","SEO/HEO","390","380","38760","38000"
"In post","2021","Mixed","50-59","Unknown","70","70","35290","37170"
"In post","2021","Mixed","60-64","AA/AO","120","100","21960","21100"
"In post","2021","Mixed","60-64","EO","100","90","28560","27570"
"In post","2021","Mixed","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","60-64","SEO/HEO","70","60","39380","38420"
"In post","2021","Mixed","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","65+","AA/AO","30","30","[c]","[c]"
"In post","2021","Mixed","65+","EO","40","30","[c]","[c]"
"In post","2021","Mixed","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","20-29","AA/AO","90","80","23450","22680"
"In post","2021","Other ethnicity","20-29","EO","170","160","28250","28070"
"In post","2021","Other ethnicity","20-29","G6/G7","30","30","[c]","[c]"
"In post","2021","Other ethnicity","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","20-29","SEO/HEO","150","150","35870","34870"
"In post","2021","Other ethnicity","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","30-39","AA/AO","120","110","23160","21430"
"In post","2021","Other ethnicity","30-39","EO","140","140","28190","27680"
"In post","2021","Other ethnicity","30-39","G6/G7","130","120","59020","55890"
"In post","2021","Other ethnicity","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","30-39","SEO/HEO","190","190","36780","36650"
"In post","2021","Other ethnicity","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","40-49","AA/AO","130","120","23370","21430"
"In post","2021","Other ethnicity","40-49","EO","180","170","28210","27570"
"In post","2021","Other ethnicity","40-49","G6/G7","130","130","59230","57200"
"In post","2021","Other ethnicity","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","40-49","SEO/HEO","170","160","38950","37810"
"In post","2021","Other ethnicity","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","50-59","AA/AO","150","140","24180","22450"
"In post","2021","Other ethnicity","50-59","EO","180","170","28930","28130"
"In post","2021","Other ethnicity","50-59","G6/G7","110","110","60110","58990"
"In post","2021","Other ethnicity","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","50-59","SEO/HEO","150","150","40400","38180"
"In post","2021","Other ethnicity","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","60-64","AA/AO","60","50","23230","22490"
"In post","2021","Other ethnicity","60-64","EO","50","40","[c]","[c]"
"In post","2021","Other ethnicity","60-64","G6/G7","30","30","[c]","[c]"
"In post","2021","Other ethnicity","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","60-64","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","AA/AO","380","370","22950","21430"
"In post","2021","Undeclared","20-29","EO","430","420","27410","27570"
"In post","2021","Undeclared","20-29","G6/G7","110","110","54630","53460"
"In post","2021","Undeclared","20-29","SEO/HEO","510","500","35070","34440"
"In post","2021","Undeclared","20-29","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","30-39","AA/AO","740","680","23010","21130"
"In post","2021","Undeclared","30-39","EO","890","860","27940","27570"
"In post","2021","Undeclared","30-39","G6/G7","680","670","56280","54700"
"In post","2021","Undeclared","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","SEO/HEO","1090","1060","36990","36740"
"In post","2021","Undeclared","30-39","Unknown","110","100","33010","32690"
"In post","2021","Undeclared","40-49","AA/AO","1120","1020","22940","21050"
"In post","2021","Undeclared","40-49","EO","1340","1260","28170","27570"
"In post","2021","Undeclared","40-49","G6/G7","810","790","58880","57330"
"In post","2021","Undeclared","40-49","SCS","60","60","87040","82470"
"In post","2021","Undeclared","40-49","SEO/HEO","1540","1490","37290","36960"
"In post","2021","Undeclared","40-49","Unknown","140","130","36730","37170"
"In post","2021","Undeclared","50-59","AA/AO","1950","1760","22380","21130"
"In post","2021","Undeclared","50-59","EO","2360","2190","28580","27570"
"In post","2021","Undeclared","50-59","G6/G7","1000","980","60000","58050"
"In post","2021","Undeclared","50-59","SCS","80","80","92710","85280"
"In post","2021","Undeclared","50-59","SEO/HEO","2300","2230","37900","36980"
"In post","2021","Undeclared","50-59","Unknown","180","170","37320","37170"
"In post","2021","Undeclared","60-64","AA/AO","600","490","22020","21030"
"In post","2021","Undeclared","60-64","EO","650","510","28430","27570"
"In post","2021","Undeclared","60-64","G6/G7","180","160","60200","58310"
"In post","2021","Undeclared","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","SEO/HEO","520","440","37960","37320"
"In post","2021","Undeclared","60-64","Unknown","60","50","36240","33950"
"In post","2021","Undeclared","65+","AA/AO","230","180","21790","21010"
"In post","2021","Undeclared","65+","EO","200","140","28450","27570"
"In post","2021","Undeclared","65+","G6/G7","60","40","62560","60230"
"In post","2021","Undeclared","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","SEO/HEO","150","120","38500","37300"
"In post","2021","Undeclared","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","AA/AO","360","350","20620","20140"
"In post","2021","Unknown","16-19","EO","90","90","21380","20900"
"In post","2021","Unknown","16-19","Unknown","50","50","18300","16780"
"In post","2021","Unknown","20-29","AA/AO","7950","7750","22230","21010"
"In post","2021","Unknown","20-29","EO","4410","4360","26790","26410"
"In post","2021","Unknown","20-29","G6/G7","970","960","54710","53760"
"In post","2021","Unknown","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","SEO/HEO","5680","5670","33210","32000"
"In post","2021","Unknown","20-29","Unknown","720","710","26640","24020"
"In post","2021","Unknown","30-39","AA/AO","5140","4740","22620","21010"
"In post","2021","Unknown","30-39","EO","3880","3720","27420","27150"
"In post","2021","Unknown","30-39","G6/G7","2620","2560","57420","55020"
"In post","2021","Unknown","30-39","SCS","270","270","77640","72900"
"In post","2021","Unknown","30-39","SEO/HEO","4340","4230","35830","35050"
"In post","2021","Unknown","30-39","Unknown","690","660","33570","32400"
"In post","2021","Unknown","40-49","AA/AO","3790","3440","22220","21010"
"In post","2021","Unknown","40-49","EO","2630","2490","27840","27570"
"In post","2021","Unknown","40-49","G6/G7","2220","2130","59710","57810"
"In post","2021","Unknown","40-49","SCS","470","460","91030","80080"
"In post","2021","Unknown","40-49","SEO/HEO","2920","2800","37230","36800"
"In post","2021","Unknown","40-49","Unknown","680","650","36830","34340"
"In post","2021","Unknown","50-59","AA/AO","4400","3960","22000","21010"
"In post","2021","Unknown","50-59","EO","2820","2670","28790","27570"
"In post","2021","Unknown","50-59","G6/G7","1760","1710","60880","59160"
"In post","2021","Unknown","50-59","SCS","330","330","100720","89370"
"In post","2021","Unknown","50-59","SEO/HEO","2740","2640","38060","37500"
"In post","2021","Unknown","50-59","Unknown","720","700","39870","35380"
"In post","2021","Unknown","60-64","AA/AO","1510","1240","21530","21010"
"In post","2021","Unknown","60-64","EO","730","590","28490","28130"
"In post","2021","Unknown","60-64","G6/G7","280","250","61620","59540"
"In post","2021","Unknown","60-64","SCS","40","30","[c]","[c]"
"In post","2021","Unknown","60-64","SEO/HEO","570","490","38890","37890"
"In post","2021","Unknown","60-64","Unknown","190","180","36600","35380"
"In post","2021","Unknown","65+","AA/AO","520","410","21370","21010"
"In post","2021","Unknown","65+","EO","190","140","28370","27940"
"In post","2021","Unknown","65+","G6/G7","90","70","64180","61010"
"In post","2021","Unknown","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","SEO/HEO","200","140","38950","37410"
"In post","2021","Unknown","65+","Unknown","50","40","32410","32090"
"In post","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","White","16-19","AA/AO","510","490","20840","21010"
"In post","2021","White","16-19","EO","180","180","23170","24300"
"In post","2021","White","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","White","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","20-29","AA/AO","15250","14860","22580","21430"
"In post","2021","White","20-29","EO","12850","12710","26770","27130"
"In post","2021","White","20-29","G6/G7","2720","2710","54330","53380"
"In post","2021","White","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","White","20-29","SEO/HEO","12780","12710","34470","33570"
"In post","2021","White","20-29","Unknown","1870","1840","26160","24020"
"In post","2021","White","30-39","AA/AO","16750","15190","22850","21310"
"In post","2021","White","30-39","EO","16500","15550","27320","27570"
"In post","2021","White","30-39","G6/G7","11200","10860","57050","54990"
"In post","2021","White","30-39","SCS","740","720","79470","75200"
"In post","2021","White","30-39","SEO/HEO","20770","20100","36230","35720"
"In post","2021","White","30-39","Unknown","2610","2420","31260","31420"
"In post","2021","White","40-49","AA/AO","18990","16980","22580","21050"
"In post","2021","White","40-49","EO","20050","18600","27610","27570"
"In post","2021","White","40-49","G6/G7","14040","13460","59010","57460"
"In post","2021","White","40-49","SCS","2110","2040","87620","80410"
"In post","2021","White","40-49","SEO/HEO","22460","21530","37330","36800"
"In post","2021","White","40-49","Unknown","2720","2520","34260","34340"
"In post","2021","White","50-59","AA/AO","30480","27300","22500","21010"
"In post","2021","White","50-59","EO","29620","27320","27970","27570"
"In post","2021","White","50-59","G6/G7","14300","13940","60330","59020"
"In post","2021","White","50-59","SCS","2010","1970","94810","86670"
"In post","2021","White","50-59","SEO/HEO","28180","27190","37820","36840"
"In post","2021","White","50-59","Unknown","2640","2500","34560","33340"
"In post","2021","White","60-64","AA/AO","11280","9080","21800","21010"
"In post","2021","White","60-64","EO","8260","6500","27960","27570"
"In post","2021","White","60-64","G6/G7","2460","2150","61680","60070"
"In post","2021","White","60-64","SCS","360","330","103580","94500"
"In post","2021","White","60-64","SEO/HEO","6040","5070","38170","36710"
"In post","2021","White","60-64","Unknown","860","740","32600","30210"
"In post","2021","White","65+","AA/AO","3860","2930","21420","21010"
"In post","2021","White","65+","EO","2330","1710","27850","27570"
"In post","2021","White","65+","G6/G7","660","520","63290","61010"
"In post","2021","White","65+","SCS","80","60","103480","97560"
"In post","2021","White","65+","SEO/HEO","1530","1190","38240","36480"
"In post","2021","White","65+","Unknown","300","240","33760","32690"
"In post","2021","White","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","16-19","AA/AO","70","60","21550","21260"
"In post","2022","Asian","16-19","EO","30","30","[c]","[c]"
"In post","2022","Asian","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","20-29","AA/AO","1860","1770","22180","21260"
"In post","2022","Asian","20-29","EO","2540","2510","27970","27570"
"In post","2022","Asian","20-29","G6/G7","340","340","55080","54110"
"In post","2022","Asian","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Asian","20-29","SEO/HEO","2010","2000","35360","34260"
"In post","2022","Asian","20-29","Unknown","160","160","25500","24090"
"In post","2022","Asian","30-39","AA/AO","1960","1740","22470","21260"
"In post","2022","Asian","30-39","EO","2790","2640","28000","27570"
"In post","2022","Asian","30-39","G6/G7","1320","1290","57850","55210"
"In post","2022","Asian","30-39","SCS","60","60","82170","75910"
"In post","2022","Asian","30-39","SEO/HEO","2880","2810","36900","36050"
"In post","2022","Asian","30-39","Unknown","220","200","28860","27980"
"In post","2022","Asian","40-49","AA/AO","2060","1730","22750","21300"
"In post","2022","Asian","40-49","EO","2660","2440","28310","27570"
"In post","2022","Asian","40-49","G6/G7","1360","1310","59360","57680"
"In post","2022","Asian","40-49","SCS","160","160","87950","82600"
"In post","2022","Asian","40-49","SEO/HEO","2500","2420","38060","37300"
"In post","2022","Asian","40-49","Unknown","260","240","32500","30210"
"In post","2022","Asian","50-59","AA/AO","1620","1430","22800","21680"
"In post","2022","Asian","50-59","EO","2030","1900","28900","28680"
"In post","2022","Asian","50-59","G6/G7","690","670","60790","59390"
"In post","2022","Asian","50-59","SCS","90","80","101820","99820"
"In post","2022","Asian","50-59","SEO/HEO","1500","1470","38650","37930"
"In post","2022","Asian","50-59","Unknown","140","130","31720","28620"
"In post","2022","Asian","60-64","AA/AO","600","500","23540","23460"
"In post","2022","Asian","60-64","EO","530","450","29530","29370"
"In post","2022","Asian","60-64","G6/G7","100","90","62040","62030"
"In post","2022","Asian","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Asian","60-64","SEO/HEO","320","300","39730","38560"
"In post","2022","Asian","60-64","Unknown","40","30","[c]","[c]"
"In post","2022","Asian","65+","AA/AO","360","280","23810","24310"
"In post","2022","Asian","65+","EO","240","180","29800","30230"
"In post","2022","Asian","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Asian","65+","SEO/HEO","110","90","41150","39480"
"In post","2022","Asian","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","Unknown","[c]","[c]","[c]","[c]"
