"Status","Year","Region_ITL3","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Scottish Government","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Work and Pensions","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Scottish Government","110","90","28240","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Work and Pensions","50","50","36160","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Scottish Government","410","390","32200","30650"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Department for Work and Pensions","620","570","24290","21010"
"In post","2021","Angus and Dundee City","Heterosexual / straight","HM Revenue and Customs","130","120","24500","21440"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Scottish Government","390","380","32980","28170"
"In post","2021","Angus and Dundee City","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Department for Work and Pensions","80","70","22950","21010"
"In post","2021","Angus and Dundee City","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Scottish Government","70","60","25570","22820"
"In post","2021","Angus and Dundee City","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Department for Work and Pensions","220","190","23020","21010"
"In post","2021","Angus and Dundee City","Unknown","HM Revenue and Customs","140","130","22510","20140"
"In post","2021","Angus and Dundee City","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Scottish Government","90","90","33010","26160"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Ministry of Defence","160","150","23570","20310"
"In post","2021","Antrim and Newtownabbey","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Department for Transport","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Ministry of Defence","150","140","23340","20310"
"In post","2021","Ards and North Down","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Department for Work and Pensions","310","280","30810","31060"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Ministry of Justice","90","70","29370","26150"
"In post","2021","Barking & Dagenham and Havering","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Department for Work and Pensions","120","100","31520","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Department for Work and Pensions","210","190","30820","31060"
"In post","2021","Barnet","Heterosexual / straight","Department of Health and Social Care","710","670","39800","33350"
"In post","2021","Barnet","Heterosexual / straight","Home Office","120","110","45110","43700"
"In post","2021","Barnet","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Ministry of Justice","70","70","28630","26810"
"In post","2021","Barnet","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Department of Health and Social Care","50","50","43740","38060"
"In post","2021","Barnet","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Department of Health and Social Care","90","90","45170","39500"
"In post","2021","Barnet","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department for Work and Pensions","60","50","30560","31060"
"In post","2021","Barnet","Unknown","Department of Health and Social Care","250","230","51250","44950"
"In post","2021","Barnet","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Department for Transport","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Department for Work and Pensions","890","750","25260","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Home Office","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Ministry of Justice","1060","980","28750","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Department for Work and Pensions","50","50","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Ministry of Justice","70","70","29920","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department for Work and Pensions","100","80","24610","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Ministry of Justice","120","120","31080","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Work and Pensions","330","270","24650","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Ministry of Justice","250","230","27280","25790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Department for Work and Pensions","230","210","27600","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Home Office","150","140","26400","25240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Ministry of Defence","9050","8750","38750","36420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Ministry of Justice","510","470","30880","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","National Crime Agency","310","300","36280","34440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Ministry of Defence","340","340","33840","31700"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Ministry of Defence","1340","1290","41330","40380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Ministry of Justice","80","70","31590","29750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Cabinet Office","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Ministry of Defence","820","800","35090","32980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Ministry of Justice","120","110","29070","27380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","National Crime Agency","60","60","35290","36740"
"In post","2021","Bedford","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Department for Work and Pensions","160","150","31550","27570"
"In post","2021","Bedford","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Home Office","90","90","28810","26160"
"In post","2021","Bedford","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Ministry of Justice","270","260","30150","30210"
"In post","2021","Bedford","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Bedford","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Ministry of Justice","80","70","25270","22920"
"In post","2021","Bedford","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Food Standards Agency","60","60","37860","37910"
"In post","2021","Belfast","Heterosexual / straight","HM Revenue and Customs","1170","1080","30440","28130"
"In post","2021","Belfast","Heterosexual / straight","Home Office","370","330","24870","21430"
"In post","2021","Belfast","Heterosexual / straight","Ministry of Defence","50","50","22130","20310"
"In post","2021","Belfast","Heterosexual / straight","National Crime Agency","90","90","39540","37970"
"In post","2021","Belfast","Heterosexual / straight","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Belfast","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","HM Revenue and Customs","70","60","26460","25560"
"In post","2021","Belfast","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","HM Revenue and Customs","100","100","29670","28130"
"In post","2021","Belfast","Undeclared","Home Office","40","30","[c]","[c]"
"In post","2021","Belfast","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","HM Revenue and Customs","660","610","25120","21440"
"In post","2021","Belfast","Unknown","Home Office","40","40","[c]","[c]"
"In post","2021","Belfast","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","Attorney General's Departments","90","90","42390","38120"
"In post","2021","Berkshire","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","Department for Environment, Food and Rural Affairs","230","220","38120","35900"
"In post","2021","Berkshire","Heterosexual / straight","Department for International Trade","90","90","46080","51970"
"In post","2021","Berkshire","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","Department for Work and Pensions","320","300","29270","29290"
"In post","2021","Berkshire","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","HM Revenue and Customs","190","170","34370","32100"
"In post","2021","Berkshire","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","Home Office","40","40","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","Ministry of Defence","690","670","34600","33300"
"In post","2021","Berkshire","Heterosexual / straight","Ministry of Justice","200","190","28750","24440"
"In post","2021","Berkshire","Heterosexual / straight","National Crime Agency","70","70","39380","37960"
"In post","2021","Berkshire","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
