"Status","Year","Ethnicity","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","No function","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","80","70","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","No function","60","60","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Transport (excl. agencies)","No function","70","70","38090","34710"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","No function","440","410","25740","27570"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","590","570","26040","27570"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Analysis","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Commercial","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Finance","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","No function","180","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Licensing Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Licensing Agency","No function","80","70","21660","21590"
"Leaver CS","2022","Unknown","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","No function","120","110","26380","26130"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","FCDO Services","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Government Actuary's Department","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Government Legal Department","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Government Legal Department","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Health and Safety Executive","No function","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Courts and Tribunals Service","No function","590","570","22280","20970"
"Leaver CS","2022","Unknown","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","No function","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Prison and Probation Service","No function","1820","1700","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","1260","1110","[c]","[c]"
"Leaver CS","2022","Unknown","Home Office","Unknown","310","300","31100","27760"
"Leaver CS","2022","Unknown","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intellectual Property Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Maritime and Coastguard Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Maritime and Coastguard Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Security","100","100","28540","25610"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Unknown","220","200","32930","31500"
"Leaver CS","2022","Unknown","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Justice (excl. agencies)","No function","120","110","35630","31420"
"Leaver CS","2022","Unknown","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectorate","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Public Health England","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Public Health England","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Public Health England","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Registers of Scotland","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Royal Fleet Auxiliary","Unknown","240","240","36010","33270"
"Leaver CS","2022","Unknown","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Rural Payments Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Rural Payments Agency","Grants Management","70","70","22570","21300"
"Leaver CS","2022","Unknown","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","No function","120","90","26400","23780"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Government (excl. agencies)","Unknown","160","150","36110","31540"
"Leaver CS","2022","Unknown","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","No function","180","160","30940","30860"
"Leaver CS","2022","Unknown","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Submarine Delivery Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The Insolvency Service","No function","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The National Archives","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The National Archives","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The National Archives","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Health Security Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Health Security Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Health Security Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Health Security Agency","No function","170","160","48890","40650"
"Leaver CS","2022","Unknown","UK Health Security Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Hydrographic Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Supreme Court","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Valuation Office Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Valuation Office Agency","Property","60","60","25480","22040"
"Leaver CS","2022","Unknown","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Revenue Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Advisory, Conciliation and Arbitration Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Animal and Plant Health Agency","No function","200","190","29770","24920"
"Leaver CS","2022","White","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Digital, Data & Technology","70","60","57250","56520"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","No function","70","70","47070","40600"
"Leaver CS","2022","White","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
