"Status","Year","Sex","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","210","180","27250","27570"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","90","80","25560","24890"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","4320","4040","35650","33300"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","470","420","29550","26310"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","230","210","33520","32770"
"In post","2021","Female","Bedford","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Department for Work and Pensions","150","130","31060","27570"
"In post","2021","Female","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Home Office","60","60","28850","26160"
"In post","2021","Female","Bedford","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Ministry of Justice","220","200","27250","25840"
"In post","2021","Female","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Food Standards Agency","60","50","38740","37910"
"In post","2021","Female","Belfast","HM Revenue and Customs","1020","910","28140","25560"
"In post","2021","Female","Belfast","Home Office","220","190","24780","21430"
"In post","2021","Female","Belfast","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","National Crime Agency","60","50","39180","39480"
"In post","2021","Female","Belfast","Northern Ireland Office","50","50","36720","34990"
"In post","2021","Female","Berkshire","Attorney General's Departments","100","90","41740","36240"
"In post","2021","Female","Berkshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Department for Environment, Food and Rural Affairs","180","160","33800","29690"
"In post","2021","Female","Berkshire","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Female","Berkshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Department for Work and Pensions","320","290","29550","29290"
"In post","2021","Female","Berkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","HM Revenue and Customs","170","150","33920","31810"
"In post","2021","Female","Berkshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Ministry of Defence","240","230","30710","26670"
"In post","2021","Female","Berkshire","Ministry of Justice","200","180","27820","24020"
"In post","2021","Female","Berkshire","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Department for Work and Pensions","280","250","31090","31060"
"In post","2021","Female","Bexley and Greenwich","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Ministry of Defence","50","50","31090","24590"
"In post","2021","Female","Bexley and Greenwich","Ministry of Justice","570","540","30230","28720"
"In post","2021","Female","Birmingham","Attorney General's Departments","330","300","38170","32290"
"In post","2021","Female","Birmingham","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Department for Business, Energy and Industrial Strategy","370","350","32440","30360"
"In post","2021","Female","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Department for Transport","60","60","31190","26780"
"In post","2021","Female","Birmingham","Department for Work and Pensions","1400","1200","27090","27570"
"In post","2021","Female","Birmingham","Department of Health and Social Care","340","300","40330","34530"
"In post","2021","Female","Birmingham","Food Standards Agency","40","30","[c]","[c]"
"In post","2021","Female","Birmingham","HM Revenue and Customs","1510","1360","29940","26000"
"In post","2021","Female","Birmingham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Home Office","70","60","28460","25580"
"In post","2021","Female","Birmingham","Ministry of Defence","140","130","33550","33150"
"In post","2021","Female","Birmingham","Ministry of Housing, Communities and Local Government","70","70","40190","36340"
"In post","2021","Female","Birmingham","Ministry of Justice","1840","1670","25350","22570"
"In post","2021","Female","Birmingham","National Crime Agency","180","170","34930","34140"
"In post","2021","Female","Birmingham","Office for Standards in Education","100","100","52200","51360"
"In post","2021","Female","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Female","Birmingham","Water Services Regulation Authority","90","90","49210","43240"
"In post","2021","Female","Blackburn with Darwen","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Department for Work and Pensions","210","180","26560","27570"
"In post","2021","Female","Blackburn with Darwen","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Ministry of Justice","80","70","26180","22920"
"In post","2021","Female","Blackpool","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Female","Blackpool","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Department for Work and Pensions","3040","2680","28040","27570"
"In post","2021","Female","Blackpool","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Ministry of Justice","100","80","27660","23840"
"In post","2021","Female","Bournemouth and Poole","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Department for Work and Pensions","190","150","27290","27570"
"In post","2021","Female","Bournemouth and Poole","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Ministry of Defence","40","30","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Ministry of Justice","160","140","26960","22920"
"In post","2021","Female","Bradford","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Department for Work and Pensions","560","470","25550","27570"
"In post","2021","Female","Bradford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","HM Revenue and Customs","1050","880","28090","25560"
"In post","2021","Female","Bradford","Ministry of Justice","250","220","24780","22260"
"In post","2021","Female","Breckland and South Norfolk","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Ministry of Justice","170","160","27200","24440"
"In post","2021","Female","Brent","Department for Work and Pensions","170","150","30230","31060"
"In post","2021","Female","Brent","HM Revenue and Customs","70","60","34980","29950"
"In post","2021","Female","Brent","Ministry of Justice","160","150","28830","23500"
"In post","2021","Female","Bridgend and Neath Port Talbot","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Department for Work and Pensions","330","280","25950","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Ministry of Justice","140","120","26240","22260"
"In post","2021","Female","Bridgend and Neath Port Talbot","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Attorney General's Departments","80","70","41200","32020"
"In post","2021","Female","Brighton and Hove","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Department for Work and Pensions","170","150","27460","27570"
"In post","2021","Female","Brighton and Hove","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Ministry of Justice","160","140","28950","23310"
"In post","2021","Female","Bristol, City of","Attorney General's Departments","100","90","39350","33310"
"In post","2021","Female","Bristol, City of","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Business, Energy and Industrial Strategy","60","60","34920","34390"
"In post","2021","Female","Bristol, City of","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Education","130","120","42620","37100"
"In post","2021","Female","Bristol, City of","Department for Environment, Food and Rural Affairs","500","460","38110","36030"
"In post","2021","Female","Bristol, City of","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Transport","200","180","34350","31040"
"In post","2021","Female","Bristol, City of","Department for Work and Pensions","550","460","26630","27570"
"In post","2021","Female","Bristol, City of","Department of Health and Social Care","250","220","36230","30730"
"In post","2021","Female","Bristol, City of","HM Revenue and Customs","620","560","34050","31810"
"In post","2021","Female","Bristol, City of","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Ministry of Housing, Communities and Local Government","410","370","40120","34860"
"In post","2021","Female","Bristol, City of","Ministry of Justice","450","410","26110","22920"
"In post","2021","Female","Bristol, City of","Office for Standards in Education","180","170","43000","39850"
"In post","2021","Female","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bromley","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bromley","Department for Work and Pensions","200","180","31070","31060"
"In post","2021","Female","Bromley","Ministry of Justice","120","110","26610","22560"
"In post","2021","Female","Bromley","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Department for Work and Pensions","150","130","27930","27570"
"In post","2021","Female","Buckinghamshire CC","Ministry of Defence","450","430","32450","28670"
"In post","2021","Female","Buckinghamshire CC","Ministry of Justice","380","350","30070","28200"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Scottish Government","60","50","26300","25140"
"In post","2021","Female","Calderdale and Kirklees","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Department for Work and Pensions","470","390","27110","27570"
"In post","2021","Female","Calderdale and Kirklees","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","HM Revenue and Customs","90","70","24800","21100"
"In post","2021","Female","Calderdale and Kirklees","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Ministry of Justice","140","120","27020","23840"
"In post","2021","Female","Cambridgeshire CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Department for Work and Pensions","150","130","28230","27570"
"In post","2021","Female","Cambridgeshire CC","Department of Health and Social Care","210","180","39340","31970"
"In post","2021","Female","Cambridgeshire CC","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Ministry of Defence","480","450","32540","33300"
"In post","2021","Female","Cambridgeshire CC","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Ministry of Justice","570","530","27990","26850"
"In post","2021","Female","Cambridgeshire CC","Office for Standards in Education","70","70","58660","51360"
"In post","2021","Female","Camden and City of London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Female","Camden and City of London","Chancellor's other departments","80","70","60350","60780"
"In post","2021","Female","Camden and City of London","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Female","Camden and City of London","HM Revenue and Customs","640","600","36610","36160"
"In post","2021","Female","Camden and City of London","HM Treasury","60","60","48650","42170"
"In post","2021","Female","Camden and City of London","Home Office","190","180","33410","30460"
"In post","2021","Female","Camden and City of London","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Ministry of Justice","630","590","28370","23500"
"In post","2021","Female","Camden and City of London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Attorney General's Departments","140","130","38430","38000"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","720","630","29660","24730"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Department for Environment, Food and Rural Affairs","60","60","27860","21050"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Department for Work and Pensions","720","640","27160","27570"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","ESTYN","70","60","53760","63880"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Food Standards Agency","60","50","38700","37910"
"In post","2021","Female","Cardiff and Vale of Glamorgan","HM Revenue and Customs","2110","1880","27360","25560"
"In post","2021","Female","Cardiff and Vale of Glamorgan","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Home Office","180","170","29180","25360"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Ministry of Defence","100","90","24440","21580"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Ministry of Justice","630","590","28870","23840"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Welsh Government","1660","1530","42590","37410"
"In post","2021","Female","Causeway Coast and Glens","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Ministry of Defence","160","150","28750","26670"
"In post","2021","Female","Central Hampshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Department for Work and Pensions","80","70","27460","27570"
"In post","2021","Female","Central Hampshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Ministry of Defence","1530","1450","34200","33300"
"In post","2021","Female","Central Hampshire","Ministry of Justice","190","180","28890","27850"
"In post","2021","Female","Central Hampshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Valleys","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Valleys","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Valleys","Department for Work and Pensions","420","360","25970","27570"
"In post","2021","Female","Central Valleys","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Valleys","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Valleys","Ministry of Justice","130","120","27480","24680"
"In post","2021","Female","Central Valleys","Welsh Government","570","540","39010","37410"
"In post","2021","Female","Cheshire East","Department for Environment, Food and Rural Affairs","100","90","31040","25500"
"In post","2021","Female","Cheshire East","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire East","Department for Work and Pensions","120","110","29060","27570"
"In post","2021","Female","Cheshire East","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire East","Ministry of Justice","240","220","29610","27150"
"In post","2021","Female","Cheshire West and Chester","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","Department for Work and Pensions","170","150","25710","27570"
"In post","2021","Female","Cheshire West and Chester","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","Ministry of Justice","100","90","27400","23840"
"In post","2021","Female","Chorley and West Lancashire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","Department for Work and Pensions","80","70","27540","27570"
"In post","2021","Female","Chorley and West Lancashire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","Ministry of Justice","510","470","28550","26300"
"In post","2021","Female","Chorley and West Lancashire","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Department for Business, Energy and Industrial Strategy","70","70","26570","21840"
"In post","2021","Female","City of Edinburgh","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Department for Work and Pensions","200","180","29150","27570"
"In post","2021","Female","City of Edinburgh","HM Revenue and Customs","1010","920","27500","25560"
"In post","2021","Female","City of Edinburgh","Home Office","70","60","27820","26410"
"In post","2021","Female","City of Edinburgh","Ministry of Defence","120","110","28000","22640"
"In post","2021","Female","City of Edinburgh","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","Scotland Office","50","50","47490","48930"
"In post","2021","Female","City of Edinburgh","Scottish Government","5150","4830","39610","35110"
"In post","2021","Female","City of Edinburgh","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Clackmannanshire and Fife","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Clackmannanshire and Fife","Department for Work and Pensions","290","240","25720","27570"
"In post","2021","Female","Clackmannanshire and Fife","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Clackmannanshire and Fife","Ministry of Defence","130","130","30070","26670"
"In post","2021","Female","Clackmannanshire and Fife","Scottish Government","260","230","29050","25870"
"In post","2021","Female","Conwy and Denbighshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Conwy and Denbighshire","Department for Work and Pensions","90","80","27490","27570"
"In post","2021","Female","Conwy and Denbighshire","Home Office","[c]","[c]","[c]","[c]"
