"Status","Year","Responsibility_level","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","EO","Male","20-29","9990","9940","27260","27200"
"In post","2022","EO","Male","30-39","12020","11930","28000","27570"
"In post","2022","EO","Male","40-49","11610","11470","28220","27570"
"In post","2022","EO","Male","50-59","16080","15570","28990","27570"
"In post","2022","EO","Male","60-64","4850","4040","28840","27570"
"In post","2022","EO","Male","65+","1650","1260","28740","27570"
"In post","2022","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Female","20-29","2690","2680","54600","53420"
"In post","2022","G6/G7","Female","30-39","9570","9150","57150","54850"
"In post","2022","G6/G7","Female","40-49","10990","10260","59180","57430"
"In post","2022","G6/G7","Female","50-59","9130","8770","60130","58040"
"In post","2022","G6/G7","Female","60-64","1290","1130","60980","59490"
"In post","2022","G6/G7","Female","65+","260","210","62470","61440"
"In post","2022","G6/G7","Male","20-29","2350","2340","55340","54160"
"In post","2022","G6/G7","Male","30-39","9050","8980","57630","55210"
"In post","2022","G6/G7","Male","40-49","10410","10320","59730","57730"
"In post","2022","G6/G7","Male","50-59","10840","10720","61240","59670"
"In post","2022","G6/G7","Male","60-64","2200","1960","62330","60710"
"In post","2022","G6/G7","Male","65+","660","510","63570","61560"
"In post","2022","G6/G7","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","30-39","550","530","79720","75160"
"In post","2022","SCS","Female","40-49","1480","1400","86210","79390"
"In post","2022","SCS","Female","50-59","1180","1140","92510","84110"
"In post","2022","SCS","Female","60-64","150","140","101700","93610"
"In post","2022","SCS","Female","65+","40","30","[c]","[c]"
"In post","2022","SCS","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Male","30-39","520","510","80230","75640"
"In post","2022","SCS","Male","40-49","1480","1460","89670","82500"
"In post","2022","SCS","Male","50-59","1460","1450","98010","90060"
"In post","2022","SCS","Male","60-64","280","270","104340","95750"
"In post","2022","SCS","Male","65+","60","50","113450","104410"
"In post","2022","SEO/HEO","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Female","20-29","13910","13820","34660","33370"
"In post","2022","SEO/HEO","Female","30-39","18000","17140","36590","36050"
"In post","2022","SEO/HEO","Female","40-49","17630","16530","37520","36820"
"In post","2022","SEO/HEO","Female","50-59","18880","17940","37480","36510"
"In post","2022","SEO/HEO","Female","60-64","3700","3090","37400","36130"
"In post","2022","SEO/HEO","Female","65+","740","580","37770","36330"
"In post","2022","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Male","20-29","11630","11600","34800","33570"
"In post","2022","SEO/HEO","Male","30-39","16480","16390","36910","36410"
"In post","2022","SEO/HEO","Male","40-49","15220","15100","38070","37640"
"In post","2022","SEO/HEO","Male","50-59","18810","18520","39120","38160"
"In post","2022","SEO/HEO","Male","60-64","4950","4300","39330","38300"
"In post","2022","SEO/HEO","Male","65+","1560","1240","39700","38160"
"In post","2022","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","20-29","3070","3010","25660","24090"
"In post","2022","Unknown","Female","30-39","3720","3400","29530","28200"
"In post","2022","Unknown","Female","40-49","3820","3470","32880","32100"
"In post","2022","Unknown","Female","50-59","3350","3120","31820","28200"
"In post","2022","Unknown","Female","60-64","1110","940","30180","28200"
"In post","2022","Unknown","Female","65+","350","270","30610","28200"
"In post","2022","Unknown","Male","16-19","60","60","18300","17140"
"In post","2022","Unknown","Male","20-29","1180","1170","26840","26110"
"In post","2022","Unknown","Male","30-39","1610","1590","32950","31420"
"In post","2022","Unknown","Male","40-49","1730","1690","36780","34340"
"In post","2022","Unknown","Male","50-59","2340","2260","37660","34340"
"In post","2022","Unknown","Male","60-64","810","730","35930","33700"
"In post","2022","Unknown","Male","65+","290","230","34160","30720"
"Leaver CS","2021","AA/AO","Female","16-19","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","20-29","1660","1580","20940","21010"
"Leaver CS","2021","AA/AO","Female","30-39","850","720","21110","21010"
"Leaver CS","2021","AA/AO","Female","40-49","740","610","21090","21010"
"Leaver CS","2021","AA/AO","Female","50-59","1380","1130","21050","21010"
"Leaver CS","2021","AA/AO","Female","60-64","960","710","20940","21010"
"Leaver CS","2021","AA/AO","Female","65+","990","680","20700","20920"
"Leaver CS","2021","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","16-19","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","20-29","1460","1420","21290","21010"
"Leaver CS","2021","AA/AO","Male","30-39","810","780","22340","21010"
"Leaver CS","2021","AA/AO","Male","40-49","610","590","21510","21010"
"Leaver CS","2021","AA/AO","Male","50-59","930","860","22290","21010"
"Leaver CS","2021","AA/AO","Male","60-64","650","570","22330","21010"
"Leaver CS","2021","AA/AO","Male","65+","780","610","20940","20650"
"Leaver CS","2021","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","20-29","540","510","25690","26880"
"Leaver CS","2021","EO","Female","30-39","450","410","27440","27570"
"Leaver CS","2021","EO","Female","40-49","420","370","27580","27570"
"Leaver CS","2021","EO","Female","50-59","840","720","27440","27570"
"Leaver CS","2021","EO","Female","60-64","610","460","27530","27570"
"Leaver CS","2021","EO","Female","65+","450","310","27410","27570"
"Leaver CS","2021","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","20-29","560","530","26020","26410"
"Leaver CS","2021","EO","Male","30-39","360","350","27880","27570"
"Leaver CS","2021","EO","Male","40-49","280","270","27960","27570"
"Leaver CS","2021","EO","Male","50-59","670","640","28740","27570"
"Leaver CS","2021","EO","Male","60-64","510","440","28310","27570"
"Leaver CS","2021","EO","Male","65+","410","300","27630","27570"
"Leaver CS","2021","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","20-29","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","30-39","220","200","56760","54400"
"Leaver CS","2021","G6/G7","Female","40-49","210","190","60450","57940"
"Leaver CS","2021","G6/G7","Female","50-59","350","320","61800","59330"
"Leaver CS","2021","G6/G7","Female","60-64","210","170","63420","60830"
"Leaver CS","2021","G6/G7","Female","65+","60","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","20-29","60","50","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","30-39","270","260","57550","55000"
"Leaver CS","2021","G6/G7","Male","40-49","200","180","60910","57830"
"Leaver CS","2021","G6/G7","Male","50-59","380","370","62640","60740"
"Leaver CS","2021","G6/G7","Male","60-64","320","270","62290","60250"
"Leaver CS","2021","G6/G7","Male","65+","140","100","62820","60950"
"Leaver CS","2021","G6/G7","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","40-49","60","50","[c]","[c]"
"Leaver CS","2021","SCS","Female","50-59","50","50","[c]","[c]"
"Leaver CS","2021","SCS","Female","60-64","50","40","[c]","[c]"
"Leaver CS","2021","SCS","Female","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","40-49","50","50","[c]","[c]"
"Leaver CS","2021","SCS","Male","50-59","90","80","110680","103960"
"Leaver CS","2021","SCS","Male","60-64","70","60","101370","95960"
"Leaver CS","2021","SCS","Male","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","60-64","[c]","[c]","[c]","[c]"
