"Status","Year","Function_of_post","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","50-59","Operational Delivery","110","100","47950","40060"
"In post","2021","Commercial","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Commercial","50-59","Unknown","460","450","77640","66240"
"In post","2021","Commercial","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Commercial","240","210","43810","40580"
"In post","2021","Commercial","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Knowledge and Information Management","60","60","32500","29200"
"In post","2021","Commercial","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Unknown","50","40","[c]","[c]"
"In post","2021","Commercial","65+","Commercial","60","50","38340","35340"
"In post","2021","Commercial","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Communications","740","730","33960","32790"
"In post","2021","Communications","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Operational Delivery","290","280","28120","25560"
"In post","2021","Communications","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Tax","750","740","26540","25560"
"In post","2021","Communications","20-29","Unknown","280","270","31300","27570"
"In post","2021","Communications","30-39","Communications","980","950","42950","40230"
"In post","2021","Communications","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Operational Delivery","440","420","29420","25560"
"In post","2021","Communications","30-39","Other","30","30","[c]","[c]"
"In post","2021","Communications","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Tax","700","680","27730","25560"
"In post","2021","Communications","30-39","Unknown","280","270","39790","35900"
"In post","2021","Communications","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Communications","900","850","46000","41580"
"In post","2021","Communications","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Operational Delivery","350","330","30010","28130"
"In post","2021","Communications","40-49","Other","40","40","[c]","[c]"
"In post","2021","Communications","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Tax","360","340","27950","25560"
"In post","2021","Communications","40-49","Unknown","160","160","41930","34550"
"In post","2021","Communications","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Communications","640","620","41640","36780"
"In post","2021","Communications","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Operational Delivery","340","320","31940","28130"
"In post","2021","Communications","50-59","Other","90","90","25160","21910"
"In post","2021","Communications","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Tax","270","250","27830","25560"
"In post","2021","Communications","50-59","Unknown","60","60","45990","37160"
"In post","2021","Communications","60-64","Communications","120","110","38020","34590"
"In post","2021","Communications","60-64","Operational Delivery","90","70","29260","28130"
"In post","2021","Communications","60-64","Other","40","40","[c]","[c]"
"In post","2021","Communications","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Tax","50","40","29270","28130"
"In post","2021","Communications","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Communications","40","30","[c]","[c]"
"In post","2021","Communications","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Counter Fraud","60","60","31700","33100"
"In post","2021","Counter Fraud","20-29","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Legal","470","470","27460","25560"
"In post","2021","Counter Fraud","20-29","Operational Delivery","270","260","27470","25560"
"In post","2021","Counter Fraud","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Tax","190","190","35730","31810"
"In post","2021","Counter Fraud","20-29","Unknown","60","60","32670","29570"
"In post","2021","Counter Fraud","30-39","Counter Fraud","140","140","39480","35600"
"In post","2021","Counter Fraud","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Intelligence Analysis","60","60","38820","36160"
"In post","2021","Counter Fraud","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Legal","730","710","29490","26980"
"In post","2021","Counter Fraud","30-39","Operational Delivery","560","540","29460","25560"
"In post","2021","Counter Fraud","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Other","60","50","40110","38630"
"In post","2021","Counter Fraud","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Tax","440","430","37270","31810"
"In post","2021","Counter Fraud","30-39","Unknown","60","60","38430","32910"
"In post","2021","Counter Fraud","40-49","Counter Fraud","150","150","41470","39490"
"In post","2021","Counter Fraud","40-49","Intelligence Analysis","50","50","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Legal","850","820","32100","31810"
"In post","2021","Counter Fraud","40-49","Operational Delivery","680","630","30140","28130"
"In post","2021","Counter Fraud","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Other","90","80","39580","31810"
"In post","2021","Counter Fraud","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Tax","390","380","39140","36160"
"In post","2021","Counter Fraud","40-49","Unknown","50","50","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Counter Fraud","230","230","43860","39490"
"In post","2021","Counter Fraud","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Legal","1020","990","33690","31810"
"In post","2021","Counter Fraud","50-59","Operational Delivery","1060","980","31480","29570"
"In post","2021","Counter Fraud","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Other","130","120","37130","32310"
"In post","2021","Counter Fraud","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Tax","660","630","41130","38630"
"In post","2021","Counter Fraud","50-59","Unknown","40","40","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Counter Fraud","70","60","39420","36060"
"In post","2021","Counter Fraud","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Legal","200","160","32870","32030"
"In post","2021","Counter Fraud","60-64","Operational Delivery","270","210","29230","28130"
"In post","2021","Counter Fraud","60-64","Other","40","30","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Tax","190","140","41480","37470"
"In post","2021","Counter Fraud","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Legal","70","50","30300","28130"
"In post","2021","Counter Fraud","65+","Operational Delivery","50","40","29880","28130"
"In post","2021","Counter Fraud","65+","Other","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Tax","40","30","[c]","[c]"
"In post","2021","Debt","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt","16-19","Tax","40","40","[c]","[c]"
"In post","2021","Debt","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Operational Delivery","570","550","21800","20140"
"In post","2021","Debt","20-29","Tax","450","440","20380","20140"
"In post","2021","Debt","20-29","Unknown","40","40","[c]","[c]"
"In post","2021","Debt","30-39","Operational Delivery","610","550","22560","20140"
"In post","2021","Debt","30-39","Tax","230","220","20640","20140"
"In post","2021","Debt","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","40-49","Operational Delivery","690","620","24210","21440"
"In post","2021","Debt","40-49","Tax","140","140","21400","20140"
"In post","2021","Debt","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","50-59","Operational Delivery","1130","1010","25170","21440"
"In post","2021","Debt","50-59","Tax","120","110","21630","20140"
"In post","2021","Debt","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Operational Delivery","430","320","24670","21440"
"In post","2021","Debt","60-64","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Operational Delivery","140","100","25410","24390"
"In post","2021","Debt","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Digital, Data and Technology","1590","1580","32750","31810"
"In post","2021","Digital, Data & Technology","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Operational Delivery","70","70","31490","31810"
"In post","2021","Digital, Data & Technology","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Science and Engineering","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Unknown","280","280","38560","34550"
"In post","2021","Digital, Data & Technology","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Digital, Data and Technology","2670","2620","40490","38000"
"In post","2021","Digital, Data & Technology","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Operational Delivery","110","110","34690","31810"
"In post","2021","Digital, Data & Technology","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Science and Engineering","150","150","38430","39650"
"In post","2021","Digital, Data & Technology","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Unknown","440","430","49880","54700"
"In post","2021","Digital, Data & Technology","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Digital, Data and Technology","3050","2980","43910","40000"
"In post","2021","Digital, Data & Technology","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Operational Delivery","120","120","36170","31810"
"In post","2021","Digital, Data & Technology","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Science and Engineering","170","160","44200","41900"
"In post","2021","Digital, Data & Technology","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","40-49","Unknown","400","390","54320","54700"
"In post","2021","Digital, Data & Technology","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Digital, Data and Technology","2780","2710","43100","39100"
"In post","2021","Digital, Data & Technology","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","50-59","Operational Delivery","140","130","35960","32520"
"In post","2021","Digital, Data & Technology","50-59","Operational Research","[c]","[c]","[c]","[c]"
