"Status","Year","Region_ITL1","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","1820","1790","48450","53130"
"In post","2021","London","Ministry of Justice (excl. agencies)","Ministry of Justice","3520","3440","44400","39530"
"In post","2021","London","National Crime Agency","National Crime Agency","1650","1610","43860","40170"
"In post","2021","London","National Infrastructure Commission","HM Treasury","40","40","[c]","[c]"
"In post","2021","London","National Savings and Investments","Chancellor's other departments","160","160","52510","47410"
"In post","2021","London","Northern Ireland Office","Northern Ireland Office","80","80","50360","47630"
"In post","2021","London","Office for Budget Responsibility","HM Treasury","40","30","[c]","[c]"
"In post","2021","London","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","450","440","56860","51360"
"In post","2021","London","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","670","660","51150","47180"
"In post","2021","London","Office of Rail and Road","Office of Rail and Road","210","200","55460","55430"
"In post","2021","London","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","London","Public Health England","Department of Health and Social Care","2980","2740","47200","40810"
"In post","2021","London","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","London","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","40","30","[c]","[c]"
"In post","2021","London","Scottish Government (excl. agencies)","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Serious Fraud Office","Attorney General's Departments","490","480","46240","40700"
"In post","2021","London","Standards and Testing Agency","Department for Education","40","40","[c]","[c]"
"In post","2021","London","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","London","The National Archives","The National Archives","540","520","35580","33330"
"In post","2021","London","UK Export Finance","UK Export Finance","400","390","53500","48830"
"In post","2021","London","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","London","UK Space Agency","Department for Business, Energy and Industrial Strategy","140","130","47220","40220"
"In post","2021","London","UK Supreme Court","UK Supreme Court","60","50","38600","35150"
"In post","2021","London","United Kingdom Statistics Authority","United Kingdom Statistics Authority","390","380","42630","32540"
"In post","2021","London","Valuation Office Agency","HM Revenue and Customs","670","630","40560","36400"
"In post","2021","London","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Water Services Regulation Authority","Water Services Regulation Authority","70","70","69430","66360"
"In post","2021","London","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","140","130","29960","30950"
"In post","2021","North East (England)","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","North East (England)","Cabinet Office (excl. agencies)","Cabinet Office","420","390","29430","24570"
"In post","2021","North East (England)","Crown Prosecution Service","Attorney General's Departments","340","310","38010","32370"
"In post","2021","North East (England)","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Education (excl. agencies)","Department for Education","570","540","38500","36780"
"In post","2021","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","200","190","39170","36520"
"In post","2021","North East (England)","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","9550","8460","27110","27570"
"In post","2021","North East (England)","Driver and Vehicle Standards Agency","Department for Transport","330","310","27020","26580"
"In post","2021","North East (England)","Education and Skills Funding Agency","Department for Education","210","210","37330","36500"
"In post","2021","North East (England)","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Health and Safety Executive","Department for Work and Pensions","70","70","42660","43830"
"In post","2021","North East (England)","HM Courts and Tribunals Service","Ministry of Justice","690","600","23800","20100"
"In post","2021","North East (England)","HM Land Registry","HM Land Registry","710","650","28370","27130"
"In post","2021","North East (England)","HM Prison and Probation Service","Ministry of Justice","3400","3170","29330","27700"
"In post","2021","North East (England)","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10830","9600","27590","25560"
"In post","2021","North East (England)","Home Office (incl. agencies)","Home Office","1290","1130","25210","21430"
"In post","2021","North East (England)","Insolvency Service","Department for Business, Energy and Industrial Strategy","50","50","31030","27720"
"In post","2021","North East (England)","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal Aid Agency","Ministry of Justice","280","260","24020","21170"
"In post","2021","North East (England)","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Ministry of Defence (excl. agencies)","Ministry of Defence","220","210","23980","21130"
"In post","2021","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","60","60","40230","36340"
"In post","2021","North East (England)","Ministry of Justice (excl. agencies)","Ministry of Justice","90","90","37460","33690"
"In post","2021","North East (England)","National Crime Agency","National Crime Agency","100","100","35520","36410"
"In post","2021","North East (England)","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Public Health England","Department of Health and Social Care","150","130","45700","38890"
"In post","2021","North East (England)","Rural Payments Agency","Department for Environment, Food and Rural Affairs","310","290","27530","24920"
"In post","2021","North East (England)","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Valuation Office Agency","HM Revenue and Customs","450","420","28510","24500"
"In post","2021","North West (England)","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","140","130","29840","30950"
"In post","2021","North West (England)","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","280","260","27980","24920"
"In post","2021","North West (England)","Cabinet Office (excl. agencies)","Cabinet Office","450","450","46810","42410"
"In post","2021","North West (England)","Charity Commission","Charity Commission","310","290","32780","29160"
"In post","2021","North West (England)","Crown Commercial Service","Other Cabinet Office Agencies","400","390","38230","34800"
"In post","2021","North West (England)","Crown Prosecution Service","Attorney General's Departments","960","890","39360","34480"
"In post","2021","North West (England)","Defence Equipment and Support","Ministry of Defence","140","140","28800","24160"
"In post","2021","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","North West (England)","Department for Education (excl. agencies)","Department for Education","930","910","40660","36780"
"In post","2021","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","290","280","40760","36970"
"In post","2021","North West (England)","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","17710","15930","26890","27570"
"In post","2021","North West (England)","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","North West (England)","Driver and Vehicle Standards Agency","Department for Transport","430","410","28340","26780"
"In post","2021","North West (England)","Education and Skills Funding Agency","Department for Education","200","200","38940","36780"
"In post","2021","North West (England)","Food Standards Agency","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","North West (England)","Government Internal Audit Agency","HM Treasury","50","50","45840","42810"
"In post","2021","North West (England)","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Health and Safety Executive","Department for Work and Pensions","910","860","40170","35910"
"In post","2021","North West (England)","HM Courts and Tribunals Service","Ministry of Justice","2200","1980","23820","20650"
"In post","2021","North West (England)","HM Land Registry","HM Land Registry","900","810","29390","27130"
"In post","2021","North West (England)","HM Prison and Probation Service","Ministry of Justice","6870","6410","29420","27380"
"In post","2021","North West (England)","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","12550","11580","30050","25560"
"In post","2021","North West (England)","Home Office (incl. agencies)","Home Office","7160","6640","27050","24890"
"In post","2021","North West (England)","Insolvency Service","Department for Business, Energy and Industrial Strategy","290","280","33370","32060"
"In post","2021","North West (England)","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Legal Aid Agency","Ministry of Justice","250","230","25480","22570"
"In post","2021","North West (England)","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Ministry of Defence (excl. agencies)","Ministry of Defence","1580","1490","28080","26350"
"In post","2021","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","140","140","36440","33770"
"In post","2021","North West (England)","Ministry of Justice (excl. agencies)","Ministry of Justice","240","230","37180","33980"
"In post","2021","North West (England)","National Crime Agency","National Crime Agency","1280","1250","36300","36410"
"In post","2021","North West (England)","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","500","480","39650","32010"
"In post","2021","North West (England)","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Public Health England","Department of Health and Social Care","550","510","37390","31370"
"In post","2021","North West (England)","Rural Payments Agency","Department for Environment, Food and Rural Affairs","870","770","24970","21050"
"In post","2021","North West (England)","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Submarine Delivery Agency","Ministry of Defence","150","150","42610","41000"
"In post","2021","North West (England)","Valuation Office Agency","HM Revenue and Customs","340","310","35110","31100"
"In post","2021","Northern Ireland","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Food Standards Agency","Food Standards Agency","80","80","38880","37910"
"In post","2021","Northern Ireland","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2000","1850","28510","25560"
"In post","2021","Northern Ireland","Home Office (incl. agencies)","Home Office","540","490","25380","24890"
"In post","2021","Northern Ireland","Maritime and Coastguard Agency","Department for Transport","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Ministry of Defence (excl. agencies)","Ministry of Defence","910","890","24280","20310"
"In post","2021","Northern Ireland","National Crime Agency","National Crime Agency","110","110","39890","39200"
"In post","2021","Northern Ireland","Northern Ireland Office","Northern Ireland Office","90","80","38110","34990"
"In post","2021","Overseas","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Defence Equipment and Support","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Overseas","Department for International Trade","Department for International Trade","160","160","56610","54470"
"In post","2021","Overseas","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","FCDO Services","Foreign, Commonwealth and Development Office","130","130","40180","39870"
"In post","2021","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","2140","2140","52770","54080"
"In post","2021","Overseas","Home Office (incl. agencies)","Home Office","330","320","28290","27370"
"In post","2021","Overseas","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Ministry of Defence (excl. agencies)","Ministry of Defence","720","720","42550","40580"
"In post","2021","Overseas","National Crime Agency","National Crime Agency","130","130","66390","64330"
"In post","2021","Overseas","Scottish Government (excl. agencies)","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Accountant in Bankruptcy","Scottish Government","120","100","31670","29190"
"In post","2021","Scotland","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","100","100","30430","30950"
"In post","2021","Scotland","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","130","120","31770","26520"
"In post","2021","Scotland","Cabinet Office (excl. agencies)","Cabinet Office","80","80","48190","49700"
"In post","2021","Scotland","Companies House","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Scotland","Competition and Markets Authority","Competition and Markets Authority","50","50","56490","55860"
"In post","2021","Scotland","Criminal Injuries Compensation Authority","Ministry of Justice","300","280","26120","22640"
"In post","2021","Scotland","Crown Office and Procurator Fiscal Service","Scottish Government","2020","1880","35720","29040"
"In post","2021","Scotland","Defence Equipment and Support","Ministry of Defence","510","490","29100","26000"
"In post","2021","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","100","90","50140","47350"
"In post","2021","Scotland","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
