"Status","Year","Organisation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Unknown","620","500","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Unknown","2700","2240","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Unknown","340","290","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","1780","1530","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Declared non-disabled","No function","30","30","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Declared disabled","Unknown","150","120","29820","26410"
"Leaver CS","2021","Home Office (incl. agencies)","Declared non-disabled","Unknown","970","840","30530","25630"
"Leaver CS","2021","Home Office (incl. agencies)","Undeclared","Unknown","70","60","32330","28680"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Unknown","140","140","27020","24880"
"Leaver CS","2021","Insolvency Service","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Declared non-disabled","No function","50","50","40370","37180"
"Leaver CS","2021","Maritime and Coastguard Agency","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Unknown","80","80","46010","40020"
"Leaver CS","2021","Met Office","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Declared non-disabled","Unknown","80","80","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Security","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared disabled","Unknown","160","150","30090","25970"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Finance","60","50","38540","34610"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Project Delivery","110","100","40930","37640"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Property","80","80","31320","33020"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Security","180","170","29300","26610"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","Unknown","790","730","29990","26670"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Security","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Undeclared","Unknown","90","80","27860","25190"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Security","100","100","27200","23540"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Unknown","300","280","32400","30690"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","No function","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","No function","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","No function","50","50","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","No function","90","90","42730","39840"
"Leaver CS","2021","National Crime Agency","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
