"Status","Year","Ethnicity","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","White","Female","HM Revenue and Customs (excl. agencies)","420","400","[c]","[c]"
"Leaver Dept.","2021","White","Female","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","White","Female","Home Office (incl. agencies)","410","380","36510","30110"
"Leaver Dept.","2021","White","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Ministry of Defence (excl. agencies)","150","150","37000","33300"
"Leaver Dept.","2021","White","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","110","100","44190","42140"
"Leaver Dept.","2021","White","Female","Ministry of Justice (excl. agencies)","150","140","41520","36800"
"Leaver Dept.","2021","White","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","United Kingdom Statistics Authority","40","40","[c]","[c]"
"Leaver Dept.","2021","White","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Cabinet Office (excl. agencies)","260","250","44780","35740"
"Leaver Dept.","2021","White","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Defence Equipment and Support","170","170","34820","32360"
"Leaver Dept.","2021","White","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","120","49020","52300"
"Leaver Dept.","2021","White","Male","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"Leaver Dept.","2021","White","Male","Department for Education (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","White","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Department for International Trade","60","60","46210","41300"
"Leaver Dept.","2021","White","Male","Department for Transport (excl. agencies)","60","60","47180","42460"
"Leaver Dept.","2021","White","Male","Department for Work and Pensions (excl. agencies)","330","330","30890","27570"
"Leaver Dept.","2021","White","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","White","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Foreign, Commonwealth and Development Office (excl. agencies)","60","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","HM Courts and Tribunals Service","60","60","28310","21440"
"Leaver Dept.","2021","White","Male","HM Prison and Probation Service","110","110","[c]","[c]"
"Leaver Dept.","2021","White","Male","HM Revenue and Customs (excl. agencies)","320","320","[c]","[c]"
"Leaver Dept.","2021","White","Male","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","White","Male","Home Office (incl. agencies)","300","290","35060","28810"
"Leaver Dept.","2021","White","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Ministry of Defence (excl. agencies)","130","120","43240","40580"
"Leaver Dept.","2021","White","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","39000","33210"
"Leaver Dept.","2021","White","Male","Ministry of Justice (excl. agencies)","110","100","43990","40480"
"Leaver Dept.","2021","White","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","United Kingdom Statistics Authority","40","30","[c]","[c]"
"Leaver Dept.","2021","White","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Cabinet Office (excl. agencies)","60","60","44050","35590"
"Leaver Dept.","2022","Asian","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Department for Work and Pensions (excl. agencies)","220","210","29210","27570"
"Leaver Dept.","2022","Asian","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","HM Courts and Tribunals Service","60","60","26440","22680"
"Leaver Dept.","2022","Asian","Female","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","HM Revenue and Customs (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Home Office","90","90","32410","28830"
"Leaver Dept.","2022","Asian","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Public Health England","550","500","40020","32330"
"Leaver Dept.","2022","Asian","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Department for Work and Pensions (excl. agencies)","220","220","28890","27570"
"Leaver Dept.","2022","Asian","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","HM Courts and Tribunals Service","30","30","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","HM Revenue and Customs (excl. agencies)","70","60","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Home Office","90","90","34450","28850"
"Leaver Dept.","2022","Asian","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
