"Status","Year","Region_ITL2","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Ministry of Justice","250","230","29640","28450"
"In post","2021","Bedfordshire and Hertfordshire","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Department for Transport","50","50","29820","26780"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Department for Work and Pensions","430","390","30220","29290"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Department of Health and Social Care","80","80","50280","45570"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Home Office","100","80","30510","27370"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Ministry of Defence","240","240","35620","33630"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Ministry of Justice","310","290","30380","26330"
"In post","2021","Bedfordshire and Hertfordshire","50-59","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Department for Work and Pensions","130","110","30220","29290"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Ministry of Defence","70","70","30070","26800"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Ministry of Justice","90","80","25180","21710"
"In post","2021","Bedfordshire and Hertfordshire","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Ministry of Justice","30","20","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Department for Work and Pensions","140","140","27210","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Foreign, Commonwealth and Development Office","190","190","26400","26010"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","HM Revenue and Customs","50","50","24240","20140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Ministry of Defence","360","360","27900","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Ministry of Justice","570","570","27300","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Department for Environment, Food and Rural Affairs","60","60","34480","32160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Department for Work and Pensions","170","150","27980","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Department of Health and Social Care","70","60","41240","39110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Foreign, Commonwealth and Development Office","200","200","33820","31390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","HM Revenue and Customs","50","50","28170","25560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Ministry of Defence","560","540","33400","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Ministry of Justice","590","550","29790","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Department for Environment, Food and Rural Affairs","130","120","35360","31040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Department for Work and Pensions","250","220","28240","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Department of Health and Social Care","100","90","46620","42430"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Foreign, Commonwealth and Development Office","220","210","39890","34770"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","HM Revenue and Customs","90","90","31930","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Ministry of Defence","590","570","34410","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Ministry of Justice","550","520","32520","32040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Department for Environment, Food and Rural Affairs","130","130","37900","34530"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Department for Transport","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Department for Work and Pensions","380","350","29080","28900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Department of Health and Social Care","120","100","47750","42570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Foreign, Commonwealth and Development Office","290","290","42030","40520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","HM Revenue and Customs","210","200","34340","32520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Ministry of Defence","900","880","34150","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Ministry of Justice","670","640","31410","30980"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Department for Work and Pensions","150","130","28060","27740"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Foreign, Commonwealth and Development Office","90","80","40770","35730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","HM Revenue and Customs","50","40","33160","30360"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Ministry of Defence","260","240","30560","28150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Ministry of Justice","180","150","29050","25840"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Department for Work and Pensions","60","50","27160","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Ministry of Defence","120","110","30770","23130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Ministry of Justice","60","40","26380","23270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","Cheshire","20-29","Department for Work and Pensions","130","130","25430","27570"
"In post","2021","Cheshire","20-29","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Ministry of Justice","210","200","24170","24120"
"In post","2021","Cheshire","20-29","National Crime Agency","240","240","30010","30640"
"In post","2021","Cheshire","30-39","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Department for Environment, Food and Rural Affairs","70","70","35290","30040"
"In post","2021","Cheshire","30-39","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Department for Work and Pensions","160","150","25750","27570"
"In post","2021","Cheshire","30-39","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Ministry of Justice","240","230","28140","26300"
"In post","2021","Cheshire","30-39","National Crime Agency","340","330","35060","36410"
"In post","2021","Cheshire","40-49","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Department for Environment, Food and Rural Affairs","80","70","40940","38380"
"In post","2021","Cheshire","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Department for Work and Pensions","200","180","26600","27570"
"In post","2021","Cheshire","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Ministry of Justice","290","270","30670","30810"
"In post","2021","Cheshire","40-49","National Crime Agency","280","270","38890","36740"
"In post","2021","Cheshire","50-59","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Department for Environment, Food and Rural Affairs","80","80","38620","35900"
"In post","2021","Cheshire","50-59","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Department for Work and Pensions","370","330","26220","27570"
"In post","2021","Cheshire","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Cheshire","50-59","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Ministry of Justice","380","360","30710","31180"
"In post","2021","Cheshire","50-59","National Crime Agency","290","280","40570","39630"
"In post","2021","Cheshire","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Department for Work and Pensions","90","80","25280","27570"
"In post","2021","Cheshire","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Ministry of Justice","100","70","29410","28200"
"In post","2021","Cheshire","60-64","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Cheshire","65+","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Department for Work and Pensions","90","80","23760","21010"
"In post","2021","Cornwall and Isles of Scilly","20-29","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Department for Work and Pensions","150","140","24860","27570"
"In post","2021","Cornwall and Isles of Scilly","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Ministry of Defence","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Department for Work and Pensions","180","160","25650","27570"
"In post","2021","Cornwall and Isles of Scilly","40-49","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Ministry of Defence","90","90","27620","21950"
