"Status","Year","Function_of_post","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Hampshire and Isle of Wight","50-59","120","110","42950","40960"
"In post","2021","Analysis","Hampshire and Isle of Wight","60-64","30","30","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","20-29","210","210","38270","36160"
"In post","2021","Analysis","Inner London - East","30-39","210","210","53500","56530"
"In post","2021","Analysis","Inner London - East","40-49","150","140","57110","58720"
"In post","2021","Analysis","Inner London - East","50-59","100","100","61120","58780"
"In post","2021","Analysis","Inner London - East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","20-29","1260","1250","38790","35640"
"In post","2021","Analysis","Inner London - West","30-39","690","670","54200","54380"
"In post","2021","Analysis","Inner London - West","40-49","430","410","60170","59130"
"In post","2021","Analysis","Inner London - West","50-59","260","250","59970","58840"
"In post","2021","Analysis","Inner London - West","60-64","50","40","[c]","[c]"
"In post","2021","Analysis","Inner London - West","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","30-39","40","30","[c]","[c]"
"In post","2021","Analysis","Merseyside","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","20-29","30","30","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","30-39","40","30","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","40-49","40","30","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","20-29","50","50","34310","29850"
"In post","2021","Analysis","West Yorkshire","30-39","40","40","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","40-49","30","30","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","30-39","30","30","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","40-49","60","60","45330","37170"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","50-59","70","70","43200","41160"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","40-49","30","30","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","50-59","30","30","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","30-39","70","60","40820","39100"
"In post","2021","Commercial","Devon","40-49","70","70","45330","47960"
"In post","2021","Commercial","Devon","50-59","60","60","45480","47960"
"In post","2021","Commercial","Devon","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","50-59","30","30","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","20-29","30","30","[c]","[c]"
"In post","2021","Commercial","East Anglia","30-39","80","70","37760","34800"
"In post","2021","Commercial","East Anglia","40-49","100","90","41140","39500"
"In post","2021","Commercial","East Anglia","50-59","120","110","46690","41580"
"In post","2021","Commercial","East Anglia","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","30-39","50","40","[c]","[c]"
"In post","2021","Commercial","East Wales","40-49","60","60","42490","39610"
"In post","2021","Commercial","East Wales","50-59","50","50","36860","31550"
"In post","2021","Commercial","East Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","50-59","30","30","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","200","200","29710","27910"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","240","230","39940","39480"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","250","240","47930","42080"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","300","300","48430","41770"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","60","50","40660","40890"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","20-29","60","60","34140","31810"
"In post","2021","Commercial","Greater Manchester","30-39","70","70","39990","36780"
"In post","2021","Commercial","Greater Manchester","40-49","90","80","51190","49700"
"In post","2021","Commercial","Greater Manchester","50-59","110","100","46110","42330"
"In post","2021","Commercial","Greater Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","20-29","60","60","27780","26670"
"In post","2021","Commercial","Hampshire and Isle of Wight","30-39","70","60","35640","33300"
"In post","2021","Commercial","Hampshire and Isle of Wight","40-49","90","90","40760","34800"
"In post","2021","Commercial","Hampshire and Isle of Wight","50-59","120","120","42120","40000"
"In post","2021","Commercial","Hampshire and Isle of Wight","60-64","30","30","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","20-29","40","40","[c]","[c]"
"In post","2021","Commercial","Inner London - East","30-39","40","40","[c]","[c]"
"In post","2021","Commercial","Inner London - East","40-49","70","60","56950","54700"
"In post","2021","Commercial","Inner London - East","50-59","50","40","[c]","[c]"
"In post","2021","Commercial","Inner London - East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","20-29","210","210","42700","40600"
"In post","2021","Commercial","Inner London - West","30-39","340","330","57120","54700"
"In post","2021","Commercial","Inner London - West","40-49","390","380","69470","64500"
"In post","2021","Commercial","Inner London - West","50-59","420","420","68490","60770"
"In post","2021","Commercial","Inner London - West","60-64","70","70","63300","57120"
"In post","2021","Commercial","Inner London - West","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","20-29","40","40","[c]","[c]"
"In post","2021","Commercial","Merseyside","30-39","80","80","36170","34800"
"In post","2021","Commercial","Merseyside","40-49","90","80","47120","40650"
"In post","2021","Commercial","Merseyside","50-59","100","100","45760","40120"
"In post","2021","Commercial","Merseyside","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","40-49","40","40","[c]","[c]"
"In post","2021","Commercial","Outer London - South","50-59","40","40","[c]","[c]"
"In post","2021","Commercial","Outer London - South","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","50-59","40","40","[c]","[c]"
