"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","HM Treasury","Tax","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Digital, Data and Technology","Greater Manchester","40","40","[c]","[c]"
"New entrant CS","2021","Home Office","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Digital, Data and Technology","Outer London - South","80","80","52740","57430"
"New entrant CS","2021","Home Office","Digital, Data and Technology","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Digital, Data and Technology","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Economics","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Finance","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Finance","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Human Resources","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Intelligence Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Knowledge and Information Management","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","East Yorkshire and Northern Lincolnshire","70","70","22920","21430"
"New entrant CS","2021","Home Office","Operational Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Essex","50","50","22610","21430"
"New entrant CS","2021","Home Office","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Greater Manchester","60","60","24280","24880"
"New entrant CS","2021","Home Office","Operational Delivery","Hampshire and Isle of Wight","50","50","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Kent","160","150","24180","24880"
"New entrant CS","2021","Home Office","Operational Delivery","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Merseyside","130","120","22550","21430"
"New entrant CS","2021","Home Office","Operational Delivery","Northern Ireland","50","50","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Outer London - South","50","50","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Outer London - West and North West","100","100","28180","28650"
"New entrant CS","2021","Home Office","Operational Delivery","South Yorkshire","110","110","22510","21430"
"New entrant CS","2021","Home Office","Operational Delivery","Surrey, East and West Sussex","40","40","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","West Central Scotland","30","30","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Delivery","West Yorkshire","50","50","25480","24880"
"New entrant CS","2021","Home Office","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Research","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Operational Research","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Inner London - West","120","120","33770","28650"
"New entrant CS","2021","Home Office","Other","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Outer London - South","110","110","37590","28670"
