"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","50","50","23740","24900"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","60","60","24160","24370"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","60","50","21330","21050"
"In post","2021","AA/AO","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","No function","140","120","28650","32720"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Unknown","29320","25100","21170","21010"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Unknown","190","170","21940","22230"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Commercial","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Finance","40","40","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","No function","3860","3250","20550","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Security","60","60","25220","25390"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","No function","1040","970","24750","25630"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Security","80","80","25850","23340"
"In post","2021","AA/AO","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","No function","300","290","26240","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Project Delivery","40","40","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Property","400","380","25540","26530"
"In post","2021","AA/AO","Government Actuary's Department","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Legal","40","40","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","No function","240","210","22150","22160"
"In post","2021","AA/AO","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","No function","10430","9170","19980","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Digital, Data & Technology","60","50","21740","22350"
"In post","2021","AA/AO","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","No function","1770","1670","22490","22350"
"In post","2021","AA/AO","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Prison and Probation Service","Commercial","60","50","23120","23240"
"In post","2021","AA/AO","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Prison and Probation Service","No function","28270","26740","26340","25450"
"In post","2021","AA/AO","HM Prison and Probation Service","Security","60","60","29130","27510"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Communications","260","220","20790","20660"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Counter Fraud","840","730","21470","21440"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Debt","3410","3070","20950","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","60","60","20820","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Finance","920","730","20670","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Human Resources","290","250","20960","21330"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Legal","150","130","22110","21440"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","No function","14690","12660","20630","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Project Delivery","90","70","21780","21440"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","Unknown","8330","7380","21990","21430"
"In post","2021","AA/AO","Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","No function","630","590","21190","20880"
"In post","2021","AA/AO","Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","No function","430","400","19650","19930"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","No function","280","260","24400","26590"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Met Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","No function","70","70","24620","24660"
"In post","2021","AA/AO","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Commercial","230","220","21670","21130"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Communications","100","90","21360","21030"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Digital, Data & Technology","120","110","21390","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Finance","220","210","21540","21130"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Human Resources","760","690","21280","21130"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Project Delivery","180","170","21270","20920"
