"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","HM Courts and Tribunals Service","940","820","20780","20100"
"In post","2021","Asian","AA/AO","HM Land Registry","80","70","22900","22350"
"In post","2021","Asian","AA/AO","HM Prison and Probation Service","580","560","26760","25450"
"In post","2021","Asian","AA/AO","HM Revenue and Customs (excl. agencies)","1360","1190","21090","20140"
"In post","2021","Asian","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Home Office (incl. agencies)","1220","1070","23400","22210"
"In post","2021","Asian","AA/AO","Insolvency Service","70","60","21860","20880"
"In post","2021","Asian","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Ministry of Defence (excl. agencies)","340","320","22840","21130"
"In post","2021","Asian","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","AA/AO","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Asian","AA/AO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Office of the Public Guardian","300","270","19940","19930"
"In post","2021","Asian","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Public Health England","130","110","21910","22100"
"In post","2021","Asian","AA/AO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Valuation Office Agency","50","40","22370","21100"
"In post","2021","Asian","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Cabinet Office (excl. agencies)","80","80","27800","27500"
"In post","2021","Asian","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Crown Prosecution Service","120","110","27990","27760"
"In post","2021","Asian","EO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Defence Equipment and Support","100","100","21890","20990"
"In post","2021","Asian","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","28080","27680"
"In post","2021","Asian","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Department for Education (excl. agencies)","90","90","26790","25000"
"In post","2021","Asian","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Asian","EO","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Asian","EO","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","EO","Department for Work and Pensions (excl. agencies)","4500","4150","29000","27570"
"In post","2021","Asian","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Driver and Vehicle Standards Agency","60","60","28710","26780"
"In post","2021","Asian","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Foreign, Commonwealth and Development Office (excl. agencies)","80","70","30840","30630"
"In post","2021","Asian","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Government Legal Department","40","40","[c]","[c]"
"In post","2021","Asian","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","HM Courts and Tribunals Service","230","220","25020","25560"
"In post","2021","Asian","EO","HM Land Registry","70","60","27940","27130"
"In post","2021","Asian","EO","HM Prison and Probation Service","110","110","30340","30110"
"In post","2021","Asian","EO","HM Revenue and Customs (excl. agencies)","1020","970","27190","25560"
"In post","2021","Asian","EO","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","EO","Home Office (incl. agencies)","1880","1740","28090","28760"
"In post","2021","Asian","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Medicines and Healthcare Products Regulatory Agency","70","70","27690","27400"
"In post","2021","Asian","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Ministry of Defence (excl. agencies)","160","160","28920","29200"
"In post","2021","Asian","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","EO","Ministry of Justice (excl. agencies)","100","100","25840","26410"
"In post","2021","Asian","EO","National Crime Agency","110","110","33520","32770"
"In post","2021","Asian","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Office of the Public Guardian","90","90","22650","22570"
"In post","2021","Asian","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Public Health England","120","110","26360","26880"
"In post","2021","Asian","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Valuation Office Agency","60","60","28690","29450"
"In post","2021","Asian","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Cabinet Office (excl. agencies)","170","170","58360","56340"
"In post","2021","Asian","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Crown Prosecution Service","230","210","56350","54770"
"In post","2021","Asian","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Asian","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","140","57500","53730"
"In post","2021","Asian","G6/G7","Department for Digital, Culture, Media and Sport","50","50","58340","55800"
"In post","2021","Asian","G6/G7","Department for Education (excl. agencies)","120","120","55740","53690"
"In post","2021","Asian","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","56510","54630"
"In post","2021","Asian","G6/G7","Department for International Trade","60","60","53900","51970"
"In post","2021","Asian","G6/G7","Department for Transport (excl. agencies)","100","90","58790","54760"
"In post","2021","Asian","G6/G7","Department for Work and Pensions (excl. agencies)","100","100","57270","54070"
"In post","2021","Asian","G6/G7","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Asian","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Education and Skills Funding Agency","50","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","130","120","59300","58470"
"In post","2021","Asian","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Government Legal Department","170","150","57450","52100"
"In post","2021","Asian","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Asian","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","HM Revenue and Customs (excl. agencies)","380","370","57440","59160"
"In post","2021","Asian","G6/G7","HM Treasury (excl. agencies)","70","70","58740","57210"
"In post","2021","Asian","G6/G7","Home Office (incl. agencies)","270","270","61120","57700"
"In post","2021","Asian","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Medicines and Healthcare Products Regulatory Agency","60","50","58610","53830"
"In post","2021","Asian","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Ministry of Defence (excl. agencies)","70","70","67340","64670"
"In post","2021","Asian","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","60","60","55570","53130"
"In post","2021","Asian","G6/G7","Ministry of Justice (excl. agencies)","100","90","59130","58130"
"In post","2021","Asian","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Public Health England","110","110","57780","54290"
"In post","2021","Asian","G6/G7","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
