"Status","Year","Profession_of_post","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Statistics","30-39","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","East Wales","70","70","49950","49590"
"In post","2021","Statistics","40-49","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Statistics","40-49","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Statistics","40-49","Inner London - East","50","50","[c]","[c]"
"In post","2021","Statistics","40-49","Inner London - West","130","120","54400","54760"
"In post","2021","Statistics","40-49","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","East Wales","50","50","[c]","[c]"
"In post","2021","Statistics","50-59","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Inner London - West","90","90","55200","57820"
"In post","2021","Statistics","50-59","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","50-59","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Northumberland and Tyne and Wear","30","30","[c]","[c]"
"In post","2021","Tax","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","Derbyshire and Nottinghamshire","280","270","27890","25560"
"In post","2021","Tax","20-29","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","East Wales","440","420","25840","25560"
"In post","2021","Tax","20-29","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","Eastern Scotland","230","230","23050","20140"
"In post","2021","Tax","20-29","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","38020","31810"
"In post","2021","Tax","20-29","Greater Manchester","420","410","26230","25560"
"In post","2021","Tax","20-29","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Tax","20-29","Inner London - East","60","60","39470","36160"
"In post","2021","Tax","20-29","Inner London - West","90","90","44830","36350"
"In post","2021","Tax","20-29","Lancashire","40","30","[c]","[c]"
"In post","2021","Tax","20-29","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","Merseyside","320","310","24090","20140"
"In post","2021","Tax","20-29","Northern Ireland","110","110","23570","20140"
"In post","2021","Tax","20-29","Northumberland and Tyne and Wear","570","560","24570","25560"
"In post","2021","Tax","20-29","Outer London - South","130","130","36850","36160"
"In post","2021","Tax","20-29","Southern Scotland","60","60","24070","20140"
"In post","2021","Tax","20-29","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Tax","20-29","West Central Scotland","100","100","28090","25560"
"In post","2021","Tax","20-29","West Midlands","260","250","28950","25560"
"In post","2021","Tax","20-29","West Yorkshire","490","480","26370","25560"
"In post","2021","Tax","30-39","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Derbyshire and Nottinghamshire","310","300","31170","31810"
"In post","2021","Tax","30-39","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","East Wales","530","510","30180","25560"
"In post","2021","Tax","30-39","Eastern Scotland","280","270","30870","31810"
"In post","2021","Tax","30-39","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","140","140","38870","31810"
"In post","2021","Tax","30-39","Greater Manchester","440","430","33390","31810"
"In post","2021","Tax","30-39","Hampshire and Isle of Wight","60","50","29220","27230"
"In post","2021","Tax","30-39","Inner London - East","100","100","42790","36160"
"In post","2021","Tax","30-39","Inner London - West","120","120","52590","59160"
"In post","2021","Tax","30-39","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Merseyside","370","350","32010","31810"
"In post","2021","Tax","30-39","Northern Ireland","180","170","32070","31810"
"In post","2021","Tax","30-39","Northumberland and Tyne and Wear","590","580","29820","25560"
"In post","2021","Tax","30-39","Outer London - South","150","150","40810","36160"
"In post","2021","Tax","30-39","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Southern Scotland","110","110","29830","31810"
"In post","2021","Tax","30-39","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","West Central Scotland","150","140","33390","31810"
"In post","2021","Tax","30-39","West Midlands","350","330","33320","31810"
"In post","2021","Tax","30-39","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Tax","30-39","West Yorkshire","400","380","30750","31810"
"In post","2021","Tax","40-49","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Derbyshire and Nottinghamshire","260","240","35990","31810"
"In post","2021","Tax","40-49","East Anglia","40","40","[c]","[c]"
"In post","2021","Tax","40-49","East Wales","300","280","32480","31810"
"In post","2021","Tax","40-49","Eastern Scotland","190","180","28600","25560"
"In post","2021","Tax","40-49","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","130","120","39790","31940"
"In post","2021","Tax","40-49","Greater Manchester","310","310","35330","31810"
"In post","2021","Tax","40-49","Hampshire and Isle of Wight","70","60","32220","31810"
"In post","2021","Tax","40-49","Inner London - East","130","120","38660","36160"
"In post","2021","Tax","40-49","Inner London - West","110","100","46070","36920"
"In post","2021","Tax","40-49","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Lancashire","40","30","[c]","[c]"
"In post","2021","Tax","40-49","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Merseyside","290","280","32490","31810"
"In post","2021","Tax","40-49","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Northern Ireland","140","130","35660","31810"
"In post","2021","Tax","40-49","Northumberland and Tyne and Wear","420","400","31570","29970"
"In post","2021","Tax","40-49","Outer London - South","140","140","41880","36160"
"In post","2021","Tax","40-49","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Southern Scotland","70","70","31960","31810"
"In post","2021","Tax","40-49","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","West Central Scotland","120","120","35190","31810"
"In post","2021","Tax","40-49","West Midlands","240","230","35310","31810"
"In post","2021","Tax","40-49","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Tax","40-49","West Yorkshire","260","250","34460","31810"
"In post","2021","Tax","50-59","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","Berkshire, Buckinghamshire and Oxfordshire","110","110","37240","35000"
"In post","2021","Tax","50-59","Derbyshire and Nottinghamshire","330","320","36540","31870"
"In post","2021","Tax","50-59","East Anglia","70","70","36440","31990"
"In post","2021","Tax","50-59","East Wales","280","270","33260","31810"
"In post","2021","Tax","50-59","Eastern Scotland","240","230","33650","31810"
"In post","2021","Tax","50-59","Essex","50","50","31960","31810"
"In post","2021","Tax","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","170","160","40880","38630"
"In post","2021","Tax","50-59","Greater Manchester","370","360","37300","31870"
"In post","2021","Tax","50-59","Hampshire and Isle of Wight","150","140","33300","31810"
"In post","2021","Tax","50-59","Inner London - East","380","370","40680","37840"
"In post","2021","Tax","50-59","Inner London - West","220","220","48090","41760"
"In post","2021","Tax","50-59","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","Lancashire","40","40","[c]","[c]"
"In post","2021","Tax","50-59","Leicestershire, Rutland and Northamptonshire","30","30","[c]","[c]"
"In post","2021","Tax","50-59","Merseyside","320","300","35370","31810"
"In post","2021","Tax","50-59","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","Northern Ireland","160","160","36450","32030"
"In post","2021","Tax","50-59","Northumberland and Tyne and Wear","370","350","31900","28130"
"In post","2021","Tax","50-59","Outer London - South","300","290","43160","39800"
"In post","2021","Tax","50-59","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Tax","50-59","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","Southern Scotland","110","100","32430","31810"
"In post","2021","Tax","50-59","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","Tees Valley and Durham","30","30","[c]","[c]"
"In post","2021","Tax","50-59","West Central Scotland","170","160","38670","33760"
"In post","2021","Tax","50-59","West Midlands","300","280","37950","33930"
"In post","2021","Tax","50-59","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Tax","50-59","West Yorkshire","300","290","36630","31810"
"In post","2021","Tax","60-64","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Derbyshire and Nottinghamshire","70","50","35710","31810"
"In post","2021","Tax","60-64","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","East Wales","60","50","32750","31810"
"In post","2021","Tax","60-64","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Eastern Scotland","80","60","33340","31810"
"In post","2021","Tax","60-64","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","40","20","[c]","[c]"
"In post","2021","Tax","60-64","Greater Manchester","100","70","37060","32030"
"In post","2021","Tax","60-64","Hampshire and Isle of Wight","50","40","[c]","[c]"
"In post","2021","Tax","60-64","Inner London - East","90","70","42930","39800"
"In post","2021","Tax","60-64","Inner London - West","70","50","54040","45960"
"In post","2021","Tax","60-64","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Merseyside","100","80","31930","28130"
"In post","2021","Tax","60-64","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Tax","60-64","Northumberland and Tyne and Wear","70","50","31860","28130"
"In post","2021","Tax","60-64","Outer London - South","100","80","43010","39800"
"In post","2021","Tax","60-64","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Southern Scotland","40","30","[c]","[c]"
"In post","2021","Tax","60-64","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","West Central Scotland","70","50","37370","33140"
"In post","2021","Tax","60-64","West Midlands","80","70","38180","35000"
"In post","2021","Tax","60-64","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Tax","60-64","West Yorkshire","60","50","38790","35000"
"In post","2021","Tax","65+","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Inner London - East","40","30","[c]","[c]"
"In post","2021","Tax","65+","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Tax","65+","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Eastern Scotland","50","50","21270","21150"
"In post","2021","Unknown","16-19","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Unknown","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Bedfordshire and Hertfordshire","150","150","27880","27570"
"In post","2021","Unknown","20-29","Berkshire, Buckinghamshire and Oxfordshire","170","170","26700","27570"
"In post","2021","Unknown","20-29","Cheshire","130","130","25520","27570"
"In post","2021","Unknown","20-29","Cornwall and Isles of Scilly","90","80","23760","21010"
"In post","2021","Unknown","20-29","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Derbyshire and Nottinghamshire","300","300","26940","27570"
"In post","2021","Unknown","20-29","Devon","160","150","24490","21010"
"In post","2021","Unknown","20-29","Dorset and Somerset","80","80","25200","27570"
"In post","2021","Unknown","20-29","East Anglia","150","150","26480","27570"
"In post","2021","Unknown","20-29","East Wales","480","470","25120","27570"
"In post","2021","Unknown","20-29","East Yorkshire and Northern Lincolnshire","100","90","24610","27570"
"In post","2021","Unknown","20-29","Eastern Scotland","1640","1610","28140","27150"
"In post","2021","Unknown","20-29","Essex","220","210","27980","29290"
"In post","2021","Unknown","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","380","370","27090","27570"
"In post","2021","Unknown","20-29","Greater Manchester","880","870","26940","27570"
"In post","2021","Unknown","20-29","Hampshire and Isle of Wight","170","170","26300","27570"
"In post","2021","Unknown","20-29","Herefordshire, Worcestershire and Warwickshire","100","100","24380","26350"
"In post","2021","Unknown","20-29","Highlands and Islands","120","120","24520","22920"
"In post","2021","Unknown","20-29","Inner London - East","870","860","33400","31060"
"In post","2021","Unknown","20-29","Inner London - West","3000","2990","35890","32000"
"In post","2021","Unknown","20-29","Kent","210","200","27250","29290"
"In post","2021","Unknown","20-29","Lancashire","880","860","24130","21010"
"In post","2021","Unknown","20-29","Leicestershire, Rutland and Northamptonshire","220","210","24500","27570"
"In post","2021","Unknown","20-29","Lincolnshire","40","40","[c]","[c]"
"In post","2021","Unknown","20-29","Merseyside","430","420","25350","27570"
"In post","2021","Unknown","20-29","North Eastern Scotland","100","100","28020","27570"
"In post","2021","Unknown","20-29","North Yorkshire","140","140","25190","26670"
"In post","2021","Unknown","20-29","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Unknown","20-29","Northumberland and Tyne and Wear","1140","1120","24970","21010"
"In post","2021","Unknown","20-29","Outer London - East and North East","350","350","30020","31060"
"In post","2021","Unknown","20-29","Outer London - South","230","220","30780","31060"
"In post","2021","Unknown","20-29","Outer London - West and North West","310","310","30420","31060"
"In post","2021","Unknown","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Shropshire and Staffordshire","170","170","27080","27570"
"In post","2021","Unknown","20-29","South Yorkshire","320","310","27130","27570"
"In post","2021","Unknown","20-29","Southern Scotland","170","160","25280","26160"
"In post","2021","Unknown","20-29","Surrey, East and West Sussex","330","320","25970","27570"
"In post","2021","Unknown","20-29","Tees Valley and Durham","260","260","23700","21010"
"In post","2021","Unknown","20-29","Unknown","490","490","30660","29250"
"In post","2021","Unknown","20-29","West Central Scotland","850","840","26670","26160"
"In post","2021","Unknown","20-29","West Midlands","580","570","25840","27570"
"In post","2021","Unknown","20-29","West Wales and The Valleys","340","330","24240","21010"
"In post","2021","Unknown","20-29","West Yorkshire","870","860","26490","27570"
"In post","2021","Unknown","30-39","Bedfordshire and Hertfordshire","180","170","29550","29290"
"In post","2021","Unknown","30-39","Berkshire, Buckinghamshire and Oxfordshire","190","180","29160","27570"
"In post","2021","Unknown","30-39","Cheshire","160","150","25570","27570"
