"Status","Year","Region_ITL1","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Operational Delivery","110","110","27140","25830"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Communications","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Digital, Data and Technology","70","70","38930","38650"
"In post","2021","East Midlands (England)","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Operational Delivery","310","290","28560","26780"
"In post","2021","East Midlands (England)","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Science and Engineering","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Operational Delivery","130","110","40740","31660"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Science and Engineering","220","200","43090","40020"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Unknown","4490","3970","25910","27570"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Operational Delivery","80","80","33520","28590"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Science and Engineering","70","60","45820","39010"
"In post","2021","East Midlands (England)","Food Standards Agency","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Human Resources","70","60","36150","33840"
"In post","2021","East Midlands (England)","HM Land Registry","Legal","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Operational Delivery","690","630","28260","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Finance","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Human Resources","180","170","39370","35000"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Legal","190","180","31100","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Operational Delivery","1400","1260","27300","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Project Delivery","100","90","45020","38640"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Property","210","200","39070","38630"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Tax","1380","1310","32930","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Unknown","320","310","31930","31810"
"In post","2021","East Midlands (England)","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Operational Delivery","170","160","27270","25410"
"In post","2021","East Midlands (England)","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Finance","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Medicine","180","160","41560","37890"
"In post","2021","East Midlands (England)","Ministry of Defence","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Other","750","720","23330","20920"
"In post","2021","East Midlands (England)","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Project Delivery","150","150","33540","33300"
"In post","2021","East Midlands (England)","Ministry of Defence","Property","170","160","24500","18800"
"In post","2021","East Midlands (England)","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Science and Engineering","180","170","33410","33000"
"In post","2021","East Midlands (England)","Ministry of Defence","Security","120","120","27370","24070"
"In post","2021","East Midlands (England)","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Commercial","60","60","44680","43640"
"In post","2021","East Midlands (England)","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Finance","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Human Resources","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Legal","70","60","41550","43160"
"In post","2021","East Midlands (England)","Ministry of Justice","Operational Delivery","6560","6090","26370","24000"
"In post","2021","East Midlands (England)","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Project Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Psychology","180","170","34580","30450"
"In post","2021","East Midlands (England)","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Operational Delivery","110","110","37760","36410"
"In post","2021","East Midlands (England)","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Inspector of Education and Training","70","70","64380","64500"
"In post","2021","East Midlands (England)","Office for Standards in Education","Operational Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Other","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Legal","240","210","53510","54770"
"In post","2021","East of England","Attorney General's Departments","Operational Delivery","230","210","27200","25820"
"In post","2021","East of England","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Unknown","120","110","46980","38500"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Operational Delivery","150","140","29890","26410"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Operational Delivery","50","40","[c]","[c]"
"In post","2021","East of England","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Finance","40","40","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Operational Delivery","220","210","29800","28030"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Property","40","40","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Science and Engineering","360","340","34200","30220"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Operational Delivery","360","340","29620","26780"
"In post","2021","East of England","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Operational Delivery","130","120","44120","44820"
"In post","2021","East of England","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Unknown","4570","4090","28120","27570"
"In post","2021","East of England","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Knowledge and Information Management","60","50","38020","34720"
"In post","2021","East of England","Department of Health and Social Care","Medicine","30","30","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Operational Delivery","270","250","38940","33100"
"In post","2021","East of England","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Science and Engineering","290","270","43980","41010"
"In post","2021","East of England","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Operational Delivery","60","60","27660","26750"
"In post","2021","East of England","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Operational Delivery","240","220","29040","27130"
"In post","2021","East of England","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Digital, Data and Technology","260","240","37690","35000"
"In post","2021","East of England","HM Revenue and Customs","Finance","130","110","32960","31810"
"In post","2021","East of England","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Legal","330","300","26890","25560"
"In post","2021","East of England","HM Revenue and Customs","Operational Delivery","490","440","26630","25560"
"In post","2021","East of England","HM Revenue and Customs","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Policy","60","60","40940","38630"
"In post","2021","East of England","HM Revenue and Customs","Project Delivery","90","80","41480","38630"
"In post","2021","East of England","HM Revenue and Customs","Property","120","110","34240","31100"
"In post","2021","East of England","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Tax","270","240","34210","31810"
"In post","2021","East of England","HM Revenue and Customs","Unknown","40","30","[c]","[c]"
"In post","2021","East of England","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Intelligence Analysis","80","70","27840","27370"
"In post","2021","East of England","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Operational Delivery","1760","1590","25950","25190"
"In post","2021","East of England","Home Office","Other","50","30","28260","26430"
"In post","2021","East of England","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Project Delivery","40","40","[c]","[c]"
"In post","2021","East of England","Home Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Commercial","70","70","35910","34610"
"In post","2021","East of England","Ministry of Defence","Communications","40","40","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Digital, Data and Technology","90","90","31790","32670"
"In post","2021","East of England","Ministry of Defence","Finance","150","140","36910","33000"
"In post","2021","East of England","Ministry of Defence","Human Resources","60","60","33990","33300"
"In post","2021","East of England","Ministry of Defence","Intelligence Analysis","280","280","33560","33300"
"In post","2021","East of England","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Knowledge and Information Management","90","90","34170","33150"
"In post","2021","East of England","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Medicine","140","120","45210","37890"
"In post","2021","East of England","Ministry of Defence","Operational Delivery","70","70","25250","22080"
"In post","2021","East of England","Ministry of Defence","Other","1090","1050","24090","21130"
"In post","2021","East of England","Ministry of Defence","Policy","60","50","46120","45200"
"In post","2021","East of England","Ministry of Defence","Project Delivery","430","420","38950","37640"
"In post","2021","East of England","Ministry of Defence","Property","330","320","31780","33300"
"In post","2021","East of England","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Science and Engineering","250","240","31700","30500"
"In post","2021","East of England","Ministry of Defence","Security","490","480","32990","28750"
