"Status","Year","Region_ITL1","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Department for Education (excl. agencies)","180","180","56650","62870"
"In post","2021","London","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","FCDO Services","70","70","46680","45040"
"In post","2021","London","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","56160","57370"
"In post","2021","London","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","London","Property","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Ministry of Defence (excl. agencies)","80","80","35190","31870"
"In post","2021","London","Property","Ministry of Justice (excl. agencies)","70","70","45760","37280"
"In post","2021","London","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Valuation Office Agency","470","440","38590","35360"
"In post","2021","London","Psychology","HM Prison and Probation Service","60","60","41370","35950"
"In post","2021","London","Psychology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","47460","41670"
"In post","2021","London","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Department for Transport (excl. agencies)","60","60","49510","45130"
"In post","2021","London","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Food Standards Agency","70","60","42310","40960"
"In post","2021","London","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Home Office (incl. agencies)","70","70","52500","43140"
"In post","2021","London","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","140","130","49780","41320"
"In post","2021","London","Science and Engineering","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Ministry of Defence (excl. agencies)","120","120","47960","42120"
"In post","2021","London","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Public Health England","760","700","44120","40470"
"In post","2021","London","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Department for International Trade","30","30","[c]","[c]"
"In post","2021","London","Security","Department for Transport (excl. agencies)","170","170","44960","43360"
"In post","2021","London","Security","FCDO Services","40","40","[c]","[c]"
"In post","2021","London","Security","Foreign, Commonwealth and Development Office (excl. agencies)","90","90","44720","40380"
"In post","2021","London","Security","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","HM Prison and Probation Service","190","190","46360","43240"
"In post","2021","London","Security","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","London","Security","Home Office (incl. agencies)","250","240","32560","28900"
"In post","2021","London","Security","Ministry of Defence (excl. agencies)","320","320","32540","29370"
"In post","2021","London","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","National Crime Agency","30","30","[c]","[c]"
"In post","2021","London","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","London","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","HM Revenue and Customs (excl. agencies)","50","40","[c]","[c]"
"In post","2021","London","Social Research","Home Office (incl. agencies)","100","100","48630","43990"
"In post","2021","London","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Ministry of Justice (excl. agencies)","60","50","50400","53780"
"In post","2021","London","Social Research","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","United Kingdom Statistics Authority","70","70","36600","32540"
"In post","2021","London","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","30","[c]","[c]"
"In post","2021","London","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Department for International Trade","50","50","42900","39590"
"In post","2021","London","Statistics","Department for Transport (excl. agencies)","110","110","45560","42890"
"In post","2021","London","Statistics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","HM Revenue and Customs (excl. agencies)","140","140","47760","41760"
"In post","2021","London","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Home Office (incl. agencies)","90","90","41500","36960"
"In post","2021","London","Statistics","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Ministry of Defence (excl. agencies)","60","50","44000","41070"
"In post","2021","London","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","49010","53130"
"In post","2021","London","Statistics","Ministry of Justice (excl. agencies)","90","90","47650","41950"
"In post","2021","London","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","London","Statistics","United Kingdom Statistics Authority","90","90","45360","35780"
"In post","2021","London","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Tax","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Tax","HM Revenue and Customs (excl. agencies)","2240","2120","42680","36590"
"In post","2021","London","Tax","HM Treasury (excl. agencies)","60","50","60940","59330"
"In post","2021","London","Unknown","Cabinet Office (excl. agencies)","6410","6320","49820","42270"
"In post","2021","London","Unknown","Charity Commission","30","30","[c]","[c]"
"In post","2021","London","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Department for Transport (excl. agencies)","200","190","53240","45200"
"In post","2021","London","Unknown","Department for Work and Pensions (excl. agencies)","10030","9390","33600","31060"
"In post","2021","London","Unknown","Department of Health and Social Care (excl. agencies)","50","50","53450","53360"
"In post","2021","London","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","260","260","52670","50430"
"In post","2021","London","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","HM Revenue and Customs (excl. agencies)","780","770","50040","41760"
"In post","2021","London","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","London","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Medicines and Healthcare Products Regulatory Agency","130","130","38770","32640"
"In post","2021","London","Unknown","Ministry of Defence (excl. agencies)","100","100","36800","36070"
"In post","2021","London","Unknown","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","London","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Veterinarian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","North East (England)","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","North East (England)","Commercial","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","North East (England)","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Department for Education (excl. agencies)","100","100","38820","37100"
"In post","2021","North East (England)","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","450","430","40460","38630"
"In post","2021","North East (England)","Digital, Data and Technology","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Economics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Department for Education (excl. agencies)","50","50","40500","36960"
"In post","2021","North East (England)","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Education and Skills Funding Agency","60","60","35960","36500"
"In post","2021","North East (England)","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","HM Revenue and Customs (excl. agencies)","190","180","39790","38630"
"In post","2021","North East (England)","Finance","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","International Trade","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Knowledge and Information Management","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Knowledge and Information Management","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Knowledge and Information Management","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Knowledge and Information Management","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","Crown Prosecution Service","150","150","51930","54200"
"In post","2021","North East (England)","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","HM Courts and Tribunals Service","80","70","39310","40760"
"In post","2021","North East (England)","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","HM Revenue and Customs (excl. agencies)","160","150","29270","25560"
"In post","2021","North East (England)","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Medicine","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Medicine","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Advisory, Conciliation and Arbitration Service","130","120","29540","30950"
"In post","2021","North East (England)","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Crown Prosecution Service","170","150","25580","23470"
"In post","2021","North East (England)","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Department for Education (excl. agencies)","80","70","39980","36780"
"In post","2021","North East (England)","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Driver and Vehicle Standards Agency","270","240","26110","26470"
"In post","2021","North East (England)","Operational Delivery","Education and Skills Funding Agency","70","60","39340","36780"
"In post","2021","North East (England)","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Health and Safety Executive","70","70","42270","43830"
"In post","2021","North East (England)","Operational Delivery","HM Courts and Tribunals Service","590","510","21290","19830"
"In post","2021","North East (England)","Operational Delivery","HM Land Registry","660","600","27280","27130"
"In post","2021","North East (England)","Operational Delivery","HM Prison and Probation Service","3180","2960","28730","27380"
"In post","2021","North East (England)","Operational Delivery","HM Revenue and Customs (excl. agencies)","6210","5200","23750","21440"
"In post","2021","North East (England)","Operational Delivery","Home Office (incl. agencies)","1140","990","24480","21430"
"In post","2021","North East (England)","Operational Delivery","Insolvency Service","40","40","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Legal Aid Agency","240","220","22450","21170"
"In post","2021","North East (England)","Operational Delivery","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","National Crime Agency","100","100","35520","36410"
"In post","2021","North East (England)","Operational Delivery","Public Health England","80","80","39500","36690"
"In post","2021","North East (England)","Operational Delivery","Rural Payments Agency","270","250","25770","24920"
"In post","2021","North East (England)","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Delivery","Valuation Office Agency","290","280","24410","21100"
"In post","2021","North East (England)","Operational Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Research","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Operational Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other","HM Revenue and Customs (excl. agencies)","50","50","[c]","[c]"
"In post","2021","North East (England)","Other","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","North East (England)","Other","Ministry of Defence (excl. agencies)","110","110","22150","21090"
"In post","2021","North East (England)","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Department for Education (excl. agencies)","180","170","38050","36500"
"In post","2021","North East (England)","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","60","50","40770","36850"
"In post","2021","North East (England)","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","HM Revenue and Customs (excl. agencies)","60","50","44380","39370"
"In post","2021","North East (England)","Policy","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Policy","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
