"Status","Year","Ethnicity","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Greater Manchester South West","40","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Hackney and Newham","90","80","30300","31060"
"In post","2021","Asian","Declared disabled","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Harrow and Hillingdon","130","110","30570","29970"
"In post","2021","Asian","Declared disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Hertfordshire","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Hounslow and Richmond upon Thames","60","50","30520","29080"
"In post","2021","Asian","Declared disabled","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Leeds","80","70","30550","27570"
"In post","2021","Asian","Declared disabled","Leicester","100","90","23650","21440"
"In post","2021","Asian","Declared disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Manchester","60","60","29280","27570"
"In post","2021","Asian","Declared disabled","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Mid Lancashire","60","60","24510","21010"
"In post","2021","Asian","Declared disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Nottingham","50","50","32190","31810"
"In post","2021","Asian","Declared disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Redbridge and Waltham Forest","50","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Tower Hamlets","80","80","41770","36690"
"In post","2021","Asian","Declared disabled","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Westminster","480","460","41580","36650"
"In post","2021","Asian","Declared disabled","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wolverhampton","40","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","York","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Barking & Dagenham and Havering","120","110","30800","31060"
"In post","2021","Asian","Declared non-disabled","Barnet","290","270","35510","31880"
"In post","2021","Asian","Declared non-disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","300","290","35440","33000"
"In post","2021","Asian","Declared non-disabled","Bedford","60","60","27110","27570"
"In post","2021","Asian","Declared non-disabled","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Berkshire","220","200","30350","29290"
"In post","2021","Asian","Declared non-disabled","Bexley and Greenwich","80","80","30300","31060"
"In post","2021","Asian","Declared non-disabled","Birmingham","1900","1770","26670","24890"
"In post","2021","Asian","Declared non-disabled","Blackburn with Darwen","100","80","24990","27570"
"In post","2021","Asian","Declared non-disabled","Blackpool","70","70","30070","27570"
"In post","2021","Asian","Declared non-disabled","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Bradford","550","490","25120","21440"
"In post","2021","Asian","Declared non-disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Brent","120","110","29980","31060"
"In post","2021","Asian","Declared non-disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Bristol, City of","120","110","34230","29180"
"In post","2021","Asian","Declared non-disabled","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Buckinghamshire CC","70","70","30140","27570"
"In post","2021","Asian","Declared non-disabled","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Calderdale and Kirklees","120","100","26440","27570"
"In post","2021","Asian","Declared non-disabled","Cambridgeshire CC","60","60","34170","29210"
"In post","2021","Asian","Declared non-disabled","Camden and City of London","430","410","32360","29570"
"In post","2021","Asian","Declared non-disabled","Cardiff and Vale of Glamorgan","200","190","29440","25560"
"In post","2021","Asian","Declared non-disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Central Hampshire","50","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","City of Edinburgh","80","80","34010","30370"
"In post","2021","Asian","Declared non-disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Coventry","340","320","33520","29730"
"In post","2021","Asian","Declared non-disabled","Croydon","1330","1250","34380","29570"
"In post","2021","Asian","Declared non-disabled","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Derby","90","70","26030","27570"
"In post","2021","Asian","Declared non-disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Dudley","80","70","24070","21010"
"In post","2021","Asian","Declared non-disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Durham CC","50","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Ealing","140","130","31370","31060"
"In post","2021","Asian","Declared non-disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Kent","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Lancashire","60","50","24860","27570"
"In post","2021","Asian","Declared non-disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Enfield","60","50","30160","31060"
"In post","2021","Asian","Declared non-disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Essex Thames Gateway","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Glasgow City","160","150","28140","24970"
"In post","2021","Asian","Declared non-disabled","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Greater Manchester North East","90","90","26780","27570"
"In post","2021","Asian","Declared non-disabled","Greater Manchester North West","60","50","24220","21010"
"In post","2021","Asian","Declared non-disabled","Greater Manchester South East","70","60","24480","21130"
"In post","2021","Asian","Declared non-disabled","Greater Manchester South West","360","340","28410","25560"
"In post","2021","Asian","Declared non-disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Hackney and Newham","530","470","31320","31060"
"In post","2021","Asian","Declared non-disabled","Haringey and Islington","120","110","28730","31060"
"In post","2021","Asian","Declared non-disabled","Harrow and Hillingdon","1060","970","29800","29080"
"In post","2021","Asian","Declared non-disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Hertfordshire","250","230","33040","29290"
"In post","2021","Asian","Declared non-disabled","Hounslow and Richmond upon Thames","550","510","29740","29080"
"In post","2021","Asian","Declared non-disabled","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","100","90","32930","31060"
"In post","2021","Asian","Declared non-disabled","Kent Thames Gateway","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Lambeth","250","230","41690","34640"
"In post","2021","Asian","Declared non-disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Leeds","740","700","29430","27570"
"In post","2021","Asian","Declared non-disabled","Leicester","620","550","24900","21440"
"In post","2021","Asian","Declared non-disabled","Leicestershire CC and Rutland","110","90","25910","24920"
"In post","2021","Asian","Declared non-disabled","Lewisham and Southwark","120","120","31900","30850"
"In post","2021","Asian","Declared non-disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Liverpool","70","60","32820","24890"
"In post","2021","Asian","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Luton","100","80","25530","25310"
"In post","2021","Asian","Declared non-disabled","Manchester","490","470","30480","27570"
"In post","2021","Asian","Declared non-disabled","Medway","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Merton, Kingston upon Thames and Sutton","60","60","29840","31060"
"In post","2021","Asian","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Mid Lancashire","530","470","23530","21010"
"In post","2021","Asian","Declared non-disabled","Milton Keynes","110","100","30180","27150"
"In post","2021","Asian","Declared non-disabled","Monmouthshire and Newport","60","50","34070","30130"
"In post","2021","Asian","Declared non-disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North Hampshire","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Nottingham","380","350","30430","27570"
"In post","2021","Asian","Declared non-disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Overseas","130","130","45880","39980"
"In post","2021","Asian","Declared non-disabled","Oxfordshire","60","60","33320","27570"
"In post","2021","Asian","Declared non-disabled","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Peterborough","200","160","23540","21430"
"In post","2021","Asian","Declared non-disabled","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Portsmouth","50","50","28580","26670"
"In post","2021","Asian","Declared non-disabled","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Redbridge and Waltham Forest","320","290","28980","31060"
"In post","2021","Asian","Declared non-disabled","Sandwell","80","70","26350","27570"
"In post","2021","Asian","Declared non-disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Sefton","50","40","[c]","[c]"
