"Status","Year","Organisation","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","The National Archives","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Other","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Other","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Transport Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Transport Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Transport Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Legal","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Legal","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Operational Delivery","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Operational Delivery","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Operational Delivery","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Operational Delivery","EO","80","80","23360","23320"
"New entrant CS","2021","UK Intellectual Property Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Policy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Policy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Policy","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data and Technology","EO","40","40","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data and Technology","G6/G7","30","30","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data and Technology","SEO/HEO","60","60","34500","36030"
"New entrant CS","2021","United Kingdom Statistics Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Economics","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Economics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Delivery","AA/AO","120","100","19460","19130"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Delivery","EO","90","90","23780","23050"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Delivery","SEO/HEO","200","200","32910","32540"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Policy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Social Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Social Research","SEO/HEO","140","140","32590","32540"
"New entrant CS","2021","United Kingdom Statistics Authority","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Statistics","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Statistics","SEO/HEO","110","100","32830","32540"
"New entrant CS","2021","Valuation Office Agency","Operational Delivery","AA/AO","130","130","20960","20880"
"New entrant CS","2021","Valuation Office Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
