"Status","Year","Organisation","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","SEO/HEO","90","80","36820","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","EO","150","140","24450","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","SEO/HEO","90","80","34270","30950"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","AA/AO","590","550","21820","21050"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","EO","530","500","26620","25730"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","G6/G7","150","140","54380","53870"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","SEO/HEO","610","580","35810","35900"
"In post","2021","Animal and Plant Health Agency","LGBO","AA/AO","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","EO","50","50","26360","25190"
"In post","2021","Animal and Plant Health Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","AA/AO","70","70","21500","21050"
"In post","2021","Animal and Plant Health Agency","Undeclared","EO","90","90","26460","25660"
"In post","2021","Animal and Plant Health Agency","Undeclared","G6/G7","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","SEO/HEO","140","130","37260","36970"
"In post","2021","Animal and Plant Health Agency","Unknown","AA/AO","110","100","22440","21050"
"In post","2021","Animal and Plant Health Agency","Unknown","EO","100","90","26420","26270"
"In post","2021","Animal and Plant Health Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","SEO/HEO","100","100","36890","36610"
"In post","2021","Attorney General's Office","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","AA/AO","320","290","21880","20920"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","EO","570","550","27130","27500"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","G6/G7","1640","1610","58780","56340"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","SCS","400","400","96830","87750"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","SEO/HEO","1480","1450","36340","35590"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","EO","60","60","26950","27500"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","G6/G7","170","160","58020","56340"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","SEO/HEO","160","160","36180","34640"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","EO","60","60","27560","27500"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","G6/G7","190","190","58830","56680"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","SCS","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","SEO/HEO","170","170","36590","35040"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","170","170","21450","20920"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","190","180","27410","27500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","1030","1010","61310","56340"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS","500","490","88640","73450"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","2210","2200","31450","29250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","EO","50","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","G6/G7","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","SEO/HEO","110","110","32940","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","EO","60","60","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","G6/G7","70","60","52640","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","SEO/HEO","180","170","32770","30220"
"In post","2021","Charity Commission","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","EO","60","50","24590","24440"
"In post","2021","Charity Commission","Heterosexual / straight","G6/G7","30","30","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","SEO/HEO","130","120","32710","29300"
"In post","2021","Charity Commission","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","EO","40","40","[c]","[c]"
"In post","2021","Charity Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","100","90","33600","31500"
"In post","2021","Companies House","Heterosexual / straight","AA/AO","240","210","21770","22490"
"In post","2021","Companies House","Heterosexual / straight","EO","190","170","27670","27460"
"In post","2021","Companies House","Heterosexual / straight","G6/G7","50","50","57540","56390"
"In post","2021","Companies House","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","SEO/HEO","230","220","38540","38000"
"In post","2021","Companies House","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Companies House","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","AA/AO","140","120","21660","22490"
"In post","2021","Companies House","Unknown","EO","70","60","27910","27460"
"In post","2021","Companies House","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","EO","60","60","28520","28160"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","G6/G7","350","330","65870","62890"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","SCS","90","90","107200","99920"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","SEO/HEO","160","160","38010","34870"
"In post","2021","Competition and Markets Authority","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","G6/G7","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","AA/AO","70","60","20200","19930"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","EO","50","50","23200","22570"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","SEO/HEO","60","50","29520","27980"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","EO","80","70","23810","22640"
"In post","2021","Crown Commercial Service","Heterosexual / straight","G6/G7","150","140","52870","50060"
"In post","2021","Crown Commercial Service","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","SEO/HEO","300","290","33610","34800"
"In post","2021","Crown Commercial Service","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","G6/G7","40","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","SEO/HEO","100","90","31590","30180"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","AA/AO","620","550","21930","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","EO","290","280","27330","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","G6/G7","170","160","66260","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","SEO/HEO","640","600","41270","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","AA/AO","1020","940","22320","21950"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","EO","940","880","27780","28430"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","G6/G7","1970","1840","56950","55610"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","SCS","70","70","95840","89220"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","SEO/HEO","770","740","36130","36240"
"In post","2021","Crown Prosecution Service","LGBO","AA/AO","60","60","22080","21950"
"In post","2021","Crown Prosecution Service","LGBO","EO","60","60","28050","27440"
"In post","2021","Crown Prosecution Service","LGBO","G6/G7","100","90","60690","58040"
"In post","2021","Crown Prosecution Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","AA/AO","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","EO","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","G6/G7","90","80","56700","55000"
"In post","2021","Crown Prosecution Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","AA/AO","320","280","22050","21950"
"In post","2021","Crown Prosecution Service","Unknown","EO","320","290","28460","28430"
"In post","2021","Crown Prosecution Service","Unknown","G6/G7","710","640","59230","55610"
"In post","2021","Crown Prosecution Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","SEO/HEO","150","140","36100","34480"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","G6/G7","60","60","71740","67260"
"In post","2021","Debt Management Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","AA/AO","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","EO","70","70","27330","27460"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","AA/AO","50","50","21140","21000"
"In post","2021","Defence Electronics and Components Agency","Undeclared","EO","190","180","28310","28750"
"In post","2021","Defence Electronics and Components Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","EO","2050","1960","22300","21380"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","G6/G7","1330","1300","56820","55140"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","SCS","100","100","103120","94470"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","SEO/HEO","4980","4820","35530","34900"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","LGBO","EO","90","90","22180","20450"
"In post","2021","Defence Equipment and Support","LGBO","G6/G7","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","LGBO","SEO/HEO","150","150","33050","32260"
"In post","2021","Defence Equipment and Support","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Undeclared","EO","210","200","22590","21830"
"In post","2021","Defence Equipment and Support","Undeclared","G6/G7","220","220","57370","55910"
"In post","2021","Defence Equipment and Support","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Undeclared","SEO/HEO","810","770","36850","37400"
"In post","2021","Defence Equipment and Support","Unknown","EO","260","250","21580","20450"
"In post","2021","Defence Equipment and Support","Unknown","G6/G7","70","70","57000","54450"
