"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Food Standards Agency","EO","90","80","27140","26750"
"In post","2021","Female","Food Standards Agency","G6/G7","110","100","56420","55300"
"In post","2021","Female","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","SEO/HEO","320","310","36010","37350"
"In post","2021","Female","Foreign, Commonwealth and Development Office","AA/AO","330","310","25350","24750"
"In post","2021","Female","Foreign, Commonwealth and Development Office","EO","560","530","29480","29300"
"In post","2021","Female","Foreign, Commonwealth and Development Office","G6/G7","1570","1510","58990","58030"
"In post","2021","Female","Foreign, Commonwealth and Development Office","SCS","240","230","85030","78010"
"In post","2021","Female","Foreign, Commonwealth and Development Office","SEO/HEO","1520","1480","37650","37560"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","AA/AO","1140","1060","22470","22350"
"In post","2021","Female","HM Land Registry","EO","1460","1220","27380","27130"
"In post","2021","Female","HM Land Registry","G6/G7","170","150","62370","60520"
"In post","2021","Female","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","SEO/HEO","1040","920","36760","33840"
"In post","2021","Female","HM Revenue and Customs","AA/AO","12810","10430","20860","20140"
"In post","2021","Female","HM Revenue and Customs","EO","8370","7440","26520","25560"
"In post","2021","Female","HM Revenue and Customs","G6/G7","3380","3220","56810","52770"
"In post","2021","Female","HM Revenue and Customs","SCS","240","230","84670","78070"
"In post","2021","Female","HM Revenue and Customs","SEO/HEO","10250","9580","34750","32030"
"In post","2021","Female","HM Treasury","AA/AO","40","40","[c]","[c]"
"In post","2021","Female","HM Treasury","EO","160","150","27290","26780"
"In post","2021","Female","HM Treasury","G6/G7","470","450","58320","56600"
"In post","2021","Female","HM Treasury","SCS","90","80","84300","77000"
"In post","2021","Female","HM Treasury","SEO/HEO","540","520","36050","34320"
"In post","2021","Female","Home Office","AA/AO","4840","4080","22060","21430"
"In post","2021","Female","Home Office","EO","7200","6450","26860","25990"
"In post","2021","Female","Home Office","G6/G7","1590","1530","60480","57680"
"In post","2021","Female","Home Office","SCS","130","130","89270","82810"
"In post","2021","Female","Home Office","SEO/HEO","4460","4240","36680","35280"
"In post","2021","Female","Home Office","Unknown","100","100","[c]","[c]"
"In post","2021","Female","Ministry of Defence","AA/AO","6950","6490","21510","21000"
"In post","2021","Female","Ministry of Defence","EO","4540","4280","26400","26670"
"In post","2021","Female","Ministry of Defence","G6/G7","2200","2060","57800","55220"
"In post","2021","Female","Ministry of Defence","SCS","140","140","87750","81450"
"In post","2021","Female","Ministry of Defence","SEO/HEO","8160","7750","36280","35000"
"In post","2021","Female","Ministry of Defence","Unknown","830","800","37260","34710"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","AA/AO","140","120","22270","22560"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","EO","200","190","27790","27850"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","G6/G7","660","620","56760","53870"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","SCS","70","70","84290","76700"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","SEO/HEO","630","600","35970","34860"
"In post","2021","Female","Ministry of Justice","AA/AO","20140","18040","22830","21500"
"In post","2021","Female","Ministry of Justice","EO","5240","4940","26660","26410"
"In post","2021","Female","Ministry of Justice","G6/G7","1600","1530","60600","58130"
"In post","2021","Female","Ministry of Justice","SCS","170","170","88350","83000"
"In post","2021","Female","Ministry of Justice","SEO/HEO","6900","6580","37000","36260"
"In post","2021","Female","Ministry of Justice","Unknown","9380","8560","29720","28200"
"In post","2021","Female","National Crime Agency","AA/AO","200","180","23570","24220"
"In post","2021","Female","National Crime Agency","EO","1260","1210","32730","32770"
"In post","2021","Female","National Crime Agency","G6/G7","120","120","62490","59160"
"In post","2021","Female","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","SEO/HEO","860","820","43010","43630"
"In post","2021","Female","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","AA/AO","160","140","21230","21160"
"In post","2021","Female","Office for Standards in Education","EO","120","110","26190","25880"
"In post","2021","Female","Office for Standards in Education","G6/G7","350","340","72590","75500"
"In post","2021","Female","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","SEO/HEO","540","520","44350","51360"
"In post","2021","Female","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","EO","140","130","26110","25610"
"In post","2021","Female","Office of Gas and Electricity Markets","G6/G7","190","180","58890","57140"
"In post","2021","Female","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","SEO/HEO","170","160","36590","35880"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","G6/G7","50","50","52800","48350"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","SEO/HEO","70","60","36100","36540"
"In post","2021","Female","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","G6/G7","60","50","60990","58700"
"In post","2021","Female","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","EO","70","70","23720","22640"
"In post","2021","Female","Other Cabinet Office Agencies","G6/G7","150","140","52790","52630"
"In post","2021","Female","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","SEO/HEO","260","240","33240","34800"
"In post","2021","Female","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","AA/AO","3360","3020","22580","22230"
"In post","2021","Female","Scottish Government","EO","2530","2380","29230","29190"
"In post","2021","Female","Scottish Government","G6/G7","1800","1700","62250","61010"
"In post","2021","Female","Scottish Government","SCS","110","110","90100","83230"
"In post","2021","Female","Scottish Government","SEO/HEO","3760","3530","38930","37940"
"In post","2021","Female","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","AA/AO","40","30","[c]","[c]"
"In post","2021","Female","The National Archives","EO","40","40","[c]","[c]"
"In post","2021","Female","The National Archives","G6/G7","50","50","[c]","[c]"
"In post","2021","Female","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","SEO/HEO","160","150","34600","34260"
"In post","2021","Female","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","G6/G7","40","30","[c]","[c]"
"In post","2021","Female","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","SEO/HEO","80","80","41700","41250"
"In post","2021","Female","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","AA/AO","830","590","19540","19520"
"In post","2021","Female","United Kingdom Statistics Authority","EO","500","460","23920","23050"
"In post","2021","Female","United Kingdom Statistics Authority","G6/G7","450","420","52050","50090"
"In post","2021","Female","United Kingdom Statistics Authority","SCS","30","30","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","SEO/HEO","1300","1230","33360","32540"
"In post","2021","Female","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","G6/G7","30","30","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","SEO/HEO","60","60","46890","45370"
"In post","2021","Female","Welsh Government","AA/AO","620","550","23330","23830"
"In post","2021","Female","Welsh Government","EO","580","530","28690","28850"
"In post","2021","Female","Welsh Government","G6/G7","550","520","60930","60830"
"In post","2021","Female","Welsh Government","SCS","80","70","86760","80940"
"In post","2021","Female","Welsh Government","SEO/HEO","1590","1480","40660","37410"
"In post","2021","Male","Attorney General's Departments","AA/AO","420","410","22320","21950"
"In post","2021","Male","Attorney General's Departments","EO","530","520","28100","27870"
"In post","2021","Male","Attorney General's Departments","G6/G7","1820","1760","59580","58040"
"In post","2021","Male","Attorney General's Departments","SCS","130","130","88450","82860"
"In post","2021","Male","Attorney General's Departments","SEO/HEO","560","550","36750","37730"
"In post","2021","Male","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","AA/AO","240","230","21890","20920"
"In post","2021","Male","Cabinet Office","EO","350","350","27300","27500"
"In post","2021","Male","Cabinet Office","G6/G7","1520","1510","59800","56440"
"In post","2021","Male","Cabinet Office","SCS","550","550","95640","81170"
"In post","2021","Male","Cabinet Office","SEO/HEO","1750","1740","33720","33300"
"In post","2021","Male","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","G6/G7","110","110","79100","72110"
"In post","2021","Male","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","SEO/HEO","80","80","40990","41210"
"In post","2021","Male","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","EO","40","40","[c]","[c]"
"In post","2021","Male","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","SEO/HEO","110","100","33390","31350"
"In post","2021","Male","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","EO","40","40","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","G6/G7","210","210","66870","65340"
"In post","2021","Male","Competition and Markets Authority","SCS","60","60","111010","102520"
"In post","2021","Male","Competition and Markets Authority","SEO/HEO","90","90","37910","35000"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","AA/AO","550","540","21530","20880"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","EO","830","820","26930","26410"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","G6/G7","2060","2020","58060","57360"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","SCS","220","220","84810","75850"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","SEO/HEO","3010","2950","38370","39360"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","EO","60","60","27240","26180"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","G6/G7","390","390","59020","58600"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","SCS","60","60","87040","78180"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","SEO/HEO","310","310","37360","34240"
"In post","2021","Male","Department for Education","AA/AO","30","30","[c]","[c]"
"In post","2021","Male","Department for Education","EO","370","370","26610","26000"
"In post","2021","Male","Department for Education","G6/G7","1270","1250","57000","54400"
"In post","2021","Male","Department for Education","SCS","130","130","85770","78000"
"In post","2021","Male","Department for Education","SEO/HEO","1480","1470","35760","36500"
"In post","2021","Male","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","AA/AO","730","720","21510","21050"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","EO","860","840","26340","25450"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","G6/G7","1180","1170","54830","53620"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","SCS","120","120","83930","77320"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","SEO/HEO","1960","1920","35000","35820"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for International Trade","EO","110","110","27300","26510"
"In post","2021","Male","Department for International Trade","G6/G7","590","590","55980","53750"
"In post","2021","Male","Department for International Trade","SCS","100","90","91420","82780"
"In post","2021","Male","Department for International Trade","SEO/HEO","610","610","35390","34950"
"In post","2021","Male","Department for Transport","AA/AO","2370","2260","23160","21590"
"In post","2021","Male","Department for Transport","EO","2630","2510","28400","26780"
"In post","2021","Male","Department for Transport","G6/G7","1150","1140","61430","58350"
"In post","2021","Male","Department for Transport","SCS","130","130","91850","84360"
"In post","2021","Male","Department for Transport","SEO/HEO","2410","2370","38460","37230"
"In post","2021","Male","Department for Work and Pensions","AA/AO","9780","9280","21200","21010"
"In post","2021","Male","Department for Work and Pensions","EO","16480","15840","28130","27570"
"In post","2021","Male","Department for Work and Pensions","G6/G7","1720","1680","58710","57230"
"In post","2021","Male","Department for Work and Pensions","SCS","140","140","92370","84920"
"In post","2021","Male","Department for Work and Pensions","SEO/HEO","4570","4430","37160","35310"
"In post","2021","Male","Department of Health and Social Care","AA/AO","280","260","21210","20740"
"In post","2021","Male","Department of Health and Social Care","EO","450","430","26430","27140"
"In post","2021","Male","Department of Health and Social Care","G6/G7","1450","1420","58830","54670"
"In post","2021","Male","Department of Health and Social Care","SCS","410","380","100200","93000"
"In post","2021","Male","Department of Health and Social Care","SEO/HEO","1490","1450","36530","36820"
"In post","2021","Male","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","G6/G7","40","30","[c]","[c]"
"In post","2021","Male","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","EO","350","330","27320","26750"
"In post","2021","Male","Food Standards Agency","G6/G7","110","110","56350","56130"
"In post","2021","Male","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","SEO/HEO","310","300","36000","37350"
"In post","2021","Male","Foreign, Commonwealth and Development Office","AA/AO","270","270","25800","24750"
"In post","2021","Male","Foreign, Commonwealth and Development Office","EO","410","410","29530","29300"
"In post","2021","Male","Foreign, Commonwealth and Development Office","G6/G7","1710","1680","60130","58470"
"In post","2021","Male","Foreign, Commonwealth and Development Office","SCS","320","320","87610","78030"
"In post","2021","Male","Foreign, Commonwealth and Development Office","SEO/HEO","1670","1650","38240","37560"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Unknown","30","30","[c]","[c]"
"In post","2021","Male","HM Land Registry","AA/AO","710","690","22460","22350"
"In post","2021","Male","HM Land Registry","EO","700","660","27750","27130"
"In post","2021","Male","HM Land Registry","G6/G7","130","130","62840","60520"
"In post","2021","Male","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","SEO/HEO","980","910","38100","38450"
"In post","2021","Male","HM Revenue and Customs","AA/AO","8790","8300","20620","20140"
"In post","2021","Male","HM Revenue and Customs","EO","7270","7000","26350","25560"
"In post","2021","Male","HM Revenue and Customs","G6/G7","4320","4190","57670","54590"
"In post","2021","Male","HM Revenue and Customs","SCS","270","260","86460","79930"
"In post","2021","Male","HM Revenue and Customs","SEO/HEO","10780","10430","35140","32770"
"In post","2021","Male","HM Treasury","AA/AO","30","30","[c]","[c]"
"In post","2021","Male","HM Treasury","EO","80","80","26530","26750"
"In post","2021","Male","HM Treasury","G6/G7","650","640","59540","56940"
"In post","2021","Male","HM Treasury","SCS","100","100","88660","80090"
"In post","2021","Male","HM Treasury","SEO/HEO","520","510","36430","34200"
"In post","2021","Male","Home Office","AA/AO","3490","3300","21900","21430"
"In post","2021","Male","Home Office","EO","7170","6730","27050","26160"
"In post","2021","Male","Home Office","G6/G7","1780","1760","61120","57680"
"In post","2021","Male","Home Office","SCS","160","160","93870","84030"
"In post","2021","Male","Home Office","SEO/HEO","4320","4240","36590","35200"
"In post","2021","Male","Home Office","Unknown","150","150","[c]","[c]"
"In post","2021","Male","Ministry of Defence","AA/AO","8960","8810","23820","20920"
"In post","2021","Male","Ministry of Defence","EO","6060","5960","27220","26670"
"In post","2021","Male","Ministry of Defence","G6/G7","4140","4040","57560","56170"
"In post","2021","Male","Ministry of Defence","SCS","280","270","95650","88500"
"In post","2021","Male","Ministry of Defence","SEO/HEO","12160","11950","37470","37320"
"In post","2021","Male","Ministry of Defence","Unknown","3270","3250","40190","36970"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","AA/AO","100","100","23100","22560"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","EO","180","180","28310","27850"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","G6/G7","760","730","57680","56430"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","SCS","70","70","87950","78930"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","SEO/HEO","590","590","36720","36340"
"In post","2021","Male","Ministry of Justice","AA/AO","20440","19600","26010","25400"
"In post","2021","Male","Ministry of Justice","EO","5180","5000","29960","30810"
"In post","2021","Male","Ministry of Justice","G6/G7","1420","1400","63410","60770"
"In post","2021","Male","Ministry of Justice","SCS","160","160","92440","92050"
"In post","2021","Male","Ministry of Justice","SEO/HEO","5500","5310","39700","38160"
"In post","2021","Male","Ministry of Justice","Unknown","2770","2670","30920","30210"
"In post","2021","Male","National Crime Agency","AA/AO","130","120","24050","24220"
"In post","2021","Male","National Crime Agency","EO","1210","1200","34240","34520"
"In post","2021","Male","National Crime Agency","G6/G7","240","240","65730","64410"
"In post","2021","Male","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","SEO/HEO","1430","1420","45600","44090"
"In post","2021","Male","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Male","Office for Standards in Education","AA/AO","70","70","21300","21160"
"In post","2021","Male","Office for Standards in Education","EO","80","80","26440","25880"
"In post","2021","Male","Office for Standards in Education","G6/G7","230","230","73740","75500"
"In post","2021","Male","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office for Standards in Education","SEO/HEO","190","190","39650","39850"
"In post","2021","Male","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","EO","130","130","25540","25300"
"In post","2021","Male","Office of Gas and Electricity Markets","G6/G7","250","250","61440","61000"
"In post","2021","Male","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","SEO/HEO","200","200","36380","35720"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","G6/G7","40","40","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","G6/G7","120","110","62930","62490"
"In post","2021","Male","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","SEO/HEO","50","50","[c]","[c]"
