"Status","Year","Sex","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Black","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Female","Black","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","Female","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Department for Work and Pensions (excl. agencies)","90","80","26270","27570"
"In post","2021","Female","Chinese","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Female","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","HM Revenue and Customs (excl. agencies)","90","80","36280","29570"
"In post","2021","Female","Chinese","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Home Office (incl. agencies)","90","80","32130","29080"
"In post","2021","Female","Chinese","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Chinese","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Cabinet Office (excl. agencies)","110","100","43660","36890"
"In post","2021","Female","Mixed","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
