"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","AA/AO","60","60","23510","24450"
"In post","2021","Commercial","Scotland","EO","40","40","[c]","[c]"
"In post","2021","Commercial","Scotland","G6/G7","40","30","[c]","[c]"
"In post","2021","Commercial","Scotland","SEO/HEO","130","130","38350","38850"
"In post","2021","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","EO","80","80","26430","26670"
"In post","2021","Commercial","South East (England)","G6/G7","50","50","62880","61420"
"In post","2021","Commercial","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","SEO/HEO","290","280","39010","39410"
"In post","2021","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Commercial","South West (England)","EO","220","210","24170","23520"
"In post","2021","Commercial","South West (England)","G6/G7","340","330","56470","54540"
"In post","2021","Commercial","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","SEO/HEO","960","910","36220","35360"
"In post","2021","Commercial","South West (England)","Unknown","150","150","38640","36500"
"In post","2021","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","AA/AO","40","40","[c]","[c]"
"In post","2021","Commercial","Wales","EO","70","70","26380","26740"
"In post","2021","Commercial","Wales","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","SEO/HEO","170","160","35880","34760"
"In post","2021","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","EO","50","40","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SEO/HEO","150","150","39230","38440"
"In post","2021","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","EO","30","30","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","G6/G7","80","80","56930","53650"
"In post","2021","Commercial","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","SEO/HEO","240","240","36150","36780"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","SEO/HEO","60","50","35500","36340"
"In post","2021","Communications","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Communications","London","AA/AO","70","70","24540","24490"
"In post","2021","Communications","London","EO","240","230","28560","27850"
"In post","2021","Communications","London","G6/G7","650","630","59240","57470"
"In post","2021","Communications","London","SCS","100","100","88190","82220"
"In post","2021","Communications","London","SEO/HEO","1040","1030","39550","39560"
"In post","2021","Communications","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","SEO/HEO","60","60","34980","33280"
"In post","2021","Communications","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","EO","30","30","[c]","[c]"
"In post","2021","Communications","North West (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","North West (England)","SEO/HEO","110","110","35330","35570"
"In post","2021","Communications","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Communications","South East (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Communications","South East (England)","EO","90","90","26980","26670"
"In post","2021","Communications","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","SEO/HEO","140","140","36280","36030"
"In post","2021","Communications","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","EO","60","50","26740","26670"
"In post","2021","Communications","South West (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","South West (England)","SEO/HEO","180","170","35560","35240"
"In post","2021","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","AA/AO","40","30","[c]","[c]"
"In post","2021","Communications","Wales","EO","80","70","27280","26780"
"In post","2021","Communications","Wales","G6/G7","50","40","[c]","[c]"
"In post","2021","Communications","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","SEO/HEO","190","180","37290","37410"
"In post","2021","Communications","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","EO","30","30","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","SEO/HEO","70","70","37550","36960"
"In post","2021","Communications","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","SEO/HEO","60","60","36590","36520"
"In post","2021","Corporate Finance","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","40","40","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","70","60","28180","28750"
"In post","2021","Counter Fraud","London","G6/G7","90","90","63360","61900"
"In post","2021","Counter Fraud","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","230","230","38390","40000"
"In post","2021","Counter Fraud","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","SEO/HEO","70","70","37620","38610"
"In post","2021","Counter Fraud","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","EO","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","SEO/HEO","60","60","37150","37380"
"In post","2021","Counter Fraud","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","EO","70","60","26860","26670"
"In post","2021","Digital, Data and Technology","East Midlands (England)","G6/G7","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","SEO/HEO","150","150","37730","36630"
"In post","2021","Digital, Data and Technology","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East of England","EO","100","100","26680","26460"
"In post","2021","Digital, Data and Technology","East of England","G6/G7","70","70","54360","52580"
"In post","2021","Digital, Data and Technology","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East of England","SEO/HEO","300","280","35630","35000"
"In post","2021","Digital, Data and Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","AA/AO","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","EO","290","290","29510","29500"
"In post","2021","Digital, Data and Technology","London","G6/G7","1280","1260","62330","60770"
"In post","2021","Digital, Data and Technology","London","SCS","120","120","94880","90710"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","1550","1520","40140","40270"
"In post","2021","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North East (England)","EO","80","80","26240","25560"
"In post","2021","Digital, Data and Technology","North East (England)","G6/G7","170","170","53740","52580"
"In post","2021","Digital, Data and Technology","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North East (England)","SEO/HEO","420","400","35260","35900"
"In post","2021","Digital, Data and Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North West (England)","EO","180","170","26360","25880"
"In post","2021","Digital, Data and Technology","North West (England)","G6/G7","250","250","55900","53270"
"In post","2021","Digital, Data and Technology","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North West (England)","SEO/HEO","580","560","35680","35900"
"In post","2021","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","EO","130","120","27910","26930"
"In post","2021","Digital, Data and Technology","Scotland","G6/G7","110","110","55820","54880"
"In post","2021","Digital, Data and Technology","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","SEO/HEO","330","330","37330","36780"
"In post","2021","Digital, Data and Technology","South East (England)","AA/AO","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","South East (England)","EO","200","190","27640","26670"
"In post","2021","Digital, Data and Technology","South East (England)","G6/G7","180","170","55880","53440"
"In post","2021","Digital, Data and Technology","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South East (England)","SEO/HEO","410","390","36300","36010"
"In post","2021","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South West (England)","AA/AO","90","90","21160","21040"
"In post","2021","Digital, Data and Technology","South West (England)","EO","430","410","27610","26750"
"In post","2021","Digital, Data and Technology","South West (England)","G6/G7","420","400","55140","54080"
"In post","2021","Digital, Data and Technology","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South West (England)","SEO/HEO","1190","1150","38380","38450"
"In post","2021","Digital, Data and Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","AA/AO","100","90","21990","21590"
"In post","2021","Digital, Data and Technology","Wales","EO","470","450","27510","26670"
"In post","2021","Digital, Data and Technology","Wales","G6/G7","400","390","58260","56490"
"In post","2021","Digital, Data and Technology","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","SEO/HEO","1040","1020","38840","38000"
"In post","2021","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","EO","120","120","26320","26000"
"In post","2021","Digital, Data and Technology","West Midlands (England)","G6/G7","250","250","55900","52580"
"In post","2021","Digital, Data and Technology","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","SEO/HEO","470","450","35860","35900"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","EO","150","150","26490","25740"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","G6/G7","290","280","55810","52940"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","SEO/HEO","430","420","35280","35900"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","AA/AO","60","60","24200","24120"
"In post","2021","Economics","London","EO","90","90","27720","27680"
"In post","2021","Economics","London","G6/G7","770","740","60320","58710"
"In post","2021","Economics","London","SCS","80","80","89940","82660"
"In post","2021","Economics","London","SEO/HEO","770","760","35200","34090"
"In post","2021","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","G6/G7","40","40","[c]","[c]"
"In post","2021","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","G6/G7","60","60","56850","56620"
"In post","2021","Economics","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","SEO/HEO","60","60","33280","31050"
"In post","2021","Economics","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","AA/AO","40","40","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","EO","50","40","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","SEO/HEO","70","70","36080","34530"
"In post","2021","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","AA/AO","60","50","20960","20920"
"In post","2021","Finance","East of England","EO","80","80","27430","26670"
"In post","2021","Finance","East of England","G6/G7","60","60","56580","54800"
"In post","2021","Finance","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","SEO/HEO","170","170","37680","37030"
"In post","2021","Finance","London","AA/AO","80","80","24380","24350"
"In post","2021","Finance","London","EO","300","290","28740","29000"
"In post","2021","Finance","London","G6/G7","920","900","61760","59730"
"In post","2021","Finance","London","SCS","160","160","91190","83860"
"In post","2021","Finance","London","SEO/HEO","1090","1070","39620","39830"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","EO","50","50","26120","26000"
"In post","2021","Finance","North East (England)","G6/G7","90","90","54990","52580"
"In post","2021","Finance","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","SEO/HEO","210","200","34990","36500"
"In post","2021","Finance","North West (England)","AA/AO","90","80","21210","21160"
"In post","2021","Finance","North West (England)","EO","100","100","25740","25970"
"In post","2021","Finance","North West (England)","G6/G7","170","160","55400","53430"
"In post","2021","Finance","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North West (England)","SEO/HEO","280","270","36060","36420"
"In post","2021","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
