"Status","Year","Sexual_orientation","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Companies House","EO","190","170","27670","27460"
"In post","2021","Heterosexual / straight","Companies House","G6/G7","50","50","57540","56390"
"In post","2021","Heterosexual / straight","Companies House","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","SEO/HEO","230","220","38540","38000"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","EO","60","60","28520","28160"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","G6/G7","350","330","65870","62890"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","SCS","90","90","107200","99920"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","SEO/HEO","160","160","38010","34870"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","AA/AO","70","60","20200","19930"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","EO","50","50","23200","22570"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","SEO/HEO","60","50","29520","27980"
"In post","2021","Heterosexual / straight","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","EO","80","70","23810","22640"
"In post","2021","Heterosexual / straight","Crown Commercial Service","G6/G7","150","140","52870","50060"
"In post","2021","Heterosexual / straight","Crown Commercial Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","SEO/HEO","300","290","33610","34800"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","AA/AO","620","550","21930","22220"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","EO","290","280","27330","26570"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","G6/G7","170","160","66260","68470"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","SEO/HEO","640","600","41270","37940"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","AA/AO","1020","940","22320","21950"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","EO","940","880","27780","28430"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","G6/G7","1970","1840","56950","55610"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","SCS","70","70","95840","89220"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","SEO/HEO","770","740","36130","36240"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","AA/AO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","EO","70","70","27330","27460"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","EO","2050","1960","22300","21380"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","G6/G7","1330","1300","56820","55140"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","SCS","100","100","103120","94470"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","SEO/HEO","4980","4820","35530","34900"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","AA/AO","80","80","18800","17710"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","EO","170","160","23100","22780"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","G6/G7","1370","1310","51170","46650"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","SEO/HEO","1440","1390","33040","31980"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","290","280","28140","27680"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","1680","1630","58770","56600"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","260","250","83250","75560"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","1500","1480","38130","37090"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","EO","130","130","27360","26180"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","G6/G7","560","550","58670","56040"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","SCS","100","90","86740","75950"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","SEO/HEO","450","450","37210","34020"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","AA/AO","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","EO","500","480","26790","26000"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","G6/G7","1510","1440","56740","54160"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","SCS","170","160","81820","74100"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","SEO/HEO","1770","1710","35900","36500"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","110","100","22620","21050"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","350","340","26630","25600"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","1310","1260","54550","53200"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","150","140","84030","77290"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","1860","1800","34980","35900"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","EO","140","140","27320","26510"
"In post","2021","Heterosexual / straight","Department for International Trade","G6/G7","640","630","55520","52660"
"In post","2021","Heterosexual / straight","Department for International Trade","SCS","110","110","86920","76810"
"In post","2021","Heterosexual / straight","Department for International Trade","SEO/HEO","630","620","35310","34940"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","AA/AO","60","50","25420","25730"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","EO","240","230","28810","30270"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","G6/G7","910","890","59960","55380"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","SCS","160","160","88160","79630"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","SEO/HEO","910","890","38540","37660"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","AA/AO","17710","15370","21200","21010"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","EO","32040","29190","28130","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","G6/G7","1860","1780","56460","54070"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","SCS","170","170","90990","80950"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","SEO/HEO","6960","6540","34730","34290"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","EO","160","160","27200","27270"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","G6/G7","550","530","57800","54970"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","SCS","130","130","83790","76690"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","SEO/HEO","520","500","35950","36820"
"In post","2021","Heterosexual / straight","Disclosure Scotland","AA/AO","100","90","21780","21150"
"In post","2021","Heterosexual / straight","Disclosure Scotland","EO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","AA/AO","2340","2020","20790","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","EO","630","590","26680","26700"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","G6/G7","190","180","64090","60690"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","SEO/HEO","670","640","37000","33350"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","AA/AO","640","600","24860","26580"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","EO","1430","1340","28510","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","G6/G7","80","80","55160","52510"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","SEO/HEO","630","610","35880","33940"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","EO","130","120","25970","26000"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","G6/G7","380","360","55450","51620"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","SCS","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","SEO/HEO","650","630","34540","36500"
"In post","2021","Heterosexual / straight","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","G6/G7","120","120","68380","71160"
"In post","2021","Heterosexual / straight","Education Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","G6/G7","60","50","73750","74730"
"In post","2021","Heterosexual / straight","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","AA/AO","100","100","23820","22850"
"In post","2021","Heterosexual / straight","FCDO Services","EO","170","170","28130","26950"
"In post","2021","Heterosexual / straight","FCDO Services","G6/G7","170","150","63040","60310"
"In post","2021","Heterosexual / straight","FCDO Services","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","SEO/HEO","330","320","40340","40620"
"In post","2021","Heterosexual / straight","FCDO Services","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","EO","210","210","27130","26750"
"In post","2021","Heterosexual / straight","Food Standards Agency","G6/G7","150","150","56480","56130"
"In post","2021","Heterosexual / straight","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","SEO/HEO","470","460","35920","37350"
"In post","2021","Heterosexual / straight","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","EO","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","SEO/HEO","70","60","37660","35110"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","320","310","26140","25430"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","EO","540","530","30110","30300"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","1960","1920","59940","58470"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","SCS","410","410","86300","78010"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","1870","1840","37610","37050"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","AA/AO","60","60","25170","26530"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","EO","70","70","31370","30160"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","SEO/HEO","70","70","40280","38450"
"In post","2021","Heterosexual / straight","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Actuary's Department","G6/G7","90","80","87970","81240"
"In post","2021","Heterosexual / straight","Government Actuary's Department","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Actuary's Department","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","G6/G7","150","140","57660","56240"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","SEO/HEO","210","200","40420","39980"
"In post","2021","Heterosexual / straight","Government Legal Department","AA/AO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Legal Department","EO","220","210","28580","27580"
"In post","2021","Heterosexual / straight","Government Legal Department","G6/G7","1070","990","58450","52930"
"In post","2021","Heterosexual / straight","Government Legal Department","SCS","120","110","85190","80670"
"In post","2021","Heterosexual / straight","Government Legal Department","SEO/HEO","180","170","37850","38290"
"In post","2021","Heterosexual / straight","Government Property Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Property Agency","G6/G7","80","80","57280","55610"
"In post","2021","Heterosexual / straight","Government Property Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Government Property Agency","SEO/HEO","50","50","36350","35790"
"In post","2021","Heterosexual / straight","Health and Safety Executive","AA/AO","190","170","21990","22160"
"In post","2021","Heterosexual / straight","Health and Safety Executive","EO","320","300","27920","27540"
"In post","2021","Heterosexual / straight","Health and Safety Executive","G6/G7","370","360","60560","57810"
"In post","2021","Heterosexual / straight","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Health and Safety Executive","SEO/HEO","910","860","44740","41480"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","AA/AO","7290","6330","19950","19930"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","EO","2000","1870","24020","23670"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","G6/G7","510","490","55780","54810"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","SCS","60","60","84480","76750"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","SEO/HEO","1940","1830","33770","31780"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Land Registry","AA/AO","850","790","22450","22350"
"In post","2021","Heterosexual / straight","HM Land Registry","EO","1220","1070","27490","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","G6/G7","190","180","62350","60520"
"In post","2021","Heterosexual / straight","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Land Registry","SEO/HEO","1280","1150","37560","37290"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","AA/AO","18180","17300","26110","25400"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","EO","4290","4120","30790","31420"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","G6/G7","610","590","73150","70290"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","SCS","70","70","99210","1e+05"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","SEO/HEO","4750","4560","40990","38160"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Unknown","9600","8890","30110","30210"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","AA/AO","9140","7880","20770","20140"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","EO","8050","7400","26430","25560"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","G6/G7","4870","4690","56910","52580"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","SCS","340","340","84380","78610"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","SEO/HEO","12210","11600","34780","32030"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","AA/AO","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","EO","150","140","26660","26750"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","G6/G7","650","630","58510","56030"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","SCS","130","120","83390","77000"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","SEO/HEO","550","550","34510","32320"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","AA/AO","6760","5960","21980","21430"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","EO","11420","10470","26910","25900"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","G6/G7","2600","2540","60900","57680"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","SCS","240","240","91940","83880"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","SEO/HEO","6980","6740","36530","35200"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Unknown","190","190","[c]","[c]"
"In post","2021","Heterosexual / straight","Insolvency Service","AA/AO","260","250","21320","20880"
"In post","2021","Heterosexual / straight","Insolvency Service","EO","100","90","26120","26290"
"In post","2021","Heterosexual / straight","Insolvency Service","G6/G7","90","90","59920","57640"
"In post","2021","Heterosexual / straight","Insolvency Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Insolvency Service","SEO/HEO","450","430","38360","39170"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","G6/G7","80","80","56330","54030"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal Aid Agency","AA/AO","320","290","19760","19930"
"In post","2021","Heterosexual / straight","Legal Aid Agency","EO","270","250","23890","22570"
"In post","2021","Heterosexual / straight","Legal Aid Agency","G6/G7","80","80","58000","54450"
"In post","2021","Heterosexual / straight","Legal Aid Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal Aid Agency","SEO/HEO","260","250","35030","34990"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","AA/AO","180","170","24100","24590"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","EO","180","180","28800","26780"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","G6/G7","120","120","60440","57710"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","SEO/HEO","410","390","40330","38750"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","AA/AO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","EO","140","140","27610","27400"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","G6/G7","250","240","58610","53860"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","SCS","70","70","87300","84310"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","300","300","37660","40450"
"In post","2021","Heterosexual / straight","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Met Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","AA/AO","11820","11350","22530","20920"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","EO","5640","5480","28460","26670"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","G6/G7","1960","1880","62730","59730"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","SCS","230","220","88280","79690"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","SEO/HEO","8620","8390","38250","37640"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Unknown","350","340","39230","36610"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","50","40","[c]","[c]"
