"Status","Year","Profession_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scottish Government","Heterosexual / straight","100","90","29440","25870"
"Leaver CS","2021","Operational Delivery","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Scottish Government","Undeclared","110","100","27810","22820"
"Leaver CS","2021","Operational Delivery","Scottish Government","Unknown","140","120","29860","29560"
"Leaver CS","2021","Operational Delivery","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","United Kingdom Statistics Authority","Heterosexual / straight","100","70","23570","19520"
"Leaver CS","2021","Operational Delivery","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","United Kingdom Statistics Authority","Unknown","70","50","25000","19130"
"Leaver CS","2021","Operational Delivery","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Welsh Government","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Home Office","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Other","Home Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Home Office","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Other","Ministry of Defence","Heterosexual / straight","740","700","27340","25710"
"Leaver CS","2021","Other","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Ministry of Defence","Undeclared","110","110","26050","22460"
"Leaver CS","2021","Other","Ministry of Defence","Unknown","290","280","31820","30180"
"Leaver CS","2021","Other","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office for Standards in Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Ministry of Housing, Communities and Local Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","80","70","53100","53600"
"Leaver CS","2021","Policy","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Education","Heterosexual / straight","90","90","48050","40940"
"Leaver CS","2021","Policy","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Education","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Policy","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Environment, Food and Rural Affairs","Unknown","140","140","37510","32400"
"Leaver CS","2021","Policy","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","HM Treasury","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Policy","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Home Office","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Policy","Home Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Housing, Communities and Local Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office for Standards in Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Home Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Home Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Defence","Heterosexual / straight","220","200","40910","37640"
"Leaver CS","2021","Project Delivery","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Defence","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Defence","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Housing, Communities and Local Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
