"Status","Year","Region_ITL3","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Department for Work and Pensions (excl. agencies)","90","90","26590","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Food Standards Scotland","90","80","38760","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Forestry and Land Scotland","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Health and Safety Executive","80","80","85810","92150"
"In post","2021","Aberdeen City and Aberdeenshire","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Ministry of Defence (excl. agencies)","90","90","40200","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Scottish Government (excl. agencies)","170","160","39450","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Scottish Prison Service","180","170","31070","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Crown Office and Procurator Fiscal Service","70","60","33900","30380"
"In post","2021","Angus and Dundee City","Female","Department for Work and Pensions (excl. agencies)","630","550","24100","21010"
"In post","2021","Angus and Dundee City","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","HM Revenue and Customs (excl. agencies)","150","130","23880","21440"
"In post","2021","Angus and Dundee City","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Scottish Courts and Tribunals Service","60","50","25150","22820"
"In post","2021","Angus and Dundee City","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Social Security Scotland","170","160","28330","26160"
"In post","2021","Angus and Dundee City","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Department for Work and Pensions (excl. agencies)","340","320","23380","21010"
"In post","2021","Angus and Dundee City","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","HM Revenue and Customs (excl. agencies)","150","150","23340","20140"
"In post","2021","Angus and Dundee City","Male","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Social Security Scotland","130","130","28400","23340"
"In post","2021","Antrim and Newtownabbey","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Ministry of Defence (excl. agencies)","60","50","26200","21670"
"In post","2021","Antrim and Newtownabbey","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Ministry of Defence (excl. agencies)","130","120","22300","20310"
"In post","2021","Ards and North Down","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Male","Ministry of Defence (excl. agencies)","140","140","21910","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Department for Work and Pensions (excl. agencies)","290","250","30770","31060"
"In post","2021","Barking & Dagenham and Havering","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","HM Courts and Tribunals Service","60","50","24830","22450"
"In post","2021","Barking & Dagenham and Havering","Female","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Department for Work and Pensions (excl. agencies)","180","170","31310","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Department for Work and Pensions (excl. agencies)","220","200","30620","31060"
"In post","2021","Barnet","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Barnet","Female","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Barnet","Female","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Barnet","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Public Health England","730","680","41440","35530"
"In post","2021","Barnet","Male","Department for Work and Pensions (excl. agencies)","80","80","30960","31060"
"In post","2021","Barnet","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Home Office (incl. agencies)","120","120","45380","44510"
"In post","2021","Barnet","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Public Health England","370","360","46100","41950"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Department for Work and Pensions (excl. agencies)","1030","830","25040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","HM Courts and Tribunals Service","70","60","21750","20100"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","HM Prison and Probation Service","670","620","27560","25300"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Department for Work and Pensions (excl. agencies)","340","320","25260","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","HM Prison and Probation Service","730","690","30260","27680"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Defence Equipment and Support","3000","2800","35050","32640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Department for Work and Pensions (excl. agencies)","210","180","27250","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","HM Courts and Tribunals Service","70","60","24630","20100"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","HM Prison and Probation Service","390","340","29860","27150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Home Office (incl. agencies)","90","80","25560","24890"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Ministry of Defence (excl. agencies)","880","820","36200","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","National Crime Agency","230","210","33520","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Submarine Delivery Agency","450","430","38530","35790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Defence Equipment and Support","5120","5040","39880","38180"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Department for Work and Pensions (excl. agencies)","110","110","27720","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","HM Prison and Probation Service","240","230","32320","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Home Office (incl. agencies)","110","100","27850","25380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Ministry of Defence (excl. agencies)","1190","1170","40360","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","National Crime Agency","190","190","38830","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Submarine Delivery Agency","920","910","43580","40570"
"In post","2021","Bedford","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Department for Work and Pensions (excl. agencies)","120","100","27940","27570"
"In post","2021","Bedford","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Bedford","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","HM Prison and Probation Service","190","180","28040","28030"
"In post","2021","Bedford","Female","Home Office (incl. agencies)","60","60","28850","26160"
"In post","2021","Bedford","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Department for Work and Pensions (excl. agencies)","50","50","27970","27570"
"In post","2021","Bedford","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","HM Prison and Probation Service","180","170","31090","30400"
"In post","2021","Bedford","Male","Home Office (incl. agencies)","60","60","28730","26220"
"In post","2021","Bedford","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Food Standards Agency","60","50","38740","37910"
"In post","2021","Belfast","Female","HM Revenue and Customs (excl. agencies)","1020","910","28140","25560"
"In post","2021","Belfast","Female","Home Office (incl. agencies)","220","190","24780","21430"
"In post","2021","Belfast","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","National Crime Agency","60","50","39180","39480"
"In post","2021","Belfast","Female","Northern Ireland Office","50","50","36720","34990"
"In post","2021","Belfast","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","HM Revenue and Customs (excl. agencies)","980","940","28910","25560"
"In post","2021","Belfast","Male","Home Office (incl. agencies)","230","220","25170","24880"
"In post","2021","Belfast","Male","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Belfast","Male","National Crime Agency","60","60","40580","36740"
"In post","2021","Belfast","Male","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Berkshire","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Crown Prosecution Service","100","90","41740","36240"
"In post","2021","Berkshire","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","39900","36520"
"In post","2021","Berkshire","Female","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Berkshire","Female","Department for Work and Pensions (excl. agencies)","320","290","29550","29290"
"In post","2021","Berkshire","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","HM Courts and Tribunals Service","80","70","26100","22450"
"In post","2021","Berkshire","Female","HM Prison and Probation Service","110","110","28750","24800"
"In post","2021","Berkshire","Female","HM Revenue and Customs (excl. agencies)","170","150","33920","31810"
"In post","2021","Berkshire","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Ministry of Defence (excl. agencies)","240","230","30710","26670"
"In post","2021","Berkshire","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Berkshire","Female","Rural Payments Agency","90","80","28200","22430"
"In post","2021","Berkshire","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Berkshire","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","41700","37410"
"In post","2021","Berkshire","Male","Department for International Trade","70","70","46270","51710"
"In post","2021","Berkshire","Male","Department for Work and Pensions (excl. agencies)","130","130","29060","29290"
"In post","2021","Berkshire","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Berkshire","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Berkshire","Male","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Berkshire","Male","HM Revenue and Customs (excl. agencies)","150","140","35600","32520"
"In post","2021","Berkshire","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Ministry of Defence (excl. agencies)","780","770","35520","39070"
"In post","2021","Berkshire","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","National Crime Agency","60","60","40710","39820"
"In post","2021","Berkshire","Male","Rural Payments Agency","90","90","32810","30040"
"In post","2021","Berkshire","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Department for Work and Pensions (excl. agencies)","280","250","31090","31060"
"In post","2021","Bexley and Greenwich","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","HM Courts and Tribunals Service","50","50","24720","23500"
"In post","2021","Bexley and Greenwich","Female","HM Prison and Probation Service","510","490","30660","30110"
"In post","2021","Bexley and Greenwich","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Ministry of Defence (excl. agencies)","50","50","31090","24590"
"In post","2021","Bexley and Greenwich","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Department for Work and Pensions (excl. agencies)","120","110","31080","31060"
"In post","2021","Bexley and Greenwich","Male","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
