"Status","Year","Sexual_orientation","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","16-19","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Animal and Plant Health Agency","310","310","25180","24920"
"In post","2021","Heterosexual / straight","20-29","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Cabinet Office (excl. agencies)","1070","1070","36450","34550"
"In post","2021","Heterosexual / straight","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Companies House","80","70","26640","24500"
"In post","2021","Heterosexual / straight","20-29","Competition and Markets Authority","120","120","39230","34150"
"In post","2021","Heterosexual / straight","20-29","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Crown Commercial Service","80","80","28930","27770"
"In post","2021","Heterosexual / straight","20-29","Crown Office and Procurator Fiscal Service","350","340","26240","22220"
"In post","2021","Heterosexual / straight","20-29","Crown Prosecution Service","690","680","27860","25480"
"In post","2021","Heterosexual / straight","20-29","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Defence Equipment and Support","1580","1570","26690","26070"
"In post","2021","Heterosexual / straight","20-29","Defence Science and Technology Laboratory","640","640","29180","28650"
"In post","2021","Heterosexual / straight","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","1190","1190","40880","39500"
"In post","2021","Heterosexual / straight","20-29","Department for Digital, Culture, Media and Sport","460","460","41110","35180"
"In post","2021","Heterosexual / straight","20-29","Department for Education (excl. agencies)","810","810","36250","33300"
"In post","2021","Heterosexual / straight","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","740","730","34510","32560"
"In post","2021","Heterosexual / straight","20-29","Department for International Trade","510","500","36780","32120"
"In post","2021","Heterosexual / straight","20-29","Department for Transport (excl. agencies)","550","540","38870","35060"
"In post","2021","Heterosexual / straight","20-29","Department for Work and Pensions (excl. agencies)","7260","7140","26620","27570"
"In post","2021","Heterosexual / straight","20-29","Department of Health and Social Care (excl. agencies)","330","330","37840","32790"
"In post","2021","Heterosexual / straight","20-29","Disclosure Scotland","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Driver and Vehicle Licensing Agency","520","500","23020","21590"
"In post","2021","Heterosexual / straight","20-29","Driver and Vehicle Standards Agency","130","130","26810","26350"
"In post","2021","Heterosexual / straight","20-29","Education and Skills Funding Agency","210","210","32120","29730"
"In post","2021","Heterosexual / straight","20-29","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","FCDO Services","110","110","27680","26590"
"In post","2021","Heterosexual / straight","20-29","Food Standards Agency","100","100","32970","32350"
"In post","2021","Heterosexual / straight","20-29","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","870","860","34900","34220"
"In post","2021","Heterosexual / straight","20-29","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Government Actuary's Department","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Government Legal Department","260","250","36570","33460"
"In post","2021","Heterosexual / straight","20-29","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Health and Safety Executive","190","190","29020","26410"
"In post","2021","Heterosexual / straight","20-29","HM Courts and Tribunals Service","1160","1140","21990","19930"
"In post","2021","Heterosexual / straight","20-29","HM Land Registry","550","540","25540","22350"
"In post","2021","Heterosexual / straight","20-29","HM Prison and Probation Service","6990","6900","26220","25400"
"In post","2021","Heterosexual / straight","20-29","HM Revenue and Customs (excl. agencies)","4510","4410","28180","25560"
"In post","2021","Heterosexual / straight","20-29","HM Treasury (excl. agencies)","730","730","38740","32960"
"In post","2021","Heterosexual / straight","20-29","Home Office (incl. agencies)","3950","3840","27970","24890"
"In post","2021","Heterosexual / straight","20-29","Insolvency Service","70","70","25070","20880"
"In post","2021","Heterosexual / straight","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Legal Aid Agency","70","60","21170","19930"
"In post","2021","Heterosexual / straight","20-29","Maritime and Coastguard Agency","120","120","29500","28670"
"In post","2021","Heterosexual / straight","20-29","Medicines and Healthcare Products Regulatory Agency","180","180","32620","29750"
"In post","2021","Heterosexual / straight","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Ministry of Defence (excl. agencies)","2610","2580","29270","26670"
"In post","2021","Heterosexual / straight","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","470","460","37160","33210"
"In post","2021","Heterosexual / straight","20-29","Ministry of Justice (excl. agencies)","550","550","34000","31000"
"In post","2021","Heterosexual / straight","20-29","National Crime Agency","710","700","31850","32260"
"In post","2021","Heterosexual / straight","20-29","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Office for Standards in Education, Children's Services and Skills","120","120","28710","25880"
"In post","2021","Heterosexual / straight","20-29","Office of Gas and Electricity Markets","160","160","29920","26430"
"In post","2021","Heterosexual / straight","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Office of the Public Guardian","210","200","20700","19930"
"In post","2021","Heterosexual / straight","20-29","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Public Health England","940","890","28150","26880"
"In post","2021","Heterosexual / straight","20-29","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Registers of Scotland","100","100","27680","29040"
"In post","2021","Heterosexual / straight","20-29","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Rural Payments Agency","60","60","22890","21050"
"In post","2021","Heterosexual / straight","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Scottish Government (excl. agencies)","800","790","30380","29190"
"In post","2021","Heterosexual / straight","20-29","Scottish Prison Service","120","120","27590","28410"
"In post","2021","Heterosexual / straight","20-29","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Serious Fraud Office","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Social Security Scotland","150","150","26730","26160"
"In post","2021","Heterosexual / straight","20-29","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Submarine Delivery Agency","290","290","29270","28010"
"In post","2021","Heterosexual / straight","20-29","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","The National Archives","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Transport Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","UK Export Finance","60","60","35300","33000"
"In post","2021","Heterosexual / straight","20-29","UK Hydrographic Office","80","80","28230","26740"
"In post","2021","Heterosexual / straight","20-29","UK Intellectual Property Office","130","130","29810","29890"
"In post","2021","Heterosexual / straight","20-29","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","United Kingdom Statistics Authority","670","660","30660","29540"
"In post","2021","Heterosexual / straight","20-29","Valuation Office Agency","210","200","27170","25500"
"In post","2021","Heterosexual / straight","20-29","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Welsh Government (excl. agencies)","430","430","26920","23830"
"In post","2021","Heterosexual / straight","20-29","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Advisory, Conciliation and Arbitration Service","100","100","31980","30950"
"In post","2021","Heterosexual / straight","30-39","Animal and Plant Health Agency","370","350","29420","28240"
"In post","2021","Heterosexual / straight","30-39","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Cabinet Office (excl. agencies)","1290","1260","48490","54700"
"In post","2021","Heterosexual / straight","30-39","Centre for Environment, Fisheries and Aquaculture Science","60","60","30910","29270"
"In post","2021","Heterosexual / straight","30-39","Charity Commission","70","60","34180","29160"
"In post","2021","Heterosexual / straight","30-39","Companies House","150","140","31960","30660"
"In post","2021","Heterosexual / straight","30-39","Competition and Markets Authority","260","250","59590","56630"
"In post","2021","Heterosexual / straight","30-39","Criminal Injuries Compensation Authority","50","50","25750","22710"
"In post","2021","Heterosexual / straight","30-39","Crown Commercial Service","170","160","35490","34800"
"In post","2021","Heterosexual / straight","30-39","Crown Office and Procurator Fiscal Service","440","420","36360","32930"
"In post","2021","Heterosexual / straight","30-39","Crown Prosecution Service","930","870","40150","39750"
"In post","2021","Heterosexual / straight","30-39","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Defence Equipment and Support","1810","1740","35580","34060"
"In post","2021","Heterosexual / straight","30-39","Defence Science and Technology Laboratory","710","680","39190","37320"
"In post","2021","Heterosexual / straight","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","1040","1010","53050","53600"
"In post","2021","Heterosexual / straight","30-39","Department for Digital, Culture, Media and Sport","420","410","52750","52130"
"In post","2021","Heterosexual / straight","30-39","Department for Education (excl. agencies)","1090","1040","44560","41990"
"In post","2021","Heterosexual / straight","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","900","860","42470","38750"
"In post","2021","Heterosexual / straight","30-39","Department for International Trade","420","410","49830","51970"
"In post","2021","Heterosexual / straight","30-39","Department for Transport (excl. agencies)","610","590","50000","54110"
"In post","2021","Heterosexual / straight","30-39","Department for Work and Pensions (excl. agencies)","9720","8980","27680","27570"
"In post","2021","Heterosexual / straight","30-39","Department of Health and Social Care (excl. agencies)","350","330","51060","53360"
"In post","2021","Heterosexual / straight","30-39","Disclosure Scotland","50","50","28010","24910"
"In post","2021","Heterosexual / straight","30-39","Driver and Vehicle Licensing Agency","1160","1040","25490","21590"
"In post","2021","Heterosexual / straight","30-39","Driver and Vehicle Standards Agency","370","350","30040","27680"
"In post","2021","Heterosexual / straight","30-39","Education and Skills Funding Agency","300","290","38830","36780"
"In post","2021","Heterosexual / straight","30-39","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","FCDO Services","160","150","35880","33200"
"In post","2021","Heterosexual / straight","30-39","Food Standards Agency","200","200","38220","37910"
"In post","2021","Heterosexual / straight","30-39","Food Standards Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","1330","1310","47450","49920"
"In post","2021","Heterosexual / straight","30-39","Forestry and Land Scotland","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Government Actuary's Department","50","50","70100","65470"
"In post","2021","Heterosexual / straight","30-39","Government Internal Audit Agency","50","50","44770","40880"
"In post","2021","Heterosexual / straight","30-39","Government Legal Department","580","540","51220","51250"
"In post","2021","Heterosexual / straight","30-39","Government Property Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Health and Safety Executive","260","240","38880","39330"
"In post","2021","Heterosexual / straight","30-39","HM Courts and Tribunals Service","2190","1950","24160","21300"
"In post","2021","Heterosexual / straight","30-39","HM Land Registry","470","440","30650","27130"
"In post","2021","Heterosexual / straight","30-39","HM Prison and Probation Service","9280","8850","29660","28220"
"In post","2021","Heterosexual / straight","30-39","HM Revenue and Customs (excl. agencies)","7560","7200","32330","31810"
"In post","2021","Heterosexual / straight","30-39","HM Treasury (excl. agencies)","480","460","57100","59160"
"In post","2021","Heterosexual / straight","30-39","Home Office (incl. agencies)","7120","6680","31800","26820"
"In post","2021","Heterosexual / straight","30-39","Insolvency Service","200","190","31720","29360"
"In post","2021","Heterosexual / straight","30-39","Institute for Apprenticeships and Technical Education","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Legal Aid Agency","280","260","25650","22570"
"In post","2021","Heterosexual / straight","30-39","Maritime and Coastguard Agency","230","220","35260","31780"
"In post","2021","Heterosexual / straight","30-39","Medicines and Healthcare Products Regulatory Agency","210","210","43390","40850"
"In post","2021","Heterosexual / straight","30-39","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Ministry of Defence (excl. agencies)","4560","4390","33500","33000"
"In post","2021","Heterosexual / straight","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","550","530","47900","53130"
"In post","2021","Heterosexual / straight","30-39","Ministry of Justice (excl. agencies)","950","920","41040","36800"
"In post","2021","Heterosexual / straight","30-39","National Crime Agency","990","970","37970","36740"
"In post","2021","Heterosexual / straight","30-39","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","National Records of Scotland","50","50","37350","35110"
"In post","2021","Heterosexual / straight","30-39","National Savings and Investments","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Office for Standards in Education, Children's Services and Skills","310","300","42290","39460"
"In post","2021","Heterosexual / straight","30-39","Office of Gas and Electricity Markets","160","160","45070","40000"
"In post","2021","Heterosexual / straight","30-39","Office of Qualifications and Examinations Regulation","60","60","41720","38000"
"In post","2021","Heterosexual / straight","30-39","Office of Rail and Road","60","50","50060","51060"
"In post","2021","Heterosexual / straight","30-39","Office of the Public Guardian","390","360","21720","19930"
"In post","2021","Heterosexual / straight","30-39","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Planning Inspectorate","130","120","38910","34860"
"In post","2021","Heterosexual / straight","30-39","Public Health England","1190","1110","39140","37190"
"In post","2021","Heterosexual / straight","30-39","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Registers of Scotland","160","150","33520","30080"
"In post","2021","Heterosexual / straight","30-39","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Rural Payments Agency","180","160","26640","25190"
"In post","2021","Heterosexual / straight","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Scottish Government (excl. agencies)","1330","1270","41920","38580"
"In post","2021","Heterosexual / straight","30-39","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Scottish Prison Service","320","310","31250","33650"
"In post","2021","Heterosexual / straight","30-39","Scottish Public Pensions Agency","50","50","28940","26160"
"In post","2021","Heterosexual / straight","30-39","Serious Fraud Office","90","90","46580","41590"
"In post","2021","Heterosexual / straight","30-39","Social Security Scotland","230","220","31440","27150"
"In post","2021","Heterosexual / straight","30-39","Standards and Testing Agency","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Submarine Delivery Agency","340","330","39480","39860"
"In post","2021","Heterosexual / straight","30-39","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","The National Archives","50","50","34280","32230"
"In post","2021","Heterosexual / straight","30-39","Transport Scotland","80","80","42850","39660"
"In post","2021","Heterosexual / straight","30-39","UK Export Finance","70","70","50840","49520"
"In post","2021","Heterosexual / straight","30-39","UK Hydrographic Office","140","140","33350","33290"
"In post","2021","Heterosexual / straight","30-39","UK Intellectual Property Office","220","210","37570","39120"
"In post","2021","Heterosexual / straight","30-39","UK Space Agency","50","50","44680","40140"
"In post","2021","Heterosexual / straight","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","United Kingdom Statistics Authority","820","770","35630","36030"
"In post","2021","Heterosexual / straight","30-39","Valuation Office Agency","400","370","34690","32100"
"In post","2021","Heterosexual / straight","30-39","Vehicle Certification Agency","50","50","35540","34290"
"In post","2021","Heterosexual / straight","30-39","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Welsh Government (excl. agencies)","1050","990","37170","37410"
"In post","2021","Heterosexual / straight","30-39","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Advisory, Conciliation and Arbitration Service","160","150","35480","34500"
"In post","2021","Heterosexual / straight","40-49","Animal and Plant Health Agency","480","450","31770","29180"
"In post","2021","Heterosexual / straight","40-49","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Cabinet Office (excl. agencies)","1030","1000","55760","54700"
"In post","2021","Heterosexual / straight","40-49","Centre for Environment, Fisheries and Aquaculture Science","60","50","35730","35900"
"In post","2021","Heterosexual / straight","40-49","Charity Commission","70","60","35540","29160"
"In post","2021","Heterosexual / straight","40-49","Companies House","180","170","35260","30660"
"In post","2021","Heterosexual / straight","40-49","Competition and Markets Authority","180","170","70570","72430"
"In post","2021","Heterosexual / straight","40-49","Criminal Injuries Compensation Authority","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Crown Commercial Service","150","140","42620","37550"
"In post","2021","Heterosexual / straight","40-49","Crown Office and Procurator Fiscal Service","370","340","41840","34150"
"In post","2021","Heterosexual / straight","40-49","Crown Prosecution Service","1350","1240","43360","48080"
