"Status","Year","Responsibility_level","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Female","Security","140","130","59600","55430"
"In post","2021","G6/G7","Female","Unknown","6050","5720","60240","58700"
"In post","2021","G6/G7","Male","Analysis","1400","1370","58800","56520"
"In post","2021","G6/G7","Male","Commercial","940","930","62230","59110"
"In post","2021","G6/G7","Male","Communications","430","430","58350","55630"
"In post","2021","G6/G7","Male","Counter Fraud","710","680","58120","57890"
"In post","2021","G6/G7","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Male","Digital, Data & Technology","2370","2340","57870","55830"
"In post","2021","G6/G7","Male","Finance","1080","1070","59370","58130"
"In post","2021","G6/G7","Male","Grants Management","30","30","[c]","[c]"
"In post","2021","G6/G7","Male","Human Resources","580","570","58520","57670"
"In post","2021","G6/G7","Male","Internal Audit","120","110","58870","57490"
"In post","2021","G6/G7","Male","Legal","2310","2230","60340","59160"
"In post","2021","G6/G7","Male","No function","11040","10820","58740","56350"
"In post","2021","G6/G7","Male","Project Delivery","4140","4070","57870","55990"
"In post","2021","G6/G7","Male","Property","860","840","58220","56280"
"In post","2021","G6/G7","Male","Security","240","240","60670","58600"
"In post","2021","G6/G7","Male","Unknown","5990","5860","61410","60740"
"In post","2021","G6/G7","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Analysis","60","60","88120","79520"
"In post","2021","SCS","Female","Commercial","230","220","88300","73000"
"In post","2021","SCS","Female","Communications","70","70","85110","80370"
"In post","2021","SCS","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Digital, Data & Technology","90","90","88680","79360"
"In post","2021","SCS","Female","Finance","100","100","88170","82720"
"In post","2021","SCS","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Human Resources","150","150","88780","81870"
"In post","2021","SCS","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Legal","250","230","87610","82500"
"In post","2021","SCS","Female","No function","1450","1350","88830","79790"
"In post","2021","SCS","Female","Project Delivery","310","290","87850","79720"
"In post","2021","SCS","Female","Property","30","30","[c]","[c]"
"In post","2021","SCS","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Female","Unknown","630","600","88140","82460"
"In post","2021","SCS","Male","Analysis","90","90","89390","79930"
"In post","2021","SCS","Male","Commercial","350","350","96120","77920"
"In post","2021","SCS","Male","Communications","60","60","92600","84020"
"In post","2021","SCS","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Digital, Data & Technology","170","170","92780","89800"
"In post","2021","SCS","Male","Finance","180","180","92900","85800"
"In post","2021","SCS","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Human Resources","70","70","90030","83350"
"In post","2021","SCS","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Male","Legal","220","210","90250","83830"
"In post","2021","SCS","Male","No function","1510","1470","92070","83110"
"In post","2021","SCS","Male","Project Delivery","390","380","94440","85610"
"In post","2021","SCS","Male","Property","60","60","98700","93050"
"In post","2021","SCS","Male","Security","30","30","[c]","[c]"
"In post","2021","SCS","Male","Unknown","710","700","91790","83230"
"In post","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Female","Analysis","1700","1610","35740","36030"
"In post","2021","SEO/HEO","Female","Commercial","1570","1510","37360","36910"
"In post","2021","SEO/HEO","Female","Communications","1780","1710","36010","34770"
"In post","2021","SEO/HEO","Female","Counter Fraud","1870","1740","34780","32520"
"In post","2021","SEO/HEO","Female","Debt","140","130","33980","31810"
"In post","2021","SEO/HEO","Female","Digital, Data & Technology","2490","2360","36400","36160"
"In post","2021","SEO/HEO","Female","Finance","2090","1990","36950","36520"
"In post","2021","SEO/HEO","Female","Grants Management","180","160","32440","30780"
"In post","2021","SEO/HEO","Female","Human Resources","2660","2510","36160","35290"
"In post","2021","SEO/HEO","Female","Internal Audit","250","230","39940","39980"
"In post","2021","SEO/HEO","Female","Legal","2200","2020","38570","38000"
"In post","2021","SEO/HEO","Female","No function","23530","22310","35970","34690"
"In post","2021","SEO/HEO","Female","Project Delivery","6080","5760","35640","35100"
"In post","2021","SEO/HEO","Female","Property","1440","1360","36460","35300"
"In post","2021","SEO/HEO","Female","Security","600","590","37600","35900"
"In post","2021","SEO/HEO","Female","Unknown","17370","16330","36680","35310"
"In post","2021","SEO/HEO","Male","Analysis","1970","1940","35970","36030"
"In post","2021","SEO/HEO","Male","Commercial","1460","1440","39140","38630"
"In post","2021","SEO/HEO","Male","Communications","1520","1510","35470","33300"
"In post","2021","SEO/HEO","Male","Counter Fraud","2340","2270","35540","35000"
"In post","2021","SEO/HEO","Male","Debt","110","100","35320","35000"
"In post","2021","SEO/HEO","Male","Digital, Data & Technology","4340","4270","37720","37910"
"In post","2021","SEO/HEO","Male","Finance","1730","1710","37790","37600"
"In post","2021","SEO/HEO","Male","Grants Management","150","150","33080","31640"
"In post","2021","SEO/HEO","Male","Human Resources","1200","1170","36900","36320"
"In post","2021","SEO/HEO","Male","Internal Audit","210","210","41260","40660"
"In post","2021","SEO/HEO","Male","Legal","1120","1090","38440","37940"
"In post","2021","SEO/HEO","Male","No function","21720","21100","37390","36360"
"In post","2021","SEO/HEO","Male","Project Delivery","7670","7520","36910","37370"
"In post","2021","SEO/HEO","Male","Property","2180","2120","37830","37000"
"In post","2021","SEO/HEO","Male","Security","980","960","40520","37320"
"In post","2021","SEO/HEO","Male","Unknown","14340","14030","37390","36460"
"In post","2021","SEO/HEO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","110","110","37840","34500"
"In post","2021","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Human Resources","170","160","35190","32580"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","No function","9290","8480","29630","28200"
"In post","2021","Unknown","Female","Project Delivery","300","290","39210","37210"
"In post","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Security","40","40","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","350","340","35660","35380"
"In post","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Commercial","130","130","44000","40590"
"In post","2021","Unknown","Male","Digital, Data & Technology","80","80","37430","37200"
"In post","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Human Resources","70","70","43930","34850"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","No function","2720","2610","30740","30210"
"In post","2021","Unknown","Male","Project Delivery","1060","1040","43190","41270"
"In post","2021","Unknown","Male","Property","30","30","[c]","[c]"
"In post","2021","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","2120","2120","38010","34460"
"In post","2022","AA/AO","Female","Analysis","140","130","21850","21510"
"In post","2022","AA/AO","Female","Commercial","150","130","22640","21840"
"In post","2022","AA/AO","Female","Communications","270","240","21810","21250"
"In post","2022","AA/AO","Female","Counter Fraud","1750","1430","22380","21260"
"In post","2022","AA/AO","Female","Debt","3200","2670","21680","21260"
"In post","2022","AA/AO","Female","Digital, Data & Technology","450","430","21810","21380"
"In post","2022","AA/AO","Female","Finance","1130","910","21830","21260"
"In post","2022","AA/AO","Female","Grants Management","750","650","21280","21300"
"In post","2022","AA/AO","Female","Human Resources","1180","1040","21760","21330"
"In post","2022","AA/AO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Female","Legal","1160","1040","22750","22200"
"In post","2022","AA/AO","Female","No function","54090","46180","22290","21260"
"In post","2022","AA/AO","Female","Project Delivery","450","370","22050","21300"
"In post","2022","AA/AO","Female","Property","900","800","21530","22010"
"In post","2022","AA/AO","Female","Security","940","890","24840","21280"
"In post","2022","AA/AO","Female","Unknown","10990","9850","22220","21680"
"In post","2022","AA/AO","Male","Analysis","130","120","21730","21260"
"In post","2022","AA/AO","Male","Commercial","150","140","22520","21660"
"In post","2022","AA/AO","Male","Communications","220","210","21830","21250"
"In post","2022","AA/AO","Male","Counter Fraud","1010","970","22240","21260"
"In post","2022","AA/AO","Male","Debt","1980","1890","21580","21250"
"In post","2022","AA/AO","Male","Digital, Data & Technology","490","490","21950","21380"
"In post","2022","AA/AO","Male","Finance","590","550","21680","21250"
"In post","2022","AA/AO","Male","Grants Management","530","510","21270","21300"
"In post","2022","AA/AO","Male","Human Resources","460","440","21600","21250"
"In post","2022","AA/AO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Male","Legal","470","460","22830","22200"
"In post","2022","AA/AO","Male","No function","39690","37730","24050","21840"
"In post","2022","AA/AO","Male","Project Delivery","190","180","21970","21260"
"In post","2022","AA/AO","Male","Property","940","920","21450","21750"
"In post","2022","AA/AO","Male","Security","4720","4620","27340","23540"
"In post","2022","AA/AO","Male","Unknown","8050","7790","22160","21680"
"In post","2022","EO","Female","Analysis","450","420","26750","26350"
"In post","2022","EO","Female","Commercial","470","440","26540","26350"
"In post","2022","EO","Female","Communications","1580","1500","26970","26820"
"In post","2022","EO","Female","Counter Fraud","4030","3590","28130","27570"
"In post","2022","EO","Female","Debt","720","630","27830","27570"
"In post","2022","EO","Female","Digital, Data & Technology","1410","1310","27390","26900"
"In post","2022","EO","Female","Finance","1310","1210","26950","26780"
"In post","2022","EO","Female","Grants Management","370","330","25430","25190"
"In post","2022","EO","Female","Human Resources","1760","1620","27150","26930"
"In post","2022","EO","Female","Internal Audit","40","30","[c]","[c]"
"In post","2022","EO","Female","Legal","1520","1390","27980","27710"
"In post","2022","EO","Female","No function","46370","41480","28060","27570"
"In post","2022","EO","Female","Project Delivery","1680","1540","25500","26160"
"In post","2022","EO","Female","Property","940","860","26940","26880"
"In post","2022","EO","Female","Security","560","530","28430","26670"
"In post","2022","EO","Female","Unknown","11690","10720","27360","27230"
"In post","2022","EO","Male","Analysis","420","410","26930","26590"
"In post","2022","EO","Male","Commercial","300","290","26850","26660"
"In post","2022","EO","Male","Communications","1660","1640","26910","26820"
"In post","2022","EO","Male","Counter Fraud","3160","3010","28170","27570"
"In post","2022","EO","Male","Debt","500","470","27790","27570"
"In post","2022","EO","Male","Digital, Data & Technology","2390","2330","27760","27570"
"In post","2022","EO","Male","Finance","790","780","26760","26820"
"In post","2022","EO","Male","Grants Management","230","230","25450","25190"
"In post","2022","EO","Male","Human Resources","830","810","27580","27570"
"In post","2022","EO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Male","Legal","610","600","28080","27570"
"In post","2022","EO","Male","No function","30440","29320","28870","27570"
"In post","2022","EO","Male","Project Delivery","1760","1710","24250","25270"
"In post","2022","EO","Male","Property","970","950","26610","26670"
"In post","2022","EO","Male","Security","950","930","33720","29430"
"In post","2022","EO","Male","Unknown","11380","10920","27620","27230"
"In post","2022","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Female","Analysis","1230","1130","58480","55840"
"In post","2022","G6/G7","Female","Commercial","1070","1040","60400","57710"
"In post","2022","G6/G7","Female","Communications","740","710","58560","56370"
"In post","2022","G6/G7","Female","Counter Fraud","480","460","58590","55210"
"In post","2022","G6/G7","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Female","Digital, Data & Technology","2140","2060","56480","54700"
"In post","2022","G6/G7","Female","Finance","1340","1290","57730","55980"
"In post","2022","G6/G7","Female","Grants Management","40","30","[c]","[c]"
"In post","2022","G6/G7","Female","Human Resources","1600","1530","57360","55210"
"In post","2022","G6/G7","Female","Internal Audit","100","90","58430","55230"
"In post","2022","G6/G7","Female","Legal","3750","3380","58870","56650"
"In post","2022","G6/G7","Female","No function","12190","11660","57980","55210"
"In post","2022","G6/G7","Female","Project Delivery","3160","3030","57510","55210"
"In post","2022","G6/G7","Female","Property","620","600","57070","55210"
"In post","2022","G6/G7","Female","Security","210","210","58360","56730"
"In post","2022","G6/G7","Female","Unknown","5260","4970","61820","61440"
"In post","2022","G6/G7","Male","Analysis","1580","1550","59370","57030"
"In post","2022","G6/G7","Male","Commercial","1180","1170","62580","61710"
"In post","2022","G6/G7","Male","Communications","460","460","58760","56360"
"In post","2022","G6/G7","Male","Counter Fraud","830","810","60080","57990"
"In post","2022","G6/G7","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Male","Digital, Data & Technology","3870","3820","58450","56190"
"In post","2022","G6/G7","Male","Finance","1430","1410","58920","57450"
"In post","2022","G6/G7","Male","Grants Management","30","30","[c]","[c]"
"In post","2022","G6/G7","Male","Human Resources","750","740","58400","56760"
"In post","2022","G6/G7","Male","Internal Audit","110","110","58810","58950"
"In post","2022","G6/G7","Male","Legal","2250","2170","60330","58970"
"In post","2022","G6/G7","Male","No function","12480","12220","58980","56380"
"In post","2022","G6/G7","Male","Project Delivery","4090","4010","58510","55860"
"In post","2022","G6/G7","Male","Property","1110","1090","59170","58090"
"In post","2022","G6/G7","Male","Security","390","390","59820","58550"
"In post","2022","G6/G7","Male","Unknown","4930","4840","62490","61440"
"In post","2022","G6/G7","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Analysis","80","80","85190","79590"
"In post","2022","SCS","Female","Commercial","130","120","102950","96340"
"In post","2022","SCS","Female","Communications","70","70","88820","83110"
"In post","2022","SCS","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Digital, Data & Technology","110","110","88340","79860"
"In post","2022","SCS","Female","Finance","120","110","85720","79810"
"In post","2022","SCS","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Human Resources","170","170","86920","79750"
"In post","2022","SCS","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Legal","250","240","86800","82500"
"In post","2022","SCS","Female","No function","1650","1560","88220","79890"
"In post","2022","SCS","Female","Project Delivery","280","270","87700","79720"
"In post","2022","SCS","Female","Property","40","40","[c]","[c]"
"In post","2022","SCS","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Unknown","460","440","87360","81570"
"In post","2022","SCS","Male","Analysis","110","110","92290","81460"
"In post","2022","SCS","Male","Commercial","210","210","115430","113870"
"In post","2022","SCS","Male","Communications","70","70","95760","87750"
"In post","2022","SCS","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Male","Digital, Data & Technology","220","220","94460","90000"
"In post","2022","SCS","Male","Finance","190","190","88420","80290"
"In post","2022","SCS","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Male","Human Resources","90","90","86510","78150"
"In post","2022","SCS","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Male","Legal","210","210","89170","83350"
"In post","2022","SCS","Male","No function","1680","1640","91430","83040"
"In post","2022","SCS","Male","Project Delivery","320","320","96560","87290"
"In post","2022","SCS","Male","Property","80","80","95920","92790"
"In post","2022","SCS","Male","Security","50","50","[c]","[c]"
"In post","2022","SCS","Male","Unknown","560","540","91350","83230"
"In post","2022","SEO/HEO","Female","Analysis","2070","1980","36180","36580"
"In post","2022","SEO/HEO","Female","Commercial","1530","1460","36910","36820"
"In post","2022","SEO/HEO","Female","Communications","1900","1820","36710","34710"
"In post","2022","SEO/HEO","Female","Counter Fraud","2710","2540","36020","33680"
"In post","2022","SEO/HEO","Female","Debt","230","200","34750","33370"
"In post","2022","SEO/HEO","Female","Digital, Data & Technology","4120","3930","36620","36050"
"In post","2022","SEO/HEO","Female","Finance","2950","2800","36850","36500"
"In post","2022","SEO/HEO","Female","Grants Management","190","170","32360","30640"
"In post","2022","SEO/HEO","Female","Human Resources","3340","3160","36020","35260"
"In post","2022","SEO/HEO","Female","Internal Audit","250","240","40370","40180"
"In post","2022","SEO/HEO","Female","Legal","1390","1310","39610","38180"
"In post","2022","SEO/HEO","Female","No function","30880","29300","36370","34770"
"In post","2022","SEO/HEO","Female","Project Delivery","5840","5490","36140","36000"
"In post","2022","SEO/HEO","Female","Property","1630","1550","36840","35340"
"In post","2022","SEO/HEO","Female","Security","980","950","37450","36140"
"In post","2022","SEO/HEO","Female","Unknown","12850","12210","37930","37450"
"In post","2022","SEO/HEO","Male","Analysis","2240","2210","36350","36640"
"In post","2022","SEO/HEO","Male","Commercial","1290","1280","37800","38320"
"In post","2022","SEO/HEO","Male","Communications","1560","1550","36390","33370"
"In post","2022","SEO/HEO","Male","Counter Fraud","3000","2910","36610","35310"
"In post","2022","SEO/HEO","Male","Debt","140","130","36110","33370"
"In post","2022","SEO/HEO","Male","Digital, Data & Technology","6790","6680","37910","37420"
"In post","2022","SEO/HEO","Male","Finance","2480","2430","37670","36840"
"In post","2022","SEO/HEO","Male","Grants Management","170","160","32850","31360"
"In post","2022","SEO/HEO","Male","Human Resources","1510","1480","36800","36320"
"In post","2022","SEO/HEO","Male","Internal Audit","200","190","41010","40660"
"In post","2022","SEO/HEO","Male","Legal","800","790","39270","38000"
"In post","2022","SEO/HEO","Male","No function","25860","25190","37560","36480"
"In post","2022","SEO/HEO","Male","Project Delivery","7210","7040","37190","37830"
"In post","2022","SEO/HEO","Male","Property","2270","2210","38120","37210"
"In post","2022","SEO/HEO","Male","Security","1690","1660","39690","37660"
"In post","2022","SEO/HEO","Male","Unknown","11450","11260","38320","37460"
"In post","2022","SEO/HEO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Commercial","80","70","37500","37280"
"In post","2022","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","No function","14490","13330","29760","28200"
"In post","2022","Unknown","Female","Project Delivery","450","420","37180","34000"
"In post","2022","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Security","50","50","[c]","[c]"
"In post","2022","Unknown","Female","Unknown","280","280","32910","32400"
"In post","2022","Unknown","Male","Commercial","90","90","42140","39860"
"In post","2022","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2022","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","No function","4710","4440","31140","28200"
"In post","2022","Unknown","Male","Project Delivery","1170","1150","42550","40760"
"In post","2022","Unknown","Male","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Male","Security","140","140","31800","28280"
"In post","2022","Unknown","Male","Unknown","1780","1780","37960","34460"
"Leaver CS","2021","AA/AO","Female","Analysis","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Legal","90","80","22300","22820"
"Leaver CS","2021","AA/AO","Female","No function","2540","2230","20340","20100"
"Leaver CS","2021","AA/AO","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Property","80","70","20330","20170"
"Leaver CS","2021","AA/AO","Female","Security","50","50","24670","20920"
"Leaver CS","2021","AA/AO","Female","Unknown","3640","2840","21230","21010"
"Leaver CS","2021","AA/AO","Male","Analysis","60","60","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Legal","60","60","21770","21000"
"Leaver CS","2021","AA/AO","Male","No function","2580","2380","20650","20170"
