"Status","Year","Organisation","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Department for Environment, Food and Rural Affairs","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Department for Environment, Food and Rural Affairs","90","80","27960","21050"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","Devon CC","Department for Environment, Food and Rural Affairs","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","Department for Environment, Food and Rural Affairs","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","East Kent","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","Department for Environment, Food and Rural Affairs","60","50","32320","30320"
"In post","2021","Animal and Plant Health Agency","Gwynedd","Department for Environment, Food and Rural Affairs","70","60","26690","24920"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","Department for Environment, Food and Rural Affairs","70","70","32550","31460"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leeds","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire CC and Rutland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Manchester","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Kent","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","Department for Environment, Food and Rural Affairs","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","North and West Norfolk","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","Department for Environment, Food and Rural Affairs","130","120","31480","29180"
"In post","2021","Animal and Plant Health Agency","Northumberland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Somerset","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South and West Derbyshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Ayrshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Lanarkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Nottinghamshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West Wales","Department for Environment, Food and Rural Affairs","150","140","28110","25190"
"In post","2021","Animal and Plant Health Agency","Staffordshire CC","Department for Environment, Food and Rural Affairs","60","60","25520","21050"
"In post","2021","Animal and Plant Health Agency","Suffolk","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Telford and Wrekin","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Thurrock","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Tyneside","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Surrey","Department for Environment, Food and Rural Affairs","560","530","33220","28550"
"In post","2021","Animal and Plant Health Agency","West Sussex (North East)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Westminster","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wiltshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Worcestershire","Department for Environment, Food and Rural Affairs","160","150","29810","26600"
"In post","2021","Animal and Plant Health Agency","York","Department for Environment, Food and Rural Affairs","60","60","24060","21050"
"In post","2021","Attorney General's Office","Westminster","Attorney General's Departments","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Ards and North Down","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Belfast","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Birmingham","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Blackpool","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bradford","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Brighton and Hove","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","Cabinet Office","70","60","43300","38420"
"In post","2021","Cabinet Office (excl. agencies)","Buckinghamshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cambridgeshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Camden and City of London","Cabinet Office","100","90","54190","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Central Hampshire","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","City of Edinburgh","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Coventry","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Croydon","Cabinet Office","50","50","43890","32000"
"In post","2021","Cabinet Office (excl. agencies)","Darlington","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Devon CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Dorset CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Merseyside","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Glasgow City","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South East","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South West","Cabinet Office","170","170","45200","38890"
"In post","2021","Cabinet Office (excl. agencies)","Hackney and Newham","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Harrow and Hillingdon","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Hertfordshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lambeth","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lancaster and Wyre","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Cabinet Office","190","180","47110","40250"
"In post","2021","Cabinet Office (excl. agencies)","Lewisham and Southwark","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lincolnshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","Cabinet Office","120","120","49230","49700"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Cabinet Office","100","90","46350","37300"
"In post","2021","Cabinet Office (excl. agencies)","Medway","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mid Kent","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Milton Keynes","Cabinet Office","90","90","29950","33000"
"In post","2021","Cabinet Office (excl. agencies)","Monmouthshire and Newport","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Hampshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Yorkshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","Cabinet Office","90","90","46130","40250"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Oxfordshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Peterborough","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Plymouth","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Portsmouth","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sefton","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sheffield","Cabinet Office","100","100","46980","49700"
"In post","2021","Cabinet Office (excl. agencies)","South Hampshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Lanarkshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Teesside","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West Wales","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Suffolk","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Swansea","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Telford and Wrekin","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Tower Hamlets","Cabinet Office","870","850","51680","54700"
"In post","2021","Cabinet Office (excl. agencies)","Tyneside","Cabinet Office","400","380","28460","23850"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Cabinet Office","600","600","36250","32000"
"In post","2021","Cabinet Office (excl. agencies)","Warrington","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Cumbria","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Kent","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Sussex (North East)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Westminster","Cabinet Office","5450","5380","49380","40600"
"In post","2021","Cabinet Office (excl. agencies)","Wiltshire","Cabinet Office","70","60","61990","54700"
"In post","2021","Cabinet Office (excl. agencies)","York","Cabinet Office","440","420","29190","26670"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","Department for Environment, Food and Rural Affairs","140","130","33130","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","Department for Environment, Food and Rural Affairs","460","440","34620","30220"
"In post","2021","Charity Commission","Monmouthshire and Newport","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Sefton","Charity Commission","310","290","32780","29160"
"In post","2021","Charity Commission","Somerset","Charity Commission","50","50","35580","30350"
"In post","2021","Charity Commission","Westminster","Charity Commission","70","70","42950","37910"
"In post","2021","Companies House","Belfast","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","1030","950","31130","27460"
"In post","2021","Companies House","City of Edinburgh","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Companies House","Westminster","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","City of Edinburgh","Competition and Markets Authority","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Tower Hamlets","Competition and Markets Authority","790","760","60810","56630"
"In post","2021","Criminal Injuries Compensation Authority","Glasgow City","Ministry of Justice","300","280","26120","22640"
"In post","2021","Crown Commercial Service","Birmingham","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Bristol, City of","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Liverpool","Other Cabinet Office Agencies","400","390","38230","34800"
"In post","2021","Crown Commercial Service","Monmouthshire and Newport","Other Cabinet Office Agencies","110","110","33670","31680"
"In post","2021","Crown Commercial Service","Norwich and East Norfolk","Other Cabinet Office Agencies","170","160","35020","33340"
"In post","2021","Crown Commercial Service","South and West Derbyshire","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Tower Hamlets","Other Cabinet Office Agencies","70","70","50350","49300"
"In post","2021","Crown Commercial Service","Wakefield","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Aberdeen City and Aberdeenshire","Scottish Government","100","90","33070","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Angus and Dundee City","Scottish Government","90","80","35220","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Caithness and Sutherland and Ross and Cromarty","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","City of Edinburgh","Scottish Government","490","460","38430","32930"
"In post","2021","Crown Office and Procurator Fiscal Service","Clackmannanshire and Fife","Scottish Government","80","70","32830","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Dumfries and Galloway","Scottish Government","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","Scottish Government","50","50","32600","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scottish Government","70","60","25650","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Falkirk","Scottish Government","60","60","34040","27810"
"In post","2021","Crown Office and Procurator Fiscal Service","Glasgow City","Scottish Government","570","520","35620","30500"
"In post","2021","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire and Renfrewshire","Scottish Government","100","90","37300","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Inverness and Nairn and Moray, Badenoch and Strathspey","Scottish Government","50","50","35530","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Na h-Eileanan Siar","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","North Lanarkshire","Scottish Government","80","70","39460","32930"
"In post","2021","Crown Office and Procurator Fiscal Service","Orkney Islands","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Perth and Kinross and Stirling","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Borders","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Shetland Islands","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","South Ayrshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","South Lanarkshire","Scottish Government","140","130","38270","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","West Lothian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Berkshire","Attorney General's Departments","140","130","43310","40000"
"In post","2021","Crown Prosecution Service","Bexley and Greenwich","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Birmingham","Attorney General's Departments","490","460","39820","38000"
"In post","2021","Crown Prosecution Service","Bridgend and Neath Port Talbot","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Brighton and Hove","Attorney General's Departments","110","100","42660","36240"
"In post","2021","Crown Prosecution Service","Bristol, City of","Attorney General's Departments","150","140","40450","38000"
"In post","2021","Crown Prosecution Service","Cambridgeshire CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Camden and City of London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Cardiff and Vale of Glamorgan","Attorney General's Departments","210","200","41090","38760"
"In post","2021","Crown Prosecution Service","Central Valleys","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Cornwall and Isles of Scilly","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Croydon","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Derby","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Devon CC","Attorney General's Departments","100","90","39950","36240"
"In post","2021","Crown Prosecution Service","East Cumbria","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Derbyshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Kent","Attorney General's Departments","120","120","39460","30110"
"In post","2021","Crown Prosecution Service","Flintshire and Wrexham","Attorney General's Departments","70","70","41500","38000"
"In post","2021","Crown Prosecution Service","Haringey and Islington","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Harrow and Hillingdon","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heart of Essex","Attorney General's Departments","190","170","41150","35020"
"In post","2021","Crown Prosecution Service","Hertfordshire","Attorney General's Departments","170","150","42490","40000"
"In post","2021","Crown Prosecution Service","Hounslow and Richmond upon Thames","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Kingston upon Hull, City of","Attorney General's Departments","70","70","38580","28430"
"In post","2021","Crown Prosecution Service","Leeds","Attorney General's Departments","350","320","40440","38000"
"In post","2021","Crown Prosecution Service","Leicester","Attorney General's Departments","140","130","39010","38180"
"In post","2021","Crown Prosecution Service","Lewisham and Southwark","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Lincolnshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Liverpool","Attorney General's Departments","360","350","37570","30930"
"In post","2021","Crown Prosecution Service","Manchester","Attorney General's Departments","360","330","40750","38000"
"In post","2021","Crown Prosecution Service","Merton, Kingston upon Thames and Sutton","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Mid Kent","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Mid Lancashire","Attorney General's Departments","180","170","40040","38000"
"In post","2021","Crown Prosecution Service","Northumberland","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Norwich and East Norfolk","Attorney General's Departments","80","70","35640","28430"
"In post","2021","Crown Prosecution Service","Nottingham","Attorney General's Departments","270","250","37300","30130"
"In post","2021","Crown Prosecution Service","Overseas","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Peterborough","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Portsmouth","Attorney General's Departments","110","100","38780","30110"
"In post","2021","Crown Prosecution Service","Redbridge and Waltham Forest","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Sheffield","Attorney General's Departments","140","120","35940","28430"
"In post","2021","Crown Prosecution Service","Shropshire CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","South Hampshire","Attorney General's Departments","150","140","45830","50520"
"In post","2021","Crown Prosecution Service","South Teesside","Attorney General's Departments","100","90","38060","32370"
"In post","2021","Crown Prosecution Service","Staffordshire CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Stoke-on-Trent","Attorney General's Departments","60","60","41930","48080"
"In post","2021","Crown Prosecution Service","Suffolk","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Swansea","Attorney General's Departments","70","60","41460","38180"
"In post","2021","Crown Prosecution Service","Tyneside","Attorney General's Departments","240","220","38030","32420"
"In post","2021","Crown Prosecution Service","Wakefield","Attorney General's Departments","70","70","36100","30130"
"In post","2021","Crown Prosecution Service","Warrington","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Warwickshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","West Cumbria","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","West Northamptonshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","West Surrey","Attorney General's Departments","60","50","41400","40000"
"In post","2021","Crown Prosecution Service","West Sussex (North East)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Westminster","Attorney General's Departments","1560","1470","45280","40530"
"In post","2021","Crown Prosecution Service","Wiltshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Wolverhampton","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Worcestershire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","York","Attorney General's Departments","310","280","46790","53350"
